角色ID,角色备注,士兵星级,角色近战攻击范围,角色远程攻击范围,角色移动速度,角色生命值,角色生命成长值,角色物理攻击力,角色物理攻击力成长值,角色魔法攻击力,角色魔法攻击力成长值,角色物理减伤,角色物理护甲,角色物理护甲成长,角色魔法减伤,角色魔法护甲,角色魔法护甲成长,角色物理穿透,角色魔法穿透,角色攻击速度,角色吸血值,角色反弹值,角色闪避值,角色暴击值,角色暴击成长,角色暴击伤害,角色怒气上限值,角色怒气回复值,角色魔法上限值,角色魔法回复,角色质量,角色霸体值上限,角色霸体值恢复速度,角色仇恨值,派发水晶消耗值,派发CD
10200,1星矮人火枪手,1,100,700,84,390,9,385,9,0,0,0,0,0,0,0,0,0,0,40,0,0,0,20,0,0,0,0,0,0,5,400,40,50,200,21000
10200,2星矮人火枪手,2,100,700,84,437,10,431,10,0,0,0,0,0,0,0,0,0,0,40,0,0,0,20,0,0,0,0,0,0,5,400,40,50,200,21000
10200,3星矮人火枪手,3,100,700,84,484,11,477,11,0,0,0,0,0,0,0,0,0,0,40,0,0,0,20,0,0,0,0,0,0,5,400,40,50,200,21000
10200,4星矮人火枪手,4,100,700,84,530,12,524,12,0,0,0,0,0,0,0,0,0,0,40,0,0,0,20,0,0,0,0,0,0,5,400,40,50,200,21000
10200,5星矮人火枪手,5,100,700,84,577,13,570,13,0,0,0,0,0,0,0,0,0,0,40,0,0,0,20,0,0,0,0,0,0,5,400,40,50,200,21000
10200,6星矮人火枪手,6,100,700,84,624,14,616,14,0,0,0,0,0,0,0,0,0,0,40,0,0,0,20,0,0,0,0,0,0,5,400,40,50,200,21000
10200,7星矮人火枪手,7,100,700,84,671,15,662,15,0,0,0,0,0,0,0,0,0,0,40,0,0,0,20,0,0,0,0,0,0,5,400,40,50,200,21000
10300,1星盗贼,1,200,300,250,875,13,72,3,0,0,0,0,0,0,0,0,0,0,200,0,0,20,10,0,0,0,0,0,0,6,750,75,40,200,9000
10300,2星盗贼,2,200,300,250,980,15,81,3,0,0,0,0,0,0,0,0,0,0,200,0,0,20,10,0,0,0,0,0,0,6,750,75,40,200,9000
10300,3星盗贼,3,200,300,250,1085,16,89,4,0,0,0,0,0,0,0,0,0,0,200,0,0,20,10,0,0,0,0,0,0,6,750,75,40,200,9000
10300,4星盗贼,4,200,300,250,1190,18,98,4,0,0,0,0,0,0,0,0,0,0,200,0,0,20,10,0,0,0,0,0,0,6,750,75,40,200,9000
10300,5星盗贼,5,200,300,250,1295,19,107,4,0,0,0,0,0,0,0,0,0,0,200,0,0,20,10,0,0,0,0,0,0,6,750,75,40,200,9000
10300,6星盗贼,6,200,300,250,1400,21,115,5,0,0,0,0,0,0,0,0,0,0,200,0,0,20,10,0,0,0,0,0,0,6,750,75,40,200,9000
10300,7星盗贼,7,200,300,250,1505,22,124,5,0,0,0,0,0,0,0,0,0,0,200,0,0,20,10,0,0,0,0,0,0,6,750,75,40,200,9000
10400,1星老铁匠,1,100,450,111,718,16,0,0,180,4,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,5,400,40,50,200,29000
10400,2星老铁匠,2,100,450,111,804,18,0,0,202,4,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,5,400,40,50,200,29000
10400,3星老铁匠,3,100,450,111,890,20,0,0,224,5,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,5,400,40,50,200,29000
10400,4星老铁匠,4,100,450,111,976,22,0,0,244,5,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,5,400,40,50,200,29000
10400,5星老铁匠,5,100,450,111,1062,24,0,0,266,6,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,5,400,40,50,200,29000
10400,6星老铁匠,6,100,450,111,1148,26,0,0,288,6,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,5,400,40,50,200,29000
10400,7星老铁匠,7,100,450,111,1234,28,0,0,310,7,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,5,400,40,50,200,29000
10500,1星魔剑士,1,170,300,156,3232,60,352,9,0,0,0,0,0,0,800,0,0,0,173,0,0,0,0,0,0,0,0,0,0,6,1000,100,50,500,17000
10500,2星魔剑士,2,170,300,156,3620,67,394,10,0,0,0,0,0,0,800,0,0,0,173,0,0,0,0,0,0,0,0,0,0,6,1000,100,50,500,17000
10500,3星魔剑士,3,170,300,156,4008,74,436,11,0,0,0,0,0,0,800,0,0,0,173,0,0,0,0,0,0,0,0,0,0,6,1000,100,50,500,17000
10500,4星魔剑士,4,170,300,156,4396,82,478,12,0,0,0,0,0,0,800,0,0,0,173,0,0,0,0,0,0,0,0,0,0,6,1000,100,50,500,17000
10500,5星魔剑士,5,170,300,156,4784,89,520,13,0,0,0,0,0,0,800,0,0,0,173,0,0,0,0,0,0,0,0,0,0,6,1000,100,50,500,17000
10500,6星魔剑士,6,170,300,156,5172,96,564,14,0,0,0,0,0,0,800,0,0,0,173,0,0,0,0,0,0,0,0,0,0,6,1000,100,50,500,17000
10500,7星魔剑士,7,170,300,156,5560,103,606,15,0,0,0,0,0,0,800,0,0,0,173,0,0,0,0,0,0,0,0,0,0,6,1000,100,50,500,17000
10600,1星维京人之盾,1,210,450,100,4216,94,230,4,0,0,0,400,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,7,1000,100,50,350,13000
10600,2星维京人之盾,2,210,450,100,4722,105,258,4,0,0,0,400,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,7,1000,100,50,350,13000
10600,3星维京人之盾,3,210,450,100,5228,117,286,5,0,0,0,400,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,7,1000,100,50,350,13000
10600,4星维京人之盾,4,210,450,100,5734,128,312,5,0,0,0,400,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,7,1000,100,50,350,13000
10600,5星维京人之盾,5,210,450,100,6240,139,340,6,0,0,0,400,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,7,1000,100,50,350,13000
10600,6星维京人之盾,6,210,450,100,6746,150,368,6,0,0,0,400,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,7,1000,100,50,350,13000
10600,7星维京人之盾,7,210,450,100,7252,162,396,7,0,0,0,400,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,7,1000,100,50,350,13000
10700,1星火焰女王,1,100,500,100,870,13,0,0,816,23,0,0,0,0,500,0,0,0,20,0,0,0,0,0,0,0,0,10000,3000,5,120,12,50,400,27000
10700,2星火焰女王,2,100,500,100,974,15,0,0,914,26,0,0,0,0,500,0,0,0,20,0,0,0,0,0,0,0,0,10000,3000,5,120,12,50,400,27000
10700,3星火焰女王,3,100,500,100,1078,16,0,0,1012,29,0,0,0,0,500,0,0,0,20,0,0,0,0,0,0,0,0,10000,3000,5,120,12,50,400,27000
10700,4星火焰女王,4,100,500,100,1184,18,0,0,1110,31,0,0,0,0,500,0,0,0,20,0,0,0,0,0,0,0,0,10000,3000,5,120,12,50,400,27000
10700,5星火焰女王,5,100,500,100,1288,19,0,0,1208,34,0,0,0,0,500,0,0,0,20,0,0,0,0,0,0,0,0,10000,3000,5,120,12,50,400,27000
10700,6星火焰女王,6,100,500,100,1392,21,0,0,1306,37,0,0,0,0,500,0,0,0,20,0,0,0,0,0,0,0,0,10000,3000,5,120,12,50,400,27000
10700,7星火焰女王,7,100,500,100,1496,22,0,0,1404,40,0,0,0,0,500,0,0,0,20,0,0,0,0,0,0,0,0,10000,3000,5,120,12,50,400,27000
10900,1星牧师,1,100,475,125,1094,26,0,0,160,3,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,5,400,40,50,250,25000
10900,2星牧师,2,100,475,125,1226,29,0,0,180,3,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,5,400,40,50,250,25000
10900,3星牧师,3,100,475,125,1356,32,0,0,198,4,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,5,400,40,50,250,25000
10900,4星牧师,4,100,475,125,1488,35,0,0,218,4,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,5,400,40,50,250,25000
10900,5星牧师,5,100,475,125,1620,38,0,0,236,4,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,5,400,40,50,250,25000
10900,6星牧师,6,100,475,125,1750,42,0,0,256,5,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,5,400,40,50,250,25000
10900,7星牧师,7,100,475,125,1882,45,0,0,276,5,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,5,400,40,50,250,25000
11000,1星圣骑士,1,250,300,166,4566,122,318,5,0,0,0,400,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,8,1000,100,50,500,22000
11000,2星圣骑士,2,250,300,166,5114,137,356,6,0,0,0,400,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,8,1000,100,50,500,22000
11000,3星圣骑士,3,250,300,166,5662,151,394,6,0,0,0,400,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,8,1000,100,50,500,22000
11000,4星圣骑士,4,250,300,166,6210,166,432,7,0,0,0,400,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,8,1000,100,50,500,22000
11000,5星圣骑士,5,250,300,166,6758,181,470,7,0,0,0,400,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,8,1000,100,50,500,22000
11000,6星圣骑士,6,250,300,166,7306,195,508,8,0,0,0,400,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,8,1000,100,50,500,22000
11000,7星圣骑士,7,250,300,166,7854,210,546,9,0,0,0,400,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,8,1000,100,50,500,22000
11100,1星影舞者,1,180,300,219,2124,37,378,9,0,0,0,0,0,0,0,0,0,0,136,0,0,30,20,0,0,0,0,0,0,6,750,75,40,450,13000
11100,2星影舞者,2,180,300,219,2378,41,424,10,0,0,0,0,0,0,0,0,0,0,136,0,0,30,20,0,0,0,0,0,0,6,750,75,40,450,13000
11100,3星影舞者,3,180,300,219,2634,46,468,11,0,0,0,0,0,0,0,0,0,0,136,0,0,30,20,0,0,0,0,0,0,6,750,75,40,450,13000
11100,4星影舞者,4,180,300,219,2888,50,514,12,0,0,0,0,0,0,0,0,0,0,136,0,0,30,20,0,0,0,0,0,0,6,750,75,40,450,13000
11100,5星影舞者,5,180,300,219,3144,55,560,13,0,0,0,0,0,0,0,0,0,0,136,0,0,30,20,0,0,0,0,0,0,6,750,75,40,450,13000
11100,6星影舞者,6,180,300,219,3398,59,604,14,0,0,0,0,0,0,0,0,0,0,136,0,0,30,20,0,0,0,0,0,0,6,750,75,40,450,13000
11100,7星影舞者,7,180,300,219,3654,64,650,15,0,0,0,0,0,0,0,0,0,0,136,0,0,30,20,0,0,0,0,0,0,6,750,75,40,450,13000
12000,1星盾妹,1,160,500,125,3288,88,136,3,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,6,1000,100,50,250,16000
12000,2星盾妹,2,160,500,125,3682,99,152,3,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,6,1000,100,50,250,16000
12000,3星盾妹,3,160,500,125,4078,109,168,4,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,6,1000,100,50,250,16000
12000,4星盾妹,4,160,500,125,4472,120,184,4,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,6,1000,100,50,250,16000
12000,5星盾妹,5,160,500,125,4866,130,200,4,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,6,1000,100,50,250,16000
12000,6星盾妹,6,160,500,125,5260,141,218,5,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,6,1000,100,50,250,16000
12000,7星盾妹,7,160,500,125,5656,151,234,5,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,6,1000,100,50,250,16000
20000,1星嗜血狼人,1,180,550,156,1776,28,198,6,0,0,0,200,0,0,0,0,0,0,160,0,0,0,0,0,0,100,0,0,0,6,1000,100,50,300,13000
20000,2星嗜血狼人,2,180,550,156,1990,31,222,7,0,0,0,200,0,0,0,0,0,0,160,0,0,0,0,0,0,100,0,0,0,6,1000,100,50,300,13000
20000,3星嗜血狼人,3,180,550,156,2202,35,246,8,0,0,0,200,0,0,0,0,0,0,160,0,0,0,0,0,0,100,0,0,0,6,1000,100,50,300,13000
20000,4星嗜血狼人,4,180,550,156,2416,38,270,8,0,0,0,200,0,0,0,0,0,0,160,0,0,0,0,0,0,100,0,0,0,6,1000,100,50,300,13000
20000,5星嗜血狼人,5,180,550,156,2628,41,293,9,0,0,0,200,0,0,0,0,0,0,160,0,0,0,0,0,0,100,0,0,0,6,1000,100,50,300,13000
20000,6星嗜血狼人,6,180,550,156,2842,45,317,10,0,0,0,200,0,0,0,0,0,0,160,0,0,0,0,0,0,100,0,0,0,6,1000,100,50,300,13000
20000,7星嗜血狼人,7,180,550,156,3054,48,341,11,0,0,0,200,0,0,0,0,0,0,160,0,0,0,0,0,0,100,0,0,0,6,1000,100,50,300,13000
20500,1星牛头人,1,200,550,100,3452,77,401,8,0,0,0,500,0,0,0,0,0,0,42,0,0,0,0,0,0,100,0,0,0,7,1000,100,50,450,15000
20500,2星牛头人,2,200,550,100,3866,86,449,9,0,0,0,500,0,0,0,0,0,0,42,0,0,0,0,0,0,100,0,0,0,7,1000,100,50,450,15000
20500,3星牛头人,3,200,550,100,4280,95,497,11,0,0,0,500,0,0,0,0,0,0,42,0,0,0,0,0,0,100,0,0,0,7,1000,100,50,450,15000
20500,4星牛头人,4,200,550,100,4694,105,545,11,0,0,0,500,0,0,0,0,0,0,42,0,0,0,0,0,0,100,0,0,0,7,1000,100,50,450,15000
20500,5星牛头人,5,200,550,100,5108,114,593,12,0,0,0,500,0,0,0,0,0,0,42,0,0,0,0,0,0,100,0,0,0,7,1000,100,50,450,15000
20500,6星牛头人,6,200,550,100,5524,123,641,14,0,0,0,500,0,0,0,0,0,0,42,0,0,0,0,0,0,100,0,0,0,7,1000,100,50,450,15000
20500,7星牛头人,7,200,550,100,5938,132,689,14,0,0,0,500,0,0,0,0,0,0,42,0,0,0,0,0,0,100,0,0,0,7,1000,100,50,450,15000
20900,1星投石车,1,100,875,63,1006,15,225,8,0,0,0,0,0,0,0,0,0,0,30,0,0,0,5,0,0,100,0,0,0,7,400,40,50,400,27000
20900,2星投石车,2,100,875,63,1126,17,252,8,0,0,0,0,0,0,0,0,0,0,30,0,0,0,5,0,0,100,0,0,0,7,400,40,50,400,27000
20900,3星投石车,3,100,875,63,1248,19,279,9,0,0,0,0,0,0,0,0,0,0,30,0,0,0,5,0,0,100,0,0,0,7,400,40,50,400,27000
20900,4星投石车,4,100,875,63,1368,20,306,11,0,0,0,0,0,0,0,0,0,0,30,0,0,0,5,0,0,100,0,0,0,7,400,40,50,400,27000
20900,5星投石车,5,100,875,63,1488,22,333,11,0,0,0,0,0,0,0,0,0,0,30,0,0,0,5,0,0,100,0,0,0,7,400,40,50,400,27000
20900,6星投石车,6,100,875,63,1610,24,360,12,0,0,0,0,0,0,0,0,0,0,30,0,0,0,5,0,0,100,0,0,0,7,400,40,50,400,27000
20900,7星投石车,7,100,875,63,1730,26,387,13,0,0,0,0,0,0,0,0,0,0,30,0,0,0,5,0,0,100,0,0,0,7,400,40,50,400,27000
30000,1星小精灵,1,100,500,111,100,0,0,0,200,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,10000
30000,2星小精灵,2,100,500,111,100,0,0,0,224,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,10000
30000,3星小精灵,3,100,500,111,100,0,0,0,248,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,10000
30000,4星小精灵,4,100,500,111,100,0,0,0,272,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,10000
30000,5星小精灵,5,100,500,111,100,0,0,0,296,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,10000
30000,6星小精灵,6,100,500,111,100,0,0,0,320,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,10000
30000,7星小精灵,7,100,500,111,100,0,0,0,344,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,10000
30100,1星精灵弓箭手,1,100,575,111,532,8,200,6,0,0,0,0,0,0,0,0,0,0,42,0,0,0,20,0,0,100,0,0,0,5,400,40,50,200,21000
30100,2星精灵弓箭手,2,100,575,111,596,9,224,7,0,0,0,0,0,0,0,0,0,0,42,0,0,0,20,0,0,100,0,0,0,5,400,40,50,200,21000
30100,3星精灵弓箭手,3,100,575,111,660,10,248,7,0,0,0,0,0,0,0,0,0,0,42,0,0,0,20,0,0,100,0,0,0,5,400,40,50,200,21000
30100,4星精灵弓箭手,4,100,575,111,724,11,272,8,0,0,0,0,0,0,0,0,0,0,42,0,0,0,20,0,0,100,0,0,0,5,400,40,50,200,21000
30100,5星精灵弓箭手,5,100,575,111,786,12,296,9,0,0,0,0,0,0,0,0,0,0,42,0,0,0,20,0,0,100,0,0,0,5,400,40,50,200,21000
30100,6星精灵弓箭手,6,100,575,111,852,13,320,10,0,0,0,0,0,0,0,0,0,0,42,0,0,0,20,0,0,100,0,0,0,5,400,40,50,200,21000
30100,7星精灵弓箭手,7,100,575,111,916,14,344,10,0,0,0,0,0,0,0,0,0,0,42,0,0,0,20,0,0,100,0,0,0,5,400,40,50,200,21000
30300,1星小鹿,1,100,650,111,554,9,0,0,113,3,0,0,0,0,500,0,0,0,20,0,0,0,0,0,0,100,0,0,0,5,120,12,50,250,21000
30300,2星小鹿,2,100,650,111,620,10,0,0,126,3,0,0,0,0,500,0,0,0,20,0,0,0,0,0,0,100,0,0,0,5,120,12,50,250,21000
30300,3星小鹿,3,100,650,111,686,11,0,0,140,4,0,0,0,0,500,0,0,0,20,0,0,0,0,0,0,100,0,0,0,5,120,12,50,250,21000
30300,4星小鹿,4,100,650,111,754,12,0,0,153,4,0,0,0,0,500,0,0,0,20,0,0,0,0,0,0,100,0,0,0,5,120,12,50,250,21000
30300,5星小鹿,5,100,650,111,820,13,0,0,167,5,0,0,0,0,500,0,0,0,20,0,0,0,0,0,0,100,0,0,0,5,120,12,50,250,21000
30300,6星小鹿,6,100,650,111,886,14,0,0,180,5,0,0,0,0,500,0,0,0,20,0,0,0,0,0,0,100,0,0,0,5,120,12,50,250,21000
30300,7星小鹿,7,100,650,111,952,15,0,0,194,5,0,0,0,0,500,0,0,0,20,0,0,0,0,0,0,100,0,0,0,5,120,12,50,250,21000
30400,1星水元素,1,100,450,84,1124,18,0,0,470,11,0,0,0,0,500,0,0,0,20,0,0,0,0,0,0,0,0,10000,4500,6,120,12,50,350,20000
30400,2星水元素,2,100,450,84,1258,20,0,0,526,12,0,0,0,0,500,0,0,0,20,0,0,0,0,0,0,0,0,10000,4500,6,120,12,50,350,20000
30400,3星水元素,3,100,450,84,1394,22,0,0,582,14,0,0,0,0,500,0,0,0,20,0,0,0,0,0,0,0,0,10000,4500,6,120,12,50,350,20000
30400,4星水元素,4,100,450,84,1528,24,0,0,640,15,0,0,0,0,500,0,0,0,20,0,0,0,0,0,0,0,0,10000,4500,6,120,12,50,350,20000
30400,5星水元素,5,100,450,84,1664,27,0,0,696,16,0,0,0,0,500,0,0,0,20,0,0,0,0,0,0,0,0,10000,4500,6,120,12,50,350,20000
30400,6星水元素,6,100,450,84,1798,29,0,0,752,18,0,0,0,0,500,0,0,0,20,0,0,0,0,0,0,0,0,10000,4500,6,120,12,50,350,20000
30400,7星水元素,7,100,450,84,1934,31,0,0,808,19,0,0,0,0,500,0,0,0,20,0,0,0,0,0,0,0,0,10000,4500,6,120,12,50,350,20000
30500,1星夜刃,1,175,700,219,1000,13,147,5,0,0,0,0,0,0,0,0,0,0,105,0,0,20,20,0,0,100,0,0,0,6,750,75,40,250,11000
30500,2星夜刃,2,175,700,219,1120,15,165,6,0,0,0,0,0,0,0,0,0,0,105,0,0,20,20,0,0,100,0,0,0,6,750,75,40,250,11000
30500,3星夜刃,3,175,700,219,1240,16,183,7,0,0,0,0,0,0,0,0,0,0,105,0,0,20,20,0,0,100,0,0,0,6,750,75,40,250,11000
30500,4星夜刃,4,175,700,219,1360,18,200,7,0,0,0,0,0,0,0,0,0,0,105,0,0,20,20,0,0,100,0,0,0,6,750,75,40,250,11000
30500,5星夜刃,5,175,700,219,1480,19,218,8,0,0,0,0,0,0,0,0,0,0,105,0,0,20,20,0,0,100,0,0,0,6,750,75,40,250,11000
30500,6星夜刃,6,175,700,219,1600,21,236,8,0,0,0,0,0,0,0,0,0,0,105,0,0,20,20,0,0,100,0,0,0,6,750,75,40,250,11000
30500,7星夜刃,7,175,700,219,1720,22,254,9,0,0,0,0,0,0,0,0,0,0,105,0,0,20,20,0,0,100,0,0,0,6,750,75,40,250,11000
30600,1星赤焰幼龙,1,200,450,125,2494,44,0,0,453,11,0,0,0,0,500,0,0,0,62,0,0,0,0,0,0,100,0,0,0,6,400,40,50,400,40000
30600,2星赤焰幼龙,2,200,450,125,2794,49,0,0,507,13,0,0,0,0,500,0,0,0,62,0,0,0,0,0,0,100,0,0,0,6,400,40,50,400,40000
30600,3星赤焰幼龙,3,200,450,125,3092,55,0,0,561,14,0,0,0,0,500,0,0,0,62,0,0,0,0,0,0,100,0,0,0,6,400,40,50,400,40000
30600,4星赤焰幼龙,4,200,450,125,3392,60,0,0,617,15,0,0,0,0,500,0,0,0,62,0,0,0,0,0,0,100,0,0,0,6,400,40,50,400,40000
30600,5星赤焰幼龙,5,200,450,125,3692,65,0,0,671,17,0,0,0,0,500,0,0,0,62,0,0,0,0,0,0,100,0,0,0,6,400,40,50,400,40000
30600,6星赤焰幼龙,6,200,450,125,3990,70,0,0,725,18,0,0,0,0,500,0,0,0,62,0,0,0,0,0,0,100,0,0,0,6,400,40,50,400,40000
30600,7星赤焰幼龙,7,200,450,125,4290,76,0,0,779,20,0,0,0,0,500,0,0,0,62,0,0,0,0,0,0,100,0,0,0,6,400,40,50,400,40000
30700,1星石头人,1,300,500,70,9102,205,676,15,0,0,0,250,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,20,1500,150,60,800,60000
30700,2星石头人,2,300,500,70,10194,230,757,17,0,0,0,250,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,20,1500,150,60,800,60000
30700,3星石头人,3,300,500,70,11286,254,838,19,0,0,0,250,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,20,1500,150,60,800,60000
30700,4星石头人,4,300,500,70,12379,279,919,20,0,0,0,250,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,20,1500,150,60,800,60000
30700,5星石头人,5,300,500,70,13470,303,1000,22,0,0,0,250,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,20,1500,150,60,800,60000
30700,6星石头人,6,300,500,70,14563,328,1082,24,0,0,0,250,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,20,1500,150,60,800,60000
30700,7星石头人,7,300,500,70,15655,353,1163,26,0,0,0,250,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,20,1500,150,60,800,60000
30800,1星海巨人,1,300,700,67,7432,124,972,29,0,0,0,250,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,11,1500,150,60,900,60000
30800,2星海巨人,2,300,700,67,8324,139,1089,32,0,0,0,250,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,11,1500,150,60,900,60000
30800,3星海巨人,3,300,700,67,9216,154,1205,36,0,0,0,250,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,11,1500,150,60,900,60000
30800,4星海巨人,4,300,700,67,10108,169,1322,39,0,0,0,250,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,11,1500,150,60,900,60000
30800,5星海巨人,5,300,700,67,10999,184,1439,43,0,0,0,250,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,11,1500,150,60,900,60000
30800,6星海巨人,6,300,700,67,11891,198,1555,46,0,0,0,250,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,11,1500,150,60,900,60000
