角色ID,角色备注,角色近战攻击范围,角色远程攻击范围,角色移动速度,角色生命值,角色生命成长值,角色物理攻击力,角色物理攻击力成长值,角色魔法攻击力,角色魔法攻击力成长值,角色物理减伤,角色物理护甲,角色物理护甲成长,角色魔法减伤,角色魔法护甲,角色魔法护甲成长,角色物理穿透,角色魔法穿透,角色攻击速度,角色吸血值,角色反弹值,角色闪避值,角色暴击值,角色暴击成长,角色暴击伤害,角色怒气上限值,角色怒气回复值,角色魔法上限值,角色魔法回复,角色质量,角色霸体值上限,角色霸体值恢复速度,角色仇恨值
301005,三星骷髅将军,150,300,166,8600,100,666,10,0,0,0,200,0,0,100,0,0,0,83,0,0,0,0,0,0,0,0,0,0,11,3000,750,50
301006,盗墓老大召唤幽灵,150,300,188,914,16,288,11,0,0,0,0,0,0,0,0,0,0,53,0,0,30,20,0.15,0,0,0,0,0,5,750,150,40
301007,天降骷髅,150,300,156,796,9,96,2,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,6,1500,750,50
301008,骷髅战士l,150,300,156,597,14,144,3,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,6,1500,750,50
301009,僵尸,150,300,111,3032,70,206,4,0,0,0,300,3,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,7,1500,750,60
301010,传送门,200,125,80,6000,10,216,5,400,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,10000,10000,50
301011,1星小鹿,100,650,135,554,9,0,0,100,3,0,0,0,0,500,0,0,0,20,0,0,0,0,0,0,100,0,10000,4500,5,120,15,50
301012,小蜘蛛卵,100,350,65,60,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,750,150,70
301013,蓝蜘蛛卵,100,350,65,60,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,750,150,70
301014,红蜘蛛卵,100,350,65,60,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,750,150,70
301015,小蜘蛛,150,350,188,1000,20,200,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1500,300,50
301016,蓝蜘蛛,150,350,125,1500,30,400,16,0,0,0,0,0,0,750,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1500,300,50
301017,红蜘蛛,150,350,125,1500,30,400,16,0,0,0,750,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1500,300,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301101,机关铁匠,200,125,100,48000,10,216,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,10000,10000,50
301102,盾妹1,160,500,125,3288,88,136,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1500,750,70
301103,盾妹2,160,500,125,3288,88,136,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1500,750,70
301104,盾妹3,160,500,125,3288,88,136,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1500,750,70
301105,石柱,200,120,80,48000,10,216,5,400,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,10000,10000,50
301107,守护骑士,260,300,166,9000,122,500,5,0,0,0,400,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,8,1000,100,50
300201,分裂小水元素lv1,100,400,84,1124,18,0,0,470,11,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,10000,4500,6,120,15,50
300202,召唤小树,150,275,67,3992,72,310,6,304,6,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,9,1000,125,70
300203,分裂火元素,125,500,125,2479,71,245,5,0,0,0,500,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,5,750,75,50
300204,召唤小精灵,100,500,111,100,0,0,0,200,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
300301,毒雾5S,150,300,0,99999,99999,206,4,0,0,1,0,0,1,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,7,1500,750,60
300302,骷髅战士—诅咒触发,150,300,156,597,14,144,3,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,6,1500,750,50
300303,骷髅战士—召唤师召唤,150,300,156,597,14,144,3,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,6,1500,750,50
300304,毒雾5S,150,300,0,99999,99999,206,4,0,0,1,0,0,1,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,7,1500,750,60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301201,传送门（第3章第1关）,200,125,0,8000,200,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10000,500,15,99999,10000,40
301202,火元素（第3章第1关）,200,500,125,3371,97,333,7,0,0,0,500,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,5,750,75,50
301203,火元素（第3章第1关）,200,500,125,3371,97,333,7,0,0,0,500,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,5,750,75,50
301204,森巨人（第3章第1关）,170,500,67,9253,208,0,0,603,14,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,11,1000,100,50
301205,海巨人（第3章第1关）,300,700,67,11891,198,1555,46,0,0,0,250,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,11,1500,150,60
301206,嗜血狼群传送门,200,125,80,2000,10,216,5,400,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,10000,10000,40
301207,嗜血狼群,180,100,350,360,8,170,4,0,0,0,0,0,0,0,0,0,0,73,0,0,20,0,0,0,0,0,0,0,5,750,150,40
301208,一滩试液,200,125,80,2000,10,216,5,400,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,10000,10000,40
301209,黑暗深渊,200,125,80,2000,10,216,5,400,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,10000,10000,40
301210,黑暗深渊己方单位死亡召唤的僵尸,150,300,111,1400,71,100,5,0,0,0,300,3,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,5,500,750,60
301211,黑暗深渊敌方单位死亡召唤的僵尸,150,300,111,1400,71,100,5,0,0,0,300,3,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,5,500,750,60
301212,嗜血之池,200,125,80,2000,10,216,5,400,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,10000,10000,40
301213,分裂红小水元素lv1,100,400,84,654,13,0,0,218,7,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,10000,4500,6,120,15,50
301214,2星水元素,100,450,84,1264,20,0,0,528,12,0,0,0,0,400,4,0,0,20,0,0,0,0,0,0,100,0,10000,4500,7,120,15,50
301215,生命之藤,150,300,0,280,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1500,750,100
301216,魔化之藤,150,300,0,280,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1500,750,100
301217,僵尸,150,300,111,1516,70,103,4,0,0,0,300,3,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,7,1500,750,60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301301,404关召唤狼人（牢笼中）,300,650,0,20000,15,320,7,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,750,150,40
301302,404关召唤牛头人（牢笼中）,300,650,0,20000,15,320,7,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,750,150,40
301303,404关召唤小鹿（牢笼中）,300,650,0,20000,15,320,7,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,750,150,40
301304,404关召唤狼人（战斗状态）,180,550,156,2416,38,270,8,0,0,0,200,0,0,0,0,0,0,160,0,0,0,0,0,0,100,0,0,0,6,1000,100,50
301305,404关召唤牛头人（战斗状态）,200,550,100,4694,105,545,11,0,0,0,500,0,0,0,0,0,0,42,0,0,0,0,0,0,100,0,0,0,7,1000,100,50
301306,404关召唤小鹿（战斗状态）,100,650,111,754,12,0,0,153,4,0,0,0,0,500,0,0,0,20,0,0,0,0,0,0,100,0,0,0,5,120,12,50
301307,404关传送门,200,125,0,1600,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,200,100,50
301308,405-406关召唤牢笼,300,650,0,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,750,150,40
301309,404关召唤牢笼,300,650,0,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,750,150,40
301310,407关BOSS召唤艾丽卡熊,200,125,100,7274,197,736,21,0,0,0,500,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,11,1500,750,70
301311,410关召唤幽灵,150,300,188,914,16,288,11,0,0,0,0,0,0,0,0,0,0,53,0,0,30,20,0.15,0,0,0,0,0,5,750,150,40
301312,415关召唤僵尸,150,300,111,1516,94,103,5,0,0,0,300,3,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,7,1500,750,60
301314,召唤雪女,300,500,111,998,15,0,0,508,16,0,0,0,0,500,0,0,0,20,0,0,0,0,0,0,0,0,10000,4500,5,120,12,50
301315,召唤巫妖,200,525,100,3920,50,0,0,1986,64,0,0,0,0,1000,0,0,0,20,0,0,0,0,0,0,0,0,10000,4500,5,120,12,50
301316,召唤吸血鬼,200,380,166,3036,41,844,24,0,0,0,0,0,0,0,0,0,0,70,25,0,20,20,0,0,0,0,0,0,6,750,75,40
301317,牢笼石柱,200,120,0,10,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,500,15,10000,10000,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301401,501关召唤投石车,100,700,84,4000,13,300,10,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,10,1500,100,50
301402,501关召唤栅栏,100,700,84,12000,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,200,100,50
301403,504关召唤小石头人,300,700,70,3000,13,738,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,200,100,50
301404,510关召唤陷阱1,300,700,70,100000,13,100,0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,2000,10,200,100,50
301405,510关召唤陷阱2,300,700,70,1,13,100,0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,2000,10,200,100,50
301406,515关传送门,200,125,80,1600,10,216,5,400,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,200,100,50
301407,515关召唤僵尸,150,300,111,3412,79,232,5,0,0,0,300,3,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,7,1500,750,60
301408,515关召唤幽灵,150,300,188,1052,15,332,10,0,0,0,0,0,0,0,0,0,0,53,0,0,25,20,0.15,0,0,0,0,0,5,750,150,40
301409,515关召唤雪女,300,500,111,844,13,0,0,430,14,0,0,0,0,350,3,0,0,20,0,0,0,0,0,0,0,0,10000,4500,5,120,15,50
301410,515关召唤屠夫,230,300,125,4054,63,738,24,0,0,0,300,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,7,1500,750,60
301411,515关召唤巫妖,200,525,100,2958,38,0,0,1498,48,0,0,0,0,500,6,0,0,20,0,0,0,0,0,0,0,0,10000,4500,5,120,15,50
301412,515关血剑召唤幽灵,175,300,188,1052,15,332,10,0,0,0,0,0,0,0,0,0,0,53,0,0,25,20,0.15,0,0,0,0,0,5,750,150,40
301413,515关血剑召唤雪女,300,500,111,844,13,0,0,430,14,0,0,0,0,350,3,0,0,20,0,0,0,0,0,0,0,0,10000,4500,5,120,15,50
301414,515关血剑召唤屠夫,230,300,125,4054,63,738,24,0,0,0,300,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,7,1500,750,60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301501,兵营1（己方：精灵弓箭手；敌方：火枪手）,100,275,1,6000,20,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,10000,10000,60
301502,兵营2（己方：夜刃；敌方：盗贼）,100,275,1,6000,20,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,10000,10000,60
301503,兵营3（己方：牛头人；敌方：维京人）,100,275,1,6000,20,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,10000,10000,60
301504,防御塔（红队）,100,880,111,10000,225,420,10,0,0,0,0,0,0,0,0,100,0,67,0,0,0,0,0,0,100,0,0,0,5,400,50,50
301506,防御塔（蓝队）,100,880,111,10000,225,420,10,0,0,0,0,0,0,0,0,100,0,67,0,0,0,0,0,0,100,0,0,0,5,400,50,50
301508,盾妹1,160,500,125,3288,88,136,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1500,750,70
301509,盾妹2,160,500,125,3288,88,136,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1500,750,70
301510,盾妹3,160,500,125,3288,88,136,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1500,750,70
301511,冰法冰块,100,350,65,10000,225,216,7,400,9,0,200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1000,400,90
301512,传送门7,200,125,80,1600,10,216,5,400,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,10000,10000,50
301513,血泉石像4（血泉）,100,275,1,6000,20,400,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,10000,10000,60
301515,二星骷髅战士（敌方）,150,300,156,597,14,144,3,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,6,1500,750,50
301516,三星骷髅将军,150,300,166,7600,100,480,10,0,0,0,200,0,0,100,0,0,0,83,0,0,0,0,0,0,0,0,0,0,10,1500,750,50
301517,骷髅战士lv1,150,300,156,597,14,144,3,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,6,1500,750,50
301519,骷髅战士lv2,150,300,156,597,14,144,3,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,6,1500,750,50
301520,二星骷髅射手,200,600,125,296,6,146,4,0,0,0,0,0,0,0,0,50,0,62,0,0,0,0,0,0,0,0,0,0,5,400,50,50
301524,boss1-骷髅长老,300,550,156,40000,319,0,0,380,9,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,5,400,80,50
301525,boss2-死亡骑士,280,700,166,60000,450,380,9,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,11,1500,300,70
301526,boss3-魔蛛,300,800,63,80000,380,0,0,530,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,999,100,50
301527,boss4-骨龙,200,600,125,90000,450,0,0,600,10,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,10000,4000,14,1000,100,50
301528,3星精灵弓箭手,100,575,111,724,11,316,10,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0.2,0,0,100,0,0,0,5,400,40,50
301529,3星矮人火枪手,100,700,84,500,11,496,12,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0.2,0,0,0,0,0,0,5,400,40,50
301530,1星夜刃,175,700,219,1360,18,266,9,0,0,0,0,0,0,0,0,0,0,105,0,0,0.3,0.2,0,0,100,0,0,0,6,750,75,40
301531,1星盗贼,150,300,250,1034,16,104,4,0,0,0,0,0,0,0,0,0,0,200,0,0,0.2,0.1,0,0,0,0,0,0,6,750,75,40
301532,1星牛头人,200,550,100,4694,105,726,15,0,0,0,500,0,0,0,0,0,0,42,0,0,0,0,0,0,100,0,0,0,7,750,75,50
301533,1星维京人,210,450,100,5734,128,312,5,0,0,0,400,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,7,750,75,50
301534,传送怪物-水人,100,450,84,1528,24,0,0,640,15,0,0,0,0,500,0,0,0,20,0,0,0,0,0,0,0,0,10000,4500,6,120,12,50
301535,传送怪物-嗜血狼人,180,550,156,2416,38,360,11,0,0,0,200,0,0,0,0,0,0,160,0,0,0,0,0,0,100,0,0,0,6,750,75,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301601,702关星死灵召唤师,200,625,0,3200,72,0,0,438,11,0,0,0,0,350,3,0,0,1,0,0,0,0,0,0,0,0,10000,1500,5,10000,10000,50
301602,702骷髅战士,150,300,156,597,14,144,3,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,6,1500,750,50
301603,702骷髅射手,200,650,125,296,6,146,4,0,0,0,0,0,0,0,0,50,0,62,0,0,0,0,0,0,0,0,0,0,5,400,50,50
301604,702关召唤僵尸,150,300,111,3412,79,232,5,0,0,0,300,3,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,7,1500,750,60
301605,702关召唤幽灵,150,300,188,1052,15,332,10,0,0,0,0,0,0,0,0,0,0,53,0,0,25,20,0.15,0,0,0,0,0,5,750,150,40
301606,702关召唤雪女,300,500,111,844,13,0,0,430,14,0,0,0,0,350,3,0,0,20,0,0,0,0,0,0,0,0,10000,4500,5,120,15,50
301607,702关召唤屠夫,230,300,125,4054,63,738,24,0,0,0,300,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,7,1500,750,60
301608,702骷髅战士,150,300,156,597,14,144,3,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,6,1500,750,50
301609,702骷髅射手,200,650,125,296,6,146,4,0,0,0,0,0,0,0,0,50,0,62,0,0,0,0,0,0,0,0,0,0,5,400,50,50
301610,703关星死灵召唤师,200,625,0,3200,72,0,0,438,11,0,0,0,0,350,3,0,0,1,0,0,0,0,0,0,0,0,10000,1500,5,10000,10000,50
301611,703关星死亡骑士,280,700,166,5812,107,390,9,0,0,0,500,6,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,11,1500,750,70
301612,703关星巫妖,200,525,100,2958,38,0,0,1498,48,0,0,0,0,500,6,0,0,20,0,0,0,0,0,0,0,0,10000,4500,5,120,15,50
301613,704蓝色石柱,200,120,0,10500,200,0,5,400,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,10000,10000,50
301614,705红色石柱,200,120,0,8000,186,0,5,400,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,10000,10000,80
301615,705号蓝石柱,200,120,0,4000,100,0,5,400,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,10000,10000,50
301616,706关蓝石柱,200,120,0,5000,125,0,5,400,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,10000,10000,50
301617,706关红石柱,200,120,0,8000,200,0,5,400,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,10000,10000,80
301618,706关蓝石柱,200,120,0,6000,150,0,5,400,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,10000,10000,50
301619,706隐秘僵尸,150,300,160,7156,134,900,60,0,0,0,342,23,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,7,1500,750,65
301620,707关火焰法阵,280,125,80,1600,10,642,28,400,9,0,0,300,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,200,100,50
301621,707关冰霜法阵,280,125,80,1600,10,642,28,400,9,0,0,300,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,200,100,50
301622,707关召唤冰墙,100,350,65,200000,225,108,7,200,9,0,200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1000,400,90
301623,709关狂风法阵,280,125,0,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,200,100,50
301624,709关龙卷风,280,350,250,200000,10,321,28,300,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,200,100,50
301625,709关BOSS召唤龙卷风,280,350,250,200000,225,300,7,300,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,200,100,50
301626,710死亡骑士,280,700,166,6458,119,432,10,0,0,0,500,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,200,100,50
301627,710传送门,200,125,80,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,10000,10000,40
301628,712冰法冰块,100,350,65,10000,225,216,7,400,9,0,200,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1000,400,90
301629,713僵尸,150,300,111,3412,79,232,5,0,0,0,300,3,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,7,1500,750,60
301630,714骷髅将军,150,300,156,518,12,124,3,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,6,1500,750,50
301631,715石像,300,700,0,40000,240,1000,27,800,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,99999,10000,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310001,骷髅兵,150,300,156,458,10,110,2,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,6,1500,750,50
310002,幽灵,150,300,188,1052,15,332,10,0,0,0,0,0,0,0,0,0,0,53,0,0,25,20,0.15,0,0,0,0,0,5,750,150,40
310003,死亡骑士,280,700,166,6458,119,432,10,0,0,0,500,6,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,11,1500,750,70
310004,三星骷髅将军,150,300,166,7600,100,480,10,0,0,0,200,0,0,100,0,0,0,83,0,0,0,0,0,0,0,0,0,0,10,1500,750,50
310005,骨龙骷髅战士,150,300,156,380,10,92,3,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,6,1500,750,50
310006,助战牧师,100,1200,125,3094,26,0,0,300,5,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,5,400,50,50
310007,二星小鹿,100,650,135,554,9,0,0,400,10,0,0,0,0,350,4,0,0,20,0,0,0,0,0,0,100,0,10000,4500,5,120,15,50
310008,五星僵尸,150,300,111,3032,70,206,4,0,0,0,300,3,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,7,1500,750,60
310009,巫妖,200,525,100,2630,34,0,0,1332,43,0,0,0,0,500,6,0,0,20,0,0,0,0,0,0,0,0,10000,4500,5,120,15,50
