序号,AI文件,状态文件
40300,40300_AIData.csv,40300_Status.csv
40400,40400_AIData.csv,40400_Status.csv
40500,40500_AIData.csv,40500_Status.csv
40501,40501_AIData.csv,40501_Status.csv
40600,40600_AIData.csv,40600_Status.csv
40700,40700_AIData.csv,40700_Status.csv
40800,40800_AIData.csv,40800_Status.csv
40900,40900_AIData.csv,40900_Status.csv
41000,41000_AIData.csv,41000_Status.csv
91500,91500_AIData.csv,91500_Status.csv
,,
100100,100100_AIData.csv,100100_Status.csv
100101,100101_AIData.csv,100101_Status.csv
100102,100102_AIData.csv,100102_Status.csv
100103,100103_AIData.csv,100103_Status.csv
100104,100104_AIData.csv,100104_Status.csv
,,
101100,101100_AIData.csv,101100_Status.csv
101200,101200_AIData.csv,101200_Status.csv
101300,101300_AIData.csv,101300_Status.csv
101400,101400_AIData.csv,101400_Status.csv
101500,101500_AIData.csv,101500_Status.csv
101600,101600_AIData.csv,101600_Status.csv
101700,101700_AIData.csv,101700_Status.csv
101800,101800_AIData.csv,101800_Status.csv
101900,101900_AIData.csv,101900_Status.csv
102000,102000_AIData.csv,102000_Status.csv
102100,102100_AIData.csv,102100_Status.csv
102200,102200_AIData.csv,102200_Status.csv
102300,102300_AIData.csv,102300_Status.csv
102400,102400_AIData.csv,102400_Status.csv
102500,102500_AIData.csv,102500_Status.csv
,,
103100,103100_AIData.csv,103100_Status.csv
103200,103200_AIData.csv,103200_Status.csv
103300,103300_AIData.csv,103300_Status.csv
103400,103400_AIData.csv,103400_Status.csv
103500,103500_AIData.csv,103500_Status.csv
103600,103600_AIData.csv,103600_Status.csv
103700,103700_AIData.csv,103700_Status.csv
103800,103800_AIData.csv,103800_Status.csv
103900,103900_AIData.csv,103900_Status.csv
104000,104000_AIData.csv,104000_Status.csv
104100,104100_AIData.csv,104100_Status.csv
104200,104200_AIData.csv,104200_Status.csv
104300,104300_AIData.csv,104300_Status.csv
104400,104400_AIData.csv,104400_Status.csv
104500,104500_AIData.csv,104500_Status.csv
,,
,,
105100,105100_AIData.csv,105100_Status.csv
105200,105200_AIData.csv,105200_Status.csv
105300,105300_AIData.csv,105300_Status.csv
105400,105400_AIData.csv,105400_Status.csv
105500,105500_AIData.csv,105500_Status.csv
105600,105600_AIData.csv,105600_Status.csv
105700,105700_AIData.csv,105700_Status.csv
105800,105800_AIData.csv,105800_Status.csv
105900,105900_AIData.csv,105900_Status.csv
106000,106000_AIData.csv,106000_Status.csv
106100,106100_AIData.csv,106100_Status.csv
106200,106200_AIData.csv,106200_Status.csv
106300,106300_AIData.csv,106300_Status.csv
106400,106400_AIData.csv,106400_Status.csv
106500,106500_AIData.csv,106500_Status.csv
,,
106900,106900_AIData.csv,106900_Status.csv
107000,107000_AIData.csv,107000_Status.csv
107100,107100_AIData.csv,107100_Status.csv
107200,107200_AIData.csv,107200_Status.csv
107300,107300_AIData.csv,107300_Status.csv
107400,107400_AIData.csv,107400_Status.csv
107500,107500_AIData.csv,107500_Status.csv
107600,107600_AIData.csv,107600_Status.csv
107700,107700_AIData.csv,107700_Status.csv
107800,107800_AIData.csv,107800_Status.csv
107900,107900_AIData.csv,107900_Status.csv
108000,108000_AIData.csv,108000_Status.csv
108100,108100_AIData.csv,108100_Status.csv
108200,108200_AIData.csv,108200_Status.csv
108300,108300_AIData.csv,108300_Status.csv
,,
108700,108700_AIData.csv,108700_Status.csv
108800,108800_AIData.csv,108800_Status.csv
108900,108900_AIData.csv,108900_Status.csv
109000,109000_AIData.csv,109000_Status.csv
109100,109100_AIData.csv,109100_Status.csv
109200,109200_AIData.csv,109200_Status.csv
109300,109300_AIData.csv,109300_Status.csv
109400,109400_AIData.csv,109400_Status.csv
109500,109500_AIData.csv,109500_Status.csv
109600,109600_AIData.csv,109600_Status.csv
109700,109700_AIData.csv,109700_Status.csv
109800,109800_AIData.csv,109800_Status.csv
109900,109900_AIData.csv,109900_Status.csv
110000,110000_AIData.csv,110000_Status.csv
110100,110100_AIData.csv,110100_Status.csv
,,
110500,110500_AIData.csv,110500_Status.csv
110600,110600_AIData.csv,110600_Status.csv
110700,110700_AIData.csv,110700_Status.csv
110800,110800_AIData.csv,110800_Status.csv
110900,110900_AIData.csv,110900_Status.csv
111000,111000_AIData.csv,111000_Status.csv
111100,111100_AIData.csv,111100_Status.csv
111200,111200_AIData.csv,111200_Status.csv
111300,111300_AIData.csv,111300_Status.csv
111400,111400_AIData.csv,111400_Status.csv
111500,111500_AIData.csv,111500_Status.csv
111600,111600_AIData.csv,111600_Status.csv
111700,111700_AIData.csv,111700_Status.csv
111800,111800_AIData.csv,111800_Status.csv
111900,111900_AIData.csv,111900_Status.csv
,,
112100,112100_AIData.csv,112100_Status.csv
112200,112200_AIData.csv,112200_Status.csv
112300,112300_AIData.csv,112300_Status.csv
112400,112400_AIData.csv,112400_Status.csv
112500,112500_AIData.csv,112500_Status.csv
112600,112600_AIData.csv,112600_Status.csv
112700,112700_AIData.csv,112700_Status.csv
112800,112800_AIData.csv,112800_Status.csv
112900,112900_AIData.csv,112900_Status.csv
113000,113000_AIData.csv,113000_Status.csv
113100,113100_AIData.csv,113100_Status.csv
113200,113200_AIData.csv,113200_Status.csv
113300,113300_AIData.csv,113300_Status.csv
113400,113400_AIData.csv,113400_Status.csv
113500,113500_AIData.csv,113500_Status.csv
,,
140000,140000_AIData.csv,140000_Status.csv
140100,140100_AIData.csv,140100_Status.csv
140200,140200_AIData.csv,140200_Status.csv
140300,140300_AIData.csv,140300_Status.csv
140400,140400_AIData.csv,140400_Status.csv
140500,140500_AIData.csv,140500_Status.csv
140600,140600_AIData.csv,140600_Status.csv
140700,140700_AIData.csv,140700_Status.csv
140800,140800_AIData.csv,140800_Status.csv
140900,140900_AIData.csv,140900_Status.csv
141000,141000_AIData.csv,141000_Status.csv
141100,141100_AIData.csv,141100_Status.csv
141200,141200_AIData.csv,141200_Status.csv
141300,141300_AIData.csv,141300_Status.csv
141400,141400_AIData.csv,141400_Status.csv
141500,141500_AIData.csv,141500_Status.csv
141600,141600_AIData.csv,141600_Status.csv
141700,141700_AIData.csv,141700_Status.csv
141800,141800_AIData.csv,141800_Status.csv
141900,141900_AIData.csv,141900_Status.csv
,,
142100,142100_AIData.csv,142100_Status.csv
142200,142200_AIData.csv,142200_Status.csv
142300,142300_AIData.csv,142300_Status.csv
142400,142400_AIData.csv,142400_Status.csv
142500,142500_AIData.csv,142500_Status.csv
142600,142600_AIData.csv,142600_Status.csv
142700,142700_AIData.csv,142700_Status.csv
143100,143100_AIData.csv,143100_Status.csv
143200,143200_AIData.csv,143200_Status.csv
143300,143300_AIData.csv,143300_Status.csv
143400,143400_AIData.csv,143400_Status.csv
143500,143500_AIData.csv,143500_Status.csv
143600,143600_AIData.csv,143600_Status.csv
,,
161000,161000_AIData.csv,161000_Status.csv
161100,161100_AIData.csv,161100_Status.csv
161200,161200_AIData.csv,161200_Status.csv
161300,161300_AIData.csv,161300_Status.csv
161400,161400_AIData.csv,161400_Status.csv
161500,161500_AIData.csv,161500_Status.csv
161600,161600_AIData.csv,161600_Status.csv
161700,161700_AIData.csv,161700_Status.csv
,,
162000,162000_AIData.csv,162000_Status.csv
162100,162100_AIData.csv,162100_Status.csv
162200,162200_AIData.csv,162200_Status.csv
162300,162300_AIData.csv,162300_Status.csv
162400,162400_AIData.csv,162400_Status.csv
162500,162500_AIData.csv,162500_Status.csv
162600,162600_AIData.csv,162600_Status.csv
162700,162700_AIData.csv,162700_Status.csv
,,
165200,165200_AIData.csv,165200_Status.csv
165400,165400_AIData.csv,165400_Status.csv
165500,165500_AIData.csv,165500_Status.csv
165600,165600_AIData.csv,165600_Status.csv
165700,165700_AIData.csv,165700_Status.csv
165800,165800_AIData.csv,165800_Status.csv
165900,165900_AIData.csv,165900_Status.csv
,,
170000,170000_AIData.csv,170000_Status.csv
170100,170100_AIData.csv,170100_Status.csv
170200,170200_AIData.csv,170200_Status.csv
170300,170300_AIData.csv,170300_Status.csv
170400,170400_AIData.csv,170400_Status.csv
170500,170500_AIData.csv,170500_Status.csv
170600,170600_AIData.csv,170600_Status.csv
,,
180000,180000_AIData.csv,180000_Status.csv
180100,180100_AIData.csv,180100_Status.csv
180200,180200_AIData.csv,180200_Status.csv
180300,180300_AIData.csv,180300_Status.csv
180400,180400_AIData.csv,180400_Status.csv
180500,180500_AIData.csv,180500_Status.csv
180600,180600_AIData.csv,180600_Status.csv
180700,180700_AIData.csv,180700_Status.csv
180800,180800_AIData.csv,180800_Status.csv
180900,180900_AIData.csv,180900_Status.csv
181000,181000_AIData.csv,181000_Status.csv
181100,181100_AIData.csv,181100_Status.csv
181200,181200_AIData.csv,181200_Status.csv
181300,181300_AIData.csv,181300_Status.csv
181400,181400_AIData.csv,181400_Status.csv
181500,181500_AIData.csv,181500_Status.csv
181600,181600_AIData.csv,181600_Status.csv
181700,181700_AIData.csv,181700_Status.csv
,,
210701,10700_AIData.csv,210700_Status.csv
221302,221302_AIData.csv,221302_Status.csv
221303,221303_AIData.csv,221303_Status.csv
230106,230106_AIData.csv,230106_Status.csv
240010,240010_AIData.csv,240010_Status.csv
240106,240106_AIData.csv,240106_Status.csv
,,
300000,300000_AIData.csv,300000_Status.csv
300001,300001_AIData.csv,300001_Status.csv
300002,300002_AIData.csv,300002_Status.csv
300003,300003_AIData.csv,300003_Status.csv
300007,300007_AIData.csv,300007_Status.csv
300008,300008_AIData.csv,300008_Status.csv
300009,300009_AIData.csv,300009_Status.csv
300011,300011_AIData.csv,300011_Status.csv
,,
300201,300201_AIData.csv,300201_Status.csv
300202,300202_AIData.csv,300202_Status.csv
300203,300203_AIData.csv,300203_Status.csv
300301,300301_AIData.csv,300301_Status.csv
300302,300302_AIData.csv,40401_Status.csv
,,
301001,301001_AIData.csv,301001_Status.csv
301003,301003_AIData.csv,301003_Status.csv
301004,301004_AIData.csv,301004_Status.csv
301005,301005_AIData.csv,301005_Status.csv
301006,301006_AIData.csv,301006_Status.csv
301007,301007_AIData.csv,301007_Status.csv
301008,301008_AIData.csv,301008_Status.csv
301009,301009_AIData.csv,301009_Status.csv
301010,301010_AIData.csv,301010_Status.csv
301011,301011_AIData.csv,301011_Status.csv
301012,301012_AIData.csv,301012_Status.csv
301013,301013_AIData.csv,301013_Status.csv
301014,301014_AIData.csv,301014_Status.csv
301015,301015_AIData.csv,301015_Status.csv
301016,301016_AIData.csv,301016_Status.csv
301017,301017_AIData.csv,301017_Status.csv
,,
301101,301101_AIData.csv,301101_Status.csv
301105,301105_AIData.csv,301105_Status.csv
301107,301107_AIData.csv,301107_Status.csv
,,
301201,301201_AIData.csv,301201_Status.csv
301202,30300_AIData.csv,30300_Status.csv
301203,20000_AIData.csv,20000_Status.csv
301204,30400_AIData.csv,301204_Status.csv
301205,30800_AIData.csv,301205_Status.csv
301206,301206_AIData.csv,301206_Status.csv
301207,21301_AIData.csv,301207_Status.csv
301208,301208_AIData.csv,301208_Status.csv
301209,301209_AIData.csv,301209_Status.csv
301210,301210_AIData.csv,301210_Status.csv
301212,301212_AIData.csv,301212_Status.csv
301213,301213_AIData.csv,301213_Status.csv
301214,301214_AIData.csv,301214_Status.csv
301215,301215_AIData.csv,301215_Status.csv
301216,301216_AIData.csv,301216_Status.csv
301217,301217_AIData.csv,301217_Status.csv
,,
301301,301301_AIData.csv,301301_Status.csv
301302,301302_AIData.csv,301302_Status.csv
301303,301303_AIData.csv,301303_Status.csv
301304,301304_AIData.csv,301304_Status.csv
301305,301305_AIData.csv,301305_Status.csv
301306,301306_AIData.csv,301306_Status.csv
301307,301307_AIData.csv,301307_Status.csv
301308,301308_AIData.csv,301308_Status.csv
301309,301309_AIData.csv,301309_Status.csv
301310,301310_AIData.csv,301310_Status.csv
301311,40300_AIData.csv,40300_Status.csv
301312,40100_AIData.csv,301312_Status.csv
301317,301317_AIData.csv,301317_Status.csv
,,
301401,301401_AIData.csv,301401_Status.csv
301402,301402_AIData.csv,301402_Status.csv
301403,301403_AIData.csv,301403_Status.csv
301404,301404_AIData.csv,301404_Status.csv
301405,301405_AIData.csv,301405_Status.csv
301406,301406_AIData.csv,301406_Status.csv
301407,40100_AIData.csv,40100_Status.csv
301408,40300_AIData.csv,40300_Status.csv
301409,40500_AIData.csv,40500_Status.csv
301410,40600_AIData.csv,40600_Status.csv
301411,40800_AIData.csv,40800_Status.csv
,,
301501,301501_AIData.csv,301501_Status.csv
301502,301502_AIData.csv,301502_Status.csv
301503,301503_AIData.csv,301503_Status.csv
301504,301504_AIData.csv,301504_Status.csv
301506,301504_AIData.csv,301504_Status.csv
301508,12000_AIData.csv,12000_Status.csv
301509,12000_AIData.csv,12000_Status.csv
301510,12000_AIData.csv,12000_Status.csv
301511,301511_AIData.csv,301511_Status.csv
301512,301512_AIData.csv,301512_Status.csv
301513,301513_AIData.csv,301513_Status.csv
301515,40000_AIData.csv,40000_Status.csv
301516,40000_AIData.csv,40000_Status.csv
301517,40000_AIData.csv,40000_Status.csv
301519,40000_AIData.csv,40000_Status.csv
301520,40200_AIData.csv,40200_Status.csv
301524,301524_AIData.csv,301524_Status.csv
301525,301525_AIData.csv,301525_Status.csv
301526,301526_AIData.csv,301526_Status.csv
301528,30100_AIData.csv,30100_Status.csv
301529,10200_AIData.csv,10200_Status.csv
301530,30500_AIData.csv,30500_Status.csv
301531,10300_AIData.csv,10300_Status.csv
301532,20500_AIData.csv,20500_Status.csv
301533,10600_AIData.csv,10600_Status.csv
301534,30400_AIData.csv,30400_Status.csv
301535,20000_AIData.csv,20000_Status.csv
,,
301601,301601_AIData.csv,301601_Status.csv
301610,301610_AIData.csv,301610_Status.csv
301613,301613_AIData.csv,301613_Status.csv
301614,301614_AIData.csv,301614_Status.csv
301615,301615_AIData.csv,301613_Status.csv
301616,301616_AIData.csv,301613_Status.csv
301617,301617_AIData.csv,301614_Status.csv
301618,301618_AIData.csv,301613_Status.csv
301619,301619_AIData.csv,301619_Status.csv
301620,301620_AIData.csv,301620_Status.csv
301621,301621_AIData.csv,301621_Status.csv
301622,301622_AIData.csv,301622_Status.csv
301623,301623_AIData.csv,301623_Status.csv
301624,301624_AIData.csv,301624_Status.csv
301625,301625_AIData.csv,301625_Status.csv
301627,301627_AIData.csv,301627_Status.csv
301628,301628_AIData.csv,301628_Status.csv
301631,301631_AIData.csv,301631_Status.csv
,,
310004,310004_AIData.csv,310004_Status.csv
310006,310006_AIData.csv,310006_Status.csv
,,
310101,310101_AIData.csv,310101_Status.csv
310102,310102_AIData.csv,310102_Status.csv
310104,310104_AIData.csv,310104_Status.csv
310105,310105_AIData.csv,310105_Status.csv
310106,40300_AIData.csv,40300_Status.csv
310109,310109_AIData.csv,310109_Status.csv
310110,310110_AIData.csv,310110_Status.csv
310111,310111_AIData.csv,310111_Status.csv
310112,310112_AIData.csv,310112_Status.csv
310113,310113_AIData.csv,310113_Status.csv
310114,310114_AIData.csv,310114_Status.csv
310115,310115_AIData.csv,310115_Status.csv
310116,310101_AIData.csv,310101_Status.csv
310117,310117_AIData.csv,310117_Status.csv
310118,310118_AIData.csv,310118_Status.csv
310119,310101_AIData.csv,310101_Status.csv
310121,310121_AIData.csv,310121_Status.csv
310129,310129_AIData.csv,310129_Status.csv
310130,301504_AIData.csv,301504_Status.csv
,,
310401,310401_AIData.csv,310401_Status.csv
310402,310402_AIData.csv,310402_Status.csv
310403,310403_AIData.csv,310403_Status.csv
310404,310404_AIData.csv,310404_Status.csv
310405,310405_AIData.csv,310405_Status.csv
,,
401001,401001_AIData.csv,401001_Status.csv
401002,401002_AIData.csv,401002_Status.csv
401003,401003_AIData.csv,401003_Status.csv
401004,401004_AIData.csv,401004_Status.csv
401005,401005_AIData.csv,401005_Status.csv
401006,401006_AIData.csv,401006_Status.csv
401007,401007_AIData.csv,401007_Status.csv
401008,401008_AIData.csv,401008_Status.csv
401009,401009_AIData.csv,401009_Status.csv
