角色ID,角色备注,角色表现,角色偏色,角色大小缩放,角色特效大小缩放值,角色子弹发射点,角色头部特效播放点,角色身上特效播放点,角色血条长度,角色状态表ID,角色AI表ID,角色技能1,角色技能2,角色技能3,角色技能4,角色技能5,角色技能6,角色技能7,角色技能8,角色技能9,角色技能10,角色技能11,角色技能12,卡片名字,卡片描述,卡片表现,卡片头像表现,种族,职业,性别,攻击方式,角色攻击距离
103400,火枪手,10200,[],1.1,0.7,[110+60],[20+170],[20+70],[3+40+140],103400,103400,103400,,,,,,,,,,,,1103401,1103402,0,h_soldierhead_10204.png,1,3,1,2,3
103500,火女,10701,[],1.1,0.8,[60+70],[0+245],[10+90],[13+0+220],103500,103500,103500,,,,,,,,,,,,1103501,1103502,0,h_soldierhead_10704.png,1,4,2,2,3
103600,骑士,11000,[],1.1,0.9,[80+40],[10+277],[20+100],[3+10+250],103600,103600,11001,102002,11000,,,,,,,,,,1103601,1103602,0,h_soldierhead_11004.png,1,1,1,1,1
103700,小鹿,30302,[],1.1,1,[50+80],[10+250],[30+45],[33+15+220],103800,103800,103807,103808,103809,,,,,,,,,,1103701,1103702,0,h_soldierhead_30304.png,3,4,2,2,3
103800,野兽女,100400,[],0.9,1,[0+60],[10+280],[10+80],[3+0+200],103900,103900,101301,101302,103900,,,,,,,,,,1103801,1103802,0,h_soldierhead_100400.png,3,1,1,1,1
103900,牧师,10900,[],1.1,0.8,[140+40],[0+257],[0+70],[3+0+230],103700,103700,10900,10901,,,,,,,,,,,1103901,1103902,0,h_soldierhead_10905.png,1,5,2,2,3
104000,老铁匠,10400,[],1.1,1,[100+180],[10+255],[0+70],[13+10+220],104000,104000,104000,104001,,,,,,,,,,,1104001,1104002,0,h_soldierhead_10404.png,1,5,1,2,3
104100,海巨人,60100,[],1,1.1,[0+125],[35+399],[40+105],[23+35+340],104100,104100,104101,104102,104103,,,,,,,,,,1104101,1104102,0,h_soldierhead_60104.png,3,1,3,1,1
104200,嗜血母牛,20502,[],1.4,1.1,[0+100],[0+280],[0+100],[23+0+320],104200,104200,104201,104202,104203,104204,,,,,,,,,1104201,1104202,0,h_soldierhead_20505.png,3,1,1,1,1
104300,屠夫,40602,[],1.1,1,[0+80],[0+270],[0+80],[3+0+235],104300,104300,40600,40601,,,,,,,,,,,1104301,1104302,0,h_soldierhead_40605.png,2,1,1,1,1
104400,死亡骑士,40702,[],1.1,1,[0+115],[30+309],[25+115],[13+30+280],104400,104400,40704,104401,104402,,,,,,,,,,1104401,1104402,0,h_soldierhead_40705.png,2,1,1,1,1
104500,约修亚,1400,[],1.1,1,[20+50],[0+235],[0+80],[3+0+200],104500,104500,1466,1403,1411,104501,104502,104503,,,,,,,1104501,1104502,0,icon_summoner_1400.png,1,1,1,2,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105100,301狼人,20002,[],1.4,0.95,[0+60],[0+180],[0+60],[3+0+300],105100,105100,105101,105302,105303,105304,105305,,,,,,,,1105301,1105302,0,h_soldierhead_20003.png,3,1,1,1,1
105300,302狼人,20002,[],1.4,0.95,[0+60],[0+180],[0+60],[3+0+300],105300,105300,105301,105302,105303,105304,105305,,,,,,,,1105301,1105302,0,h_soldierhead_20003.png,3,1,1,1,1
105400,303骑士,11002,[],1.4,1,[10+70],[0+190],[0+80],[3+0+330],105600,105600,11001,11000,105601,105602,105603,,,,,,,,1105601,1105602,0,h_soldierhead_11003.png,1,6,1,1,1
105600,304骑士,11002,[],1.4,1,[10+70],[0+190],[0+80],[3+0+330],105600,105600,11001,11000,105601,105602,105603,,,,,,,,1105601,1105602,0,h_soldierhead_11003.png,1,6,1,1,1
105700,307夜刃,30501,[],1.4,0.8,[0+50],[0+140],[0+50],[2+0+230],105700,105700,30506,30501,30505,105701,105702,105703,,,,,,,1105701,1105702,0,h_soldierhead_30504.png,3,2,2,1,1
105800,308精灵弓手,30101,[],1.4,0.8,[60+90],[0+150],[0+50],[3+0+250],105800,105800,105701,105801,105802,105803,30101,,,,,,,,1105801,1105802,0,h_soldierhead_30103.png,3,3,2,2,3
105900,309牛头人,20502,[],1.2,0.95,[0+80],[0+230],[0+80],[23+0+290],105900,105900,105701,105901,105902,105903,,,,,,,,,1105901,1105902,0,h_soldierhead_20503.png,3,6,2,1,1
106000,310僵尸,40102,[],1.4,0.9,[0+60],[0+170],[0+60],[3+0+275],106000,106000,106001,106002,106003,,,,,,,,,,1106001,1106002,0,h_soldierhead_40105.png,2,6,1,1,1
106100,311雪女,40500,[],1.4,1.2,[30+60],[0+150],[0+60],[13+0+255],106100,106100,106001,106101,106102,106103,,,,,,,,,1106101,1106102,0,h_soldierhead_40502.png,2,4,2,2,3
106200,312巫妖,40801,[],1.4,0.8,[40+70],[0+200],[0+70],[13+0+330],106200,106200,106001,106201,106202,,,,,,,,,,1106201,1106202,0,h_soldierhead_40804.png,2,4,2,2,3
106300,313红水元素,30400,[0.4+-0.2+0],1.2,1,[100+115],[0+220],[0+75],[33+0+260],106300,106300,106301,106302,106303,106304,,,,,,,,,1106301,1106302,0,h_soldierhead_30404.png,3,4,3,2,3
106400,314泉灵,100700,[],0.8,1,[0+0],[0+360],[0+150],[2+0+210],106400,106400,106301,106401,,,,,,,,,,,1106401,1106402,0,h_soldierhead_100702.png,3,4,2,1,1
106500,315树魔,106800,[],1.5,1,[0+70],[-15+170],[-20+70],[3+-30+340],106500,106500,106501,106502,106503,106504,106505,106506,,,,,,,1106501,1106502,0,h_soldierhead_106800.png,3,5,3,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106900,401二星狼人,20000,[],1.4,0.95,[0+70],[0+250],[0+70],[3+0+300],106900,106900,106901,106902,,,,,,,,,,,1106901,1106902,0,h_soldierhead_20003.png,3,1,3,1,1
107000,402三星狼人,20001,[],1.4,0.95,[0+70],[0+250],[0+70],[3+0+300],107000,107000,106901,106902,106903,106904,106908,,,,,,,,1107001,1107002,0,h_soldierhead_20004.png,3,1,3,1,1
107100,403四星狼人,20002,[],1.4,1,[0+70],[0+250],[0+70],[3+0+300],107100,107100,107101,107102,105304,105305,,,,,,,,,1107101,1107102,0,h_soldierhead_20005.png,3,1,3,1,1
107200,404三星牛头人,20500,[],1.4,1,[0+70],[0+180],[0+70],[3+0+315],107200,107200,107201,107202,107203,107204,,,,,,,,,1107201,1107202,0,h_soldierhead_20503.png,3,6,2,1,1
107300,405四星牛头人,20501,[],1.4,1,[0+70],[0+180],[0+70],[3+0+315],107300,107300,107201,107202,107203,107204,,,,,,,,,1107301,1107302,0,h_soldierhead_20504.png,3,6,2,1,1
107400,406五星牛头人,20502,[],1.4,1,[0+70],[0+180],[0+70],[3+0+315],107400,107400,107201,107202,107203,107204,,,,,,,,,1107401,1107402,0,h_soldierhead_20505.png,3,6,2,1,1
107500,407二星圣骑士,11001,[],1.3,1,[20+80],[0+190],[0+80],[3+0+280],107500,107500,107501,107502,107503,107504,107505,107506,,,,,,,1107501,1107502,0,h_soldierhead_11002.png,1,6,1,1,1
107600,408三星圣骑士,11002,[],1.3,1,[20+80],[0+190],[0+80],[3+0+280],107600,107600,107501,107502,107503,107504,107505,107506,,,,,,,1107601,1107602,0,h_soldierhead_11003.png,1,6,1,1,1
107700,409四星圣骑士,11000,[],1.3,1,[20+80],[0+190],[0+80],[3+0+280],107700,107700,107501,107502,107503,107504,107505,107506,,,,,,,1107701,1107702,0,h_soldierhead_11004.png,1,6,1,1,1
107800,410盗墓老大,100200,[],1,1,[40+100],[20+270],[10+100],[3+20+220],107800,107800,107801,107802,107803,107804,107805,107806,107807,107808,107809,,,,1107801,1107802,0,h_soldierhead_100200.png,2,1,1,1,1
107900,411盗墓老大,100200,[],1,1,[40+100],[20+270],[10+100],[3+20+220],107900,107900,107801,107802,107803,107804,107805,107806,107807,107808,107809,,,,1107901,1107902,0,h_soldierhead_100200.png,2,1,1,1,1
108000,412瘟疫使者,100800,[],1,1,[40+200],[30+427],[0+200],[3+30+370],108000,108000,108001,108002,108003,108004,108005,108006,,,,,,,1108001,1108002,0,h_soldierhead_100800.png,2,1,1,1,1
108100,413四星死骑,40701,[],1,1.2,[0+115],[20+310],[25+115],[3+20+270],108100,108100,40703,40701,40702,40704,108101,108102,,,,,,,1108101,1108102,0,h_soldierhead_40704.png,2,1,1,1,1
108200,414五星死骑,40702,[],1,1.2,[0+115],[20+310],[25+115],[13+20+270],108200,108200,40703,40701,40702,40704,108201,108203,108207,,,,,,1108201,1108202,0,h_soldierhead_40705.png,2,1,1,1,1
108300,415骨龙,108601,[],1,1,[0+130],[0+408],[0+155],[33+0+350],108300,108300,108301,108302,108303,108304,108305,108306,108307,108101,108102,,,,1108301,1108302,0,h_soldierhead_108600.png,2,4,3,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108700,501精灵弓箭手（待删除）,30100,[],1.2,0.8,[50+90],[0+170],[0+60],[2+0+220],108700,108700,108701,,,,,,,,,,,,1108701,1108702,0,h_soldierhead_30102.png,3,3,2,2,3
108800,502精灵弓箭手,30101,[],1.2,0.8,[50+90],[0+170],[0+60],[2+0+220],108800,108800,108701,,,,,,,,,,,,1108801,1108802,0,h_soldierhead_30103.png,3,3,2,2,3
108900,503精灵弓箭手,30102,[],1.2,0.8,[50+90],[0+170],[0+60],[2+0+220],108900,108900,108701,,,,,,,,,,,,1108901,1108902,0,h_soldierhead_30104.png,3,3,2,2,3
109000,504石巨人（待删除）,60001,[],1,1,[200+400],[0+377],[0+150],[3+0+330],109000,109000,109001,109002,109003,106906,109008,109009,,,,,,,1109001,1109002,0,h_soldierhead_60005.png,3,6,3,1,1
109100,505石巨人,60001,[],1,1,[200+400],[0+377],[0+150],[3+0+330],109100,109100,109001,109002,109003,106906,109008,109009,,,,,,,1109101,1109102,0,h_soldierhead_60005.png,3,6,3,1,1
109200,506石巨人,60001,[],1,1,[200+400],[0+377],[0+150],[3+0+330],109200,109200,109001,109002,109003,106906,109008,109009,,,,,,,1109201,1109202,0,h_soldierhead_60005.png,2,6,3,1,1
109300,507屠夫（待删除,40601,[],1.2,0.9,[10+70],[0+210],[0+70],[3+0+260],109300,109300,109301,109302,109303,,,,,,,,,,1109301,1109302,0,h_soldierhead_40604.png,2,1,3,1,1
109400,508屠夫（待删除,40602,[],1.2,0.9,[10+70],[0+210],[0+70],[3+0+260],109400,109400,109301,109302,109303,109304,109305,,,,,,,,1109401,1109402,0,h_soldierhead_40605.png,2,1,3,1,1
109500,509自然族青年（待删除,109500,[],1.2,0.9,[10+70],[20+210],[0+70],[3+20+260],109500,109500,109501,109502,109503,109504,109505,109506,109507,109508,109509,,,,1109501,1109502,0,h_soldierhead_109200.png,2,1,1,1,1
109600,510巫妖,40800,[],1.4,0.8,[0+90],[0+200],[0+90],[13+0+340],109600,109600,109601,109602,109611,109612,,,,,,,,,1109601,1109602,0,h_soldierhead_40803.png,2,4,2,2,3
109700,511巫妖,40801,[],1.4,0.8,[0+90],[0+200],[0+90],[13+0+340],109700,109700,109601,109602,109611,109612,,,,,,,,,1109701,1109702,0,h_soldierhead_40804.png,2,4,2,2,3
109800,512巫妖（待删除）,40802,[],1.4,0.8,[0+90],[0+200],[0+90],[13+0+340],109800,109800,109601,109602,109611,109612,,,,,,,,,1109801,1109802,0,h_soldierhead_40805.png,2,4,2,2,3
109900,513死亡骑士,40701,[],1,1.2,[20+115],[30+310],[25+115],[3+20+270],109900,109900,109901,109902,109903,109904,109905,109906,109907,109908,109909,,,,1109901,1109902,0,h_soldierhead_40704.png,2,6,1,1,1
110000,514死亡骑士,40702,[],1,1.2,[20+115],[30+310],[25+115],[3+20+270],110000,110000,109901,109902,109903,109904,109905,109906,109907,109908,109909,,,,1110001,1110002,0,h_soldierhead_40705.png,2,6,1,1,1
110100,515骷髅召唤师,40402,[],1.1,1,[50+80],[20+260],[20+80],[13+20+230],110100,110100,110101,110102,110103,110104,110105,110106,110107,110108,110109,110110,,,1110101,1110102,0,h_soldierhead_40404.png,2,4,2,2,4
110200,515骷髅召唤师,40402,[],1.1,1,[50+80],[20+260],[20+80],[13+20+230],110100,110100,110101,110102,110103,110104,110105,110106,110107,110108,110109,110110,,,1110101,1110102,0,h_soldierhead_40404.png,2,4,2,2,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110500,601二星骑士（待删除）,11000,[],1,0.9,[80+40],[10+282],[20+100],[3+10+230],110500,110500,110502,110503,110504,,,,,,,,,,1110501,1110502,0,h_soldierhead_11002.png,1,1,1,1,1
110600,602四星骑士,11002,[],1,0.9,[80+40],[10+282],[20+100],[3+10+230],110600,110600,110502,110503,110504,110601,,,,,,,,,1110601,1110602,0,h_soldierhead_11004.png,1,1,1,1,1
110700,603罗迪亚克,1600,[],1.1,1,[100+90],[0+240],[0+90],[3+0+205],110700,110700,110702,110703,110704,110701,,,,,,,,,1110701,1110702,0,icon_summoner_1600.png,1,1,1,1,1
110800,604高阶牧师（待删除）,10900,[],1.2,0.8,[140+40],[0+235],[0+70],[3+0+230],110800,110800,110801,110802,,,,,,,,,,,1110801,1110802,0,h_soldierhead_10903.png,1,5,2,2,3
110900,605高阶大牧师,10902,[],1.2,0.8,[140+40],[0+235],[0+70],[3+0+230],110900,110900,110801,110802,110901,,,,,,,,,,1110901,1110902,0,h_soldierhead_10904.png,1,5,2,2,3
111000,606火枪手,10202,[],1.1,0.7,[110+60],[20+173],[20+70],[3+20+140],111000,111000,111001,111002,110801,,,,,,,,,,1111001,1111002,0,h_soldierhead_10204.png,1,3,1,2,3
111100,607 4星魔剑士,10501,[],1.1,0.8,[0+70],[0+238],[10+90],[3+0+210],111100,111100,111101,111102,111103,111104,111105,,,,,,,,1111101,1111102,0,h_soldierhead_10504.png,1,1,2,1,1
111200,608 5星魔剑士,10502,[],1.1,0.8,[0+70],[0+238],[10+90],[3+0+210],111200,111200,111101,111102,111103,111104,111105,,,,,,,,1111201,1111202,0,h_soldierhead_10505.png,1,1,2,1,1
111300,609骑士,11002,[],1.1,0.9,[80+40],[10+277],[20+100],[3+10+250],111300,111300,111301,110503,110504,,,,,,,,,,1111301,1111302,0,h_soldierhead_11004.png,1,1,2,1,1
111400,610狂暴泉灵（待删除）,100700,[],0.8,1,[0+0],[10+325],[10+90],[3+0+210],111400,111400,111401,,,,,,,,,,,,1111401,1111402,,h_soldierhead_100702.png,3,4,2,1,1
111500,611黑化大长老,100900,[],1,1,[40+80],[0+257],[0+80],[3+-5+200],111500,111500,111601,111602,111604,111604,,,,,,,,,1111501,1111502,,h_soldierhead_100900.png,3,4,2,2,4
111600,612黑化大长老,100900,[],1,1,[40+80],[0+257],[0+80],[3+-5+200],111600,111600,111601,111602,111603,111604,111610,111613,111614,111615,111616,111617,,,1111601,1111602,,h_soldierhead_100900.png,3,4,2,2,4
111700,613骷髅长老,40402,[],1,1,[80+80],[20+277],[20+80],[13+20+220],111700,111700,111701,111702,111705,,,,,,,,,,1111701,1111702,0,h_soldierhead_40404.png,2,4,1,2,3
111800,615尤达米尔,101100,[],1.1,1,[100+90],[0+280],[0+90],[3+0+250],111900,111900,111901,111902,111903,111904,111905,,,,,,,,1111901,1111902,0,h_soldierhead_101100.png,2,1,1,2,4
111900,615尤达米尔,101100,[],1.1,1,[100+90],[0+280],[0+90],[3+0+250],111900,111900,111901,111902,111903,111904,111905,,,,,,,,1111901,1111902,0,h_soldierhead_101100.png,2,1,1,2,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112100,701狼人,20002,[],1.3,0.9,[0+100],[10+262],[0+100],[3+10+280],112100,112100,112101,112102,,,,,,,,,,,1112101,1112102,0,h_soldierhead_20005.png,3,1,3,1,1
112200,702海巨人,60101,[],1,1.1,[0+125],[35+399],[40+105],[23+35+340],112200,112200,112210,112201,112209,112202,,,,,,,,,1112201,1112202,0,h_soldierhead_60104.png,3,1,3,1,1
112300,703掘墓人,100200,[],1.2,1,[50+90],[0+265],[0+90],[3+0+260],112300,112300,112301,112302,112309,112312,,,,,,,,,1112301,1112302,0,h_soldierhead_100200.png,2,1,1,1,1
112400,704瘟疫之源,100800,[],1,1,[40+100],[30+427],[0+200],[3+30+370],112400,112400,112401,112402,112601,,,,,,,,,,1112401,1112402,0,h_soldierhead_100800.png,2,1,1,1,1
112500,705瘟疫之源,100800,[],1,1,[40+100],[30+427],[0+200],[3+30+370],112500,112500,112401,112402,112601,,,,,,,,,,1112501,1112502,0,h_soldierhead_100800.png,2,1,1,1,1
112600,706瘟疫之源,100800,[],1,1,[40+100],[30+427],[0+200],[3+30+370],112600,112600,112401,112402,112601,112602,,,,,,,,,1112601,1112602,0,h_soldierhead_100800.png,2,1,1,1,1
112700,707火女,10702,[],1,0.7,[60+100],[0+285],[10+125],[13+0+240],112700,112700,10701,10702,,,,,,,,,,,1112701,1112702,0,h_soldierhead_10705.png,1,4,2,2,3
112800,708水元素,30401,[],1,0.7,[60+100],[0+285],[10+125],[13+0+240],112800,112800,30401,30404,,,,,,,,,,,1112801,1112802,0,h_soldierhead_30405.png,1,4,2,2,3
112900,709复仇女神,100600,[],2,0.5,[25+60],[0+154],[0+60],[13+0+260],112900,112900,112906,112907,,,,,,,,,,,1112901,1112902,0,h_soldierhead_100600.png,1,1,2,1,1
113000,710尤达米尔一阶段,101100,[],1.1,1,[100+90],[0+280],[0+90],[3+0+250],113000,113000,113001,113002,113003,113004,113005,113006,,,,,,,1113001,1113002,0,h_soldierhead_101100.png,2,1,1,2,4
113100,711尤达米尔二阶段,101100,[],1.1,1,[100+90],[0+280],[0+90],[3+0+250],113100,113100,113101,113102,113103,113104,,,,,,,,,1113101,1113102,0,h_soldierhead_101100.png,2,1,1,2,4
113200,712尤达米尔三阶段,101100,[],1.1,1,[100+90],[0+280],[0+90],[3+0+250],113200,113200,113201,113202,113203,113204,113205,113206,,,,,,,1113201,1113202,0,h_soldierhead_101100.png,2,1,1,2,4
113300,713神像,100300,[],1,1,[130+200],[0+416],[0+180],[3+0+360],113300,113300,113301,113302,,,,,,,,,,,1113301,1113302,0,h_soldierhead_100300.png,4,5,3,1,1
113400,714深色神像,100300,[0.38+0+0],1,1,[130+200],[0+416],[0+180],[3+0+360],113400,113400,113401,113402,,,,,,,,,,,1113401,1113402,0,h_soldierhead_100300.png,4,5,3,1,1
113500,715时光女神分身,101000,[],1.2,0.7,[25+60],[0+267],[0+60],[13+0+270],113500,113500,113505,113506,113507,113508,,,,,,,,,1113501,1113502,0,h_soldierhead_101000.png,1,1,2,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140000,爬塔第一层小鹿,30302,[],1.2,1,[50+80],[10+235],[30+45],[3+15+220],140000,140000,140000,,,,,,,,,,,,1120101,,0,h_soldierhead_30302.png,3,4,2,2,3
140100,爬塔第二层约修亚,1400,[],1,1,[20+50],[0+257],[0+80],[3+0+200],140100,140100,1466,1403,1404,1405,1411,140101,140102,140103,,,,,1120102,,summoner_1400.png,icon_summoner_1400.png,1,4,1,2,4
140200,爬塔第三层死神,100001,[],1,1,[50+60],[0+267],[0+60],[3+0+210],140200,140200,140201,140202,140203,140204,140205,140206,,,,,,,1120103,,0,h_soldierhead_100002.png,2,4,3,1,1
140300,爬塔第四层莱奥,1500,[],1,1,[-10+70],[30+247],[30+70],[3+30+190],140300,140300,1566,1505,1506,1508,1509,1510,1502,1503,1511,140301,140302,140303,1120104,,summoner_1500.png,icon_summoner_1500.png,1,1,1,2,4
140400,爬塔第五层罗迪亚克,1600,[],1,1,[15+90],[5+267],[15+90],[3+10+210],140400,140400,1666,1604,140401,140402,140403,,,,,,,,1120105,,summoner_1600.png,icon_summoner_1600.png,1,5,1,2,4
140500,爬塔第六层艾丽卡,1300,[],1,1,[80+60],[0+263],[0+80],[3+-5+205],140500,140500,1366,1303,1304,1305,1300,140501,140502,140503,,,,,1120106,,summoner_1300.png,icon_summoner_1300.png,3,5,2,2,4
140600,爬塔第七层刺客,1201,[],1,1,[80+60],[0+258],[0+80],[3+0+200],140600,140600,1266,1204,1205,1206,1207,1208,1200,140602,140603,,,,1120107,,summoner_1200.png,icon_summoner_1200.png,3,2,2,2,4
140700,爬塔第八层火法,1000,[],1,1,[100+80],[5+260],[0+80],[3+5+220],140700,140700,1066,1000,1005,140701,140702,140703,140704,,,,,,1120108,,summoner_1000.png,icon_summoner_1000.png,1,4,1,2,4
140800,爬塔第九层冰法,1101,[],1,1,[40+80],[0+250],[0+80],[3+-5+210],140800,140800,1166,1104,1105,1106,1107,1100,140800,140801,140802,,,,1120109,,summoner_1100.png,icon_summoner_1100.png,1,4,2,2,4
140900,爬塔第十层复仇女神,100600,[],2,0.5,[25+60],[0+74],[0+60],[13+0+260],140900,140900,112906,112907,140900,140901,140902,,,,,,,,1120110,,0,h_soldierhead_100600.png,1,1,2,1,1
141000,爬塔第十一层野兽女,100400,[],0.9,1,[0+60],[10+280],[10+80],[3+9+200],141000,141000,101301,101302,101303,141001,141002,141003,,,,,,,1120111,,0,h_soldierhead_100400.png,3,1,1,1,1
141100,爬塔第十三层大将军,110400,[],1,1,[110+190],[0+375],[20+160],[3+0+320],141100,141100,162501,162502,162503,162504,162505,141101,141102,141103,141104,,,,1120112,,summoner_1400.png,h_soldierhead_110400.png,1,4,1,2,4
