角色id,备注,展示界面大小缩放值,展示界面XY偏移量,城镇展示界面大小缩放值,城镇展示界面点位顺序值（越小越小）
102000,骷髅召唤师2,1,[0+0],0.65,0
,,,,,
102100,骷髅长老,1,[0+0],0.65,0
,,,,,
102200,掘墓人,1,[0+0],0.65,0
,,,,,
102300,公会骑士,1,[0+0],0.65,0
,,,,,
102400,公会骑士,1,[0+0],0.65,0
,,,,,
102500,罗迪亚克,1,[0+0],0.65,0
,,,,,
102600,赏金盗贼,1,[0+0],0.65,0
,,,,,
102700,掘墓爆破手,1,[0+0],0.65,0
,,,,,
102800,蛛魔斯派克,1,[0+0],0.65,0
,,,,,
103100,影舞者,1,[0+0],0.65,0
,,,,,
103200,影舞者2号,1,[0+0],0.65,0
,,,,,
103300,影,1,[0+0],0.65,0
,,,,,
103400,盗贼,1,[0+0],0.65,0
,,,,,
103500,盗贼2号,1,[0+0],0.65,0
,,,,,
103600,刺客少女,1,[0+0],0.65,0
,,,,,
103700,三星骑士,1,[0+0],0.65,0
,,,,,
103800,三星骑士,1,[0+0],0.65,0
,,,,,
103900,四星骑士,1,[0+0],0.65,0
,,,,,
104000,水人,1,[0+0],0.65,0
,,,,,
104100,雪女,1,[0+0],0.65,0
,,,,,
104200,老铁匠,1,[0+0],0.65,0
,,,,,
104300,大傻鹿,1,[0+0],0.65,0
,,,,,
104400,巫妖,1,[0+0],0.65,0
,,,,,
104500,1星海巨人,1,[0+0],0.65,0
,,,,,
104600,屠夫,1,[0+0],0.65,0
,,,,,
104700,死亡骑士,1,[0+0],0.65,0
,,,,,
104800,约修亚,1,[0+0],0.65,0
,,,,,
142100,熊怪（金币）,0.6,[0+0],0.65,0
,,,,,
142200,死神（金币）,1.2,[0+0],0.65,0
,,,,,
142300,神像（金币）,0.7,[0+-10],0.65,0
,,,,,
142400,掘墓人（金币）,1,[0+0],0.65,0
,,,,,
142500,树人（金币）,1,[0+0],0.65,0
,,,,,
142600,击飞（金币）,1,[0+0],0.65,0
,,,,,
142700,笨熊（金币）,1,[0+0],0.65,0
,,,,,
150000,蜘蛛女皇,1,[0+0],0.65,0
,,,,,
150100,火法,1,[0+0],0.65,0
,,,,,
150200,死神1,1,[0+0],0.65,0
,,,,,
150300,死神2,1,[0+0],0.65,0
,,,,,
150400,死神3,1,[0+0],0.65,0
,,,,,
160000,大树,1,[0+0],0.65,0
160001,大树,1,[0+0],0.65,
160002,大树,1,[0+0],0.65,0
,,,,,
160100,石头,1,[0+0],0.65,0
160101,石头,1,[0+0],0.65,
,,,,,0
160200,野猪,1,[0+0],0.65,
160201,野猪,1,[0+0],0.65,0
160202,野猪,1,[0+0],0.65,
,,,,,0
160300,小偷,1,[0+0],0.65,
160301,小偷,1,[0+0],0.65,0
,,,,,
160400,强盗,1,[0+0],0.65,0
160401,强盗,1,[0+0],0.65,
,,,,,0
300200,召唤幽灵1,1,[0+0],0.65,
,,,,,0
301003,火龙,1,[0+0],0.65,
,,,,,0
301102,巨冰,1,[0+0],0.65,
,,,,,0
301201,刺客分身,1,[0+0],0.65,
,,,,,0
301300,传送门,1,[0+0],0.65,
301301,小精灵(小水人目前),1,[0+0],0.65,0
301302,四星水元素,1,[0+0],0.65,
301303,四星大树,1,[0+0],0.65,0
301304,艾丽卡熊,1,[0+0],0.65,
301305,艾丽卡熊前身,1,[0+0],0.65,0
,,,,,
301501,陷阱,1,[0+0],0.65,0
301502,子陷阱,1,[0+0],0.65,
,,,,,0
321400,小蜘蛛卵,1,[0+0],0.65,
321500,蓝蜘蛛卵,1,[0+0],0.65,0
321600,红蜘蛛卵,1,[0+0],0.65,
321700,小蜘蛛,1,[0+0],0.65,0
321800,蓝蜘蛛,1,[0+0],0.65,
321900,红蜘蛛,1,[0+0],0.65,0
,,,,,
330401,分裂小水元素Lv1,1,[0+0],0.65,0
330402,分裂小水元素Lv2,1,[0+0],0.65,
330403,分裂小水元素Lv3,1,[0+0],0.65,0
330404,分裂小水元素Lv4,1,[0+0],0.65,
330405,分裂小水元素Lv5,1,[0+0],0.65,0
330406,天赋继承三星小水元素lv1,1,[0+0],0.65,
330407,天赋继承三星小水元素lv2,1,[0+0],0.65,0
330408,天赋继承三星小水元素lv3,1,[0+0],0.65,
330409,天赋继承三星小水元素lv4,1,[0+0],0.65,0
330410,天赋继承三星小水元素lv5,1,[0+0],0.65,
330411,极寒爆发五星小水元素lv1,1,[0+0],0.65,0
330412,极寒爆发五星小水元素lv2,1,[0+0],0.65,
330413,极寒爆发五星小水元素lv3,1,[0+0],0.65,0
330414,极寒爆发五星小水元素lv4,1,[0+0],0.65,
330415,极寒爆发五星小水元素lv5,1,[0+0],0.65,0
,,,,,
340105,僵尸,1,[0+0],0.65,0
,,,,,
360200,红色石像,1,[0+0],0.65,0
360300,蓝色石像,1,[0+0],0.65,
,,,,,0
450100,召唤女神,1,[0+0],0.65,
,,,,,0
450201,传送门1,1,[0+0],0.65,
450202,传送门2,1,[0+0],0.65,0
450203,传送门3,1,[0+0],0.65,
450204,传送门4,1,[0+0],0.65,0
450205,传送门5,1,[0+0],0.65,
450206,传送门6,1,[0+0],0.65,0
,,,,,
460001,召唤小树,1,[0+0],0.65,0
460002,召唤小树,1,[0+0],0.65,
,,,,,0
460101,召唤石头,1,[0+0],0.65,
,,,,,0
134501,传送门1,1,[0+0],0.65,
134502,传送门2,1,[0+0],0.65,0
134503,传送门3,1,[0+0],0.65,
134504,传送门4,1,[0+0],0.65,0
134505,传送门5,1,[0+0],0.65,
134506,传送门6,1,[0+0],0.65,0
,,,,,
161700,瘟疫之源(公会),1,[0+0],1,0
,,,,,
162700,尤达米尔(公会),1.6,[0+0],1,0
,,,,,
165900,骷髅王（公会）,1.2,[0+0],1,0
