角色ID,角色备注,角色近战攻击范围,角色远程攻击范围,角色移动速度,角色生命值,角色生命成长值,角色物理攻击力,角色物理攻击力成长值,角色魔法攻击力,角色魔法攻击力成长值,角色物理减伤,角色物理护甲,角色物理护甲成长,角色魔法减伤,角色魔法护甲,角色魔法护甲成长,角色物理穿透,角色魔法穿透,角色攻击速度,角色吸血值,角色反弹值,角色闪避值,角色暴击值,角色暴击成长,角色暴击伤害,角色怒气上限值,角色怒气回复值,角色魔法上限值,角色魔法回复,角色质量,角色霸体值上限,角色霸体值恢复速度,角色仇恨值
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103100,影舞者,180,300,235,18000,400,360,10,0,0,0,0,0,0,0,0,0,0,150,0,0,20,20,0,0,0,0,0,0,6,750,150,40
103200,影,180,300,250,19000,400,760,20,0,0,0,0,0,0,0,0,0,0,167,0,0,50,50,0,0,0,0,0,0,6,750,150,40
103300,刺客大师,180,300,250,20000,450,126,3,0,0,0,0,0,0,0,0,0,0,150,0,0,50,50,0,0,0,0,0,0,6,750,150,40
103400,火枪手,100,1900,84,18000,405,600,11,0,0,0,0,0,0,0,0,100,0,30,0,0,0,0,0,0,0,0,0,0,15,1500,300,50
103500,火女,100,800,100,20000,450,0,0,1000,35,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,10000,4500,15,500,300,50
103600,骑士,250,300,166,20000,460,520,10,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,15,1500,300,70
103700,小鹿,100,1900,0,18000,400,0,0,280,10,0,0,0,0,350,4,0,0,20,0,0,0,0,0,0,100,0,10000,4500,5,120,15,50
103800,野兽女,250,700,150,19000,400,490,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,999,100,50
103900,牧师,100,1000,0,20000,420,0,0,360,10,0,0,0,0,0,5,0,0,65,0,0,0,0,0,0,0,0,0,0,99,999,100,50
104000,老铁匠,100,450,111,20000,430,0,0,240,4,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,5,400,80,50
104100,海巨人,300,700,70,23000,450,800,20,0,0,0,600,0,0,0,0,0,0,35,0,0,0,0,0,0,100,0,0,0,15,1500,600,60
104200,嗜血母牛,300,900,125,23000,400,300,10,400,10,0,200,0,0,0,0,0,0,20,0,0,0,0,0,0,100,0,10000,4500,7,1500,150,50
104300,屠夫,230,300,125,22000,450,736,16,0,0,0,0,0,0,0,0,0,0,83,30,0,0,0,0,0,0,0,0,0,7,1500,300,60
104400,死亡骑士,280,700,166,22000,450,380,9,0,0,0,0,0,0,0,0,0,0,71,20,0,0,0,0,0,0,0,0,0,11,1500,300,70
104500,约修亚,100,650,70,24000,450,0,0,420,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105100,301三星狼人,250,550,156,19500,487,526,13,0,0,0,0,0,0,0,0,0,0,125,25,0,0,0,0,0,100,0,0,0,6,1500,300,50
105300,302三星狼人,250,550,156,19500,487,526,13,0,0,0,0,0,0,0,0,0,0,125,25,0,0,0,0,0,100,0,0,0,6,1500,300,50
105400,303四星骑士,250,300,166,22000,550,480,12,0,0,0,350,4,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,11,1500,750,70
105600,304四星骑士,250,300,166,22000,550,480,12,0,0,0,350,4,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,11,1500,750,70
105700,307三星夜刃,170,300,219,20000,500,200,5,0,0,0,0,0,0,0,0,0,0,105,0,0,10,30,0.3,0,100,0,0,0,6,1500,150,40
105800,308三星精灵弓手,500,1000,111,20000,500,350,8,0,0,0,0,0,0,0,0,100,0,67,0,0,0,0,0,0,100,0,0,0,5,1500,50,50
105900,309五星牛头人,200,550,100,20000,500,712,17,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,100,0,0,0,11,1500,750,60
106000,310五星僵尸,150,300,111,20000,500,360,9,0,0,0,1000,3,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,7,1500,750,60
106100,311二星雪女,300,500,111,20000,500,0,0,516,12,0,0,0,0,350,3,0,0,20,0,0,0,0,0,0,0,0,10000,4500,5,1000,200,50
106200,312四星巫妖,200,300,100,19500,487,0,0,415,10,0,0,0,0,500,6,0,0,20,0,0,0,0,0,0,0,0,10000,2000,5,1000,200,30
106300,313红水元素,100,450,84,20000,500,0,0,570,14,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,100,0,10000,2000,7,500,50,50
106400,314泉灵,100,475,0,20000,500,0,0,396,9,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,99,1500,100,50
106500,315树魔,350,375,67,20000,500,618,15,428,10,0,0,0,0,0,0,0,0,50,66,0,0,0,0,0,100,0,0,0,15,30000,300,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106900,401狼人,250,600,125,20000,500,526,13,394,9,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,14,1500,100,50
107000,402狼人,250,600,125,20000,500,526,13,394,9,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,14,1500,100,50
107100,402狼人,250,600,125,20000,500,526,13,394,9,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,14,1500,100,50
107200,404二星水人,300,600,125,22000,550,340,8,394,9,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,100,0,10000,4500,7,1500,150,50
107300,405二星水人,300,600,125,22000,550,340,8,394,9,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,100,0,10000,4500,7,1500,150,50
107400,406三星牛头人,300,600,125,21000,525,575,14,,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,100,0,10000,4500,7,1500,150,50
107500,407圣骑士,300,625,125,22000,550,360,9,394,9,0,0,0,0,0,0,0,0,62,0,0,30,0,0,0,0,0,0,0,14,1500,200,50
107600,408圣骑士,300,625,125,22000,550,360,9,394,9,0,0,0,0,0,0,0,0,62,0,0,30,0,0,0,0,0,0,0,14,1500,200,50
107700,409圣骑士,300,625,125,22000,550,360,9,394,9,0,0,0,0,0,0,0,0,62,0,0,30,0,0,0,0,0,0,0,14,1500,200,50
107800,410盗墓老大,300,700,50,22000,550,380,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,1500,200,50
107900,411盗墓老大,300,700,50,22000,550,380,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,1500,200,50
108000,412盗墓老大,300,700,50,22000,550,500,12,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,12,1500,200,50
108100,413死亡骑士,280,700,166,22000,550,400,10,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,11,2000,300,70
108200,414死亡骑士,280,700,166,25000,625,400,10,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,10000,500,11,2000,2000,70
108300,415骨龙,200,600,125,22000,550,0,0,775,19,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,10000,2000,14,2500,350,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108700,501精灵弓箭手,200,625,125,20000,450,394,10,394,10,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,14,1000,100,50
108800,502精灵弓箭手,200,625,125,20000,450,394,10,394,10,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,14,1000,100,50
108900,503精灵弓箭手,200,625,125,20000,450,394,10,394,10,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,14,1000,100,50
109000,504石巨人,400,600,125,20000,450,600,10,0,10,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,14,3500,300,50
109100,505石巨人,400,600,125,20000,450,600,10,0,10,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,14,3500,300,50
109200,506石巨人,400,600,125,20000,450,600,10,0,10,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,14,3500,300,50
109300,507屠夫,300,600,125,20000,450,600,10,394,10,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,14,2500,250,50
109400,508屠夫,300,600,125,20000,450,600,10,394,10,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,14,2500,250,50
109500,509自然族青年,250,600,125,30000,450,1000,10,394,10,0,0,0,0,0,0,0,0,62,30,0,0,0,0,0,0,0,0,0,14,2500,250,50
109600,510巫妖,300,625,125,20000,450,394,10,600,10,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,10000,2500,14,1000,200,50
109700,511巫妖,300,625,125,20000,450,394,10,600,10,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,10000,2500,14,1000,200,50
109800,512巫妖,300,625,125,20000,450,394,10,600,10,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,10000,2500,14,1000,200,50
109900,513死亡骑士,280,700,166,36000,450,400,11,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,11,3500,400,70
110000,514死亡骑士,280,700,166,36000,450,400,11,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,11,3500,400,70
110100,515骷髅召唤师,280,700,166,36000,450,0,0,600,10,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,11,3000,400,70
110200,515骷髅召唤师,280,700,166,36000,450,0,0,800,10,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,11,3000,400,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110500,601四星骑士,250,300,166,20000,450,344,8,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,11,1500,300,70
110600,602四星骑士,250,300,166,20000,450,344,8,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,11,1500,300,70
110700,603罗迪亚克,250,300,166,22000,320,344,8,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,11,1500,300,70
110800,604高阶牧师,100,475,0,20000,415,0,0,196,3,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,99,999,100,50
110900,605高阶大牧师,100,475,0,20000,415,0,0,196,3,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,99,999,100,50
111000,606火枪手,100,1900,84,20000,400,560,10,0,0,0,0,0,0,0,0,100,0,30,0,0,0,0,0,0,0,0,0,0,15,1500,300,50
111100,607四星魔剑士,250,300,156,26000,450,1000,23,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,6,1500,300,50
111200,608五星魔剑士,250,300,156,28000,450,1000,23,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,6,1500,300,50
111300,609骑士,250,300,166,30000,450,600,12,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,15,1500,300,70
111400,610狂暴泉灵,100,475,0,30000,415,0,0,196,3,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,99,999,100,50
111500,611黑化大长老,100,650,70,24000,450,0,0,400,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
111600,612黑化大长老,100,650,70,30000,450,0,0,400,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
111700,613骷髅长老,300,550,80,20000,319,0,0,440,9,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,5,400,80,50
111800,615尤达米尔,250,900,166,40000,900,360,10,800,15,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,11,1500,300,70
111900,615尤达米尔,250,900,166,40000,900,360,10,800,15,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,11,1500,300,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112100,701狼人,250,600,130,20000,450,440,10,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,14,1500,100,50
112200,702海巨人,300,700,67,40000,450,1040,26,0,0,0,600,0,0,0,0,0,0,35,0,0,0,0,0,0,100,0,0,0,15,1500,600,60
112300,703掘墓人,260,700,125,40000,360,660,10,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,11,1500,300,50
112400,704瘟疫之源,300,700,0,22000,550,615,15,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,12,1500,500,50
112500,705瘟疫之源,300,700,0,22000,550,615,15,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,12,1500,500,50
112600,706瘟疫之源,300,700,0,22000,550,615,15,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,12,1500,500,50
112700,707火女,300,500,100,46000,14,0,0,700,35,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,10000,2500,14,1000,200,50
112800,708水元素,300,500,100,50000,14,0,0,700,35,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,10000,2500,14,1000,200,50
112900,709复仇女神,180,700,166,54000,40,600,11,0,0,0,2000,15,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,11,5000,500,70
113000,710尤达米尔,250,900,166,40000,900,360,10,800,15,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,11,1500,300,70
113100,711尤达米尔,250,900,166,40000,900,360,10,800,15,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,11,1500,300,70
113200,712尤达米尔,250,900,166,40000,900,360,10,800,15,0,0,0,0,0,0,0,0,62,0,0,0,100,100,0,0,0,0,0,11,1500,300,70
113300,713神像,300,700,0,50000,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,99999,10000,70
113400,714深色神像,300,700,0,40000,0,1000,27,800,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,99999,10000,70
113500,715时光女神,180,1000,166,54000,1215,0,0,600,11,0,2000,15,0,0,0,0,0,71,0,0,0,100,0,0,0,0,0,0,11,5000,500,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140000,爬塔第一层小鹿,100,550,0,10000,450,0,0,100,6,0,0,0,0,0,0,0,100,55,0,0,0,0,0,0,0,0,0,0,99,999,100,50
140100,爬塔第二层约修亚,300,100,70,10000,450,0,0,200,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
140200,爬塔第三层死神,200,1500,50,10000,450,0,0,200,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,1000,400,50
140300,爬塔第四层莱奥,230,100,150,10000,450,200,9,0,0,0,0,0,0,0,0,100,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
140400,爬塔第五层罗迪亚克,300,100,70,10000,450,200,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
140500,爬塔第六层艾丽卡,300,100,70,10000,450,0,0,200,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
140600,爬塔第七层刺客,300,100,70,10000,450,200,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
140700,爬塔第八层火法,100,550,70,10000,450,0,0,200,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
140800,爬塔第九层冰法,100,550,70,10000,450,0,0,200,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
140900,爬塔第十层复仇女神,300,700,166,10000,450,300,11,0,0,0,2000,15,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,11,5000,500,70
141000,爬塔第十一层野兽女,300,700,0,10000,450,300,11,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,99,999,100,50
141100,爬塔第十三层大将军,500,1600,70,10000,450,300,11,200,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
141200,爬塔第十四层尤达米尔,200,1500,50,10000,451,0,0,200,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,1000,400,50
141300,爬塔第十五层时光女神,230,100,150,10000,452,300,11,200,9,0,0,0,0,0,0,100,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
141400,爬塔第十六层艾丽卡,300,100,70,10000,453,200,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
141500,爬塔第十七层罗迪亚克,300,100,70,10000,454,0,0,200,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
141600,爬塔第十七刺客,300,100,70,10000,455,200,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
141700,爬塔第十八冰女,100,550,70,10000,456,0,0,200,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
141800,爬塔第十九火法,100,550,70,10000,457,0,0,200,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1000,400,50
141900,爬塔第二十莱奥,180,700,166,10000,458,300,11,0,0,0,2000,15,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,11,5000,500,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142100,熊怪（金币）,300,700,0,99999999,0,400,7,0,0,0.1,2000,0,0.1,2000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,99999,10000,70
142200,死神（金币）,300,700,0,99999999,0,0,0,130,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,99999,10000,50
142300,神像（金币）,300,700,0,99999999,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,99999,10000,70
142400,掘墓人（金币）,300,700,0,99999999,0,320,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,99999,10000,50
142500,树人（金币）,200,700,0,99999999,0,400,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,99999,10000,70
142600,击飞（金币）,300,700,0,99999999,0,360,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,99999,10000,50
142700,笨熊（金币）,200,700,50,99999999,0,19332,200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,999,100,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143100,莱奥（法师试炼）,200,650,150,18000,415,400,10,0,0,0,0,0,0,0,0,300,0,1,0,0,0,0,0,0,0,0,0,0,12,99999,10000,50
143200,艾丽卡（刺客试炼）,200,650,150,18000,415,0,0,400,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,99999,10000,50
143300,刺客大师（射手试炼）,300,700,150,18000,415,400,10,0,0,0,0,0,0,0,0,300,0,1,0,0,0,0,0,0,0,0,0,0,12,99999,10000,50
143400,火法（战士试炼）,300,1000,150,18000,415,0,0,400,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,99999,10000,50
143500,约修亚（贤者试炼）,300,800,150,18000,415,0,0,400,10,0,0,0,0,1750,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,99999,10000,50
143600,罗迪亚克（守卫试炼）,100,1000,70,18000,450,320,10,320,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,99999,10000,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161000,投石车,100,700,100,9999999,100,1000,65,500,32,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,6000,0,0,0,10,3000,100,50
161100,死亡骑士,280,700,166,9999999,100,500,25,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,11,1500,300,70
161200,疯狂召唤师,300,550,156,9999999,100,0,0,380,9,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,5,400,80,50
161300,骨龙,200,600,125,9999999,100,0,0,500,10,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,10000,2000,14,99999,10000,50
161400,掘墓人,260,700,125,9999999,100,660,10,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,11,1500,300,50
161500,吸血鬼,200,760,300,9999999,100,400,15,0,0,0,0,0,0,0,0,0,0,70,10,0,25,50,0.2,0,1000,0,0,0,7,1500,300,50
161600,巫妖,200,525,70,9999999,100,0,0,648,13,0,0,0,0,500,6,0,0,20,0,0,0,0,0,0,0,0,10000,2000,5,1000,200,50
161700,瘟疫使者,300,1000,150,9999999,100,500,14,400,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,2900,10000,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162000,攻城101尤达米尔,250,900,166,9999999,100,360,10,800,15,0,0,0,0,0,0,0,0,62,0,0,0,100,100,0,0,0,0,0,11,1500,300,70
162100,（远征162101）炮台,3000,3000,156,9999999,100,400,9,0,0,0,350,0,0,0,0,50,0,125,0,0,0,0,0,0,100,0,0,0,99,1500,300,50
162200,（远征162102）四星雪女,300,500,111,9999999,100,0,0,516,13,0,0,0,0,350,3,0,0,20,0,0,0,0,0,0,0,0,10000,5000,5,1000,200,50
162300,（远征162103）四星森巨人,250,375,67,9999999,100,588,9,428,10,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,100,0,0,0,11,2000,400,70
162400,攻城战201炮台,100,1000,111,9999999,100,720,24,0,0,0,0,0,0,0,0,100,0,67,0,0,0,0,0,0,100,0,0,0,5,400,50,50
162500,攻城战202将军,500,1600,111,9999999,100,750,15,0,0,0,0,0,0,0,0,100,0,67,0,0,0,0,0,0,100,0,0,0,5,400,50,50
162600,蛛魔斯帕克,300,800,63,9999999,100,0,0,730,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,100,0,0,0,99,999,100,50
162700,攻城战401尤达米尔,250,900,166,9999999,100,360,10,800,15,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,11,1500,300,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
