语言ID,说明,CN,,,,,
60085,成就43说明,关卡累计获得300颗星星,,,,,
60086,成就44标题,星宇争辉Ⅱ,,,,,
60087,成就44说明,关卡累计获得400颗星星,,,,,
60088,成就45标题,星宇争辉Ⅲ,,,,,
60089,成就45说明,关卡累计获得500颗星星,,,,,
60090,成就46标题,第一桶金Ⅰ,,,,,
60091,成就46说明,累计获得88888金币,,,,,
60092,成就47标题,第一桶金Ⅱ,,,,,
60093,成就47说明,累计获得888888金币,,,,,
60094,成就48标题,第一桶金Ⅲ,,,,,
60095,成就48说明,累计获得8888888金币,,,,,
60096,成就49标题,富可敌国Ⅰ,,,,,
60097,成就49说明,累计获得5000000金币,,,,,
60098,成就50标题,富可敌国Ⅱ,,,,, 
60099,成就50说明,累计获得10000000金币,,,,,
60100,成就51标题,富可敌国Ⅲ,,,,,
60101,成就51说明,累计获得50000000金币,,,,,
60102,成就52标题,小试牛刀Ⅰ,,,,,
60103,成就52说明,累计完成10次任意难度的英雄试炼,,,,,
60104,成就53标题,小试牛刀Ⅱ,,,,,
60105,成就53说明,累计完成30次任意难度的英雄试炼,,,,,
60106,成就54标题,小试牛刀Ⅲ,,,,,
60107,成就54说明,累计完成50次任意难度的英雄试炼,,,,,
60108,成就55标题,身经百战Ⅰ,,,,,
60109,成就55说明,累计完成100次任意难度的英雄试炼,,,,,
60110,成就56标题,身经百战Ⅱ,,,,,
60111,成就56说明,累计完成150次任意难度的英雄试炼,,,,,
60112,成就57标题,身经百战Ⅲ,,,,,
60113,成就57说明,累计完成200次任意难度的英雄试炼,,,,,
60114,成就58标题,无畏老兵Ⅰ,,,,,
60115,成就58说明,累计完成10次难度5的英雄试炼,,,,,
60116,成就59标题,无畏老兵Ⅱ,,,,,
60117,成就59说明,累计完成30次难度5的英雄试炼,,,,,
60118,成就60标题,无畏老兵Ⅲ,,,,,
60119,成就60说明,累计完成50次难度5的英雄试炼,,,,,
60120,成就61标题,赏金猎人Ⅰ,,,,,
60121,成就61说明,累计完成10次金币试炼,,,,,
60122,成就62标题,赏金猎人Ⅱ,,,,,
60123,成就62说明,累计完成30次金币试炼,,,,,
60124,成就63标题,赏金猎人Ⅲ,,,,,
60125,成就63说明,累计完成50次金币试炼,,,,,
60126,成就64标题,追名逐利Ⅰ,,,,,
60127,成就64说明,累计完成100次金币试炼,,,,,
60128,成就65标题,追名逐利Ⅱ,,,,,
60129,成就65说明,累计完成150次金币试炼,,,,,
60130,成就66标题,追名逐利Ⅲ,,,,,
60131,成就66说明,累计完成200次金币试炼,,,,,
60132,成就67标题,勇攀高峰Ⅰ,,,,,
60133,成就67说明,累计完成5次爬塔试炼,,,,,
60134,成就68标题,勇攀高峰Ⅱ,,,,,
60135,成就68说明,累计完成15次爬塔试炼,,,,,
60136,成就69标题,勇攀高峰Ⅲ,,,,,
60137,成就69说明,累计完成25次爬塔试炼,,,,,
60138,成就70标题,是男人就上100层Ⅰ,,,,,
60139,成就70说明,累计完成50次爬塔试炼,,,,,
60140,成就71标题,是男人就上100层Ⅱ,,,,,
60141,成就71说明,累计完成75次爬塔试炼,,,,,
60142,成就72标题,是男人就上100层Ⅲ,,,,,
60143,成就72说明,累计完成100次爬塔试炼,,,,,
60144,成就73标题,决斗达人Ⅰ,,,,,
60145,成就73说明,累计完成10场竞技,,,,,
60146,成就74标题,决斗达人Ⅱ,,,,,
60147,成就74说明,累计完成30场竞技,,,,,
60148,成就75标题,决斗达人Ⅲ,,,,,
60149,成就75说明,累计完成50场竞技,,,,,
60150,成就76标题,竞技场主宰Ⅰ,,,,,
60151,成就76说明,累计完成100场竞技,,,,,
60152,成就77标题,竞技场主宰Ⅱ,,,,,
60153,成就77说明,累计完成150场竞技,,,,,
60154,成就78标题,竞技场主宰Ⅲ,,,,,
60155,成就78说明,累计完成200场竞技,,,,,
60156,成就79标题,运筹帷幄Ⅰ,,,,,
60157,成就79说明,取得10场竞技胜利,,,,,
60158,成就80标题,运筹帷幄Ⅱ,,,,,
60159,成就80说明,取得30场竞技胜利,,,,,
60160,成就81标题,运筹帷幄Ⅲ,,,,,
60161,成就81说明,取得50场竞技胜利,,,,,
60162,成就82标题,常胜将军Ⅰ,,,,,
60163,成就82说明,取得100场竞技胜利,,,,,
60164,成就83标题,常胜将军Ⅱ,,,,,
60165,成就83说明,取得150场竞技胜利,,,,,
60166,成就84标题,常胜将军Ⅲ,,,,,
60167,成就84说明,取得200场竞技胜利,,,,,
60168,成就85标题,不败神话Ⅰ,,,,,
60169,成就85说明,取得5场竞技连胜,,,,,
60170,成就86标题,不败神话Ⅱ,,,,,
60171,成就86说明,取得7场竞技连胜,,,,,
60172,成就87标题,不败神话Ⅲ,,,,,
60173,成就87说明,取得9场竞技连胜,,,,,
60174,成就88标题,特立独行Ⅰ,,,,,
60175,成就88说明,累计完成10次公会个人任务并领取奖励,,,,,
60176,成就89标题,特立独行Ⅱ,,,,,
60177,成就89说明,累计完成30次公会个人任务并领取奖励,,,,,
60178,成就90标题,特立独行Ⅲ,,,,,
60179,成就90说明,累计完成50次公会个人任务并领取奖励,,,,,
60180,成就91标题,孤高浪子Ⅰ,,,,,
60181,成就91说明,累计完成100次公会个人任务并领取奖励,,,,,
60182,成就92标题,孤高浪子Ⅱ,,,,,
60183,成就92说明,累计完成150次公会个人任务并领取奖励,,,,,
60184,成就93标题,孤高浪子Ⅲ,,,,,
60185,成就93说明,累计完成200次公会个人任务并领取奖励,,,,,
60186,成就94标题,人人为我Ⅰ,,,,,
60187,成就94说明,累计完成5次公会团体任务并领取奖励,,,,,
60188,成就95标题,人人为我Ⅱ,,,,,
60189,成就95说明,累计完成15次公会团体任务并领取奖励,,,,,
60190,成就96标题,人人为我Ⅲ,,,,,
60191,成就96说明,累计完成25次公会团体任务并领取奖励,,,,,
60192,成就97标题,我为人人Ⅰ,,,,,
60193,成就97说明,累计完成50次公会团体任务并领取奖励,,,,,
60194,成就98标题,我为人人Ⅱ,,,,,
60195,成就98说明,累计完成75次公会团体任务并领取奖励,,,,,
60196,成就99标题,我为人人Ⅲ,,,,,
60197,成就99说明,累计完成100次公会团体任务并领取奖励,,,,,
60200,成就100标题,剁手党Ⅰ,,,,,
60201,成就100说明,累计抽卡5次,,,,,
60202,成就101标题,剁手党Ⅱ,,,,,
60203,成就101说明,累计抽卡50次,,,,,
60204,成就102标题,剁手党Ⅲ,,,,,
60205,成就102说明,累计抽卡150次,,,,,
60206,成就103标题,常胜将军Ⅰ,,,,,
60207,成就103说明,取得3场对玩家竞技胜利,,,,,
60208,成就104标题,常胜将军Ⅱ,,,,,
60209,成就104说明,取得25场对玩家竞技胜利,,,,,
60210,成就105标题,常胜将军Ⅲ,,,,,
60211,成就105说明,取得150场对玩家竞技胜利,,,,,
60212,成就106标题,逐星者Ⅰ,,,,,
60213,成就106说明,关卡累计获得15颗星星,,,,,
60214,成就107标题,逐星者Ⅱ,,,,,
60215,成就107说明,关卡累计获得60颗星星,,,,,
60216,成就108标题,逐星者Ⅲ,,,,,
60217,成就108说明,关卡累计获得105颗星星,,,,,
60218,成就109标题,五湖四海Ⅰ,,,,,
60219,成就109说明,拥有10个不同的英雄,,,,,
60220,成就110标题,五湖四海Ⅱ,,,,,
60221,成就110说明,拥有20个不同的英雄,,,,,
60222,成就111标题,五湖四海Ⅲ,,,,,
60223,成就111说明,拥有35个不同的英雄,,,,,
60224,成就112标题,卧虎藏龙Ⅰ,,,,,
60225,成就112说明,拥有2个不同的召唤师,,,,,
60226,成就113标题,卧虎藏龙Ⅱ,,,,,
60227,成就113说明,拥有4个不同的召唤师,,,,,
60228,成就114标题,卧虎藏龙Ⅲ,,,,,
60229,成就114说明,拥有7个不同的召唤师,,,,,
60230,成就115标题,拔地而起,,,,,
60231,成就115说明,创建或加入一个公会,,,,,
60232,成就116标题,一言惊人,,,,,
60233,成就116说明,在公会聊天室中说话,,,,,
60234,成就117标题,千言万语,,,,,
60235,成就117说明,连续7天在公会聊天室中说话,,,,,
60236,成就118标题,不败神话Ⅰ,,,,,
60237,成就118说明,在竞技场对玩家取得1次3连胜,,,,,
60238,成就119标题,不败神话Ⅱ,,,,,
60239,成就119说明,在竞技场对玩家取得1次5连胜,,,,,
60240,成就120标题,不败神话Ⅲ,,,,,
60241,成就120说明,在竞技场对玩家取得1次8连胜,,,,,
60242,成就121标题,满载而归Ⅰ,,,,,
60243,成就121说明,在商店购买10次商品,,,,,
60244,成就122标题,满载而归Ⅱ,,,,,
60245,成就122说明,在商店购买40次商品,,,,,
60246,成就123标题,满载而归Ⅲ,,,,,
60247,成就123说明,在商店购买100次商品,,,,,
60248,成就124标题,挥金如土Ⅰ,,,,,
60249,成就124说明,累计点金10次,,,,,
60250,成就125标题,挥金如土Ⅱ,,,,,
60251,成就125说明,累计点金50次,,,,,
60252,成就126标题,挥金如土Ⅲ,,,,,
60253,成就126说明,累计点金150次,,,,,
60254,成就127标题,复仇者联盟Ⅰ,,,,,
60255,成就127说明,拥有3个5星英雄,,,,,
60256,成就128标题,复仇者联盟Ⅱ,,,,,
60257,成就128说明,拥有7个5星英雄,,,,,
60258,成就129标题,复仇者联盟Ⅲ,,,,,
60259,成就129说明,拥有12个5星英雄,,,,,
60260,成就130标题,人族统帅Ⅰ,,,,,
60261,成就130说明,只用人族英雄取得10场对玩家竞技胜利,,,,,
60262,成就131标题,人族统帅Ⅱ,,,,,
60263,成就131说明,只用人族英雄取得50场对玩家竞技胜利,,,,,
60264,成就132标题,人族统帅Ⅲ,,,,,
60265,成就132说明,只用人族英雄取得150场对玩家竞技胜利,,,,,
60266,成就133标题,自然族统帅Ⅰ,,,,,
60267,成就133说明,只用自然族英雄取得10场对玩家竞技胜利,,,,,
60268,成就134标题,自然族统帅Ⅱ,,,,,
60269,成就134说明,只用自然族英雄取得50场对玩家竞技胜利,,,,,
60270,成就135标题,自然族统帅Ⅲ,,,,,
60271,成就135说明,只用自然族英雄取得150场对玩家竞技胜利,,,,,
60272,成就136标题,死灵族统帅Ⅰ,,,,,
60273,成就136说明,只用死灵族英雄取得10场对玩家竞技胜利,,,,,
60274,成就137标题,死灵族统帅Ⅱ,,,,,
60275,成就137说明,只用死灵族英雄取得50场对玩家竞技胜利,,,,,
60276,成就138标题,死灵族统帅Ⅲ,,,,,
60277,成就138说明,只用死灵族英雄取得150场对玩家竞技胜利,,,,,
60278,成就139标题,初露锋芒Ⅰ,,,,,
60279,成就139说明,竞技赛取得100以上的竞技积分,,,,,
60280,成就140标题,初露锋芒Ⅱ,,,,,
60281,成就141说明,竞技赛取得300以上的竞技积分,,,,,
60282,成就142标题,初露锋芒Ⅲ,,,,,
60283,成就143说明,竞技赛取得500以上的竞技积分,,,,,
60284,成就144标题,蛟龙入海Ⅰ,,,,,
60285,成就145说明,竞技赛取得750以上的竞技积分,,,,,
60286,成就146标题,蛟龙入海Ⅱ,,,,,
60287,成就147说明,竞技赛取得1000以上的竞技积分,,,,,
60288,成就148标题,蛟龙入海Ⅲ,,,,,
60289,成就149说明,竞技赛取得1500以上的竞技积分,,,,,
60290,成就150标题,所向披靡Ⅰ,,,,,
60291,成就151说明,竞技赛取得2000以上的竞技积分,,,,,
60292,成就152标题,所向披靡Ⅱ,,,,,
60293,成就153说明,竞技赛取得2500以上的竞技积分,,,,,
60294,成就154标题,所向披靡Ⅲ,,,,,
60295,成就155说明,竞技赛取得3000以上的竞技积分,,,,,
