语言ID,说明,CN
30144,道具描述,制作装备的重要材料
30145,道具名称,35级手杖图
30146,道具描述,制作装备的重要材料
30147,道具名称,50级铸剑图
30148,道具描述,制作装备的重要材料
30149,道具名称,50级枪弓图
30150,道具描述,制作装备的重要材料
30151,道具名称,50级利刃图
30152,道具描述,制作装备的重要材料
30153,道具名称,50级法杖图
30154,道具描述,制作装备的重要材料
30155,道具名称,50级手杖图
30156,道具描述,制作装备的重要材料
30157,道具名称,65级铸剑图
30158,道具描述,制作装备的重要材料
30159,道具名称,65级枪弓图
30160,道具描述,制作装备的重要材料
30161,道具名称,65级利刃图
30162,道具描述,制作装备的重要材料
30163,道具名称,65级法杖图
30164,道具描述,制作装备的重要材料
30165,道具名称,65级手杖图
30166,道具描述,制作装备的重要材料
30167,道具名称,20级兜帽图
30168,道具描述,制作装备的重要材料
30169,道具名称,20级头环图
30170,道具描述,制作装备的重要材料
30171,道具名称,20级战盔图
30172,道具描述,制作装备的重要材料
30173,道具名称,20级毡帽图
30174,道具描述,制作装备的重要材料
30175,道具名称,20级高帽图
30176,道具描述,制作装备的重要材料
30177,道具名称,35级战盔图
30178,道具描述,制作装备的重要材料
30179,道具名称,35级毡帽图
30180,道具描述,制作装备的重要材料
30181,道具名称,35级兜帽图
30182,道具描述,制作装备的重要材料
30183,道具名称,35级高帽图
30184,道具描述,制作装备的重要材料
30185,道具名称,35级头环图
30186,道具描述,制作装备的重要材料
30187,道具名称,50级战盔图
30188,道具描述,制作装备的重要材料
30189,道具名称,50级毡帽图
30190,道具描述,制作装备的重要材料
30191,道具名称,50级兜帽图
30192,道具描述,制作装备的重要材料
30193,道具名称,50级高帽图
30194,道具描述,制作装备的重要材料
30195,道具名称,50级头环图
30196,道具描述,制作装备的重要材料
30197,道具名称,65级战盔图
30198,道具描述,制作装备的重要材料
30199,道具名称,65级毡帽图
30200,道具描述,制作装备的重要材料
30201,道具名称,65级兜帽图
30202,道具描述,制作装备的重要材料
30203,道具名称,65级高帽图
30204,道具描述,制作装备的重要材料
30205,道具名称,65级头环图
30206,道具描述,制作装备的重要材料
30207,道具名称,20级披风图
30208,道具描述,制作装备的重要材料
30209,道具名称,20级软袍图
30210,道具描述,制作装备的重要材料
30211,道具名称,20级铠甲图
30212,道具描述,制作装备的重要材料
30213,道具名称,20级外套图
30214,道具描述,制作装备的重要材料
30215,道具名称,20级法袍图
30216,道具描述,制作装备的重要材料
30217,道具名称,35级铠甲图
30218,道具描述,制作装备的重要材料
30219,道具名称,35级外套图
30220,道具描述,制作装备的重要材料
30221,道具名称,35级披风图
30222,道具描述,制作装备的重要材料
30223,道具名称,35级法袍图
30224,道具描述,制作装备的重要材料
30225,道具名称,35级软袍图
30226,道具描述,制作装备的重要材料
30227,道具名称,50级铠甲图
30228,道具描述,制作装备的重要材料
30229,道具名称,50级外套图
30230,道具描述,制作装备的重要材料
30231,道具名称,50级披风图
30232,道具描述,制作装备的重要材料
30233,道具名称,50级法袍图
30234,道具描述,制作装备的重要材料
30235,道具名称,50级软袍图
30236,道具描述,制作装备的重要材料
30237,道具名称,65级铠甲图
30238,道具描述,制作装备的重要材料
30239,道具名称,65级外套图
30240,道具描述,制作装备的重要材料
30241,道具名称,65级披风图
30242,道具描述,制作装备的重要材料
30243,道具名称,65级法袍图
30244,道具描述,制作装备的重要材料
30245,道具名称,65级软袍图
30246,道具描述,制作装备的重要材料
30247,道具名称,20级筒靴图
30248,道具描述,制作装备的重要材料
30249,道具名称,20级软靴图
30250,道具描述,制作装备的重要材料
30251,道具名称,20级战靴图
30252,道具描述,制作装备的重要材料
30253,道具名称,20级胫甲图
30254,道具描述,制作装备的重要材料
30255,道具名称,20级法靴图
30256,道具描述,制作装备的重要材料
30257,道具名称,35级战靴图
30258,道具描述,制作装备的重要材料
30259,道具名称,35级胫甲图
30260,道具描述,制作装备的重要材料
30261,道具名称,35级筒靴图
30262,道具描述,制作装备的重要材料
30263,道具名称,35级法靴图
30264,道具描述,制作装备的重要材料
30265,道具名称,35级软靴图
30266,道具描述,制作装备的重要材料
30267,道具名称,50级战靴图
30268,道具描述,制作装备的重要材料
30269,道具名称,50级胫甲图
30270,道具描述,制作装备的重要材料
30271,道具名称,50级筒靴图
30272,道具描述,制作装备的重要材料
30273,道具名称,50级法靴图
30274,道具描述,制作装备的重要材料
30275,道具名称,50级软靴图
30276,道具描述,制作装备的重要材料
30277,道具名称,65级战靴图
30278,道具描述,制作装备的重要材料
30279,道具名称,65级胫甲图
30280,道具描述,制作装备的重要材料
30281,道具名称,65级筒靴图
30282,道具描述,制作装备的重要材料
30283,道具名称,65级法靴图
30284,道具描述,制作装备的重要材料
30285,道具名称,65级软靴图
30286,道具描述,制作装备的重要材料
30287,道具名称,20级饰品图
30288,道具描述,制作装备的重要材料
30289,道具名称,20级饰品图
30290,道具描述,制作装备的重要材料
30291,道具名称,35级饰品图
30292,道具描述,制作装备的重要材料
30293,道具名称,35级饰品图
30294,道具描述,制作装备的重要材料
30295,道具名称,50级饰品图
30296,道具描述,制作装备的重要材料
30297,道具名称,50级饰品图
30298,道具描述,制作装备的重要材料
30299,道具名称,65级饰品图
30300,道具描述,制作装备的重要材料
30301,道具名称,65级饰品图
30302,道具描述,制作装备的重要材料
30303,道具名称,20级宝具图
30304,道具描述,制作装备的重要材料
30305,道具名称,20级宝具图
30306,道具描述,制作装备的重要材料
30307,道具名称,35级宝具图
30308,道具描述,制作装备的重要材料
30309,道具名称,35级宝具图
30310,道具描述,制作装备的重要材料
30311,道具名称,50级宝具图
30312,道具描述,制作装备的重要材料
30313,道具名称,50级宝具图
30314,道具描述,制作装备的重要材料
30315,道具名称,65级宝具图
30316,道具描述,制作装备的重要材料
30317,道具名称,65级宝具图
30318,道具描述,制作装备的重要材料

30319,道具名称,20级重锤图
30320,道具描述,制作装备的重要材料
30321,道具名称,35级重锤图
30322,道具描述,制作装备的重要材料
30323,道具名称,50级重锤图
30324,道具描述,制作装备的重要材料
30325,道具名称,65级重锤图
30326,道具描述,制作装备的重要材料
30327,道具名称,20级头盔图
30328,道具描述,制作装备的重要材料
30329,道具名称,35级头盔图
30330,道具描述,制作装备的重要材料
30331,道具名称,50级头盔图
30332,道具描述,制作装备的重要材料
30333,道具名称,65级头盔图
30334,道具描述,制作装备的重要材料
30335,道具名称,20级盔甲图
30336,道具描述,制作装备的重要材料
30337,道具名称,35级盔甲图
30338,道具描述,制作装备的重要材料
30339,道具名称,50级盔甲图
30340,道具描述,制作装备的重要材料
30341,道具名称,65级盔甲图
30342,道具描述,制作装备的重要材料
30343,道具名称,20级护靴图
30344,道具描述,制作装备的重要材料
30345,道具名称,35级护靴图
30346,道具描述,制作装备的重要材料
30347,道具名称,50级护靴图
30348,道具描述,制作装备的重要材料
30349,道具名称,65级护靴图
30350,道具描述,制作装备的重要材料

30401,道具名称,火焰符石
30402,道具描述,锻造装备的重要材料，可以提升高品质武器的锻造概率
30403,道具名称,水纹符石
30404,道具描述,锻造装备的重要材料，可以提升高品质头饰的锻造概率
30405,道具名称,庇护符石
30406,道具描述,锻造装备的重要材料，可以提升高品质服装的锻造概率
30407,道具名称,疾走符石
30408,道具描述,锻造装备的重要材料，可以提升高品质鞋子的锻造概率
30409,道具名称,闪耀符石
30410,道具描述,锻造装备的重要材料，可以提升高品质饰品和宝具的锻造概率
30411,道具名称,符石袋子
30412,道具描述,随机开出火焰、水纹、庇护、疾走、闪耀符石中的其中一个
30413,道具名称,人族技能福袋
30414,道具描述,随机开出人族中牧师，盾卫，火枪，盗贼与勇士中的1个技能石
30415,道具名称,人族技能礼盒
30416,道具描述,随机开出人族中牧师，盾卫，火枪，盗贼与勇士中的1个技能石
30417,道具名称,装备材料礼盒
30418,道具描述,随机开出10个锻造石，10个赤铜或者10个绢布

31001,道具名称,胜利者
31002,道具描述,胜利来之不易，荣誉长存于心！
31003,道具名称,追星逐日
31004,道具描述,完美，源自孜孜不倦的追求！
31005,道具名称,连战连捷
31006,道具描述,总会有人质疑你是运气型选手，为此我们颁发这个认可你实力的证明！
31007,道具名称,血统之证
31008,道具描述,忘掉过去的捶胸顿足，此刻我们都是欧洲人！
31009,道具名称,人族之傲
31010,道具描述,献给那些心存荣耀，执着追梦的召唤师！
31011,道具名称,自然恩赐
31012,道具描述,献给那些感恩自然，向往和平的召唤师！
31013,道具名称,死灵战魂
31014,道具描述,献给那些至死不渝，战斗到底的召唤师！
31015,道具名称,英勇不屈
31016,道具描述,英雄莫问出处，你的不屈勇气值得所有人肃然起敬！
31017,道具名称,技艺超凡
31018,道具描述,对自身的严格要求，对技艺的不断精进，定能使你成就非凡！
31019,道具名称,巅峰荣耀
31020,道具描述,久经沙场，饱受创伤，曾经的磨难如今已是你荣耀皇冠上的璀璨光芒！
32001,道具名称,粗制短刃
32002,道具描述,生铁经过简单的打磨锻造制成，这种粗糙的短刃除了可以用作武器之外，也是亚特王城的人民使用最多的日常工具。
32003,道具名称,短杖
32004,道具描述,在魔力高深的召唤师手中，即使是一根简陋的短杖也能召唤出强大的英雄，因此召唤师的实力高低和他使用的武器并没有多大关系。
32005,道具名称,头巾
32006,道具描述,因其泛用性导致销量居高不下。
32007,道具名称,兜帽
32008,道具描述,法师们其实不太喜欢这件装备，这会让他们看起来像刺客。
32009,道具名称,皮衣
32010,道具描述,穿戴时尚轻便，但不要指望它能帮你抵挡大量伤害。
32011,道具名称,斗篷
32012,道具描述,专为女性预留的敞胸设计。
32013,道具名称,皮靴
32014,道具描述,虽然相貌平平，胜在便宜耐用。
32015,道具名称,布靴
32016,道具描述,穿着这鞋碰上下雨天的话，魔法师也没什么办法。
32017,道具名称,手斧
32018,道具描述,位于亚特王城与塔玛拉王国交界的极地巅峰，是人族与自然族共同建立的资源共享区，在那里的伐木工人就是用这种斧头不分昼夜地砍伐树木。
32019,道具名称,祈福手杖
32020,道具描述,虔诚的牧师们会在祷告日来临时，围坐在一起，诵读祈福的诗歌，有学者专门研究了诗歌的内容：大意是赞颂来自天空的恩惠。
32021,道具名称,亚麻兜帽
32022,道具描述,亚麻，主要产自亚特兰的南部原野，也就是所谓的农业区，农民提取亚麻的纤维，将其用于纺织制造。
32023,道具名称,鲜花头环
32024,道具描述,在塔玛拉，自然族的人民认为一花一草都有其生命，这个头环蕴含着他们与自然相处的哲学。
32025,道具名称,简易披风
32026,道具描述,刺客执行任务时用于隐蔽自身的衣物，不过对于大部分没有公会归属的刺客，他们的日常就是开开锁，送送信而已。
32027,道具名称,针织灰袍
32028,道具描述,灰袍是展示身份的服饰，表明穿戴者虔诚的信仰和乐于奉献的精神。
32029,道具名称,轻便筒靴
32030,道具描述,“筒靴的特点就是在行动时可以悄然无息地接近你的目标。”摘自《刺客大师希尔娅的99条箴言》
32031,道具名称,丛林软靴
32032,道具描述,自神魔之战以来，历经几百年，这种软靴的用料和配色一直保持至今。
32033,道具名称,单手剑
32034,道具描述,在亚特兰，每个应征入伍的士兵都会派发这样一把单手剑，直到他们成为战士，骑士甚至将军。
32035,道具名称,藤蔓长弓
32036,道具描述,精灵族的神射手们曾用这种长弓贯穿了一个又一个魔族的头颅！
32037,道具名称,学徒法杖
32038,道具描述,在千辛万苦进入到魔法学院之后，新生们会收到来自毕业生馈赠的法杖作为纪念。
32039,道具名称,骑士战盔
32040,道具描述,一些陈列在英烈大厅的战盔，除了上面斑驳的锈迹之外，你还能看到清晰的魔族爪痕。
32041,道具名称,飞羽毡帽
32042,道具描述,这些插在帽子上的羽毛不仅仅是装饰，它们被灌注了魔力，用于提高佩戴者的洞察力。
32043,道具名称,学徒高帽
32044,道具描述,据说高帽的发明需要追溯到魔法学院的创始人：罗根，而佩戴高帽的传统只是因为罗根致力于研究召唤术而导致了秃头……
32045,道具名称,铁制铠甲
32046,道具描述,生铁打造的简易铠甲，虽然能抵御刀具利器的攻击，但是面对魔法却毫无作用。
32047,道具名称,皮革外套
32048,道具描述,外套的主要原料来自常见的黑熊，野猪和灰狼。
32049,道具名称,神秘法袍
32050,道具描述,法袍的神秘还体现在附着在上面的奇异魔力，常常有召唤师听到有人轻声细语地在耳边呢喃。
32051,道具名称,无畏战靴
32052,道具描述,应征入伍的新兵们会在长官的带领下来到营地，并且会在无畏骑士的雕塑下宣读誓言。
32053,道具名称,疾走胫甲
32054,道具描述,“如果射得准是你们的第一要义，那么跑得快就是你们的第二要义！速度才是你们进退自如的保证！”--瓦克洛夫
32055,道具名称,奥术法靴
32056,道具描述,奥术与召唤术的区别就在于，召唤术借助的是英雄的力量，而奥术是源于自身的力量。
32057,道具名称,黄晶石之戒
32058,道具描述,用常见的黄晶石打造的粗糙戒指。
32059,道具名称,黄晶石指环
32060,道具描述,用常见的黄晶石打造的粗糙指环。
32061,道具名称,祖母绿吊坠
32062,道具描述,用祖母绿宝石制成的吊坠。
32063,道具名称,祖母绿项链
32064,道具描述,用祖母绿宝石制成的项链。
32065,道具名称,好胜之剑
32066,道具描述,这把剑之所以强大，是因为持有它的人一旦失败就会被抛弃、吸收，寻找下一个胜利者，如此往复……
32067,道具名称,野蛮之斧
32068,道具描述,野蛮的维京人从来不讲道理，他们要么用拳头和你说话，要么就是斧头。
32069,道具名称,水晶弓
32070,道具描述,长弓上附着的能量水晶，能将射出的箭矢附带强大的魔力，即使持有者本身并没有任何魔力。
32071,道具名称,剜心利刃
32072,道具描述,黑暗公会的刺客会想尽一切办法残害目标以获取最多的情报，更别说剜出一个人鲜活的心脏了。
32073,道具名称,破魔法杖
32074,道具描述,说明书上写着：只要吟唱的时机和发音恰到好处，就有几率破除对方施展的魔法。
32075,道具名称,暮夜手杖
32076,道具描述,“信仰如同暮夜的星辰，指引着迷途的旅者。”--大祭司泽维尔
32077,道具名称,重型战盔
32078,道具描述,这种特制的重型战盔曾有一段时间被大量地投入到战争当中，但是士兵的牺牲没有因此减少。
32079,道具名称,野蛮之盔
32080,道具描述,呼吸好难受
32081,道具名称,骷髅毡帽
32082,道具描述,埃米尔大陆上有一群专门猎杀死灵族骷髅的人，那些人统一都戴着那顶骷髅毡帽。
32083,道具名称,鹰喙兜帽
32084,道具描述,隼鹰，一直是刺客公会的标志物。
32085,道具名称,奥术高帽
32086,道具描述,奥术曾在过去十分受魔法师的欢迎，但是为了对抗强大的魔族，人族不得不开发出召唤术来对抗，毕竟奥术的上限就是魔法师本身。
32087,道具名称,紫荆头环
32088,道具描述,宝石的法术增幅虽然不及能量水晶，但胜在宝石的获得成本较低，因此作为能量水晶的替代品而得到普及。
32089,道具名称,秘银铠甲
32090,道具描述,秘银锻造的铠甲，象征秘银骑士团的无畏精神和至高无上的荣誉！
32091,道具名称,野蛮之铠
32092,道具描述,穿上后就能散发野蛮气息的铠甲，其实那是汗臭味~
32093,道具名称,追猎外套
32094,道具描述,追踪它们的气息，洞察其动作，蓄势待发，使出致命一击！
32095,道具名称,夜行披风
32096,道具描述,刺客在夜间执行任务时的专用披风。
32097,道具名称,导言法袍
32098,道具描述,“永远不要被外在的拘束限制了你们内在的潜力！”--高帽罗根
32099,道具名称,戒律软袍
32100,道具描述,虔诚自律的信徒才能穿戴如此圣洁的软袍，而亵渎神明之人会被戒律制裁！
32101,道具名称,骑士战靴
32102,道具描述,当骑士们凯旋归来，他们会脱下战靴，在庆功宴会上尽情舞蹈。
32103,道具名称,野蛮之靴
32104,道具描述,野蛮女友的礼物
32105,道具名称,迅捷胫甲
32106,道具描述,得益于传奇工匠梅里斯特独特的设计，这对胫甲可以提升穿戴者的行动半径。
32107,道具名称,紫金筒靴
32108,道具描述,这些外表华贵的筒靴是刺客公会中的地位象征，他们之中有刺杀国王的，也有保护国王的。
32109,道具名称,启示法靴
32110,道具描述,“来自天空的同一种羽翼，却有两种极端的色彩，白昼终将消逝，而夜幕降临，恸哭和哀嚎回响于天际”摘自《末日启示录》
32111,道具名称,烈日软靴
32112,道具描述,在太阳的热诚与光辉之下，也有无数的追随者。
32113,道具名称,月光石之戒
32114,道具描述,用月光石制成的戒指。
32115,道具名称,珍珠指环
32116,道具描述,温润光滑的珍珠指环。
32117,道具名称,翡翠吊坠
32118,道具描述,黄金包边装饰的翡翠吊坠。
32119,道具名称,翡翠项链
32120,道具描述,黄金包边装饰的翡翠项链。
32121,道具名称,破军大剑
32122,道具描述,英雄亚特兰的佩剑，在神魔之战的最后一役中，他率领数千精锐突入魔族巢穴，破坏了“恶魔之心”。
32123,道具名称,皇家之盾
32124,道具描述,皇家骑士的臻品，可攻可守
32125,道具名称,旧式火枪
32126,道具描述,各国尚处于战争阶段时，在原型火枪的基础上改良的火枪。
32127,道具名称,毒淬之刃
32128,道具描述,刺杀目标前喜欢用舌头舔舐刀刃的刺客，禁止购买和使用！！
32129,道具名称,杜克魔杖
32130,道具描述,杜克和罗根，两个相似却又完全不同的人必然也走上了截然相反的道路：罗根使得召唤术得以传承，而杜克则是黑魔法的集大成者。
32131,道具名称,黎明手杖
32132,道具描述,无论身处怎样的黑暗，终会有迎来黎明的时刻！
32133,道具名称,皇家战盔
32134,道具描述,皇家骑士团直属于国王，只受国王的调令，而皇家骑士的地位更是神圣不可侵犯，同时他们拥有就地处决任何罪犯的权力。
32135,道具名称,皇家之盔
32136,道具描述,皇家骑士的头盔，两只角是设计师方便时的灵感。
32137,道具名称,必胜毡帽
32138,道具描述,亚特兰民间出现了一批自发对抗死灵族的退役士兵，他们喜欢戴着一顶毡帽行动，但是在各国签订《和平契约》之后，这一组织就解散了。
32139,道具名称,残阳兜帽
32140,道具描述,代号为“残阳”的刺客公会即使是在同行眼中，他们也是异类，这个组织有近乎偏执的原则。必要时，他们还会妨碍其他公会的任务。
32141,道具名称,飞翼高帽
32142,道具描述,帽子上的羽毛是流浪商人们途径格斯雷姆时找到的，但是一直以来，都没有人亲眼看到羽毛的主人。
32143,道具名称,守护头环
32144,道具描述,身为一名辅助，你所守护的实则是自己的信念。
32145,道具名称,督军铠甲
32146,道具描述,亚特兰的督军除了要监督军队的日常训练之外，还要负责制定作战计划和控制军费支出。
32147,道具名称,皇家之铠
32148,道具描述,皇家骑士的重铠，重量惊人。
32149,道具名称,巡弋外套
32150,道具描述,专为巡弋骑士团特制的外套，巡弋骑士团除了要维护王国边境的安全之外，还要打击野蛮的维京人海盗。
32151,道具名称,夺命披风
32152,道具描述,披风里藏有各种各样的暗器，除此以外，还有一些储备干粮、任务单和几本小说。
32153,道具名称,神使法袍
32154,道具描述,在埃米尔大陆的某个地区，有一群自称是神使的召唤师，这种法袍就是他们的标志物。
32155,道具名称,守护软袍
32156,道具描述,在软袍制成之后，它们还要被注入魔力，以此保护穿戴者。
32157,道具名称,誓言战靴
32158,道具描述,战士们出征之前会在国王的注视下立下誓言，目送战士们背影的是王城周围的民众。
32159,道具名称,皇家之靴
32160,道具描述,皇家骑士的重靴，谁对你用扫堂腿谁知道
32161,道具名称,专注胫甲
32162,道具描述,各个关节的独到设计，能让射手们保持良好的姿势，专注于射击。
32163,道具名称,夜行筒靴
32164,道具描述,筒靴的鞋底特别附加了消除脚步声的气垫，让行动悄无声息。
32165,道具名称,缚魔法靴
32166,道具描述,这种法靴的作用是限制使用者强大的魔力，防止因魔力大量外泄而导致的失控。
32167,道具名称,净化软靴
32168,道具描述,一定程度上能够净化污秽之物和诅咒的侵扰。
32169,道具名称,紫荆之戒
32170,道具描述,犹如紫荆花绽放般绚丽的宝石戒指。
32171,道具名称,紫罗兰指环
32172,道具描述,犹如紫罗兰的优雅，戴上之后不仅气质得到提升，实力也有不少加成。
32173,道具名称,冰蓝吊坠
32174,道具描述,晶莹剔透的冰蓝宝石吊坠。
32175,道具名称,海洋之心
32176,道具描述,因其颜色如同蔚蓝的海洋得名。
32177,道具名称,秘银圣剑
32178,道具描述,英雄亚特兰曾用这把圣剑贯穿了魔王的心脏。
32179,道具名称,角斗之盾
32180,道具描述,斗士血战沙场的守护者
32181,道具名称,铜制火枪
32182,道具描述,梅里斯特基于旧式火枪改良的武器，射程、精准度、子弹威力和射击扩散都得到了巨大提升。
32183,道具名称,弑君之刃
32184,道具描述,恶名昭著的利刃，下一个牺牲的君王会是谁呢？
32185,道具名称,恶灵魔杖
32186,道具描述,魔杖上附着的恶灵不时都在低语：来接受路西法的恩惠吧~因为他的归来是不可避免的，很快我们就能夺回属于自己的东西了~
32187,道具名称,救赎手杖
32188,道具描述,何为救赎？我穷尽一生去探求的东西究竟是什么呢？我为此而创建的教派到底有没有意义呢？我不得而知。--布道者拉托尔斯
32189,道具名称,英灵战盔
32190,道具描述,梅里斯特用一大块完整的黄金雕刻出了头盔上的镶边，只有最为勇猛的战士，才有此等荣誉戴上它。
32191,道具名称,角斗之盔
32192,道具描述,角斗士对决时佩戴的头盔
32193,道具名称,皇家毡帽
32194,道具描述,皇家火枪队队员佩戴的标志性帽子，据说他们每天都会在靶场训练8个小时以上。
32195,道具名称,迅影兜帽
32196,道具描述,兜帽一开始就只是为了掩人耳目，本身没有任何速度加成，你所看到的残影，只不过是濒临死亡时产生的恐惧。
32197,道具名称,末日高帽
32198,道具描述,末日终究会降临，太阳会被漆黑的双翼遮蔽，它们的爪牙会夺走你们现在拥有的一切！
32199,道具名称,觉醒头环
32200,道具描述,“只有精神力和魔力的双重觉醒，召唤师才能到达前所未有的境界。”摘自《罗根之卷》
32201,道具名称,英灵铠甲
32202,道具描述,熠熠生辉的铠甲，纵使英雄逝去，他们的光辉战绩仍历历在目！
32203,道具名称,角斗之铠
32204,道具描述,重型铠甲。
32205,道具名称,兽印外套
32206,道具描述,自然族的猎人们喜欢在猎杀了强大的猎物后，用它们的利爪在护胸前面刻下印记。
32207,道具名称,弑杀披风
32208,道具描述,技艺高超的刺客善于利用披风来隐藏自身，迷惑对手，发动佯攻，你们的武器不仅仅是手上的利刃！摘自《刺客大师希尔娅的99条箴言》
32209,道具名称,湮灭法袍
32210,道具描述,“湮灭与杀戮！和我一同追求更强大的黑魔法吧！”--黑魔法师杜克
32211,道具名称,救赎软袍
32212,道具描述,“只有世人得到救赎，我的内心才能得到平静”--布道者拉托尔斯。
32213,道具名称,英灵战靴
32214,道具描述,这双战靴征战了多个地域：从塔玛拉到路西菲尔，从亚特兰到桑德利尔。
32215,道具名称,角斗之靴
32216,道具描述,角斗大会定期在亚特王城举行一次，当天的决赛将由国王亲自裁判角斗双方的胜负，胜者将会被授予骑士荣誉。
32217,道具名称,狂野胫甲
32218,道具描述,自然族里流传着这么一句话：你必须要像猎物一样思考，了解它的习性，它的动作，它的逃跑路线；之后，精准出击。
32219,道具名称,精钢筒靴
32220,道具描述,你不得不赞叹这双鞋子的制作工艺，明明是用金属制造的，穿上后却完全没有负重感，而且行走时悄然无声。
32221,道具名称,紫荆法靴
32222,道具描述,有人发现了能量水晶和宝石的相互作用，可以极大提升穿戴者的魔力。
32223,道具名称,神使软靴
32224,道具描述,那些此前宣称见到过神的姿态的所谓“神使”们，到后来都发疯了，口中不断重复着晦涩难懂的咒语。
32225,道具名称,龙晶石之戒
32226,道具描述,龙晶石中蕴含的魔力可以增强持有者的实力。
32227,道具名称,龙血指环
32228,道具描述,这种由龙血和岩浆混合形成的宝石拥有不错的防御能力。
32229,道具名称,龙牙吊坠
32230,道具描述,使用珍稀的巨龙牙齿制成的吊坠。
32231,道具名称,龙晶石项链
32232,道具描述,龙晶石特有的血红色光泽令人不寒而栗！
