语言ID,说明,CN,
152,,波涛汹涌1.5倍经验加成↑,
153,,惊天动地2倍经验加成↑,
154,,触摸材料图标可立即前往收集,
155,,召唤师，您的升星材料中存在等级>=30级的英雄，是否确定升星？,
156,,获取途径,
157,,前往,
158,,升级材料预览,
159,,预计获得经验：%d,
160,,1、使用经验道具有几率触发倍数加成，获得经验将得到大幅提升。,
161,,2、使用同种族英雄有额外的经验加成,
162,,召唤师，您的升级材料中存在等级>=30级的英雄，是否确定升级？,
163,,材料英雄已上锁，不可升星，请先到英雄列表中解锁。,
164,,召唤师%d级解锁,
165,,通关开启,
166,,同时最多选取7个材料，再次单击已选中的材料，可取消选中。,
167,,该英雄已经上锁，不可成为升级材料，请先到英雄列表中解锁。,
168,,召唤师，您的升级材料中存在等级>=30级的英雄，是否确定升星？,
169,,该材料已经选进材料框，不能重复选择,
170,,您的升级材料数量已经达上限！,
171,召唤师购买,购买成功,
172,,已获得召唤师 %d/%d,
173,,购买,
174,,特质,
175,,该卡牌已达当前星级等级上限！,
176,,该卡牌已达召唤师等级上限！,
177,,该卡牌已达到初始等级上限！,
178,,您已经拥有%s召唤师！,
179,装备穿戴,穿戴部位不符，请选择%d装备,
180,,英雄等级不足，请升级后穿戴,
181,,英雄不可同时穿戴2个一样的饰品,
182,,穿戴成功,
183,,一键穿装,
184,,可装备,
185,,无装备,
186,,穿戴,
187,,拆卸,
188,,当前没有该部位装备，可前往关卡收集,
189,,预选装备,
190,,已穿装备,
191,,长按装备图标可查看装备对比,
192,,拆卸成功,
193,,英雄的穿戴等级不足，请先前往升级,
194,,没有符合英雄职业的该部位装备，可前往关卡收集,
195,,等级：%d级,
196,,适用职业：,
197,,基础属性：,
198,,附加属性：,
199,,2件效果：,
200,,3件效果：,
201,,4件效果：,
202,,5件效果：,
203,,6件效果：,
204,,中规中矩，换取了%d金币,
205,,哇咔咔！暴击X2！换取%d金币,
206,,咦，有点厉害哟！暴击X5！换取%d金币,
207,,您太幸运了！暴击X10！换取%d金币,
208,,您太幸运啦，人品爆发！！！哇嘎嘎嘎！,
209,,想拥有更多的金币么，升级特权吧！,
210,,召唤师，您的钻石不足，可前往钻石商店购买。,
211,,召唤师血量：,
212,,等级：,
213,,等级上限随召唤师等级提升而提升,
214,,等级已达当前星级等级上限,
215,战斗,当前水晶不足,
216,,请选择技能释放的位置,
217,,该士兵同一时间只能派发一个,
218,,战斗倒计时：%d:%d,
219,,关卡胜利,
220,,通关时间小于%d秒,
221,,召唤师血量大于%d%%,
222,,2倍暴击，道具数量X2！,
223,,4倍暴击，道具数量X4！,
224,,通关时间小于%d秒,
225,,获得%d金币,
226,,您可以通过以下方式提升能力：,
227,,召唤师血量小于%d%,
228,,第%d次,
229,,暴击 X%d,
230,,扫荡,
231,,扫荡%d次,
232,,消耗水晶少于%d,
233,任务/成就,时间未到,
234,,无法扫荡,
235,,扫荡10次,
236,,队伍,
237,,保存队伍,
238,,变更\n排序,
,,前往,
,,已达成,
240,,服务器：,
241,,英雄等级上限：,
250,,签到,
251,,已签到,
252,,累计签到,
253,,%d月签到奖励,
254,,V%d双倍,
260,,兑换码,
261,,请输入您的兑换码：,
262,,只能输入16进制数[0-9a-fA-F],
263,,该礼包码不存在或已失效,
271,,召唤,
272,,召唤师，您的队伍没满员，是否真的保存队伍？,
273,,队伍保存成功！,
281,,购买召唤师,
282,,是否确定花费下列钻石购买召唤师,
283,,花费金额,
284,,初始获得,
285,,通关剧情关卡1-8获得,
286,,通关剧情关卡3-1获得,
287,,七日活动期间促销,
288,,%d级解锁新章节\n\n前往竞技场对战可快速提升等级\n\n挑战关卡以及完成任务也可获得经验,
289,,普通章节第一章未通关,
,,,
291,,工会商店,
292,,个人任务,
293,,公会大厅,
294,,团体任务,
295,,公会征战,
296,,施放技能,
297,,取消技能,
298,,请选择施法位置,
300,公会1/2,公会系统将在角色%d等级开放,
301,,公会开放,
302,,查找不到公会,
303,,公会名称已存在,
304,,不超过6个字,
305,,公会名称不合法,
306,,你需要等待%d小时%d分钟才能加入新公会,
307,,已达到申请上限,
308,,%s公会未通过你的入会申请,
309,,你确认退出%s公会？,
310,,是否任命%s玩家为副会长,
311,,你被任命为%s职务,
312,,副会长人数已达到可任命的上限,
313,,你已被撤任%s职务,
314,,你确定把%s职位移交给该玩家吗？,
315,,你确定把%s玩家踢出公会吗？,
316,,%s玩家被踢出公会,
317,,非常抱歉，你已被踢出%s公会,
318,,<div fontcolor=#fcf895 fontsize=20 outline=2&#250b01>%s</div><div fontcolor=#fd5900 fontsize=20 outline=2&#250b01>%s</div><div fontcolor=#fcf895 fontsize=20 outline=2&#250b01>加入公会</div>,
319,,<div fontcolor=#fcf895 fontsize=20 outline=2&#250b01>%s</div><div fontcolor=#fd5900 fontsize=20 outline=2&#250b01>%s</div><div fontcolor=#fcf895 fontsize=20 outline=2&#250b01>退出公会</div>,
320,,<div fontcolor=#fcf895 fontsize=20 outline=2&#250b01>%s</div><div fontcolor=#fd5900 fontsize=20 outline=2&#250b01>%s</div><div fontcolor=#fcf895 fontsize=20 outline=2&#250b01>将</div><div fontcolor=#fd5900 fontsize=20 outline=2&#250b01>%s</div><div fontcolor=#fcf895 fontsize=20 outline=2&#250b01>踢出公会</div>,
321,,<div fontcolor=#fcf895 fontsize=20 outline=2&#250b01>%s</div><div fontcolor=#fd5900 fontsize=20 outline=2&#250b01>%s</div><div fontcolor=#fcf895 fontsize=20 outline=2&#250b01>将</div><div fontcolor=#fd5900 fontsize=20 outline=2&#250b01>%s</div><div fontcolor=#fcf895 fontsize=20 outline=2&#250b01>任命为副会长</div>,
322,,<div fontcolor=#fcf895 fontsize=20 outline=2&#250b01>%s</div><div fontcolor=#fd5900 fontsize=20 outline=2&#250b01>%s</div><div fontcolor=#fcf895 fontsize=20 outline=2&#250b01>将</div><div fontcolor=#fd5900 fontsize=20 outline=2&#250b01>%s</div><div fontcolor=#fcf895 fontsize=20 outline=2&#250b01>分配给</div></div><div fontcolor=#fd5900 fontsize=20 outline=2&#250b01>%s</div>,
323,,个人任务,
324,,团队任务,
325,,排行榜,
326,,奖励,
327,,前往,
328,,接受,
329,,领取,
330,,是否设置%s为下次目标任务？,
331,,宝箱一览,
332,,公会下一个挑战的敌方召唤师难度为%d,
333,,请完成任意一个奉献才可领取教堂奖励,
334,,礼拜奉献,
335,,礼拜奉献说明：,
336,,金币奉献,
337,,金币奉献说明：,
338,,钻石奉献,
339,,钻石奉献说明：,
340,,创建公会,
341,,%d级以上可以申请,
342,,操作过于频繁，请稍后再试！,
343,,<div fontcolor=#fcf895 fontsize=20 outline=2&#250b01>%s</div><div fontcolor=#fd5900 fontsize=20 outline=2&#250b01>%s</div><div fontcolor=#fcf895 fontsize=20 outline=2&#250b01>将权利移交给</div><div fontcolor=#fd5900 fontsize=20 outline=2&#250b01>%s</div>,
344,,<div fontcolor=#fcf895 fontsize=20 outline=2&#250b01>%s</div><div fontcolor=#fd5900 fontsize=20 outline=2&#250b01>%s</div><div fontcolor=#fcf895 fontsize=20 outline=2&#250b01>撤任</div><div fontcolor=#fd5900 fontsize=20 outline=2&#250b01>%s</div>,
345,,教堂奖励,
346,,教堂%d级奖励,
347,,仅可由会长和副会长执行,
348,,第%s章精英关卡,
349,,英雄到达%d星即解锁该天赋,
350,,现价：,
351,活动副本,活动已经结束,
352,,当前副本即将开启，请耐心等待,
353,,挑战次数已经用完，可购买更多挑战次数,
354,,活动开启时间：每日%d点%d分,
355,,活动开启时间：每周%d%d点%d分,
356,,活动开启时间：每月%d日%d点%d分,
357,,活动开启时间：每年%d月%d日%d点%d分,
358,,活动开启时间：%d月%d日%d点%d分,
359,,活动结束倒计时：,
360,,活动结束时间：每周%d点%d分,
361,,活动结束时间：每月%d日%d点%d分,
362,,活动结束时间：每年%d月%d日%d点%d分,
363,,活动结束时间：%d月%d日%d点%d分,
364,,挑战次数：%d/%d,
365,,简单,
366,,普通,
367,,困难,
368,,攻略,
369,,奖励,
370,,已经达到最大购买次数,
371,,购买次数最少为1,
372,,今日购买次数已经用完,
373,,3星首杀,
374,,推荐队伍,
375,,3星通关时间：3天前,
376,,3星通关时间：昨天,
377,,3星通关时间：今天,
378,,3星通关时间：前天,
379,,通关装备,
380,,暂时没有攻略，您可以亲自抢沙发,
381,,%d秒后恢复%d点挑战次数,
382,,下次开启时恢复%d点挑战次数,
383,,挑战次数不恢复,
384,,每天%d点%d分恢复%d点挑战次数,
385,,每周%d%d点%d分恢复%d点挑战次数,
386,,3星通关时间：%d年%d月%d日,
387,,挑战次数不足，无法挑战！,
388,,前往抽卡,
389,,点击下方按钮即可使用钻石兑换金币！,
390,,次数不足,
391,精英世界地图,挑战次数已达上限,
392,,是否花费%d钻石重置关卡？,
393,,（今日已购买%d/%d次）,
394,,该活动已结束！,
395,,未获得,
396,,关卡%d级解锁，,
397,,稀有装备！,
398,,此装备为稀有装备,
399,,你确定卖掉换酒喝？,
400,邮件系统,背包已满，无法接受邮件奖励，请先扩容,
401,,信箱,
402,,主题：,
403,,来自：,
404,,剩余%d天,
405,,未读,
406,,已读,
407,,暂时没有相关邮件喔！,
408,,亲爱的玩家：,
409,,系统,
410,,背包已满,
411,,背包已满，奖励暂时存放在邮件中，请及时领取（本邮件在%d天内自动删除，请及时领取）,
412,,任务奖励,
413,,您有任务奖励没领取，请及时查收（本邮件在%d天内自动删除，请及时领取）,
414,,竞技场奖励,
415,,您有竞技场奖励没领取，请及时查收（本邮件在%d天内自动删除，请及时领取）,
416,,物攻：,
417,,生命：,
418,,护甲：,
419,,魔抗：,
420,,攻击范围：,
421,,移动速度：,
422,,水晶消耗：,
423,,冷却时间：,
424,,魔攻：,
425,,竞技场排名奖励,
426,,根据您的竞技场排名获得了奖励，请及时领取（本邮件在%d天内自动删除，请及时领取）,
427,,闪避：,
428,,攻击速度：,
429,,条,
430,,随机属性,
431,聊天系统,该功能玩家需要%d级开启，请您加油提升实力,
432,,输入的内容不能为空,
433,,输入的字数不能超过40字,
434,,您发送聊天过于频繁，请稍后再发言,
435,,您今天的发言次数超过%d，请明天继续发言,
436,,世\n界,
437,,手指上滑，取消发送,
438,,松开手指，取消发送,
439,,表情,
440,,道具,
441,,设置条件,
442,,低于该等级的玩家发言将会被屏蔽,
443,,显示条件,
444,,请勾选出要显示在聊天栏中的聊天模式,
445,,世界模式,
446,,公会模式,
447,,显示,
448,,你还没有加入公会，快去加入公会吧,
449,,最少要有一种聊天模式显示在聊天栏中,
450,,天赋已保存,
451,,,
452,,,
453,微笑,[wx],
454,呆呆,[dd],
455,流汗,[lh],
456,酷,[ku],
457,调皮,[tp],
458,同情,[tq],
459,呕吐,[ot],
460,惊讶,[jy],
461,夸奖,[kj],
462,鄙视,[bs],
463,疑问,[yw],
464,幸福,[xf],
465,愉快,[yk],
466,晕,[yu],
467,大汗,[dh],
468,困,[kun],
469,尴尬,[gg],
470,花痴,[hc],
471,无语,[wy],
472,大笑,[dx],
473,大哭,[dk],
474, 难过,[ng],
475,委屈,[wq],
476,坏笑,[hx],
477,出丑,[cc],
478,愤怒,[fn],
479,呛,[qa],
480,贪财,[tc],
481,送花,[sh],
482,示爱,[sa],
483,心碎,[xs],
484,强大,[qd],
485,弱小,[rx],
486,ok,[ok],
487,晚安,[wa],
488,早安,[za],
489,,,
490,,,
491,,,
492,,,
493,,,
494,,,
495,,,
496,,长按召唤师头像查看详细信息,
497,,长按英雄头像查看详细信息,
498,,种族排序,
499,,职业排序,
500,公共,确定,
501,,取消,
502,,专属特权,
503,,已领取,
504,,装备,
505,,技能,
506,,升级,
507,,升星,
508,,等级,
509,,经验,
510,,属性,
511,,背景,
512,,等级,
513,,全部,
514,,人族,
515,,死灵族,
516,,其它,
517,,自然族,
518,,种族：,
519,,,
520,,守卫,
521,,战士,
522,,射手,
523,,法师,
524,,刺客,
525,,贤者,
526,,经验道具,
527,,技能石,
528,,级,
529,,返回,
530,,钻石不足,
531,,购买成功,
532,,近战攻击范围 ,
533,,远程攻击范围,
534,,移动速度,
535,,生命,
536,,物理攻击,
537,,魔法攻击,
538,,物理减伤 ,
539,,护甲 ,
540,,魔法减伤 ,
541,,魔抗 ,
542,,物理穿透 ,
543,,魔法穿透 ,
544,,攻击速度 ,
545,,吸血,
546,,反弹 ,
547,,闪避,
548,,暴击,
549,,暴击伤害 ,
550,,怒气上限,
551,,怒气回复,
552,,魔法上限,
553,,魔法回复 ,
554,,质量 ,
555,,霸体值上限 ,
556,,霸体值恢复速度 ,
557,,仇恨,
558,,派发冷却,
559,,慢,
560,,很慢,
561,,普通,
562,,快,
563,,很快,
564,,近,
565,,中,
566,,远,
567,,很远,
568,,+,
569,,-,
570,,无,
571,,攻击距离,
572,,金币不足,
573,,上锁成功,
574,,解锁成功,
575,,购买次数,
576,,已购买次数（%d/%d),
577,,总价,
578,,满,
579,,一键领取,
580,,背包满容时，道具自动发送邮箱，请及时查收领取。,
581,,可领取,
582,,死灵族,
583,,当前队伍,
584,,等级排序,
585,,星级排序,
586,,水晶消耗排序,
587,,获得时间排序,
588,,故事,
589,,卸下,
590,,更换,
591,,英雄卡包,
592,,出售 %s 将会获得：,
593,,尚未习得,
594,,尚未领悟,
595,,已达到满级,
596,,正在冷却中,
597,,请提升水晶等级来解锁技能,
598,,抽卡券,
599,,最高品质,
600,,最低品质,
601,,,
602,,,
603,,,
604,,等级,
605,,提示,
606,,开,
607,,关,
608,,天赋,
609,,英雄,
610,,使用等级限制：,
611,,职业：,
612,,武器,
613,,头饰,
614,,衣服,
615,,鞋子,
616,,饰品,
617,,宝器,
618,,,
619,,,
620,,,
621,,,
622,,,
623,,,
624,,今日已购买次数,
625,,已购买,
626,,购买,
627,,充值,
628,,,
629,,,
630,,请选择更换的%s,
631,,当前部位没有穿戴装备,
632,,目前没有该系列装备,
633,,仅作联系，没有奖励,
634,,公平竞技,
635,,竞技场模式下玩家等级均相同,
636,,打的不错！看来你的卡组已经具有不错的实力。快去竞技场试试和其他玩家进行即时对战吧！,
637,,铸造,
638,,铁匠铺,
,,,
,,,
700,,登录,
701,,今日累积充值达60钻,
702,,召唤师等级达到12级,
703,,今日累计在线达到60分钟,
704,,今日累计在线达到120分钟,
705,,通关1次世界冒险第1章第9关,
706,,通关1次世界冒险精英第1章第3关,
707,,召唤师数量达到2个,
708,,拥有3位15级英雄,
709,,累计消耗120点体力值,
710,,完成所有成长任务,
711,,今日累积充值达120钻,
712,,今日累积充值达300钻,
713,,召唤师等级达到18级,
714,,今日累积充值达680钻,
715,,,
716,,通关1次世界冒险第1章第15关,
717,,通关1次世界冒险精英第2章第1关,
718,,参与两次金币试炼,
719,,,
720,,拥有3个2星英雄,
721,,竞技场公平竞技取得三次胜利,
722,,,
723,,,
724,,召唤师等级达到21级,
725,,召唤师等级达到22级,
726,,,
727,,,
728,,通关1次世界冒险第2章第6关,
729,,通关1次世界冒险精英第2章第4关,
730,,参与两次金币试炼,
731,,,
732,,拥有三个蓝色英雄,
733,,拥有5个2星英雄,
734,,完成2次英雄试炼,
735,,爬塔试炼通过第3层,
736,,等级达到26级,
737,,召唤师等级达到26级,
738,,,
739,,,
740,,通关1次世界冒险第2章第12关,
741,,通关1次世界冒险精英第3章第1关,
742,,参与五次装备打造,
743,,打造出一件紫色装备,
744,,拥有7个20级英雄,
745,,在神秘商店进行手动刷新2次,
746,,,
747,,,
748,,,
749,,,
750,,等级达到29级,
751,,召唤师等级达到29级,
752,,,
753,,,
754,,通关1次世界冒险第3章第3关,
755,,通关1次世界冒险精英第3章第3关,
756,,升级2次英雄技能成功,
757,,任意英雄的一个技能达到3级,
758,,爬塔试炼通过第4层,
759,,,
760,,,
761,,,
762,,,
763,,等级达到32级,
764,,等级达到33级,
765,,,
766,,,
767,,通关1次世界冒险第3章第9关,
768,,通关1次世界冒险精英第3章第5关,
769,,获得4个召唤师,
770,,爬塔试炼通过第5层,
771,,,
772,,,
773,,,
774,,,
775,,召唤师等级达到32级,
776,,召唤师等级达到34级,
777,,拥有3个3星英雄,
778,,,
779,,通关1次世界冒险第3章第15关,
780,,通关1次世界冒险精英第4章第1关,
781,,爬塔试炼通过第6层,
782,,7个英雄全部升过星,
783,,7个英雄全部升过星,
784,,,
785,,普通,
786,,罕见,
787,,稀有,
788,,史诗,
789,,传说,
790,,,


,,,
,,,
800,竞技场,%d秒后进入战场,
801,,今天,
802,,%d天前,
803,,十天以上,
804,,竞技场规则：\n1.不同的训练师代表了各种不同的打法；\n\n2.训练师和你会在同一等级水平进行对抗；\n\n3.点击“对抗电脑”按钮将匹配当前显示训练师进行战斗；\n\n4.和训练师战斗不会有任何的积分变化；\n\n5.同样的，和训练师战斗也不会有任何的奖励发放。,
805,,胜场奖励规则说明,
806,,新手,
807,,青铜,
808,,白银,
809,,黄金,
810,,珀金,
811,,钻石,
812,,王者,
813,,等待组,
814,,茅坑小王子,
815,,一区霸主,
816,,单手杀你,
817,,与其他玩家进行%d场竞技对战,
818,,在玩家对战中获得%d次胜利,
819,,在玩家对战中获得%d连胜,
820,,竞技场,
821,,阵容,
822,,排行,
823,,战报,
824,,商店,
825,,匹配,
826,,匹配对手中,
827,,找到对手！,
828,,竞技积分,
829,,竞技排名,
830,,历史最高排名：,
831,,当前排名：,
832,,可获得奖励：,
833,,每日奖励发送至邮箱,
834,,信息,
835,,确认出战队伍,
836,,进入,
837,,竞技排名取得历史最高,
838,,奖励将通过邮件发放,
839,,您在竞技场中意外退出，我们正在努力将您传送过去,
840,,您的对手退出了游戏。,
841,,您的对手网络异常，正在重连。,
842,,您的对手重新进入了游戏。,
843,,竞技排名突破,
844,,历史最高,
845,,10000名外无奖励,
846,,战斗时间超时,
,,,
,,,
,,,
900,公会2/2,公会列表,
901,,您还没有加入任何公会。\n您可以选择创建公会或者加入一个公会。,
902,,公会等级,
903,,会长：,
904,,人数：,
905,,不显示满员公会,
906,,已申请：,
907,,请输入查找的公会名称或ID,
908,,大厅,
909,,公会活跃度,
910,,成员,
911,,事件信息,
912,,公会列表,
913,,审核,
914,,退会,
915,,名称,
916,,等级,
917,,职位,
918,,状态,
919,,今日活跃,
920,,会长,
921,,副会长,
922,,在线,
923,,离线,
924,,<div fontcolor=#fcf895 fontsize=20 outline=2&#250b01>你是否花费</div><div fontcolor=#fd5900 fontsize=20 outline=2&#250b01>%d</div><div fontcolor=#fd5900 fontsize=20 outline=2&#250b01>%s</div><div fontcolor=#fcf895 fontsize=20 outline=2&#250b01>创建公会</div>,
925,,空,
926,,任命,
927,,权限移交,
928,,查看信息,
929,,发送聊天,
930,,添加好友,
931,,踢出,
932,,撤任,
933,,编号,
934,,人数,
935,,等级：,
936,,成员：,
937,,头像,
938,,竞技排名,
939,,拒绝,
940,,同意,
941,,申请成功,
942,,申请失败,
943,,创建成功,
944,,创建失败,
945,,审核时间已过,
946,,已经拥有公会,
947,,等级不足,
948,,费用不足,
949,,公会满员,
950,,创建公会冷却时间没到,
951,,申请公会冷却时间没到,
952,,公会名不合法,
953,,公会名重复,
954,,公会不存在,
955,,重复申请公会,
956,,申请次数不足,
957,,权限不足,
958,,退会成功,
959,,退会失败,
960,,请先转移权限,
961,,您没有公会,
962,,正在为您跳转到大厅界面,
963,,审核成功,
964,,审核失败,
965,,副会长人数超过限制,
966,,操作失败,
967,,你确认撤任 %s 的 %s 职务？,
968,,是否向%s申请入会,
969,,是否取消对 %s 公会的入会申请？,
970,,取消申请,
971,,确定,
972,,退出,
973,,继续,
974,,退出游戏将会丢失此次关卡的进度，你确定要退出战斗吗？,
975,,连接服务器失败，请检查网络后重试！,
976,,,
977,,,
978,,,
979,,,
980,,,
981,,金币,
982,,十连抽卷,
983,,金币,
984,,金币,
985,,金币,
986,,金币,
987,,金币,
988,,,
989,,,
990,,,
,,,
,,,
1000,试练,您的等级不足,
1001,,该副本今日不开启,
1002,,您今天的英雄试练次数已用完,
1003,,您已领取过该宝箱了,
1004,,您还不能领取,
1005,,您今天的金币试练次数已用完,
1006,,%s系英雄加成,
1007,,%d：+%d%% \n%d：+%d%% \n%d：+%d%% ,每一行第一个%d是加成的属性，第二个%d该属性的加成幅度
1008,,1.对敌方召唤师造成的伤害越高，获得的金币越多！\n2.队伍等级可带来额外金币奖励！\n3.今日累积伤害达到一定值，可以领取额外的金币奖励！\n4.带上你伤害最高的小伙伴来战吧！,
1009,,暂定,
1010,,排行榜规则,
1011,,只有3星的通过%d层才能继续一键爬塔,
1012,,召唤师试练将会在%d级开放,
1013,,今日剩余次数,
1014,,使用,
1015,,使用数量,
1016,,已对敌方召唤师造成伤害：,
1017,,当前已经为最大使用数量,
,,,
1018,,1.击败对手完成英雄试炼\n2.战斗评星越高奖励越丰厚\n3.灵活运用英雄将使战斗更容易,
1019,,每周%s开启,
1020,,点击迎战敌人后，本日将不可再一键爬塔。是否继续？,
1021,,点击一键爬塔后，将自动跳过战斗，获得最高额度奖励直到%d层。将会获得%d颗水晶补充。是否继续？,
1022,,你最终倒在了试炼之塔的第%d层。好好休息，明日再战吧,
1023,,刺客联盟,
1024,,不死冲锋,
1025,,法师议会,
1026,,牧师教堂,
1027,,射手之家,
1028,,战士营地,
1029,,今天的爬塔试练已结束啦，请您明天零点再来挑战！~,
1030,,难度%d,
1031,,剩余挑战次数：,
1032,,规则介绍,
1033,,通关奖励,
1034,,敌方召唤师介绍,
1035,,当前星星不足,
1036,,领取额外奖励,
1037,,金币试炼,
1038,,英雄试炼,
1039,,活动副本,
1040,,爬塔试炼,
1041,,副本,
1042,,试炼规则：\n\n1. 每层爬塔挑战，玩家在挑战成功前均有无限次的挑战机会。\n\n2. 爬塔试炼于每周一凌晨0点结束。\n\n3. 爬塔试炼结束后将根据排名发放相应的奖励，玩家重新登录游戏即可在邮件中领取。,
,,,
1043,,使用数量最小为一个,
1100,,目标任务,
1101,,现在你处在远征冷却时间中,
1102,,任务计时,
1103,,非目标任务,
1104,,冷却计时：,
1105,,任务时间已结束,
1106,,任务挑战时间内不能设置,
1107,,当前没有目标任务,
1108,,会长和副会长可以设置远征营下次的目标任务。目标任务将会在任务刷新时生效。刷新前期间可以更换目标任务。,
1109,,远征营在公会等级%d时开启,
1110,,该任务已被设置为目标任务,
1111,,远征营,
1112,,任务列表,
1113,,挑战次数：,
1114,,兑换奖励,
1115,,在刚刚的任务中，大家获得了以下物品。物品会出现在公会商店中。大家可以使用公会贡献兑换。,
1116,,下次目标,
1117,,前往,
1118,,寻获宝藏,
1119,,可能掉落,
1120,,团队奖励,
1121,,前往商店,
1122,,刷新时间：,
1123,,挑战次数不足,
1124,,任务已超时，伤害结算无效,
1125,,任务已完成,
1126,,(今日已刷新%d次),
1127,,一,
1128,,二,
1129,,三,
1130,,四,
1131,,五,
1132,,六,
1133,,七,
1134,,八,
1135,,九,
1136,,十,
1137,,十一,
1138,,十二,
1139,,十三,
1140,,十四,
1141,,十五,
1142,,十六,
1143,,十七,
1144,,十八,
1145,,十九,
1146,,二十,
1147,,日,
1148,,特权%d开启扫荡多次,
1149,,、,
,,,
,,,
"1200			",,,
1201,,攻击距离增加%d%%,
1202,,攻击距离增加%d%%,
1203,,移动速度增加%d%%,
1204,,生命增加%d点,
1205,,生命增加%d%%,
1206,,物理攻击增加%d点,
1207,,物理攻击增加%d%%,
1208,,魔法攻击增加%d点,
