语言ID（英雄1-5000|召唤师5000-10000|怪物10000-15000|魔王15000-20000）,说明,CN
267,2星天赋名称,
268,2星天赋描述,
269,3星天赋名称,
270,3星天赋描述,
271,4星天赋名称,
272,4星天赋描述,
273,5星天赋名称,
274,5星天赋描述,
,,
281,英雄名称,投石车
282,英雄描述,
283,英雄技能1名称,
284,英雄技能1描述,
285,英雄技能2名称,
286,英雄技能2描述,
287,2星天赋名称,
288,2星天赋描述,
289,3星天赋名称,
290,3星天赋描述,
291,4星天赋名称,
292,4星天赋描述,
293,5星天赋名称,
294,5星天赋描述,
,,
301,英雄名称,水元素
302,英雄描述,
303,英雄技能1名称,
304,英雄技能1描述,
305,英雄技能2名称,
306,英雄技能2描述,
307,2星天赋名称,
308,2星天赋描述,
309,3星天赋名称,
310,3星天赋描述,
311,4星天赋名称,
312,4星天赋描述,
313,5星天赋名称,
314,5星天赋描述,
,,
321,英雄名称,牛头人
322,英雄描述,
323,英雄技能1名称,
324,英雄技能1描述,
325,英雄技能2名称,
326,英雄技能2描述,
327,2星天赋名称,
328,2星天赋描述,
329,3星天赋名称,
330,3星天赋描述,
331,4星天赋名称,
332,4星天赋描述,
333,5星天赋名称,
334,5星天赋描述,
,,
341,英雄名称,海巨人
342,英雄描述,
343,英雄技能1名称,
344,英雄技能1描述,
345,英雄技能2名称,
346,英雄技能2描述,
347,2星天赋名称,
348,2星天赋描述,
349,3星天赋名称,
350,3星天赋描述,
351,4星天赋名称,
352,4星天赋描述,
353,5星天赋名称,
354,5星天赋描述,
,,
361,英雄名称,石巨人
362,英雄描述,
363,英雄技能1名称,
364,英雄技能1描述,
365,英雄技能2名称,
366,英雄技能2描述,
367,2星天赋名称,
368,2星天赋描述,
369,3星天赋名称,
370,3星天赋描述,
371,4星天赋名称,
372,4星天赋描述,
373,5星天赋名称,
374,5星天赋描述,
,,
381,英雄名称,森巨人
382,英雄描述,
383,英雄技能1名称,
384,英雄技能1描述,
385,英雄技能2名称,
386,英雄技能2描述,
387,2星天赋名称,
388,2星天赋描述,
389,3星天赋名称,
390,3星天赋描述,
391,4星天赋名称,
392,4星天赋描述,
393,5星天赋名称,
394,5星天赋描述,
,,
401,英雄名称,骷髅战士
402,英雄描述,
403,英雄技能1名称,
404,英雄技能1描述,
405,英雄技能2名称,
406,英雄技能2描述,
407,2星天赋名称,
408,2星天赋描述,
409,3星天赋名称,
410,3星天赋描述,
411,4星天赋名称,
412,4星天赋描述,
413,5星天赋名称,
414,5星天赋描述,
,,
421,英雄名称,僵尸
422,英雄描述,
423,英雄技能1名称,
424,英雄技能1描述,
425,英雄技能2名称,
426,英雄技能2描述,
427,2星天赋名称,
428,2星天赋描述,
429,3星天赋名称,
430,3星天赋描述,
431,4星天赋名称,
432,4星天赋描述,
433,5星天赋名称,
434,5星天赋描述,
,,
441,英雄名称,骷髅弓手
442,英雄描述,
443,英雄技能1名称,
444,英雄技能1描述,
445,英雄技能2名称,
446,英雄技能2描述,
447,2星天赋名称,
448,2星天赋描述,
449,3星天赋名称,
450,3星天赋描述,
451,4星天赋名称,
452,4星天赋描述,
453,5星天赋名称,
454,5星天赋描述,
,,
461,英雄名称,幽灵
462,英雄描述,
463,英雄技能1名称,
464,英雄技能1描述,
465,英雄技能2名称,
466,英雄技能2描述,
467,2星天赋名称,
468,2星天赋描述,
469,3星天赋名称,
470,3星天赋描述,
471,4星天赋名称,
472,4星天赋描述,
473,5星天赋名称,
474,5星天赋描述,
,,
481,英雄名称,雪女
482,英雄描述,
483,英雄技能1名称,
484,英雄技能1描述,
485,英雄技能2名称,
486,英雄技能2描述,
487,2星天赋名称,
488,2星天赋描述,
489,3星天赋名称,
490,3星天赋描述,
491,4星天赋名称,
492,4星天赋描述,
493,5星天赋名称,
494,5星天赋描述,
,,
501,英雄名称,屠夫
502,英雄描述,
503,英雄技能1名称,
504,英雄技能1描述,
505,英雄技能2名称,
506,英雄技能2描述,
507,2星天赋名称,
508,2星天赋描述,
509,3星天赋名称,
510,3星天赋描述,
511,4星天赋名称,
512,4星天赋描述,
513,5星天赋名称,
514,5星天赋描述,
,,
521,英雄名称,死灵召唤师
522,英雄描述,
523,英雄技能1名称,
524,英雄技能1描述,
525,英雄技能2名称,
526,英雄技能2描述,
527,2星天赋名称,
528,2星天赋描述,
529,3星天赋名称,
530,3星天赋描述,
531,4星天赋名称,
532,4星天赋描述,
533,5星天赋名称,
534,5星天赋描述,
,,
541,英雄名称,死亡骑士
542,英雄描述,
543,英雄技能1名称,
544,英雄技能1描述,
545,英雄技能2名称,
546,英雄技能2描述,
547,2星天赋名称,
548,2星天赋描述,
549,3星天赋名称,
550,3星天赋描述,
551,4星天赋名称,
552,4星天赋描述,
553,5星天赋名称,
554,5星天赋描述,
,,
561,英雄名称,巫妖
562,英雄描述,
563,英雄技能1名称,
564,英雄技能1描述,
565,英雄技能2名称,
566,英雄技能2描述,
567,2星天赋名称,
568,2星天赋描述,
569,3星天赋名称,
570,3星天赋描述,
571,4星天赋名称,
572,4星天赋描述,
573,5星天赋名称,
574,5星天赋描述,
,,
581,英雄名称,吸血鬼勋爵
582,英雄描述,
583,英雄技能1名称,
584,英雄技能1描述,
585,英雄技能2名称,
586,英雄技能2描述,
587,2星天赋名称,
588,2星天赋描述,
589,3星天赋名称,
590,3星天赋描述,
591,4星天赋名称,
592,4星天赋描述,
593,5星天赋名称,
594,5星天赋描述,
