语言ID,策划说明,CN,
33,,升到4级是很厉害，但是你升级是会消耗大量水晶的，这个期间你是没有水晶召唤英雄的，所以要合理的搭配发兵和升级时间！继续召唤英雄击败敌人吧！,
34,,哎哎哎？怎么她一上来就能召唤野兽？,
35,,别慌，你也是召唤师！我来教你如何召唤自己的英雄！,
36,,原来艾丽卡的能力是能够治疗受伤的同伴啊，为什么我不能使用自己的能力呢？,
37,,你的战场洞察力不错，召唤师们都有自己特有的能力，我来教你如何解锁召唤师技能！,
38,,实战的感觉果然不一样，想不到还有这么多细节要注意，热身完毕，接下来就要在竞技场大显身手了！,
39,,继续努力吧，你要学的东西还很多！,
40,,可恶！有基佬拉我裤链！,
41,,火枪手：只要有战士的掩护，我就能在后排输出成吨的伤害！,
42,,盗贼：我擅长利用潜行避开战士，从而奇袭后排的敌人！,
43,,点击英雄头像继续召唤英雄！,
,,,
101,,欢迎来到埃米尔大陆，就从这里开始你的冒险之路吧！,
102,,一键编队可以快速配置队伍，你也可以自由进行队伍配置。,
103,,村子里有一位很漂亮的妹妹送了你一张抽卡券，快去看看吧！,
104,,日常任务开启了，记得经常查看任务，随时会有新的任务开启哦！,
105,,18年前...,
106,,        在和玩家进行实时对战之前，我们先和训练师熟悉一下战斗流程。,
107,,        我想你也迫不及待想要挑战其他玩家了，只要点击主界面的中间位置就能进行实时竞技。,
108,,<font face='fonts/msyh.ttf' size='22'>        竞技场的对手都是有备而来的，随时确保自己的英雄队伍有一定的练度和装备，才能在竞技场无往不利，百战不殆！</font>,
109,,        因此你只能依靠过人的智慧和实力来战胜对手！,
110,,        接下来，我们来看一下竞技场的奖励~,
111,,        在竞技场击败其他玩家就能获得丰厚的奖励哦！那么，现在就开启你的竞技之旅吧！,
,,,
113,,莱奥哥哥，你看埃迪的实力提升了好多！,
114,,        竞技场可是高手云集的地方，想要大显身手的话就多来这里和其他玩家进行对战吧！,
116,,抽卡券可以随机获得一名英雄，快去召唤大厅试试手气吧！,
117,,      点击按钮抽卡,
118,,偷偷告诉你一个小技巧：三星通关后使用扫荡功能可以快速获取关卡掉落哦！,
,,,
121,,在这里你可以查看英雄的信息，还可以管理他们的各种能力~我们先来学习下给英雄升级吧！,
124,升级,通过升级可以提升英雄能力,
125,道具,使用你的升级道具,
126,,食物可以让英雄获得升级所需的经验，越高级的食物提供的经验越多！,
127,,英雄升级之后能获得基础属性成长！,
128,,召唤师系统已经开始，快点去看看新的召唤师吧！,
134,副本,金币试炼已开启！完成挑战的同时可以获得大量金币奖励哦！,
147,,这里可以详细的查看所有召唤师的技能介绍和角色信息。,
148,,精英关卡可以获取英雄提升的材料！不过要确保自己实力足够再进行挑战哦！,
149,,<font face='fonts/msyh.ttf' size='20'><font face='fonts/msyh.ttf' color='B3EE3A' size='21'>小鹿</font>：我是来自森林的法师，可以帮你消灭大量的敌人！</font>,
150,,<font face='fonts/msyh.ttf' size='20'><font face='fonts/msyh.ttf' color='B3EE3A' size='21'>盾卫</font>：我是盾卫，请到我身后~我会用盾牌保护你们的！</font>,
151,,<font face='fonts/msyh.ttf' size='20'><font face='fonts/msyh.ttf' color='B3EE3A' size='21'>牧师</font>：我可以帮友军提供治疗！</font>,
152,,<font face='fonts/msyh.ttf' size='20'><font face='fonts/msyh.ttf' color='B3EE3A' size='21'>盗贼</font>：我擅长利用潜行避开战士，从而奇袭后排的敌人！</font>,

,,,
234,副本,英雄试炼已开启！在这里可以获得提升英雄等级的经验食物！,
235,副本,爬塔试炼已开启！接受层层挑战可以获得兑换神秘商品的能量碎片！,
236,系统,铁匠铺功能已经开启啦！快去那里打造你心仪的装备吧！,
237,系统,公会系统已经开启啦！快去那里找你的小伙伴吧！,

,,,
,,,
506,,莱奥哥哥，我们刚获得了一套装备，先帮勇士埃迪穿上吧！,
548,,选择英雄领悟的天赋,
549,,去战斗中体验英雄天赋带来的提升效果吧！,
550,,帮你的英雄解锁天赋技能,
,,,
627,抽卡,抽卡,
628,抽卡,抽卡系统已解锁,
629,任务,任务,
630,任务,任务系统已解锁,
631,背包,背包,
632,背包,背包系统已解锁,
633,英雄,英雄,
634,英雄,英雄系统已解锁,
635,商店,商店,
636,商店,商店系统已解锁,
637,竞技场,竞技场,
638,竞技场,竞技场系统已解锁,
639,召唤师,召唤师,
640,召唤师,召唤师系统已解锁,
641,升星,升星,
642,升星,升星和天赋系统已解锁,
643,副本,副本,
644,副本,金币试练已解锁,
645,副本,英雄试炼已解锁,
646,爬塔,爬塔试炼解锁,
647,英雄,第四关通关后解锁,
648,升星,15关通关后解锁,
649,副本,20级解锁副本系统,
650,英雄试练,23级解锁英雄试练,
651,爬塔,26级解锁英雄试练,
652,竞技场,第六关通关后解锁,
653,背包,第四关通关后解锁,
654,铁匠铺,铁匠铺,
655,装备打造,装备打造系统已解锁,
656,公会,公会,
657,公会,公会系统已解锁,
658,公会,通关第一章第十五关解锁公会系统,
659,召唤师,通关第一章第八关解锁召唤师系统,
660,英雄,通关第六关解锁英雄系统,
661,升星,通关第六关解锁升星系统,
662,试炼,通关第一章第十二关解锁副本试炼系统,
663,英雄试炼,通关第二章第九关解锁英雄试炼，可通过试炼获得经验食物,
664,爬塔试炼,通关第三章第三关解锁爬塔试炼，通过爬塔试炼可获取装备材料,
665,竞技场,通关第一章第八关解锁竞技场系统,
666,背包,通关第六关解锁背包系统,
667,铁匠铺,通关第二章第一关解锁装备打造系统,
668,神秘商店,通关第一章第八关解锁神秘商店,
669,金币试炼,通关第一章第十二关解锁金币试炼,





,,,
1001,提示,森巨人：我受伤了，需要治疗！！,
,,,
1500,勇士名,埃迪,
1501,村民名,村民,
1502,野猪名,野猪,
1503,火法名,布鲁斯,
1504,死神名,霍尔顿,
1505,主角名,莱奥,
1506,灰熊名,灰熊,
1507,小龙名,小龙,
1508,村长名,村长,
1509,小龙名,辟谷,
1510,女主名,艾丽卡,
1511,骷髅名,骷髅,
1512,公会骑士名,公会骑士,
1513,罗迪亚克名,罗迪亚克,
1514,蛛魔名,蛛魔,
1515,盗贼名,盗贼,
1516,解说员名,考试解说,
1517,校长名,校长,
1518,约修亚名,约修亚,
1519,随从名,死灵随从,
1520,兰尼名,兰尼,
1521,树人名,树人,
1522,泰利斯名,泰利斯,
1523,人族学生名,人族学生,
1524,死灵族学生,死灵族学生,
1525,自然族学生名,自然族学生,
1526,人族村民名,人族村民,
1527,校长名,伊莎贝尔,
1528,人族长老名,长老,
1529,嗜血者名,嗜血者,
1530,士兵长名,士兵长,
1531,盗墓贼名,盗墓贼,
1532,骨龙名,骨龙,
1532,蛋卡名,蛋卡,
1533,龙蛋名,一颗蛋,
1534,奥若拉名,奥若拉,
1535,召唤龙蛋,召唤蛋卡,
1536,骑士团伙,骑士团伙,
1537,自然族考生,自然族考生,
1538,烧焦的木屋,烧焦的木屋,
1539,屠夫,屠夫,
1540,自然族士兵,自然族士兵,
1541,小杰名,小杰,
1542,小杰哥哥,小杰哥哥,
1543,拉娜名,拉娜,
1544,凯德名,凯德,
1545,巫妖名,巫妖,
1546,掘墓名,掘墓者,
1547,熊怪名,熊怪,
1548,自然族国王名,奥登,
1549,人族将领,人族将领,
1550,大长老,大长老,
1551,尤达米尔,尤达米尔,
1552,狂暴泉灵,狂暴泉灵,
1553,妮莎名,妮莎,
1554,牧师名,牧师,
1555,盾卫名,佩丽丝,
1556,引导员名,新手引导员,

,,,
100101,100关卡对话1,可恶的老头子，总是拿他那条破龙来折磨我！等本大爷收集足够的英雄卡牌之后，我一定……,
100102,100关卡对话1,莱奥你在那嘀咕什么呢？今天的训练先到这了，先去山下村长家给我带壶酒来，记住要温的。,
100103,100关卡对话1,在面对大批敌人时，剑气斩击可以很好地减缓场面上的压力！,
100104,100关卡对话1,是，师傅，我马上下山！,
100105,100关卡对话1,如果准备好的话，那我们就开始冒险吧！,
,,,
110107,101关卡对话7,脆皮火枪手需要在勇士的掩护下进行输出！,
,,,
110201,102关卡对话1,小鹿的流星雨是狼群的克星，要保护好她哟！,
110202,,<font face='fonts/msyh.ttf' size='20'><font face='fonts/msyh.ttf' color='B3EE3A' size='21'>盾卫</font>：请到我身后~我会用盾牌保护你们的！</font>,
,,,
110301,103关卡对话7,今天的野兽感觉特别活跃呢？,
110302,103关卡对话8,黄毛小子！竟敢打伤我的小熊和小狼！受死吧！,
110303,103关卡对话9,唉！等等...你听我解释...,
110304,103关卡对话10,说起来你可能不信，是它们先动手的......,
110305,103关卡对话10,哼！看招！,
110306,103关卡对话10,咦？这丢过来的是什么东西？,
110307,103关卡对话10,莱奥哥哥，这可是抽卡券哦~快来城镇找我吧！,
,,,
110401,104关卡对话9,牧师拥有极强的治疗能力，是必不可少的后勤保证！,
110402,104关卡对话9,我们已经有了新的英雄牧师，现在把牧师也加入队伍吧！,
110403,,<font face='fonts/msyh.ttf' size='20'><font face='fonts/msyh.ttf' color='B3EE3A' size='21'>牧师</font>：治疗和回复的工作就交给我吧！</font>,
110404,104关卡对话9,村长，师傅让我打酒来了！,
110405,104关卡对话9,还打什么酒！没看到后面两个巨人都打起来了吗？,
110406,104关卡对话9,你小子还挺有两下子的嘛~我这里还有点下酒菜，你也一起拿走吧！,
110407,104关卡对话9,谢谢村长了，村长您当年不是有套勇士装嘛~反正你也用不上了，索性给我呗！,
110408,104关卡对话9,你小子还真是…,
,,,
110501,105关卡对话1,盗贼潜行后可以绕开敌方战士偷袭后排！,
110502,105关卡对话1,黄毛小子！你竟然偷走了我的抽卡券！快还我！,
110503,105关卡对话1,讲道理，明明就是你丢过来的好吗！,
110504,105关卡对话1,哼！我们走着瞧！,
,,,
110601,106关卡对话14,莱奥，快回去叫你师傅！,
110602,106关卡对话14,村长您别急，慢点说。,
110603,106关卡对话14,骷髅军团来了~~,
110604,106关卡对话14,村长别怕，你直接去找我师傅吧，我先去消灭那群骷髅！,
110605,106关卡对话14,决不让你们踏入村子半步！呃啊啊啊啊啊！！！,
110606,106关卡对话14,臭小子，冷静点！别被这股力量压制了！,
110607,106关卡对话14,我……我刚才是怎么了？,
110608,106关卡对话14,最坏的情况还是发生了……快！快去魔法学院！,
,,,
110801,108关卡对话14,是我的错觉吗？总感觉这树林里好像有人的样子……,
110802,108关卡对话14,放开我！我父王不会放过你的！,
110803,108关卡对话14,我现在就挖个坑把你埋了，看谁还能救你！,
110804,108关卡对话14,你要干什么？快放开我！,
110805,108关卡对话14,住手！欺负一个弱女子，真是卑鄙！,
110806,108关卡对话14,哪来的黄毛小子！把你也一起埋了！,
110807,108关卡对话14,你一个女孩子怎么跑来这种地方？而且穿的好奇怪！,
110808,108关卡对话14,我是塔玛拉的艾丽卡，是来亚特兰探险的！,
110809,108关卡对话14,真是奇怪的家伙，我还要赶路去魔法学院，先告辞了！,
110810,108关卡对话14,魔法学院？等一下！魔法学院好玩吗？,
110811,108关卡对话14,好玩？嗯……就是个学习各种魔法的地方，你要去干什么？,
110812,108关卡对话14,学习各种魔法！？这么有趣的地方肯定很好玩！快走快走！,
110813,108关卡对话14,哎？你别拉我！不是走这边啊~！,
,,,

