语言ID,说明,CN
1110601,角色名称,骑士统领
1110602,角色描述
1110701,角色名称,罗迪亚克
1110702,角色描述
1110801,角色名称,高阶牧师
1110802,角色描述
1110901,角色名称,高阶祭司
1110902,角色描述
1111001,角色名称,皇家火枪手
1111002,角色描述
1111101,角色名称,御魔剑士
1111102,角色描述
1111201,角色名称,御魔剑士
1111202,角色描述
1111301,角色名称,皇家圣骑士
1111302,角色描述
1111401,角色名称,狂暴泉灵
1111402,角色描述
1111501,角色名称,黑化大长老
1111502,角色描述
1111601,角色名称,黑化大长老
1111602,角色描述
1111701,角色名称,骷髅长老
1111702,角色描述
1111801,角色名称,死亡骑士
1111802,角色描述
1111901,角色名称,尤达米尔
1111902,角色描述

1112101,角色名称,狼人
1112102,角色描述
1112201,角色名称,海巨人
1112202,角色描述
1112301,角色名称,掘墓人
1112302,角色描述
1112401,角色名称,瘟疫之源
1112402,角色描述
1112501,角色名称,瘟疫之源
1112502,角色描述
1112601,角色名称,瘟疫之源
1112602,角色描述
1112701,角色名称,火女
1112702,角色描述
1112801,角色名称,水元素
1112802,角色描述
1112901,角色名称,复仇女神
1112902,角色描述
1113001,角色名称,尤达米尔分身
1113002,角色描述
1113101,角色名称,尤达米尔分身
1113102,角色描述
1113201,角色名称,尤达米尔分身
1113202,角色描述
1113301,角色名称,秘所石像
1113302,角色描述
1113401,角色名称,破损石像
1113402,角色描述
1113501,角色名称,命运女神
1113502,角色描述

1001300,角色名称,不堪一击的艾丽卡
1001301,角色描述
1001600,角色名称,有实力的罗迪亚克
1001601,角色描述
1001200,角色名称,融会贯通的希尔娅
1001201,角色描述
1001400,角色名称,炉火纯青的约修亚
1001401,角色描述
1001000,角色名称,卓尔不群的布鲁斯
1001001,角色描述
1001100,角色名称,高深莫测的雪莉
1001101,角色描述
1001500,角色名称,战无不胜的莱奥
1001501,角色描述


1120101,角色名称,丛林小鹿
1120102,角色名称,雷光约修亚
1120103,角色名称,死神
1120104,角色名称,狂战士莱奥
1120105,角色名称,圣光罗迪亚克
1120106,角色名称,守护者艾丽卡
1120107,角色名称,见习刺客希尔娅
1120108,角色名称,炎魔法师布鲁斯
1120109,角色名称,冰霜之核雪莉
1120110,角色名称,复仇女神
1120111,角色名称,野兽公主奥若拉
1120112,角色名称,大将军
1120113,角色名称,尤达米尔
1120114,角色名称,时光女神
1120115,角色名称,精灵之光艾丽卡
1120116,角色名称,神圣罗迪亚克
1120117,角色名称,刺客大师希尔娅
1120118,角色名称,冰霜女皇雪莉
1120119,角色名称,地狱火布鲁斯
1120120,角色名称,战神莱奥
1120121,角色名称,莱奥
1120122,角色名称,艾丽卡
1120123,角色名称,约修亚
1120124,角色名称,罗迪亚克
1120125,角色名称,雪莉
1120126,角色名称,布鲁斯
1120127,角色名称,希尔娅


1130101,角色名称,威武熊怪
1130102,角色描述,威武熊怪是一个自然族的单位&不仅具有相对较高的物理护甲&还对物理伤害具有少量的免疫。
1130201,角色名称,惧怖死神
1130202,角色描述,惧怖死神是一个亡灵族的单位&不仅具有相对较高的魔法护甲&还对魔法伤害具有少量的免疫。
1130301,角色名称,远古神像
1130302,角色描述,一个神像&随机秒杀场上单位
1130401,角色名称,掘墓人
1130402,角色描述,一个掘墓人&会丢出范围伤害的毒气弹
1130501,角色名称,树人
1130502,角色描述,一个树人&会召攻击很低但是血很多的小树苗
1130601,角色名称,火枪
1130602,角色描述,一个火枪&技能带击飞
1130701,角色名称,可爱大熊
1130702,角色描述,可爱大熊不知道是哪里来的生物&软绵绵的身体好像并没有什么护甲&但是大家却怎么也打不死他。
1140101,角色名称,莱奥
1140102,角色描述,莱奥在半血时会吹响角笛使自身和友军获得一段时间的物免护盾&建议使用魔法伤害的兵种与其对战。
1140201,角色名称,艾丽卡
1140202,角色描述,精通治愈魔法的艾丽卡会对场上受伤的战士释放治疗之雨&艾丽卡的治疗搭配上牧师会使得战士的生存能力变得极强&建议使用刺客击杀其后排的牧师来消减战士的生存能力。
1140301,角色名称,刺客大师
1140302,角色描述,刺客大师拥有对法师一击必杀的能力&当面对瘟疫大军又不能派发法师&射手似乎成为了唯一的选择。
1140401,角色名称,火法师
1140402,角色描述,火法师拥有强大的法术范围伤害能力&当火法师察觉到有部队靠近时会释放火雨痛击其后排。
1140501,角色名称,约修亚
1140502,角色描述,面对源源不断的拥有感染能力的僵尸大军&我们需要一些辅助单位来阻止感染蔓延。

1201101,远征1第一章boss名称,投石车
1291101,远征1第一章boss描述,
1201102,远征1第一章boss名称,黑骑士
1291102,远征1第一章boss描述,
1201201,远征1第一章boss名称,癫狂召唤师
1291201,远征1第一章boss描述,
1201202,远征1第一章boss名称,骸骨巨龙
1291202,远征1第一章boss描述,
1201301,远征1第一章boss名称,掘墓人
1291301,远征1第一章boss描述,
1201302,远征1第一章boss名称,吸血鬼勋爵
1291302,远征1第一章boss描述,
1201303,远征1第一章boss名称,巫妖女王
1291303,远征1第一章boss描述,
1201401,远征1第一章boss名称,瘟疫之源
1291401,远征1第一章boss描述,没有人确切地知道瘟疫之源是如何诞生的，人们对它的印象只有那可怖的面孔和周围散发的瘟疫毒气，所到之处寸草不生的破落景象。不知从何时起，瘟疫之源来到桑德利尔这片土地上，并且发现了黑城堡，它盘算着要成为这里的主宰，将瘟疫遍布整片大陆，让所有人成为它的奴仆！


1202100,远征2第一章boss名称,尤达米尔残像
1292100,远征2第一章boss描述,
1202101,远征2第一章boss名称,防御炮台
1292101,远征2第一章boss描述,
1202102,远征2第一章boss名称,风雪姬
1292102,远征2第一章boss描述,
1202103,远征2第一章boss名称,森巨人
1292103,远征2第一章boss描述,
1202201,远征2第一章boss名称,巨型炮台
1292201,远征2第一章boss描述,
1202202,远征2第一章boss名称,人族将军
1292202,远征2第一章boss描述,
1202301,远征2第一章boss名称,巨型冰蛛
1292301,远征2第一章boss描述,
1202401,远征2第一章boss名称,尤达米尔
1292401,远征2第一章boss描述,尤达米尔有着过人的召唤术天赋，他掌握的召唤术数量是常人的数十倍，但是尤达米尔还想变得更强大，那些浅薄的教科书内容已经无法满足他对更强大力量的渴望。在某一天他开始接触禁忌的黑暗魔法，自此黑魔法强大的力量就让尤达米尔深陷其中，之后他毅然离开学院并且加入了圣灵堂。


1203101,远征3第一章boss名称,守护石像
1293101,远征3第一章boss描述,
1203102,远征3第一章boss名称,黯焰巨龙
1293102,远征3第一章boss描述,
1203103,远征3第一章boss名称,守护石像
1293103,远征3第一章boss描述,
1203104,远征3第一章boss名称,骷髅王的头颅
1293104,远征3第一章boss描述,
1203105,远征3第一章boss名称,镜面传送门
1293105,远征3第一章boss描述,
1203106,远征3第一章boss名称,黯冰女王
1293106,远征3第一章boss描述,
1203107,远征3第一章boss名称,无限传送门
1293107,远征3第一章boss描述,
1203108,远征3第一章boss名称,无头骷髅王
1293108,远征3第一章boss描述,
1203109,远征3第一章boss名称,终极骷髅王
1293109,远征3第一章boss描述,骷髅王生前是一位贤明的君王，但是他害怕自己辛苦建立的国家会在死后荡然无存，于是开始寻找长生不老的方法，在听信了恶魔的诱惑后，他为了获得永生出卖了灵魂，化身为不老不死的骷髅王，之后他把国内的臣民和士兵通通杀死，这样他就能永远统治他的臣民，统治他的骷髅帝国！




