宝箱ID,策划描述,宝箱类别,宝箱T级,宝箱品质,宝箱出现等级上下限,宝箱出现权值,宝箱名,宝箱描述,宝箱关闭图标,宝箱开启图标,掉落ID
96,,1,5,4,[30+44],100,2136,2137,,,55204
97,,1,5,2,[30+44],1750,2132,2133,,,55212
98,,1,5,3,[30+44],500,2134,2135,,,55213
99,,1,5,4,[30+44],100,2136,2137,,,55214
100,,1,5,1,[45+100],5300,2130,2131,,,55301
101,,1,5,2,[45+100],1750,2132,2133,,,55302
102,,1,5,3,[45+100],500,2134,2135,,,55303
103,,1,5,4,[45+100],100,2136,2137,,,55304
104,,1,5,2,[45+100],1750,2132,2133,,,55312
105,,1,5,3,[45+100],500,2134,2135,,,55313
106,,1,5,4,[45+100],100,2136,2137,,,55314
107,,1,6,1,[1+14],5300,2130,2131,,,56001
108,,1,6,2,[1+14],1750,2132,2133,,,56002
109,,1,6,3,[1+14],500,2134,2135,,,56003
110,,1,6,4,[1+14],100,2136,2137,,,56004
111,,1,6,2,[1+14],1750,2132,2133,,,56012
112,,1,6,3,[1+14],500,2134,2135,,,56013
113,,1,6,4,[1+14],100,2136,2137,,,56014
114,,1,6,1,[15+29],5300,2130,2131,,,56101
115,,1,6,2,[15+29],1750,2132,2133,,,56102
116,,1,6,3,[15+29],500,2134,2135,,,56103
117,,1,6,4,[15+29],100,2136,2137,,,56104
118,,1,6,2,[15+29],1750,2132,2133,,,56112
119,,1,6,3,[15+29],500,2134,2135,,,56113
120,,1,6,4,[15+29],100,2136,2137,,,56114
121,,1,6,1,[30+44],5300,2130,2131,,,56201
122,,1,6,2,[30+44],1750,2132,2133,,,56202
123,,1,6,3,[30+44],500,2134,2135,,,56203
124,,1,6,4,[30+44],100,2136,2137,,,56204
125,,1,6,2,[30+44],1750,2132,2133,,,56212
126,,1,6,3,[30+44],500,2134,2135,,,56213
127,,1,6,4,[30+44],100,2136,2137,,,56214
128,,1,6,1,[45+100],5300,2130,2131,,,56301
129,,1,6,2,[45+100],1750,2132,2133,,,56302
130,,1,6,3,[45+100],500,2134,2135,,,56303
131,,1,6,4,[45+100],100,2136,2137,,,56304
132,,1,6,2,[45+100],1750,2132,2133,,,56312
133,,1,6,3,[45+100],500,2134,2135,,,56313
134,,1,6,4,[45+100],100,2136,2137,,,56314
