关卡地图ID,描述,前景层CCS,前景层长度,战斗层CCS,战斗层长度,背景层ccs,背景层长度,远景层ccs,远景层长度,蓝方召唤师坐标,蓝方发兵坐标,红方召唤师坐标,红方发兵坐标,Y值,场景音效ID,交互式场景音乐切换条件(1时间大于2场上可以被搜索到的士兵与召唤物数量大于3玩家在场士兵数量大于4玩家水晶等级大于)与参数（1秒2个3个4级）,交互式场景音乐切换条件(1时间大于2场上可以被搜索到的士兵与召唤物数量大于3玩家在场士兵数量大于4玩家水晶等级大于)与参数（1秒2个3个4级）
25,洞穴（龙墓穴改晶矿）,c_cave/cave_bg_01.csb,5,c_cave/cave_bg_02.csb,2.5,c_cave/cave_bg_03.csb,2,c_cave/cave_bg_04.csb,1.5,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],11,[2+5],[2+8]
26,圣地(远）,h_holyplace/holyplace_bg_01.csb,5,h_holyplace/holyplace_bg_02.csb,2.5,h_holyplace/holyplace_bg_03.csb,0.2,h_holyplace/holyplace_bg_04.csb,0.1,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],6,[2+5],[2+8]
28,城镇晴天(远）,h_holyplace/holyplace_bg_01.csb,5,h_holyplace/holyplace_bg_02.csb,2.5,t_town/town_bg03.csb,0.2,h_holyplace/holyplace_bg_04.csb,0.1,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],15,[2+5],[2+8]
29,城镇阴天(远）,h_holyplace/holyplace_bg_01.csb,5,h_holyplace/holyplace_bg_02.csb,2.5,t_town/town_bg03.csb,0.2,t_town/town_bg04.csb,0.1,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],15,[2+5],[2+8]
30,2.5屏黑暗森林特效开阔(洞穴背景),s_site/site_bg01.csb,5,s_site/site_bg02.csb,2.5,s_site/site_bg03.csb,0.2,d_dragonnest/dragonnest_bg04.csb,0.1,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],6,[2+5],[2+8]
31,城堡机关,c_castle/castle_bg01.csb,5,c_castle/castle_bg02_DropLight01.csb,2.5,c_castle/castle_bg03.csb,2,c_castle/castle_bg04.csb,1.5,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],16,[2+5],[2+8]
32,新手引导场景,n_newbie/newbie_bg01.csb,5,n_newbie/newbie_bg02.csb,2.5,n_newbie/newbie_bg03.csb,2,n_newbie/newbie_bg04.csb,1.5,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],6,[2+5],[2+8]
33,城堡地狱火,c_castle/castle_bg01.csb,5,c_castle/castle_bg02_Fire.csb,2.5,c_castle/castle_bg03.csb,2,c_castle/castle_bg04.csb,1.5,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],16,[2+5],[2+8]
34,监狱1（远景）,p_prison/prison_bg_1.csb,5,p_prison/prison_bg_2.csb,2.5,p_prison/prison_bg_3.csb,0.2,p_prison/prison_bg_4.csb,0.1,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],19,[2+5],[2+8]
35,监狱1（中景）,p_prison/prison_bg_1.csb,5,p_prison/prison_bg_2.csb,2.5,p_prison/prison_bg_3.csb,2,p_prison/prison_bg_4.csb,1.5,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],19,[2+5],[2+8]
36,监狱1（近景）,p_prison/prison_bg_1.csb,5,p_prison/prison_bg_2.csb,2.5,p_prison/prison_bg_3.csb,2.3,p_prison/prison_bg_4.csb,0.1,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],19,[2+5],[2+8]
40,自然族营地（远景）,c_camp/camp_bg_1.csb,5,c_camp/camp_bg_2.csb,2.5,c_camp/camp_bg_3.csb,0.2,c_camp/camp_bg_4.csb,0.1,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],12,[2+5],[2+8]
41,自然族营地（中景）,c_camp/camp_bg_1.csb,5,c_camp/camp_bg_2.csb,2.5,c_camp/camp_bg_3.csb,2,c_camp/camp_bg_4.csb,1.5,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],12,[2+5],[2+8]
42,自然族营地（近景）,c_camp/camp_bg_1.csb,5,c_camp/camp_bg_2.csb,2.5,c_camp/camp_bg_3.csb,2.3,c_camp/camp_bg_4.csb,0.1,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],12,[2+5],[2+8]
43,监狱（带笼子）,p_prison/prison_bg_1.csb,5,p_prison/prison_bg_5.csb,2.5,p_prison/prison_bg_3.csb,2,p_prison/prison_bg_4.csb,1.5,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],19,[2+5],[2+8]
44,2.5实验室带地狱火,l_library/library_bg01.csb,5,l_library/library_bg02_fire.csb,2.5,l_library/library_bg03.csb,2,l_library/library_bg04.csb,1.5,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],11,[2+5],[2+8]
45,新手关闪电背景,n_newbie/newbie_bg01.csb,5,n_newbie/newbie_bg02.csb,2.5,n_newbie/newbie_bg03.csb,2,n_newbie/newbie_bg04.csb,1.5,-100,[300+260+300],2050,[2280+2320+2280],[495+480+465],9,[2+5],[2+8]
46,2.5圣所,s_secretbuilding/secretbuilding_bg_1.csb,5,s_secretbuilding/secretbuilding_bg_2.csb,2.5,s_secretbuilding/secretbuilding_bg_3.csb,2,s_secretbuilding/secretbuilding_bg_4.csb,0.1,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],22,[2+5],[2+8]
47,2.5骷髅王白天,s_skeleton/skeleton_bg_01.csb,5,s_skeleton/skeleton_bg_02.csb,2.5,s_skeleton/skeleton_bg_03.csb,0.2,s_skeleton/skeleton_bg_04.csb,0.1,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],19,[2+5],[2+8]
48,2.5骷髅王夜晚,s_skeletonking/skeleton_bg_01.csb,5,s_skeletonking/skeleton_bg_02.csb,2.5,s_skeletonking/skeleton_bg_03.csb,0.2,s_skeletonking/skeleton_bg_04.csb,0.1,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],19,[2+5],[2+8]
49,2.5骷髅王夜晚-发兵提前,s_skeletonking/skeleton_bg_01.csb,5,s_skeletonking/skeleton_bg_02.csb,2.5,s_skeletonking/skeleton_bg_03.csb,0.2,s_skeletonking/skeleton_bg_04.csb,0.1,350,[120+80+120],2050,[2000+2000+2000],[495+480+465],19,[2+5],[2+8]
101,2.5屏树林场景,f_forest/forest_bg01.csb,5,f_forest/forest2_bg02.csb,2.5,f_forest/forest_bg03.csb,2,f_forest/forest_bg04.csb,1.5,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],6,[2+5],[2+8]
102,2.5屏村庄,v_village/village_bg01.csb,5,v_village/village2_bg02.csb,2.5,v_village/village_bg03.csb,2,v_village/village_bg04.csb,1.5,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],17,[2+5],[2+8]
103,2.5城堡内景,c_castle/castle_bg01.csb,5,c_castle/castle2_bg02.csb,2.5,c_castle/castle_bg03.csb,2,c_castle/castle_bg04.csb,1.5,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],16,[2+5],[2+8]
104,2.5屏黑暗森林特效,s_site/site_bg01.csb,5,s_site/site2_bg02.csb,2.5,s_site/site_bg03.csb,2,s_site/site_bg04.csb,1.5,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],20,[2+5],[2+8]
105,2.5图书馆,l_library/library_bg01.csb,5,l_library/library2_bg02.csb,2.5,l_library/library_bg03.csb,2,l_library/library_bg04.csb,1.5,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],18,[2+5],[2+8]
106,2.5城镇,t_town/town_bg01.csb,5,t_town/town2_bg02.csb,2.5,t_town/town_bg03.csb,2,t_town/town_bg04.csb,1.5,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],15,[2+5],[2+8]
107,2.5海滩,s_seaside/seaside_bg01.csb,5,s_seaside/seaside2_bg02.csb,2.5,s_seaside/seaside_bg03.csb,2,s_seaside/seaside_bg04.csb,1.5,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],21,[2+5],[2+8]
108,2.5雪地,s_snowfield/snowfield_bg01.csb,5,s_snowfield/snowfield2_bg02.csb,2.5,s_snowfield/snowfield_bg03.csb,2,s_snowfield/snowfield_bg04.csb,1.5,350,[120+80+120],2050,[2280+2320+2280],[495+480+465],23,[2+5],[2+8]
