关卡ID,无效列,关卡场景,关卡敌方召唤师,关卡敌方士兵1,关卡敌方士兵2,关卡敌方士兵3,关卡敌方士兵4,关卡敌方士兵5,关卡敌方士兵6,关卡敌方士兵7,关卡类型;0常规-奖励1个（包含普通、精英和副本关卡）;1常规-奖励n个（包含普通、精英和副本关卡）;2爬塔试练;3金币试练;4英雄试练,"关卡类型参数,填[]，表示不需要读取该字段信息;0类型为无效列——[];1类型为无效列——[];2类型为无效列——[];3类型为[奖励系数+等级系数]——[n1+n2];4类型为无效列——[]",关卡限时(秒！),关卡胜利条件;1敌方Boss死亡;2关卡限时到期（两条件可共存）,关卡失败条件;1我方召唤师死亡;2关卡限时到期（两条件可共存）,关卡胜利增加星级条件1类型;1召唤师血量;2时间;3消耗水晶,关卡胜利增加星级条件1类型参数,关卡胜利增加星级条件2类型;1召唤师血量;2时间(秒);3消耗水晶,关卡胜利增加星级条件2类型参数,关卡1星掉落,关卡2星掉落,关卡3星掉落,首次通关掉落,场景召唤物
102,,6,101300,221300,221200,221100,230301,0,0,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,102,
103,,8,101400,240001,240201,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,100,100,100,103,[401002+1100+1]*[401003+1500+1]*[401004+600+1]
104,,24,101600,240101,240401,0,0,0,0,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,104,
105,,6,101800,240101,240401,0,0,0,0,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,105,[401005+1200+1]*[401006+1150+1]*[401007+1150+1]
106,,6,101900,240106,240201,240601,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,100,100,100,106,
107,,15,102100,210201,210601,210701,0,0,0,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,107,
108,,11,102200,210201,210601,211001,210701,0,0,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,108,
109,,6,102300,221300,240101,230501,220001,230301,0,0,0,[],300,[1],[1+2],1,50,2,180,100,100,100,109,
110,,3,102500,221302,0,0,0,0,0,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,110,
201,,14,103200,210301,230501,230101,211101,0,0,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,201,
202,,14,103300,210301,230501,230101,211101,0,0,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,202,
203,,31,103400,210001,210003,210201,210601,210902,212001,0,0,[],300,[1],[1+2],1,50,2,180,100,100,100,203,
204,,31,103600,210002,210302,210201,212001,210902,211003,210701,0,[],300,[1],[1+2],1,0,2,300,100,100,100,204,
205,,22,103700,220002,230001,230901,0,0,0,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,205,
206,,22,103800,221300,221303,220001,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,100,100,100,206,
207,,22,104100,230003,230303,210603,212003,220002,0,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,207,
208,,22,104200,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,208,
209,,33,104300,240101,240301,240010,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,100,100,100,209,
210,,33,104500,240010,240202,220901,240603,240801,0,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,210,
301,301三星狼人,30,105100,230001,230502,220002,230702,231001,0,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,301,
302,303三星狼人,30,105300,230001,230502,220002,230702,231001,0,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,302,
303,303四星骑士,22,105600,210903,211002,230103,212003,0,0,0,0,[],300,[1],[1+2],1,50,2,180,100,100,100,303,
304,304四星骑士,22,105600,210903,211002,230103,212003,0,0,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,304,
305,305三星牛头人,44,105900,220503,230302,230502,230703,0,0,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,305,
306,306三星牛头人,44,105900,220503,230302,230502,230703,0,0,0,0,[],300,[1],[1+2],1,50,2,180,100,100,100,306,
307,307四星巫妖,11,106200,240003,211002,240403,240703,241003,240303,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,307,
308,308四星巫妖,11,106200,240003,211002,240403,240703,241003,240303,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,308,
309,309树魔,6,106500,220003,230502,,,,,0,0,[],300,[1],[1+2],1,50,2,180,100,100,100,309,
310,310树魔,6,106500,220003,230502,,,,,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,310,
401,401三星狼人,16,107100,220503,220003,230303,230103,230503,,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,401,
402,402三星狼人,16,107100,220503,220003,230303,230103,230503,,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,402,
403,403死亡骑士,21,108200,240103,240603,240703,241003,240303,240403,240803,0,[],300,[1],[1+2],1,50,2,180,100,100,100,403,
404,404死亡骑士,21,108200,240103,240603,240703,241003,240303,240403,240803,0,[],300,[1],[1+2],1,0,2,300,100,100,100,404,
405,406三星牛头人,35,107400,230503,230701,230401,220502,230302,220003,,0,[],300,[1],[1+2],1,0,2,300,100,100,100,405,
406,406三星牛头人,35,107400,230503,230701,230401,220502,230302,220003,,0,[],300,[1],[1+2],1,50,2,180,100,100,100,406,
407,瘟疫之源,18,112500,240303,240603,211300,,,,,0,[],300,[1],[1+2],1,0,2,300,100,100,100,407,
408,瘟疫之源,18,112600,240303,240603,211300,,,,,0,[],300,[1],[1+2],1,0,2,300,100,100,100,408,
409,415骨龙,20,108300,240103,240303,240503,240603,240703,240803,240903,0,[],300,[1],[1+2],1,50,2,180,100,100,100,409,
410,415骨龙,20,108300,240103,240303,240503,240603,240703,240803,240903,0,[],300,[1],[1+2],1,0,2,300,100,100,100,410,
501,501精灵弓箭手,41,108800,220001,220901,230001,230101,0,0,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,501,
502,502精灵弓箭手,41,108900,220001,220901,230001,230101,230301,230401,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,502,
503,503石巨人,41,109100,230501,230401,220001,230301,220501,0,0,0,[],300,[1],[1+2],1,50,2,180,100,100,100,503,
504,504石巨人,43,109200,230501,230401,220001,230301,220501,0,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,504,
505,505巫妖,43,109600,240001,240201,240101,241001,0,0,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,505,
506,506巫妖,43,109700,240001,240201,240101,241001,0,0,0,0,[],300,[1],[1+2],1,50,2,180,100,100,100,506,
507,507死亡骑士,43,109900,240001,240201,241001,240801,0,0,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,507,
508,508死亡骑士,43,110000,240001,240201,241001,240801,0,0,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,508,
509,509骷髅召唤师,43,110100,240302,240101,240701,240601,240201,0,0,0,[],300,[1],[1+2],1,50,2,180,100,100,100,509,
510,510骷髅召唤师,18,110200,240302,240101,240701,240601,240201,0,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,510,
601,601四星骑士,41,110500,210201,210601,210001,211002,210301,0,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,602,
602,603罗迪亚克,41,110700,210303,210503,211103,210603,210203,211001,0,0,[],300,[1],[1+2],1,50,2,180,100,100,100,603,
603,605高阶大牧师,41,110900,210203,210003,210302,0,0,0,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,605,
604,606老火枪,41,111000,210203,212003,210302,210003,0,0,0,0,[],300,[1],[1+2],1,50,2,180,100,100,100,606,
605,607魔剑士,41,111100,212002,210402,210202,210903,210602,211002,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,607,
606,609骑士,41,111300,210003,210302,210203,210903,211003,211002,0,0,[],300,[1],[1+2],1,50,2,180,100,100,100,609,
607,611黑化大长老,26,111500,230102,220003,220502,230302,0,0,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,611,
608,612黑化大长老,26,111600,220003,220502,230903,230302,230102,0,0,0,[],300,[1],[1+2],1,50,2,180,100,100,100,612,
609,614死亡骑士,26,111800,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,614,
610,615尤达米尔,26,111900,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,100,100,100,615,
701,701狼人,8,112100,221300,221303,0,0,0,0,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,701,
702,702海巨人,24,112200,221200,230102,230502,220002,220502,0,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,702,
703,703盗墓者,24,112300,240702,210202,210702,240802,240902,211002,240702,0,[],300,[1],[1+2],1,50,2,180,100,100,100,703,
704,瘟疫之源,18,112400,240303,240603,211300,,,,,0,[],300,[1],[1+2],1,0,2,300,100,100,100,704,
705,瘟疫之源,18,112500,240303,240603,211300,,,,,0,[],300,[1],[1+2],1,0,2,300,100,100,100,705,
706,瘟疫之源,18,112600,240303,240603,211300,,,,,0,[],300,[1],[1+2],1,50,2,180,100,100,100,706,
707,707火女,25,112700,212002,210003,210203,210303,210903,211003,230803,0,[],300,[1],[1+2],1,0,2,300,100,100,100,707,
708,708水元素,25,112800,220003,220503,220901,230103,230303,230502,230803,0,[],300,[1],[1+2],1,0,2,300,100,100,100,708,
709,709复仇女神,25,112900,210203,210903,211003,240303,240503,240703,240803,0,[],300,[1],[1+2],1,50,2,180,100,100,100,709,
710,710尤达米尔,16,113000,240302,240102,240502,240603,0,0,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,710,
711,711尤达米尔,16,113100,221300,240002,240202,230502,240902,220002,240703,0,[],300,[1],[1+2],1,0,2,300,100,100,100,711,
712,712尤达米尔,16,113200,240403,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,100,100,100,712,
713,713守护石像,46,113300,240003,240203,240303,240403,240502,0,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,713,
714,714守护石像,46,113400,240103,240903,240603,0,0,0,0,0,[],300,[1],[1+2],1,0,2,300,100,100,100,714,
715,715时光女神,46,113500,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,100,100,100,715,
10101,,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,0,2,300,10101,10101,10101,0,
10102,,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10102,10102,10102,0,
10103,,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10103,10103,10103,0,
10104,,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10104,10104,10104,0,
10105,,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10105,10105,10105,0,
10201,,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10201,10201,10201,0,
10202,,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10202,10202,10202,0,
10203,,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10203,10203,10203,0,
10204,,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10204,10204,10204,0,
10205,,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10205,10205,10205,0,
10301,303三星狼人,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10301,10301,10301,0,
10302,306四星骑士,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10302,10302,10302,0,
10303,309三星牛头人,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10303,10303,10303,0,
10304,312四星巫妖,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10304,10304,10304,0,
10305,315树魔,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10305,10305,10305,0,
10401,第四章精英1狼人,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10401,10401,10401,0,
10402,第四章精英2牛头,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10402,10402,10402,0,
10403,第四章精英3圣骑士,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10403,10403,10403,0,
10404,第四章精英4盗墓老大,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10404,10404,10404,0,
10405,第四章精英5骨龙,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10405,10405,10405,0,
10501,第五章精英1弓箭手,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10501,10501,10501,0,
10502,第五章精英2石巨人,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10502,10502,10502,0,
10503,第五章精英3自然族青年,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10503,10503,10503,0,
10504,第五章精英4巫妖,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10504,10504,10504,0,
10505,第五章精英5兰尼,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10505,10505,10505,0,
10601,603罗迪亚克,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10601,10601,10601,0,
10602,606老火枪,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10602,10602,10602,0,
10603,609骑士,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10603,10603,10603,0,
10604,612黑化大长老,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10604,10604,10604,0,
10605,615尤达米尔,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10605,10605,10605,0,
10701,703盗墓者,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10701,10701,10701,0,
10702,瘟疫之源,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10702,10702,10702,0,
10703,709复仇女神,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10703,10703,10703,0,
10704,712尤达米尔,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10704,10704,10704,0,
10705,715时光女神,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10705,10705,10705,0,
,,,,,,,,,,,,,,,,,,,,,,,,
111001,爬塔第一层小鹿,1,140000,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10705,10705,10705,0,
111002,爬塔第二层约修亚,3,140100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10705,10705,10705,0,
111003,爬塔第三层死神,4,140200,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10705,10705,10705,0,
111004,爬塔第四层莱奥,10,140300,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10705,10705,10705,0,
111005,爬塔第五层罗迪亚克,6,140400,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10705,10705,10705,0,
111006,爬塔第六层艾丽卡,7,140500,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10705,10705,10705,0,
111007,爬塔第七层刺客,8,140600,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10705,10705,10705,0,
111008,爬塔第八层火法,9,140700,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10705,10705,10705,0,
111009,爬塔第九层冰法,10,140800,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10705,10705,10705,0,
111010,爬塔第十层复仇女神,11,140900,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10705,10705,10705,0,
111011,爬塔第十一层野兽女,12,141000,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10705,10705,10705,0,
111012,爬塔第十三层大将军,15,141100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10705,10705,10705,0,
111013,爬塔第十四层尤达米尔,14,141200,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10705,10705,10705,0,
111014,爬塔第十五层时光女神,22,141300,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10705,10705,10705,0,
111015,爬塔第十六层艾丽卡,16,141400,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10705,10705,10705,0,
111016,爬塔第十七层罗迪亚克,17,141500,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10705,10705,10705,0,
111017,爬塔第十七刺客,18,141600,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10705,10705,10705,0,
111018,爬塔第十八冰女,19,141700,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10705,10705,10705,0,
111019,爬塔第十九火法,20,141800,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10705,10705,10705,0,
111020,爬塔第二十莱奥,21,141900,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,2,180,10705,10705,10705,0,
,,,,,,,,,,,,,,,,,,,,,,,,
120010,爬塔第1层约修亚反制技能1技能,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,75,2,90,0,0,0,0,
120011,爬塔第1层约修亚反制技能1技能2技能,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,75,2,90,0,0,0,0,
120012,爬塔第1层约修亚时限技能2技能3技能,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,75,2,90,0,0,0,0,
120020,爬塔第2层死神时限施放,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,75,2,90,0,0,0,0,
120021,爬塔第2层死神时限施放,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,75,2,90,0,0,0,0,
120022,爬塔第2层死神时限施放一波流,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,75,2,90,0,0,0,0,
120030,爬塔第3层莱奥循环释放气流斩,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,75,2,90,0,0,0,0,
120031,爬塔第3层莱循环释放奥无限气流斩与吹号角,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,75,2,90,0,0,0,0,
120032,爬塔第3层莱奥循环释放出与击气流斩,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,75,2,90,0,0,0,0,
120040,爬塔第4层罗迪亚克搜到敌方3个士兵,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,75,2,90,0,0,0,0,
120041,爬塔第4层罗迪亚克搜到敌方3个士兵,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,75,2,90,0,0,0,0,
120042,爬塔第4层罗迪亚克搜到敌方3个士兵,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,75,2,90,0,0,0,0,
120050,爬塔第5层艾丽卡,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,75,2,90,0,0,0,0,
120051,爬塔第5层艾丽卡,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,75,2,90,0,0,0,0,
120052,爬塔第5层艾丽卡,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,75,2,90,0,0,0,0,
120110,爬塔第6层刺客,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,2550,0,0,0,0,
120111,爬塔第6层刺客,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,3000,0,0,0,0,
120112,爬塔第6层刺客,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,3600,0,0,0,0,
120120,爬塔第7层,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,2550,0,0,0,0,
120121,爬塔第7层,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,3000,0,0,0,0,
120122,爬塔第7层,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,3600,0,0,0,0,
120130,爬塔第8层,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,2550,0,0,0,0,
120131,爬塔第8层,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,3000,0,0,0,0,
120132,爬塔第8层,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,3600,0,0,0,0,
120140,爬塔第9层,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,2550,0,0,0,0,
120141,爬塔第9层,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,3000,0,0,0,0,
120142,爬塔第9层,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,3600,0,0,0,0,
120150,爬塔第10层,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,2550,0,0,0,0,
120151,爬塔第10层,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,3000,0,0,0,0,
120152,爬塔第10层,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,3600,0,0,0,0,
120210,21,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,3400,0,0,0,0,
120211,21,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,4000,0,0,0,0,
120212,21,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,4800,0,0,0,0,
120220,22,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,3400,0,0,0,0,
120221,22,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,4000,0,0,0,0,
120222,22,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,4800,0,0,0,0,
120230,23,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,3400,0,0,0,0,
120231,23,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,4000,0,0,0,0,
120232,23,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,4800,0,0,0,0,
120240,24,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,3400,0,0,0,0,
120241,24,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,4000,0,0,0,0,
120242,24,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,4800,0,0,0,0,
120250,25,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,3400,0,0,0,0,
120251,25,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,4000,0,0,0,0,
120252,25,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,4800,0,0,0,0,
120310,31,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,4250,0,0,0,0,
120311,31,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,5000,0,0,0,0,
120312,31,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,6000,0,0,0,0,
120320,32,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,4250,0,0,0,0,
120321,32,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,5000,0,0,0,0,
120322,32,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,6000,0,0,0,0,
120330,33,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,4250,0,0,0,0,
120331,33,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,5000,0,0,0,0,
120332,33,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,6000,0,0,0,0,
120340,34,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,4250,0,0,0,0,
120341,34,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,5000,0,0,0,0,
120342,34,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,6000,0,0,0,0,
120350,35,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,4250,0,0,0,0,
120351,35,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,5000,0,0,0,0,
120352,35,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,6000,0,0,0,0,
120410,41,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,5100,0,0,0,0,
120411,41,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,6000,0,0,0,0,
120412,41,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,7200,0,0,0,0,
120420,42,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,5100,0,0,0,0,
120421,42,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,6000,0,0,0,0,
120422,42,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,7200,0,0,0,0,
120430,43,6,101100,0,0,0,0,0,0,0,0,[],300,[1],[1+2],1,50,3,5100,0,0,0,0,
