引导ID,开始消息：,开始条件1,条件1参数,开始条件2,条件2参数,开始条件3,条件3参数,开始条件4,条件4参数,跳过条件1,跳过条件1参数,跳过条件2,跳过条件2参数,结束后激活，0=没有,引导完成后关闭的引导,说明1,说明2
1103,1,13,[103],,,,,,,,,,,[11031],[1103],第一章第三关,
11031,8,13,[103],,,,,,,,,,,[1104],[11031],第一章第3关结束,
,,,,,,,,,,,,,,,,,
1104,1,13,[104],,,,,,,,,,,[11041],[1104],第一章第四关,
11041,8,13,[104],,,,,,,,,,,[11042],[11041],第一章第四关结束,
11042,701,7,[14],11,[104+1+1],,,,,,,,,[1105],[11042],第一章第四关结束回世界地图剧情,
,,,,,,,,,,,,,,,,,
1105,1,13,[105],,,,,,,,,,,[11051],[1105],第一章第五关,
11051,8,13,[105],,,,,,,,,,,[11052],[11051],第一章第五关结束回世界地图剧情,
11052,701,7,[14],11,[105+1+1],,,,,,,,,[1106],[11052],第一章第五关结束,
,,,,,,,,,,,,,,,,,
1106,1,13,[106],,,,,,,,,,,[11061],[1106],第一章第6关,
11061,8,13,[106],,,,,,,,,,,[11062],[11061],第一章第6关结束回世界地图剧情,
11062,701,7,[14],11,[106+1+1],,,,,,,,,[1107],[11062],第一章第6关结束,
,,,,,,,,,,,,,,,,,
1107,1,13,[107],,,,,,,,,,,[11071],[1107],第一章第7关,
11071,8,13,[107],,,,,,,,,,,[1108],[11071],第一章第7关结束,
,,,,,,,,,,,,,,,,,
1108,1,13,[108],,,,,,,,,,,[11081],[1108],第一章第八关,
11081,8,13,[108],,,,,,,,,,,[11082],[11081],第一章第八关结束回世界地图剧情,
11082,701,7,[14],11,[108+1+1],,,,,,,,,[1109],[11082],第一章第八关结束,
,,,,,,,,,,,,,,,,,
1109,1,13,[109],,,,,,,,,,,[11091],[1109],第一章第9关,
11091,8,13,[109],,,,,,,,,,,[1110],[11091],第一章第9关结束,
,,,,,,,,,,,,,,,,,
1110,1,13,[110],,,,,,,,,,,[11101],[1110],第一章第10关,
11101,8,13,[110],,,,,,,,,,,[1111],[11101],第一章第10关结束,
,,,,,,,,,,,,,,,,,
1111,1,13,[111],,,,,,,,,,,[11111],[1111],第一章第11关,
11111,8,13,[111],,,,,,,,,,,[1112],[11111],第一章第11关结束,
,,,,,,,,,,,,,,,,,
1112,1,13,[112],,,,,,,,,,,[11121],[1112],第一章第12关,
11121,8,13,[112],,,,,,,,,,,[1113],[11121],第一章第12关结束,
,,,,,,,,,,,,,,,,,
1113,1,13,[113],,,,,,,,,,,[11131],[1113],第一章第13关,
11131,8,13,[113],,,,,,,,,,,[1114],[11131],第一章第13关结束,
,,,,,,,,,,,,,,,,,
1114,1,13,[114],,,,,,,,,,,[11141],[1114],第一章第14关,
11141,8,13,[114],,,,,,,,,,,[1115],[11141],第一章第14关结束,
,,,,,,,,,,,,,,,,,
1115,1,13,[115],,,,,,,,,,,[11151],[1115],第一章第15关,
11151,8,13,[115],,,,,,,,,,,,[11151],第一章第15关结束,
