装备ID,装备备注,套装ID,装配等级,装配部位,装等,装配职业限制,装备分解材料1,材料1数量,装备分解材料2,材料2数量,装备分解材料3,材料3数量,装备分解材料4,材料4数量,分解所需金币,附带额外Buff,激活几星天赋
20099,星语之杖(蓝),0,65,1,,[5],120013,30,120002,18,,,,,2500,[],
20100,星语之杖(紫),0,65,1,,[5],120013,30,120002,18,,,,,2500,[],
20101,守卫钉锤(白）,0,20,1,,[6],120013,3,120001,3,,,,,250,[],
20102,守卫钉锤(绿）,0,20,1,,[6],120013,3,120001,3,,,,,250,[],
20103,守卫钉锤(蓝),0,20,1,,[6],120013,3,120001,3,,,,,250,[],
20104,守卫钉锤(紫),0,20,1,,[6],120013,3,120001,3,,,,,250,[],
20105,精钢锤(白）,0,35,1,,[6],120013,9,120001,6,,,,,625,[],
20106,精钢锤(绿）,0,35,1,,[6],120013,9,120001,6,,,,,625,[],
20107,精钢锤(蓝),0,35,1,,[6],120013,9,120001,6,,,,,625,[],
20108,精钢锤(紫),0,35,1,,[6],120013,9,120001,6,,,,,625,[],
20109,圣骑士锤(白）,0,50,1,,[6],120013,18,120002,12,,,,,1250,[],
20110,圣骑士锤(绿）,0,50,1,,[6],120013,18,120002,12,,,,,1250,[],
20111,圣骑士锤(蓝),0,50,1,,[6],120013,18,120002,12,,,,,1250,[],
20112,圣骑士锤(紫),0,50,1,,[6],120013,18,120002,12,,,,,1250,[],
20113,65守卫武器(白）,0,65,1,,[6],120013,30,120002,18,,,,,2500,[],
20114,65守卫武器(绿）,0,65,1,,[6],120013,30,120002,18,,,,,2500,[],
20115,65守卫武器(蓝),0,65,1,,[6],120013,30,120002,18,,,,,2500,[],
20116,65守卫武器(紫),0,65,1,,[6],120013,30,120002,18,,,,,2500,[],
20501,角斗之斧(金),0,1,1,,[1],120013,18,120001,18,,,,,1000,[],
20509,短剑(金),0,20,1,,[2],120013,3,120001,3,,,,,250,[],
20513,精灵杖(金),0,20,1,,[5],120013,3,120001,3,,,,,250,[],
20517,大锤(金),0,20,1,,[1],120013,3,120001,3,,,,,250,[],
20521,折叠弓(金),0,20,1,,[3],120013,3,120001,3,,,,,250,[],
20525,魔法杖(金),0,20,1,,[4],120013,3,120001,3,,,,,250,[],
20529,冲锋之斧(金),0,35,1,,[1],120013,9,120001,6,,,,,625,[],
20537,鹰之弓(金),0,35,1,,[3],120013,9,120001,6,,,,,625,[],
20541,破甲刃(金),0,35,1,,[2],120013,9,120001,6,,,,,625,[],
20545,术士之杖(金),0,35,1,,[4],120013,9,120001,6,,,,,625,[],
20549,祭司之杖(金),0,35,1,,[5],120013,9,120001,6,,,,,625,[],
20553,荣耀之剑(金),0,50,1,,[1],120013,18,120002,12,,,,,1250,[],
20561,王牌火枪(金),0,50,1,,[3],120013,18,120002,12,,,,,1250,[],
20565,暗影之刃(金),0,50,1,,[2],120013,18,120002,12,,,,,1250,[],
20569,水晶之杖(金),0,50,1,,[4],120013,18,120002,12,,,,,1250,[],
20573,祝福之杖(金),0,50,1,,[5],120013,18,120002,12,,,,,1250,[],
20577,狂傲之剑(金),0,65,1,,[1],120013,30,120002,18,,,,,2500,[],
20585,狩魂火枪(金),0,65,1,,[3],120013,30,120002,18,,,,,2500,[],
20589,神行之刃(金),0,65,1,,[2],120013,30,120002,18,,,,,2500,[],
20593,魔导之杖(金),0,65,1,,[4],120013,30,120002,18,,,,,2500,[],
20597,星语之杖(金),0,65,1,,[5],120013,30,120002,18,,,,,2500,[],
20601,守卫钉锤(金),0,20,1,,[6],120013,3,120001,3,,,,,250,[],
20605,精钢锤(金),0,35,1,,[6],120013,9,120001,6,,,,,625,[],
20609,圣骑士锤(金),0,50,1,,[6],120013,18,120002,12,,,,,1250,[],
20613,65守卫武器(金),0,65,1,,[6],120013,30,120002,18,,,,,2500,[],
20901,1级勇士套装剑（橙）,1,1,1,,[1],120013,15,120001,15,,,,,100,[10005+1],
21001,头巾(白),0,1,2,,[1+2+3+4+5+6],120013,1,,,,,,,100,[],
21002,头巾(绿),0,1,2,,[1+2+3+4+5+6],120013,1,,,,,,,100,[],
21009,战盔(白),0,20,2,,[2],120013,3,120005,3,,,,,250,[],
21010,战盔(绿),0,20,2,,[2],120013,3,120005,3,,,,,250,[],
21011,战盔(蓝),0,20,2,,[2],120013,3,120005,3,,,,,250,[],
21012,战盔(紫),0,20,2,,[2],120013,3,120005,3,,,,,250,[],
21013,精灵帽(白),0,20,2,,[5],120013,3,120005,3,,,,,250,[],
21014,精灵帽(绿),0,20,2,,[5],120013,3,120005,3,,,,,250,[],
21015,精灵帽(蓝),0,20,2,,[5],120013,3,120005,3,,,,,250,[],
21016,精灵帽(紫),0,20,2,,[5],120013,3,120005,3,,,,,250,[],
21017,武士盔(白),0,20,2,,[1],120013,3,120005,3,,,,,250,[],
21018,武士盔(绿),0,20,2,,[1],120013,3,120005,3,,,,,250,[],
21019,武士盔(蓝),0,20,2,,[1],120013,3,120005,3,,,,,250,[],
21020,武士盔(紫),0,20,2,,[1],120013,3,120005,3,,,,,250,[],
21021,飞羽帽(白),0,20,2,,[3],120013,3,120005,3,,,,,250,[],
21022,飞羽帽(绿),0,20,2,,[3],120013,3,120005,3,,,,,250,[],
21023,飞羽帽(蓝),0,20,2,,[3],120013,3,120005,3,,,,,250,[],
21024,飞羽帽(紫),0,20,2,,[3],120013,3,120005,3,,,,,250,[],
21025,魔法帽(白),0,20,2,,[4],120013,3,120005,3,,,,,250,[],
21026,魔法帽(绿),0,20,2,,[4],120013,3,120005,3,,,,,250,[],
21027,魔法帽(蓝),0,20,2,,[4],120013,3,120005,3,,,,,250,[],
21028,魔法帽(紫),0,20,2,,[4],120013,3,120005,3,,,,,250,[],
21029,骑士盔(白),0,35,2,,[1],120013,9,120005,6,,,,,625,[],
21030,骑士盔(绿),0,35,2,,[1],120013,9,120005,6,,,,,625,[],
21031,骑士盔(蓝),0,35,2,,[1],120013,9,120005,6,,,,,625,[],
21032,骑士盔(紫),0,35,2,,[1],120013,9,120005,6,,,,,625,[],
21037,鹰之盔(白),0,35,2,,[3],120013,9,120005,6,,,,,625,[],
21038,鹰之盔(绿),0,35,2,,[3],120013,9,120005,6,,,,,625,[],
21039,鹰之盔(蓝),0,35,2,,[3],120013,9,120005,6,,,,,625,[],
21040,鹰之盔(紫),0,35,2,,[3],120013,9,120005,6,,,,,625,[],
21041,风之盔(白),0,35,2,,[2],120013,9,120005,6,,,,,625,[],
21042,风之盔(绿),0,35,2,,[2],120013,9,120005,6,,,,,625,[],
21043,风之盔(蓝),0,35,2,,[2],120013,9,120005,6,,,,,625,[],
21044,风之盔(紫),0,35,2,,[2],120013,9,120005,6,,,,,625,[],
21045,术士之帽(白),0,35,2,,[4],120013,9,120005,6,,,,,625,[],
21046,术士之帽(绿),0,35,2,,[4],120013,9,120005,6,,,,,625,[],
21047,术士之帽(蓝),0,35,2,,[4],120013,9,120005,6,,,,,625,[],
21048,术士之帽(紫),0,35,2,,[4],120013,9,120005,6,,,,,625,[],
21049,祭司头环(白),0,35,2,,[5],120013,9,120005,6,,,,,625,[],
21050,祭司头环(绿),0,35,2,,[5],120013,9,120005,6,,,,,625,[],
21051,祭司头环(蓝),0,35,2,,[5],120013,9,120005,6,,,,,625,[],
21052,祭司头环(紫),0,35,2,,[5],120013,9,120005,6,,,,,625,[],
21053,荣耀之盔(白),0,50,2,,[1],120013,18,120006,12,,,,,1250,[],
21054,荣耀之盔(绿),0,50,2,,[1],120013,18,120006,12,,,,,1250,[],
21055,荣耀之盔(蓝),0,50,2,,[1],120013,18,120006,12,,,,,1250,[],
21056,荣耀之盔(紫),0,50,2,,[1],120013,18,120006,12,,,,,1250,[],
21061,王牌之帽(白),0,50,2,,[3],120013,18,120006,12,,,,,1250,[],
21062,王牌之帽(绿),0,50,2,,[3],120013,18,120006,12,,,,,1250,[],
21063,王牌之帽(蓝),0,50,2,,[3],120013,18,120006,12,,,,,1250,[],
21064,王牌之帽(紫),0,50,2,,[3],120013,18,120006,12,,,,,1250,[],
21065,暗影之帽(白),0,50,2,,[2],120013,18,120006,12,,,,,1250,[],
21066,暗影之帽(绿),0,50,2,,[2],120013,18,120006,12,,,,,1250,[],
21067,暗影之帽(蓝),0,50,2,,[2],120013,18,120006,12,,,,,1250,[],
21068,暗影之帽(紫),0,50,2,,[2],120013,18,120006,12,,,,,1250,[],
21069,水晶之盔(白),0,50,2,,[4],120013,18,120006,12,,,,,1250,[],
21070,水晶之盔(绿),0,50,2,,[4],120013,18,120006,12,,,,,1250,[],
21071,水晶之盔(蓝),0,50,2,,[4],120013,18,120006,12,,,,,1250,[],
21072,水晶之盔(紫),0,50,2,,[4],120013,18,120006,12,,,,,1250,[],
21073,祝福之帽(白),0,50,2,,[5],120013,18,120006,12,,,,,1250,[],
21074,祝福之帽(绿),0,50,2,,[5],120013,18,120006,12,,,,,1250,[],
21075,祝福之帽(蓝),0,50,2,,[5],120013,18,120006,12,,,,,1250,[],
21076,祝福之帽(紫),0,50,2,,[5],120013,18,120006,12,,,,,1250,[],
21077,狂傲之盔(白),0,65,2,,[1],120013,30,120006,18,,,,,2500,[],
21078,狂傲之盔(绿),0,65,2,,[1],120013,30,120006,18,,,,,2500,[],
21079,狂傲之盔(蓝),0,65,2,,[1],120013,30,120006,18,,,,,2500,[],
21080,狂傲之盔(紫),0,65,2,,[1],120013,30,120006,18,,,,,2500,[],
21085,狩魂之帽(白),0,65,2,,[3],120013,30,120006,18,,,,,2500,[],
21086,狩魂之帽(绿),0,65,2,,[3],120013,30,120006,18,,,,,2500,[],
21087,狩魂之帽(蓝),0,65,2,,[3],120013,30,120006,18,,,,,2500,[],
21088,狩魂之帽(紫),0,65,2,,[3],120013,30,120006,18,,,,,2500,[],
21089,神行头环(白),0,65,2,,[2],120013,30,120006,18,,,,,2500,[],
21090,神行头环(绿),0,65,2,,[2],120013,30,120006,18,,,,,2500,[],
21091,神行头环(蓝),0,65,2,,[2],120013,30,120006,18,,,,,2500,[],
21092,神行头环(紫),0,65,2,,[2],120013,30,120006,18,,,,,2500,[],
21093,魔导之帽(白),0,65,2,,[4],120013,30,120006,18,,,,,2500,[],
21094,魔导之帽(绿),0,65,2,,[4],120013,30,120006,18,,,,,2500,[],
21095,魔导之帽(蓝),0,65,2,,[4],120013,30,120006,18,,,,,2500,[],
21096,魔导之帽(紫),0,65,2,,[4],120013,30,120006,18,,,,,2500,[],
21097,星语头环(白),0,65,2,,[5],120013,30,120006,18,,,,,2500,[],
21098,星语头环(绿),0,65,2,,[5],120013,30,120006,18,,,,,2500,[],
21099,星语头环(蓝),0,65,2,,[5],120013,30,120006,18,,,,,2500,[],
21100,星语头环(紫),0,65,2,,[5],120013,30,120006,18,,,,,2500,[],
21101,皮革头盔(白）,0,20,2,,[6],120013,3,120005,3,,,,,250,[],
21102,皮革头盔(绿）,0,20,2,,[6],120013,3,120005,3,,,,,250,[],
21103,皮革头盔(蓝),0,20,2,,[6],120013,3,120005,3,,,,,250,[],
21104,皮革头盔(紫),0,20,2,,[6],120013,3,120005,3,,,,,250,[],
21105,精钢护盔(白）,0,35,2,,[6],120013,9,120005,6,,,,,625,[],
21106,精钢护盔(绿）,0,35,2,,[6],120013,9,120005,6,,,,,625,[],
21107,精钢护盔(蓝),0,35,2,,[6],120013,9,120005,6,,,,,625,[],
21108,精钢护盔(紫),0,35,2,,[6],120013,9,120005,6,,,,,625,[],
21109,正义之盔(白）,0,50,2,,[6],120013,18,120006,12,,,,,1250,[],
21110,正义之盔(绿）,0,50,2,,[6],120013,18,120006,12,,,,,1250,[],
21111,正义之盔(蓝),0,50,2,,[6],120013,18,120006,12,,,,,1250,[],
21112,正义之盔(紫),0,50,2,,[6],120013,18,120006,12,,,,,1250,[],
21113,65守卫头盔(白）,0,65,2,,[6],120013,30,120006,18,,,,,2500,[],
21114,65守卫头盔(绿）,0,65,2,,[6],120013,30,120006,18,,,,,2500,[],
21115,65守卫头盔(蓝),0,65,2,,[6],120013,30,120006,18,,,,,2500,[],
21116,65守卫头盔(紫),0,65,2,,[6],120013,30,120006,18,,,,,2500,[],
21501,角斗之盔(金),0,1,2,,[1],120013,18,120005,18,,,,,1000,[],
21509,战盔(金),0,20,2,,[2],120013,3,120005,3,,,,,250,[],
21513,精灵帽(金),0,20,2,,[5],120013,3,120005,3,,,,,250,[],
21517,武士盔(金),0,20,2,,[1],120013,3,120005,3,,,,,250,[],
21521,飞羽帽(金),0,20,2,,[3],120013,3,120005,3,,,,,250,[],
21525,魔法帽(金),0,20,2,,[4],120013,3,120005,3,,,,,250,[],
21529,骑士盔(金),0,35,2,,[1],120013,9,120005,6,,,,,625,[],
21537,鹰之盔(金),0,35,2,,[3],120013,9,120005,6,,,,,625,[],
21541,风之盔(金),0,35,2,,[2],120013,9,120005,6,,,,,625,[],
21545,术士之帽(金),0,35,2,,[4],120013,9,120005,6,,,,,625,[],
21549,祭司头环(金),0,35,2,,[5],120013,9,120005,6,,,,,625,[],
21553,荣耀之盔(金),0,50,2,,[1],120013,18,120006,12,,,,,1250,[],
21561,王牌之帽(金),0,50,2,,[3],120013,18,120006,12,,,,,1250,[],
21565,暗影之帽(金),0,50,2,,[2],120013,18,120006,12,,,,,1250,[],
21569,水晶之盔(金),0,50,2,,[4],120013,18,120006,12,,,,,1250,[],
21573,祝福之帽(金),0,50,2,,[5],120013,18,120006,12,,,,,1250,[],
21577,狂傲之盔(金),0,65,2,,[1],120013,30,120006,18,,,,,2500,[],
21585,狩魂之帽(金),0,65,2,,[3],120013,30,120006,18,,,,,2500,[],
21589,神行头环(金),0,65,2,,[2],120013,30,120006,18,,,,,2500,[],
21593,魔导之帽(金),0,65,2,,[4],120013,30,120006,18,,,,,2500,[],
21597,星语头环(紫),0,65,2,,[5],120013,30,120006,18,,,,,2500,[],
21601,皮革头盔(金),0,20,2,,[6],120013,3,120005,3,,,,,250,[],
21605,精钢护盔(金),0,35,2,,[6],120013,9,120005,6,,,,,625,[],
21609,正义之盔(金),0,50,2,,[6],120013,18,120006,12,,,,,1250,[],
21613,65守卫头盔(金),0,65,2,,[6],120013,30,120006,18,,,,,2500,[],
21901,1级勇士套装头（橙）,1,1,2,,[1],120013,15,120005,15,,,,,100,[10005+1],
22001,皮衣(白),0,1,3,,[1+2+3+4+5+6],120013,1,,,,,,,100,[],
22002,皮衣(绿),0,1,3,,[1+2+3+4+5+6],120013,1,,,,,,,100,[],
22009,战铠(白),0,20,3,,[2],120013,3,120005,3,,,,,250,[],
22010,战铠(绿),0,20,3,,[2],120013,3,120005,3,,,,,250,[],
22011,战铠(蓝),0,20,3,,[2],120013,3,120005,3,,,,,250,[],
22012,战铠(紫),0,20,3,,[2],120013,3,120005,3,,,,,250,[],
22013,精灵袍(白),0,20,3,,[5],120013,3,120005,3,,,,,250,[],
22014,精灵袍(绿),0,20,3,,[5],120013,3,120005,3,,,,,250,[],
22015,精灵袍(蓝),0,20,3,,[5],120013,3,120005,3,,,,,250,[],
22016,精灵袍(紫),0,20,3,,[5],120013,3,120005,3,,,,,250,[],
22017,武士铠(白),0,20,3,,[1],120013,3,120005,3,,,,,250,[],
22018,武士铠(绿),0,20,3,,[1],120013,3,120005,3,,,,,250,[],
22019,武士铠(蓝),0,20,3,,[1],120013,3,120005,3,,,,,250,[],
22020,武士铠(紫),0,20,3,,[1],120013,3,120005,3,,,,,250,[],
22021,飞羽铠(白),0,20,3,,[3],120013,3,120005,3,,,,,250,[],
22022,飞羽铠(绿),0,20,3,,[3],120013,3,120005,3,,,,,250,[],
22023,飞羽铠(蓝),0,20,3,,[3],120013,3,120005,3,,,,,250,[],
22024,飞羽铠(紫),0,20,3,,[3],120013,3,120005,3,,,,,250,[],
22025,魔法袍(白),0,20,3,,[4],120013,3,120005,3,,,,,250,[],
22026,魔法袍(绿),0,20,3,,[4],120013,3,120005,3,,,,,250,[],
22027,魔法袍(蓝),0,20,3,,[4],120013,3,120005,3,,,,,250,[],
22028,魔法袍(紫),0,20,3,,[4],120013,3,120005,3,,,,,250,[],
22029,骑士铠(白),0,35,3,,[1],120013,9,120005,6,,,,,625,[],
22030,骑士铠(绿),0,35,3,,[1],120013,9,120005,6,,,,,625,[],
22031,骑士铠(蓝),0,35,3,,[1],120013,9,120005,6,,,,,625,[],
22032,骑士铠(紫),0,35,3,,[1],120013,9,120005,6,,,,,625,[],
22037,鹰之衣(白),0,35,3,,[3],120013,9,120005,6,,,,,625,[],
22038,鹰之衣(绿),0,35,3,,[3],120013,9,120005,6,,,,,625,[],
22039,鹰之衣(蓝),0,35,3,,[3],120013,9,120005,6,,,,,625,[],
22040,鹰之衣(紫),0,35,3,,[3],120013,9,120005,6,,,,,625,[],
22041,风之铠(白),0,35,3,,[2],120013,9,120005,6,,,,,625,[],
22042,风之铠(绿),0,35,3,,[2],120013,9,120005,6,,,,,625,[],
22043,风之铠(蓝),0,35,3,,[2],120013,9,120005,6,,,,,625,[],
22044,风之铠(紫),0,35,3,,[2],120013,9,120005,6,,,,,625,[],
22045,术士之衣(白),0,35,3,,[4],120013,9,120005,6,,,,,625,[],
22046,术士之衣(绿),0,35,3,,[4],120013,9,120005,6,,,,,625,[],
22047,术士之衣(蓝),0,35,3,,[4],120013,9,120005,6,,,,,625,[],
22048,术士之衣(紫),0,35,3,,[4],120013,9,120005,6,,,,,625,[],
22049,祭司之袍(白),0,35,3,,[5],120013,9,120005,6,,,,,625,[],
22050,祭司之袍(绿),0,35,3,,[5],120013,9,120005,6,,,,,625,[],
22051,祭司之袍(蓝),0,35,3,,[5],120013,9,120005,6,,,,,625,[],
22052,祭司之袍(紫),0,35,3,,[5],120013,9,120005,6,,,,,625,[],
22053,荣耀之铠(白),0,50,3,,[1],120013,18,120006,12,,,,,1250,[],
22054,荣耀之铠(绿),0,50,3,,[1],120013,18,120006,12,,,,,1250,[],
22055,荣耀之铠(蓝),0,50,3,,[1],120013,18,120006,12,,,,,1250,[],
22056,荣耀之铠(紫),0,50,3,,[1],120013,18,120006,12,,,,,1250,[],
22061,王牌之衣(白),0,50,3,,[3],120013,18,120006,12,,,,,1250,[],
22062,王牌之衣(绿),0,50,3,,[3],120013,18,120006,12,,,,,1250,[],
22063,王牌之衣(蓝),0,50,3,,[3],120013,18,120006,12,,,,,1250,[],
22064,王牌之衣(紫),0,50,3,,[3],120013,18,120006,12,,,,,1250,[],
22065,暗影之衣(白),0,50,3,,[2],120013,18,120006,12,,,,,1250,[],
22066,暗影之衣(绿),0,50,3,,[2],120013,18,120006,12,,,,,1250,[],
22067,暗影之衣(蓝),0,50,3,,[2],120013,18,120006,12,,,,,1250,[],
22068,暗影之衣(紫),0,50,3,,[2],120013,18,120006,12,,,,,1250,[],
22069,水晶之衣(白),0,50,3,,[4],120013,18,120006,12,,,,,1250,[],
22070,水晶之衣(绿),0,50,3,,[4],120013,18,120006,12,,,,,1250,[],
22071,水晶之衣(蓝),0,50,3,,[4],120013,18,120006,12,,,,,1250,[],
22072,水晶之衣(紫),0,50,3,,[4],120013,18,120006,12,,,,,1250,[],
22073,祝福之衣(白),0,50,3,,[5],120013,18,120006,12,,,,,1250,[],
22074,祝福之衣(绿),0,50,3,,[5],120013,18,120006,12,,,,,1250,[],
22075,祝福之衣(蓝),0,50,3,,[5],120013,18,120006,12,,,,,1250,[],
22076,祝福之衣(紫),0,50,3,,[5],120013,18,120006,12,,,,,1250,[],
22077,狂傲之铠(白),0,65,3,,[1],120013,30,120006,18,,,,,2500,[],
22078,狂傲之铠(绿),0,65,3,,[1],120013,30,120006,18,,,,,2500,[],
22079,狂傲之铠(蓝),0,65,3,,[1],120013,30,120006,18,,,,,2500,[],
22080,狂傲之铠(紫),0,65,3,,[1],120013,30,120006,18,,,,,2500,[],
22085,狩魂之衣(白),0,65,3,,[3],120013,30,120006,18,,,,,2500,[],
22086,狩魂之衣(绿),0,65,3,,[3],120013,30,120006,18,,,,,2500,[],
22087,狩魂之衣(蓝),0,65,3,,[3],120013,30,120006,18,,,,,2500,[],
22088,狩魂之衣(紫),0,65,3,,[3],120013,30,120006,18,,,,,2500,[],
22089,神行之衣(白),0,65,3,,[2],120013,30,120006,18,,,,,2500,[],
