天赋ID,释义,天赋名,天赋描述,天赋图标,属性加成1,属性加成1参数,属性加成2,属性加成2参数,属性加成3,属性加成3参数,属性加成4,属性加成4参数,技能加成
14,树皮 物理伤害百分比降低,3014001,3014002,Nature_Talent4_Icon.png,10,20,,,,,,,
15,优雅 增加闪避,3015001,3015002,Nature_Talent5_Icon.png,23,10,,,,,,,
16,遗产 死亡后 自然族卡片费用永久减少1点,3016001,3016002,Nature_Talent6_Icon.png,,,,,,,,,[916+1]
17,神罚 增加10%反弹,3017001,3017002,Nature_Talent7_Icon.png,22,10,,,,,,,
18,神迹 出场后 免疫1次敌方攻击,3018001,3018002,Nature_Talent8_Icon.png,,,,,,,,,[918+1]
,,,,,,,,,,,,,
21,怨念 每次受到攻击 增加5%的攻击力 持续5S（上限5层）,3021001,3021002,Death_Talent1_Icon.png,,,,,,,,,[921+1]
22,恐惧 增加法穿和物穿,3022001,3022002,Death_Talent2_Icon.png,16,15,18,15,,,,,
23,欲望 增加10%吸血,3023001,3023002,Death_Talent3_Icon.png,21,10,,,,,,,
24,致命 增加10%暴击,3024001,3024002,Death_Talent4_Icon.png,24,10,,,,,,,
25,狂热 缓慢掉血持续增加攻速,3025001,3025002,Death_Talent5_Icon.png,,,,,,,,,[925+1]
26,不洁 缓慢掉血持续增加最大生命值,3026001,3026002,Death_Talent6_Icon.png,,,,,,,,,[926+1]
27,憎恨 缓慢掉血增加移速,3027001,3027002,Death_Talent7_Icon.png,,,,,,,,,[927+1]
28,转生 死亡后有概率半血复活,3028001,3028002,Death_Talent8_Icon.png,,,,,,,,,[928+1]*[929+1]
,,,,,,,,,,,,,
31,重力 增加质量,3031001,3031002,Guard_Talent1_Icon.png,32,5,,,,,,,
32,嘲讽 增加仇恨,3032001,3032002,Guard_Talent2_Icon.png,36,20,,,,,,,
33,锻体 增加霸体,3033001,3033002,Guard_Talent3_Icon.png,33,750,,,,,,,
34,精金 增加护甲,3034001,3034002,Guard_Talent4_Icon.png,11,200,,,,,,,
35,秘银 增加魔甲,3035001,3035002,Guard_Talent5_Icon.png,14,200,,,,,,,
36,不朽 增加生命最大值,3036001,3036002,Guard_Talent6_Icon.png,5,15,,,,,,,
37,忍耐 增加生命恢复,3037001,3037002,Guard_Talent7_Icon.png,,,,,,,,,[937+1]
38,降临 出场带护盾,3038001,3038002,Guard_Talent8_Icon.png,,,,,,,,,[938+1]*[939+1]
,,,,,,,,,,,,,
41,抢攻 增加攻速,3041001,3041002,Warrior_Talent1_Icon.png,20,120,,,,,,,
42,利刃 增加物理穿透,3042001,3042002,Warrior_Talent2_Icon.png,16,25,,,,,,,
43,格挡 有概率抵消1次伤害,3043001,3043002,Warrior_Talent3_Icon.png,,,,,,,,,[943+1]*[942+1]
44,重击 增加物攻,3044001,3044002,Warrior_Talent4_Icon.png,7,15,,,,,,,
45,重斧 增加暴击,3045001,3045002,Warrior_Talent5_Icon.png,24,10,,,,,,,
46,重装 增加护甲,3046001,3046002,Warrior_Talent6_Icon.png,11,200,,,,,,,
47,复仇 血量越少攻速越快,3047001,3047002,Warrior_Talent7_Icon.png,,,,,,,,,[945+1]
48,血刃 攻击附带敌方当前生命值百分比真实伤害,3048001,3048002,Warrior_Talent8_Icon.png,,,,,,,,,[948+1]
,,,,,,,,,,,,,
51,突袭 增加移动速度,3051001,3051002,Assassin_Talent1_Icon.png,3,20,,,,,,,
52,敏捷 增加攻击速度,3052001,3052002,Assassin_Talent2_Icon.png,20,20,,,,,,,
53,灵巧 增加闪避,3053001,3053002,Assassin_Talent3_Icon.png,23,10,,,,,,,
54,弱点 攻击大幅度削减霸体值,3054001,3054002,Assassin_Talent4_Icon.png,,,,,,,,,[954+1]
55,速攻 首次攻击后+2S攻速,3055001,3055002,Assassin_Talent5_Icon.png,,,,,,,,,[955+1]
56,本能 首次攻击后2S内受的伤害减半,3056001,3056002,Assassin_Talent6_Icon.png,,,,,,,,,[956+1]
57,灵感 受击100%闪避1S,3057001,3057002,Assassin_Talent7_Icon.png,,,,,,,,,[957+1]
58,斩首 对召唤师造成更多伤害,3058001,3058002,Assassin_Talent8_Icon.png,,,,,,,,,[958+1]
,,,,,,,,,,,,,
61,急射 增加攻速,3061001,3061002,Archer_Talent1_Icon.png,20,20,,,,,,,
62,狂攻 增加物攻,3062001,3062002,Archer_Talent2_Icon.png,7,15,,,,,,,
63,爆头 增加暴击伤害,3063001,3063002,Archer_Talent3_Icon.png,25,50,,,,,,,
64,远视 增加射程,3064001,3064002,Archer_Talent4_Icon.png,2,100,,,,,,,
65,精准 增加暴击率,3065001,3065002,Archer_Talent5_Icon.png,24,10,,,,,,,
66,克魔 受到魔法伤害减免,3066001,3066002,Archer_Talent6_Icon.png,13,30,,,,,,,
67,重箭 普通攻击时20%概率提升5S暴击率30%(10SCD),3067001,3067002,Archer_Talent7_Icon.png,,,,,,,,,[967+1]
68,连击 普通攻击有20%提升5S攻击速度40%（10SCD）,3068001,3068002,Archer_Talent8_Icon.png,,,,,,,,,[968+1]
,,,,,,,,,,,,,
71,魔力 增加百分比魔攻,3071001,3071002,Mages_Talent1_Icon.png,9,15,,,,,,,
72,穿透 增加法术穿透,3072001,3072002,Mages_Talent2_Icon.png,18,15,,,,,,,
73,充分 第一次施法无需吟唱,3073001,3073002,Mages_Talent3_Icon.png,,,,,,,,,[973+1]
74,专精 魔法吟唱速度加快,3074001,3074002,Mages_Talent4_Icon.png,31,25,,,,,,,
75,感应 射程增加,3075001,3075002,Mages_Talent5_Icon.png,2,100,,,,,,,
76,雷霆 暴击率和暴伤提升,3076001,3076002,Mages_Talent6_Icon.png,24,10,25,25,,,,,
77,意志 吟唱回血,3077001,3077002,Mages_Talent7_Icon.png,,,,,,,,,[977+1]
78,呢喃 移动时可以缓慢进行魔法吟唱,3078001,3078002,Mages_Talent8_Icon.png,,,,,,,,,[978+1]
,,,,,,,,,,,,,
81,援助 增加移速,3081001,3081002,Minister_Talent1_Icon.png,3,20,,,,,,,
82,稳重 减少移速,3082001,3082002,Minister_Talent2_Icon.png,3,-20,,,,,,,
83,研究 持续缓慢增加护甲,3083001,3083002,Minister_Talent3_Icon.png,,,,,,,,,[983+1]
84,学习 持续缓慢增加魔抗,3084001,3084002,Minister_Talent4_Icon.png,,,,,,,,,[984+1]
85,知识 在场时 己方水晶减少2%,3085001,3085002,Minister_Talent5_Icon.png,,,,,,,,,[981+1]*[985+1]
86,抑制 在场时 敌方水晶消耗增加2%,3086001,3086002,Minister_Talent6_Icon.png,,,,,,,,,[982+1]*[986+1]
87,奉献 出场给召唤师回一次血,3087001,3087002,Minister_Talent7_Icon.png,,,,,,,,,[987+1]
88,贤心 受到的所有伤害百分比减少,3088001,3088002,Minister_Talent8_Icon.png,10,20,13,20,,,,,
