道具ID,描述,道具名称,道具描述,道具图标名称,道具品质      ,道具类型,道具类型参数,出售价格,使用等级限制,快速前往关卡,掉落系数,背包界面所属标签
20028,学徒法杖(紫),32037,32038,200036.png,4,1,[20028],3500,20,[],1,2
20029,好胜之剑(白),32065,32066,200011.png,1,1,[20029],3000,35,[],1,2
20030,好胜之剑(绿),32065,32066,200011.png,2,1,[20030],4750,35,[],1,2
20031,好胜之剑(蓝),32065,32066,200011.png,3,1,[20031],6500,35,[],1,2
20032,好胜之剑(紫),32065,32066,200011.png,4,1,[20032],8250,35,[],1,2
20037,水晶弓(白),32069,32070,200020.png,1,1,[20037],3000,35,[],1,2
20038,水晶弓(绿),32069,32070,200020.png,2,1,[20038],4750,35,[],1,2
20039,水晶弓(蓝),32069,32070,200020.png,3,1,[20039],6500,35,[],1,2
20040,水晶弓(紫),32069,32070,200020.png,4,1,[20040],8250,35,[],1,2
20041,剜心利刃(白),32071,32072,200052.png,1,1,[20041],3000,35,[],1,2
20042,剜心利刃(绿),32071,32072,200052.png,2,1,[20042],4750,35,[],1,2
20043,剜心利刃(蓝),32071,32072,200052.png,3,1,[20043],6500,35,[],1,2
20044,剜心利刃(紫),32071,32072,200052.png,4,1,[20044],8250,35,[],1,2
20045,破魔法杖(白),32073,32074,200055.png,1,1,[20045],3000,35,[],1,2
20046,破魔法杖(绿),32073,32074,200055.png,2,1,[20046],4750,35,[],1,2
20047,破魔法杖(蓝),32073,32074,200055.png,3,1,[20047],6500,35,[],1,2
20048,破魔法杖(紫),32073,32074,200055.png,4,1,[20048],8250,35,[],1,2
20049,暮夜手杖(白),32075,32076,200043.png,1,1,[20049],3000,35,[],1,2
20050,暮夜手杖(绿),32075,32076,200043.png,2,1,[20050],4750,35,[],1,2
20051,暮夜手杖(蓝),32075,32076,200043.png,3,1,[20051],6500,35,[],1,2
20052,暮夜手杖(紫),32075,32076,200043.png,4,1,[20052],8250,35,[],1,2
20053,破军大剑(白),32121,32122,200023.png,1,1,[20053],7000,50,[],1,2
20054,破军大剑(绿),32121,32122,200023.png,2,1,[20054],11500,50,[],1,2
20055,破军大剑(蓝),32121,32122,200023.png,3,1,[20055],16000,50,[],1,2
20056,破军大剑(紫),32121,32122,200023.png,4,1,[20056],20500,50,[],1,2
20061,旧式火枪(白),32125,32126,200022.png,1,1,[20061],7000,50,[],1,2
20062,旧式火枪(绿),32125,32126,200022.png,2,1,[20062],11500,50,[],1,2
20063,旧式火枪(蓝),32125,32126,200022.png,3,1,[20063],16000,50,[],1,2
20064,旧式火枪(紫),32125,32126,200022.png,4,1,[20064],20500,50,[],1,2
20065,毒淬之刃(白),32127,32128,200053.png,1,1,[20065],7000,50,[],1,2
20066,毒淬之刃(绿),32127,32128,200053.png,2,1,[20066],11500,50,[],1,2
20067,毒淬之刃(蓝),32127,32128,200053.png,3,1,[20067],16000,50,[],1,2
20068,毒淬之刃(紫),32127,32128,200053.png,4,1,[20068],20500,50,[],1,2
20069,杜克魔杖(白),32129,32130,200056.png,1,1,[20069],7000,50,[],1,2
20070,杜克魔杖(绿),32129,32130,200056.png,2,1,[20070],11500,50,[],1,2
20071,杜克魔杖(蓝),32129,32130,200056.png,3,1,[20071],16000,50,[],1,2
20072,杜克魔杖(紫),32129,32130,200056.png,4,1,[20072],20500,50,[],1,2
20073,黎明手杖(白),32131,32132,200042.png,1,1,[20073],7000,50,[],1,2
20074,黎明手杖(绿),32131,32132,200042.png,2,1,[20074],11500,50,[],1,2
20075,黎明手杖(蓝),32131,32132,200042.png,3,1,[20075],16000,50,[],1,2
20076,黎明手杖(紫),32131,32132,200042.png,4,1,[20076],20500,50,[],1,2
20077,秘银圣剑(白),32177,32178,200014.png,1,1,[20077],14500,65,[],1,2
20078,秘银圣剑(绿),32177,32178,200014.png,2,1,[20078],22500,65,[],1,2
20079,秘银圣剑(蓝),32177,32178,200014.png,3,1,[20079],30500,65,[],1,2
20080,秘银圣剑(紫),32177,32178,200014.png,4,1,[20080],38500,65,[],1,2
20085,铜制火枪(白),32181,32182,200025.png,1,1,[20085],14500,65,[],1,2
20086,铜制火枪(绿),32181,32182,200025.png,2,1,[20086],22500,65,[],1,2
20087,铜制火枪(蓝),32181,32182,200025.png,3,1,[20087],30500,65,[],1,2
20088,铜制火枪(紫),32181,32182,200025.png,4,1,[20088],38500,65,[],1,2
20089,弑君之刃(白),32183,32184,200054.png,1,1,[20089],14500,65,[],1,2
20090,弑君之刃(绿),32183,32184,200054.png,2,1,[20090],22500,65,[],1,2
20091,弑君之刃(蓝),32183,32184,200054.png,3,1,[20091],30500,65,[],1,2
20092,弑君之刃(紫),32183,32184,200054.png,4,1,[20092],38500,65,[],1,2
20093,恶灵魔杖(白),32185,32186,200057.png,1,1,[20093],14500,65,[],1,2
20094,恶灵魔杖(绿),32185,32186,200057.png,2,1,[20094],22500,65,[],1,2
20095,恶灵魔杖(蓝),32185,32186,200057.png,3,1,[20095],30500,65,[],1,2
20096,恶灵魔杖(紫),32185,32186,200057.png,4,1,[20096],38500,65,[],1,2
20097,救赎手杖(白),32187,32188,200059.png,1,1,[20097],14500,65,[],1,2
20098,救赎手杖(绿),32187,32188,200059.png,2,1,[20098],22500,65,[],1,2
20099,救赎手杖(蓝),32187,32188,200059.png,3,1,[20099],30500,65,[],1,2
20100,救赎手杖(紫),32187,32188,200059.png,4,1,[20100],38500,65,[],1,2
20101,守卫钉锤(白）,32253,32254,200068.png,1,1,[20101],1250,20,[],1,2
20102,守卫钉锤(绿）,32253,32254,200068.png,2,1,[20102],2000,20,[],1,2
20103,守卫钉锤(蓝),32253,32254,200068.png,3,1,[20103],2750,20,[],1,2
20104,守卫钉锤(紫),32253,32254,200068.png,4,1,[20104],3500,20,[],1,2
20105,精钢锤(白）,32255,32256,200069.png,1,1,[20105],3000,35,[],1,2
20106,精钢锤(绿）,32255,32256,200069.png,2,1,[20106],4750,35,[],1,2
20107,精钢锤(蓝),32255,32256,200069.png,3,1,[20107],6500,35,[],1,2
20108,精钢锤(紫),32255,32256,200069.png,4,1,[20108],8250,35,[],1,2
20109,圣骑士锤(白）,32257,32258,200070.png,1,1,[20109],7000,50,[],1,2
20110,圣骑士锤(绿）,32257,32258,200070.png,2,1,[20110],11500,50,[],1,2
20111,圣骑士锤(蓝),32257,32258,200070.png,3,1,[20111],16000,50,[],1,2
20112,圣骑士锤(紫),32257,32258,200070.png,4,1,[20112],20500,50,[],1,2
20113,65守卫武器(白）,32259,32260,200070.png,1,1,[20113],14500,50,[],1,2
20114,65守卫武器(绿）,32259,32260,200070.png,2,1,[20114],22500,50,[],1,2
20115,65守卫武器(蓝),32259,32260,200070.png,3,1,[20115],30500,50,[],1,2
20116,65守卫武器(紫),32259,32260,200070.png,4,1,[20116],38500,50,[],1,2
20501,角斗之斧(金),32243,32244,200012.png,5,1,[20501],10000,1,[],1,2
20509,粗制短刃(金),32001,32002,200051.png,5,1,[20509],4500,20,[],1,2
20513,祈福手杖(金),32019,32020,200058.png,5,1,[20513],4500,20,[],1,2
20517,单手剑(金),32033,32034,200050.png,5,1,[20517],4500,20,[],1,2
20521,藤蔓长弓(金),32035,32036,200017.png,5,1,[20521],4500,20,[],1,2
20525,学徒法杖(金),32037,32038,200036.png,5,1,[20525],4500,20,[],1,2
20529,好胜之剑(金),32065,32066,200011.png,5,1,[20529],11000,35,[],1,2
20537,水晶弓(金),32069,32070,200020.png,5,1,[20537],11000,35,[],1,2
20541,剜心利刃(金),32071,32072,200052.png,5,1,[20541],11000,35,[],1,2
20545,破魔法杖(金),32073,32074,200055.png,5,1,[20545],11000,35,[],1,2
20549,暮夜手杖(金),32075,32076,200043.png,5,1,[20549],11000,35,[],1,2
20553,破军大剑(金),32121,32122,200023.png,5,1,[20553],30000,50,[],1,2
20561,旧式火枪(金),32125,32126,200022.png,5,1,[20561],30000,50,[],1,2
20565,毒淬之刃(金),32127,32128,200053.png,5,1,[20565],30000,50,[],1,2
20569,杜克魔杖(金),32129,32130,200056.png,5,1,[20569],30000,50,[],1,2
20573,黎明手杖(金),32131,32132,200042.png,5,1,[20573],30000,50,[],1,2
20577,秘银圣剑(金),32177,32178,200014.png,5,1,[20577],50000,65,[],1,2
20585,铜制火枪(金),32181,32182,200025.png,5,1,[20585],50000,65,[],1,2
20589,弑君之刃(金),32183,32184,200054.png,5,1,[20589],50000,65,[],1,2
20593,恶灵魔杖(金),32185,32186,200057.png,5,1,[20593],50000,65,[],1,2
20597,救赎手杖(金),32187,32188,200059.png,5,1,[20597],50000,65,[],1,2
20601,守卫钉锤(金),32253,32254,200068.png,5,1,[20601],4500,20,[],1,2
20605,精钢锤(金),32255,32256,200069.png,5,1,[20605],11000,35,[],1,2
20609,圣骑士锤(金),32257,32258,200070.png,5,1,[20609],30000,50,[],1,2
20613,65守卫武器(金),32259,32260,200070.png,5,1,[20613],50000,50,[],1,2
20901,1级勇士套装剑（橙）,32285,32286,200071.png,6,1,[20901],20000,1,[],1,2
21001,头巾(白),32005,32006,210001.png,1,1,[21001],300,1,[55+1],1,2
21002,头巾(绿),32005,32006,210001.png,2,1,[21002],500,1,[55+1],1,2
21009,亚麻兜帽(白),32021,32022,210029.png,1,1,[21009],1250,20,[],1,2
21010,亚麻兜帽(绿),32021,32022,210029.png,2,1,[21010],2000,20,[],1,2
21011,亚麻兜帽(蓝),32021,32022,210029.png,3,1,[21011],2750,20,[],1,2
21012,亚麻兜帽(紫),32021,32022,210029.png,4,1,[21012],3500,20,[],1,2
21013,鲜花头环(白),32023,32024,210055.png,1,1,[21013],1250,20,[],1,2
21014,鲜花头环(绿),32023,32024,210055.png,2,1,[21014],2000,20,[],1,2
21015,鲜花头环(蓝),32023,32024,210055.png,3,1,[21015],2750,20,[],1,2
21016,鲜花头环(紫),32023,32024,210055.png,4,1,[21016],3500,20,[],1,2
21017,骑士战盔(白),32039,32040,210006.png,1,1,[21017],1250,20,[],1,2
21018,骑士战盔(绿),32039,32040,210006.png,2,1,[21018],2000,20,[],1,2
21019,骑士战盔(蓝),32039,32040,210006.png,3,1,[21019],2750,20,[],1,2
21020,骑士战盔(紫),32039,32040,210006.png,4,1,[21020],3500,20,[],1,2
21021,飞羽毡帽(白),32041,32042,210017.png,1,1,[21021],1250,20,[],1,2
21022,飞羽毡帽(绿),32041,32042,210017.png,2,1,[21022],2000,20,[],1,2
21023,飞羽毡帽(蓝),32041,32042,210017.png,3,1,[21023],2750,20,[],1,2
21024,飞羽毡帽(紫),32041,32042,210017.png,4,1,[21024],3500,20,[],1,2
21025,学徒高帽(白),32043,32044,210033.png,1,1,[21025],1250,20,[],1,2
21026,学徒高帽(绿),32043,32044,210033.png,2,1,[21026],2000,20,[],1,2
21027,学徒高帽(蓝),32043,32044,210033.png,3,1,[21027],2750,20,[],1,2
21028,学徒高帽(紫),32043,32044,210033.png,4,1,[21028],3500,20,[],1,2
21029,重型战盔(白),32077,32078,210050.png,1,1,[21029],3000,35,[],1,2
21030,重型战盔(绿),32077,32078,210050.png,2,1,[21030],4750,35,[],1,2
21031,重型战盔(蓝),32077,32078,210050.png,3,1,[21031],6500,35,[],1,2
21032,重型战盔(紫),32077,32078,210050.png,4,1,[21032],8250,35,[],1,2
21037,骷髅毡帽(白),32081,32082,210022.png,1,1,[21037],3000,35,[],1,2
21038,骷髅毡帽(绿),32081,32082,210022.png,2,1,[21038],4750,35,[],1,2
21039,骷髅毡帽(蓝),32081,32082,210022.png,3,1,[21039],6500,35,[],1,2
21040,骷髅毡帽(紫),32081,32082,210022.png,4,1,[21040],8250,35,[],1,2
21041,鹰喙兜帽(白),32083,32084,210026.png,1,1,[21041],3000,35,[],1,2
21042,鹰喙兜帽(绿),32083,32084,210026.png,2,1,[21042],4750,35,[],1,2
21043,鹰喙兜帽(蓝),32083,32084,210026.png,3,1,[21043],6500,35,[],1,2
21044,鹰喙兜帽(紫),32083,32084,210026.png,4,1,[21044],8250,35,[],1,2
21045,奥术高帽(白),32085,32086,210042.png,1,1,[21045],3000,35,[],1,2
21046,奥术高帽(绿),32085,32086,210042.png,2,1,[21046],4750,35,[],1,2
21047,奥术高帽(蓝),32085,32086,210042.png,3,1,[21047],6500,35,[],1,2
21048,奥术高帽(紫),32085,32086,210042.png,4,1,[21048],8250,35,[],1,2
21049,紫荆头环(白),32087,32088,210043.png,1,1,[21049],3000,35,[],1,2
21050,紫荆头环(绿),32087,32088,210043.png,2,1,[21050],4750,35,[],1,2
21051,紫荆头环(蓝),32087,32088,210043.png,3,1,[21051],6500,35,[],1,2
21052,紫荆头环(紫),32087,32088,210043.png,4,1,[21052],8250,35,[],1,2
21053,皇家战盔(白),32133,32134,210051.png,1,1,[21053],7000,50,[],1,2
21054,皇家战盔(绿),32133,32134,210051.png,2,1,[21054],11500,50,[],1,2
21055,皇家战盔(蓝),32133,32134,210051.png,3,1,[21055],16000,50,[],1,2
21056,皇家战盔(紫),32133,32134,210051.png,4,1,[21056],20500,50,[],1,2
21061,必胜毡帽(白),32137,32138,210025.png,1,1,[21061],7000,50,[],1,2
21062,必胜毡帽(绿),32137,32138,210025.png,2,1,[21062],11500,50,[],1,2
21063,必胜毡帽(蓝),32137,32138,210025.png,3,1,[21063],16000,50,[],1,2
21064,必胜毡帽(紫),32137,32138,210025.png,4,1,[21064],20500,50,[],1,2
21065,残阳兜帽(白),32139,32140,210036.png,1,1,[21065],7000,50,[],1,2
21066,残阳兜帽(绿),32139,32140,210036.png,2,1,[21066],11500,50,[],1,2
21067,残阳兜帽(蓝),32139,32140,210036.png,3,1,[21067],16000,50,[],1,2
21068,残阳兜帽(紫),32139,32140,210036.png,4,1,[21068],20500,50,[],1,2
21069,飞翼高帽(白),32141,32142,210041.png,1,1,[21069],7000,50,[],1,2
21070,飞翼高帽(绿),32141,32142,210041.png,2,1,[21070],11500,50,[],1,2
21071,飞翼高帽(蓝),32141,32142,210041.png,3,1,[21071],16000,50,[],1,2
21072,飞翼高帽(紫),32141,32142,210041.png,4,1,[21072],20500,50,[],1,2
21073,守护头环(白),32143,32144,210056.png,1,1,[21073],7000,50,[],1,2
21074,守护头环(绿),32143,32144,210056.png,2,1,[21074],11500,50,[],1,2
21075,守护头环(蓝),32143,32144,210056.png,3,1,[21075],16000,50,[],1,2
21076,守护头环(紫),32143,32144,210056.png,4,1,[21076],20500,50,[],1,2
21077,英灵战盔(白),32189,32190,210014.png,1,1,[21077],14500,65,[],1,2
21078,英灵战盔(绿),32189,32190,210014.png,2,1,[21078],22500,65,[],1,2
21079,英灵战盔(蓝),32189,32190,210014.png,3,1,[21079],30500,65,[],1,2
21080,英灵战盔(紫),32189,32190,210014.png,4,1,[21080],38500,65,[],1,2
21085,皇家毡帽(白),32193,32194,210052.png,1,1,[21085],14500,65,[],1,2
21086,皇家毡帽(绿),32193,32194,210052.png,2,1,[21086],22500,65,[],1,2
21087,皇家毡帽(蓝),32193,32194,210052.png,3,1,[21087],30500,65,[],1,2
21088,皇家毡帽(紫),32193,32194,210052.png,4,1,[21088],38500,65,[],1,2
21089,迅影兜帽(白),32195,32196,210053.png,1,1,[21089],14500,65,[],1,2
21090,迅影兜帽(绿),32195,32196,210053.png,2,1,[21090],22500,65,[],1,2
21091,迅影兜帽(蓝),32195,32196,210053.png,3,1,[21091],30500,65,[],1,2
21092,迅影兜帽(紫),32195,32196,210053.png,4,1,[21092],38500,65,[],1,2
21093,末日高帽(白),32197,32198,210054.png,1,1,[21093],14500,65,[],1,2
21094,末日高帽(绿),32197,32198,210054.png,2,1,[21094],22500,65,[],1,2
21095,末日高帽(蓝),32197,32198,210054.png,3,1,[21095],30500,65,[],1,2
21096,末日高帽(紫),32197,32198,210054.png,4,1,[21096],38500,65,[],1,2
21097,觉醒头环(白),32199,32200,210057.png,1,1,[21097],14500,65,[],1,2
21098,觉醒头环(绿),32199,32200,210057.png,2,1,[21098],22500,65,[],1,2
21099,觉醒头环(蓝),32199,32200,210057.png,3,1,[21099],30500,65,[],1,2
21100,觉醒头环(紫),32199,32200,210057.png,4,1,[21100],38500,65,[],1,2
21101,皮革头盔(白）,32261,32262,210066.png,1,1,[21101],1250,20,[],1,2
21102,皮革头盔(绿）,32261,32262,210066.png,2,1,[21102],2000,20,[],1,2
21103,皮革头盔(蓝),32261,32262,210066.png,3,1,[21103],2750,20,[],1,2
21104,皮革头盔(紫),32261,32262,210066.png,4,1,[21104],3500,20,[],1,2
21105,精钢护盔(白）,32263,32264,210067.png,1,1,[21105],3000,35,[],1,2
21106,精钢护盔(绿）,32263,32264,210067.png,2,1,[21106],4750,35,[],1,2
21107,精钢护盔(蓝),32263,32264,210067.png,3,1,[21107],6500,35,[],1,2
21108,精钢护盔(紫),32263,32264,210067.png,4,1,[21108],8250,35,[],1,2
21109,正义之盔(白）,32265,32266,210068.png,1,1,[21109],7000,50,[],1,2
21110,正义之盔(绿）,32265,32266,210068.png,2,1,[21110],11500,50,[],1,2
21111,正义之盔(蓝),32265,32266,210068.png,3,1,[21111],16000,50,[],1,2
21112,正义之盔(紫),32265,32266,210068.png,4,1,[21112],20500,50,[],1,2
21113,65守卫头盔(白）,32267,32268,210068.png,1,1,[21113],14500,50,[],1,2
21114,65守卫头盔(绿）,32267,32268,210068.png,2,1,[21114],22500,50,[],1,2
21115,65守卫头盔(蓝),32267,32268,210068.png,3,1,[21115],30500,50,[],1,2
21116,65守卫头盔(紫),32267,32268,210068.png,4,1,[21116],38500,50,[],1,2
21501,角斗之盔(金),32191,32192,210012.png,5,1,[21501],10000,1,[],1,2
21509,亚麻兜帽(金),32021,32022,210029.png,5,1,[21509],4500,20,[],1,2
21513,鲜花头环(金),32023,32024,210055.png,5,1,[21513],4500,20,[],1,2
21517,骑士战盔(金),32039,32040,210006.png,5,1,[21517],4500,20,[],1,2
21521,飞羽毡帽(金),32041,32042,210017.png,5,1,[21521],4500,20,[],1,2
21525,学徒高帽(金),32043,32044,210033.png,5,1,[21525],4500,20,[],1,2
21529,重型战盔(金),32077,32078,210050.png,5,1,[21529],11000,35,[],1,2
21537,骷髅毡帽(金),32081,32082,210022.png,5,1,[21537],11000,35,[],1,2
21541,鹰喙兜帽(金),32083,32084,210026.png,5,1,[21541],11000,35,[],1,2
21545,奥术高帽(金),32085,32086,210042.png,5,1,[21545],11000,35,[],1,2
21549,紫荆头环(金),32087,32088,210043.png,5,1,[21549],11000,35,[],1,2
21553,皇家战盔(金),32133,32134,210051.png,5,1,[21553],30000,50,[],1,2
21561,必胜毡帽(金),32137,32138,210025.png,5,1,[21561],30000,50,[],1,2
21565,残阳兜帽(金),32139,32140,210036.png,5,1,[21565],30000,50,[],1,2
21569,飞翼高帽(金),32141,32142,210041.png,5,1,[21569],30000,50,[],1,2
21573,守护头环(金),32143,32144,210056.png,5,1,[21573],30000,50,[],1,2
21577,英灵战盔(金),32189,32190,210014.png,5,1,[21577],50000,65,[],1,2
21585,皇家毡帽(金),32193,32194,210052.png,5,1,[21585],50000,65,[],1,2
21589,迅影兜帽(金),32195,32196,210053.png,5,1,[21589],50000,65,[],1,2
21593,末日高帽(金),32197,32198,210054.png,5,1,[21593],50000,65,[],1,2
21597,觉醒头环(金),32199,32200,210057.png,5,1,[21597],50000,65,[],1,2
21601,皮革头盔(金),32261,32262,210066.png,5,1,[21601],4500,20,[],1,2
21605,精钢护盔(金),32263,32264,210067.png,5,1,[21605],11000,35,[],1,2
21609,正义之盔(金),32265,32266,210068.png,5,1,[21609],30000,50,[],1,2
21613,65守卫头盔(金),32267,32268,210068.png,5,1,[21613],50000,50,[],1,2
21901,1级勇士套装头（橙）,32287,32288,210069.png,6,1,[21901],20000,1,[],1,2
22001,皮衣(白),32009,32010,220001.png,1,1,[22001],300,1,[55+1],1,2
22002,皮衣(绿),32009,32010,220001.png,2,1,[22002],500,1,[55+1],1,2
22009,简易披风(白),32025,32026,220029.png,1,1,[22009],1250,20,[],1,2
22010,简易披风(绿),32025,32026,220029.png,2,1,[22010],2000,20,[],1,2
22011,简易披风(蓝),32025,32026,220029.png,3,1,[22011],2750,20,[],1,2
22012,简易披风(紫),32025,32026,220029.png,4,1,[22012],3500,20,[],1,2
22013,针织灰袍(白),32027,32028,220057.png,1,1,[22013],1250,20,[],1,2
