掉落规则ID,单次掉落种类数量,可否暴击,可否重复,额外掉落,玩家经验,金币,钻石,竞技币,能量碎片,公会贡献,抽卡券,掉落1ID,掉落1概率,掉落1数量,掉落2ID,掉落2概率,掉落2数量,掉落3ID,掉落3概率,掉落3数量,掉落4ID,掉落4概率,掉落4数量,掉落5ID,掉落5概率,掉落5数量,掉落6ID,掉落6概率,掉落6数量,掉落7ID,掉落7概率,掉落7数量,掉落8ID,掉落8概率,掉落8数量,掉落9ID,掉落9概率,掉落9数量,掉落10ID,掉落10概率,掉落10数量,掉落11ID,掉落11概率,掉落11数量,掉落12ID,掉落12概率,掉落12数量,掉落13ID,掉落13概率,掉落13数量,掉落14ID,掉落14概率,掉落14数量,掉落15ID,掉落15概率,掉落15数量,掉落16ID,掉落16概率,掉落16数量,掉落17ID,掉落17概率,掉落17数量,掉落18ID,掉落18概率,掉落18数量,掉落19ID,掉落19概率,掉落19数量,掉落20ID,掉落20概率,掉落20数量,掉落21ID,掉落21概率,掉落21数量,掉落22ID,掉落22概率,掉落22数量,掉落23ID,掉落23概率,掉落23数量,掉落24ID,掉落24概率,掉落24数量,掉落25ID,掉落25概率,掉落25数量,掉落26ID,掉落26概率,掉落26数量,掉落27ID,掉落27概率,掉落27数量,掉落28ID,掉落28概率,掉落28数量,掉落29ID,掉落29概率,掉落29数量,掉落30ID,掉落30概率,掉落30数量
105,[3+3],0,0,,[7+20+20],[1+200+200],,,,,,100003,3333,[1+1],211001,3333,[1+1],10034,3334,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,[3+3],0,0,,[7+20+20],[1+400+400],,,,,,100003,3333,[1+1],231001,3333,[1+1],50002,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,[3+3],0,0,,[7+30+30],[1+200+200],,,,,,100003,3333,[1+1],211001,3333,[1+1],221001,3334,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,[3+3],0,0,,[7+30+30],[1+200+200],,,,,,100003,3333,[1+1],201001,3333,[1+1],1003,3334,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,[3+3],0,0,,[7+30+30],[1+400+400],,,,,,100003,3333,[1+1],201006,3333,[1+1],50002,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,[3+3],0,0,,[7+30+30],[1+200+200],,,,,,100003,3333,[1+1],211001,3333,[1+1],201001,3334,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,[3+3],0,0,,[7+40+40],[1+200+200],,,,,,100003,3333,[1+1],100002,3333,[1+1],221002,3334,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,[3+3],0,0,,[7+40+40],[1+400+400],,,,,,100003,3333,[1+1],211002,3333,[1+1],50002,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,[3+3],0,0,,[7+40+40],[1+200+200],,,,,,100003,3333,[1+1],221001,3333,[1+1],201006,3334,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,[3+3],0,0,,[7+40+40],[1+200+200],,,,,,100003,3333,[1+1],211001,3333,[1+1],231001,3334,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,[3+3],0,0,,[7+50+50],[1+400+400],,,,,,100003,3333,[1+1],201022,3333,[1+1],50002,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,[3+3],0,0,,[7+20+20],[1+250+250],,,,,,100003,3333,[2+2],120013,3333,[3+3],120005,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,[3+3],0,0,,[7+20+20],[1+250+250],,,,,,100003,3333,[2+2],120121,3333,[3+3],120122,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,[3+3],0,0,,[7+20+20],[1+500+500],,,,,,100002,3333,[2+2],221010,3333,[1+1],50015,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,[3+3],0,0,,[7+20+20],[1+250+250],,,,,,100003,3333,[2+2],120013,3333,[3+3],120001,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,[3+3],0,0,,[7+30+30],[1+250+250],,,,,,100003,3333,[2+2],120164,3333,[3+3],120165,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,[3+3],0,0,,[7+30+30],[1+500+500],,,,,,100002,3333,[2+2],221014,3333,[1+1],50015,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,[3+3],0,0,,[7+30+30],[1+250+250],,,,,,100003,3333,[2+2],120013,3333,[3+3],120001,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,[3+3],0,0,,[7+30+30],[1+250+250],,,,,,100003,3333,[2+2],120142,3333,[3+3],120143,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,[3+3],0,0,,[7+40+40],[1+500+500],,,,,,100002,3333,[2+2],221018,3333,[1+1],50015,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,[3+3],0,0,,[7+40+40],[1+250+250],,,,,,100002,3333,[1+1],120001,3333,[3+3],120005,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,[3+3],0,0,,[7+40+40],[1+250+250],,,,,,100002,3333,[1+1],120101,3333,[3+3],120102,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,[3+3],0,0,,[7+40+40],[1+500+500],,,,,,100002,3333,[2+2],221022,3333,[1+1],50015,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,[3+3],0,0,,[7+50+50],[1+250+250],,,,,,100002,3333,[1+1],120013,3333,[3+3],120005,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,[3+3],0,0,,[7+50+50],[1+250+250],,,,,,100002,3333,[1+1],120124,3333,[3+3],120125,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,[3+3],0,0,,[7+50+50],[1+500+500],,,,,,100002,3333,[2+2],221026,3333,[1+1],50024,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,[3+3],0,0,,[7+30+30],[1+700+700],,,,,,100002,3333,[1+1],120001,3333,[3+3],1004,3334,[1+1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,[3+3],0,0,,[7+30+30],[1+700+700],,,,,,100002,3333,[1+1],120103,3333,[3+3],120104,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,[3+3],0,0,,[7+30+30],[1+1400+1400],,,,,,100001,3333,[1+1],231026,3333,[1+1],50024,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,[3+3],0,0,,[7+30+30],[1+700+700],,,,,,100002,3333,[1+1],120013,3333,[3+3],120001,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,[3+3],0,0,,[7+30+30],[1+700+700],,,,,,100002,3333,[1+1],120144,3333,[3+3],120145,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,[3+3],0,0,,[7+30+30],[1+1400+1400],,,,,,100001,3333,[1+1],231022,3333,[1+1],50024,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,[3+3],0,0,,[7+30+30],[1+700+700],,,,,,100002,3333,[1+1],120013,3333,[3+3],120005,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,[3+3],0,0,,[7+30+30],[1+700+700],,,,,,100002,3333,[1+1],120105,3333,[3+3],120141,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,[3+3],0,0,,[7+30+30],[1+1400+1400],,,,,,100001,3333,[1+1],231014,3333,[1+1],50024,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,[3+3],0,0,,[7+30+30],[1+700+700],,,,,,100002,3333,[1+1],120001,3333,[3+3],120005,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,[3+3],0,0,,[7+30+30],[1+700+700],,,,,,100002,3333,[1+1],120123,3333,[3+3],120163,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,[3+3],0,0,,[7+30+30],[1+1400+1400],,,,,,100001,3333,[1+1],231018,3333,[1+1],50003,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,[3+3],0,0,,[7+30+30],[1+700+700],,,,,,100002,3333,[1+1],120013,3333,[3+3],120005,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,[3+3],0,0,,[7+30+30],[1+700+700],,,,,,100002,3333,[1+1],120161,3333,[3+3],120162,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,[3+3],0,0,,[7+30+30],[1+1400+1400],,,,,,100001,3333,[1+1],231010,3333,[1+1],50003,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,[3+3],0,0,,[7+30+30],[1+950+950],,,,,,100002,3333,[2+2],120013,3333,[5+5],120001,3334,[5+5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,[3+3],0,0,,[7+30+30],[1+950+950],,,,,,100002,3333,[2+2],120108,3333,[5+5],120128,3334,[5+5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,[3+3],0,0,,[7+30+30],[1+1900+1900],,,,,,100001,3333,[1+1],211030,3333,[1+1],50003,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,[3+3],0,0,,[7+30+30],[1+950+950],,,,,,100002,3333,[2+2],120001,3333,[5+5],120005,3334,[5+5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,[3+3],0,0,,[7+30+30],[1+950+950],,,,,,100002,3333,[2+2],120126,3333,[5+5],120146,3334,[5+5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,[3+3],0,0,,[7+30+30],[1+1900+1900],,,,,,100001,3333,[1+1],211038,3333,[1+1],50003,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,[3+3],0,0,,[7+30+30],[1+950+950],,,,,,100002,3333,[2+2],120013,3333,[5+5],120005,3334,[5+5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,[3+3],0,0,,[7+30+30],[1+950+950],,,,,,100002,3333,[2+2],120110,3333,[5+5],120170,3334,[5+5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,[3+3],0,0,,[7+30+30],[1+1900+1900],,,,,,100001,3333,[1+1],211042,3333,[1+1],50008,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,[3+3],0,0,,[7+30+30],[1+950+950],,,,,,100002,3333,[2+2],120013,3333,[5+5],120001,3334,[5+5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,[3+3],0,0,,[7+30+30],[1+950+950],,,,,,100002,3333,[2+2],120107,3333,[5+5],120127,3334,[5+5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,[3+3],0,0,,[7+30+30],[1+1900+1900],,,,,,100001,3333,[1+1],211046,3333,[1+1],50008,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,[3+3],0,0,,[7+30+30],[1+950+950],,,,,,100002,3333,[2+2],120001,3333,[5+5],120005,3334,[5+5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,[3+3],0,0,,[7+30+30],[1+950+950],,,,,,100002,3333,[2+2],120149,3333,[5+5],120169,3334,[5+5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,[3+3],0,0,,[7+30+30],[1+1900+1900],,,,,,100001,3333,[1+1],211050,3333,[1+1],50008,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501,[3+3],0,0,,[7+30+30],[1+1400+1400],,,,,,100001,3333,[1+1],120001,3333,[5+5],120005,3334,[5+5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
502,[3+3],0,0,,[7+30+30],[1+1400+1400],,,,,,100001,3333,[1+1],120130,3333,[5+5],120150,3334,[5+5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,[3+3],0,0,,[7+30+30],[1+2800+2800],,,,,,100005,3333,[1+1],231050,3333,[1+1],50008,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,[3+3],0,0,,[7+30+30],[1+1400+1400],,,,,,100001,3333,[1+1],120013,3333,[5+5],120005,3334,[5+5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,[3+3],0,0,,[7+30+30],[1+1400+1400],,,,,,100001,3333,[1+1],120106,3333,[5+5],120166,3334,[5+5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,[3+3],0,0,,[7+30+30],[1+2800+2800],,,,,,100005,3333,[1+1],231046,3333,[1+1],50029,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,[3+3],0,0,,[7+30+30],[1+1400+1400],,,,,,100001,3333,[1+1],120013,3333,[5+5],120001,3334,[5+5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,[3+3],0,0,,[7+30+30],[1+1400+1400],,,,,,100001,3333,[1+1],120128,3333,[5+5],120148,3334,[5+5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,[3+3],0,0,,[7+30+30],[1+2800+2800],,,,,,100005,3333,[1+1],231042,3333,[1+1],50029,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,[3+3],0,0,,[7+30+30],[1+1400+1400],,,,,,100001,3333,[1+1],120013,3333,[5+5],120001,3334,[5+5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,[3+3],0,0,,[7+30+30],[1+1400+1400],,,,,,100001,3333,[1+1],120109,3333,[5+5],120129,3334,[5+5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,[3+3],0,0,,[7+30+30],[1+2800+2800],,,,,,100005,3333,[1+1],231038,3333,[1+1],50031,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,[3+3],0,0,,[7+30+30],[1+1400+1400],,,,,,100001,3333,[1+1],120013,3333,[5+5],120005,3334,[5+5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,[3+3],0,0,,[7+30+30],[1+1400+1400],,,,,,100001,3333,[1+1],120147,3333,[5+5],120167,3334,[5+5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,[3+3],0,0,,[7+30+30],[1+2800+2800],,,,,,100005,3333,[1+1],231030,3333,[1+1],50031,3334,[3+3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,[3+3],0,0,,[7+40+40],[1+1680+1680],,,,,,100005,3333,[1+1],120001,3333,[10+10],120005,3334,[10+10],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
