活动ID,活动任务,名称,活动任务图标,任务描述语言包,完成条件,条件参数1,条件参数2,奖励1钻石,奖励2金币,奖励3道具,奖励4体力,宣传图,立即前往,每日成长标示,备注,,,
1008,5,商店刷新2次,icon_task_01.png,2085,203,2,1,10,,,,,,,,,,
1008,6,商店刷新5次,icon_task_01.png,2085,203,5,1,,,[251+1],,,,,符石袋1,,,
1008,7,打造装2次,icon_task_01.png,2087,204,2,0,,,[253+1],,,,,装备材料袋1,,,
1008,8,打造装备5次,icon_task_01.png,2087,204,5,0,,20000,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1009,1,购买金币5次,icon_task_01.png,2084,8,5,,50,,,,operate_condition.png,,,钻石50,,,
1009,2,购买金币10次,icon_task_01.png,2084,8,10,,,50000,,,,,,金币50000,,,
1009,3,花费金币20000,icon_task_01.png,2086,48,20000,,,10000,,,,,,金币10000,,,
1009,4,花费金币50000,icon_task_01.png,2086,48,50000,,,,[100005+2],,,,,面包2,,,
1009,5,商店刷新2次,icon_task_01.png,2085,203,2,1,10,,,,,,,,,,
1009,6,商店刷新5次,icon_task_01.png,2085,203,5,1,,,[251+1],,,,,符石袋1,,,
1009,7,打造装2次,icon_task_01.png,2087,204,2,0,,,[253+1],,,,,装备材料袋1,,,
1009,8,打造装备5次,icon_task_01.png,2087,204,5,0,,20000,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1010,1,购买金币5次,icon_task_01.png,2084,8,5,,50,,,,operate_condition.png,,,钻石50,,,
1010,2,购买金币10次,icon_task_01.png,2084,8,10,,,50000,,,,,,金币50000,,,
1010,3,花费金币20000,icon_task_01.png,2086,48,20000,,,10000,,,,,,金币10000,,,
1010,4,花费金币50000,icon_task_01.png,2086,48,50000,,,,[100005+2],,,,,面包2,,,
1010,5,商店刷新2次,icon_task_01.png,2085,203,2,1,10,,,,,,,,,,
1010,6,商店刷新5次,icon_task_01.png,2085,203,5,1,,,[251+1],,,,,符石袋1,,,
1010,7,打造装2次,icon_task_01.png,2087,204,2,0,,,[253+1],,,,,装备材料袋1,,,
1010,8,打造装备5次,icon_task_01.png,2087,204,5,0,,20000,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1011,1,购买金币5次,icon_task_01.png,2084,8,5,,50,,,,operate_condition.png,,,钻石50,,,
1011,2,购买金币10次,icon_task_01.png,2084,8,10,,,50000,,,,,,金币50000,,,
1011,3,花费金币20000,icon_task_01.png,2086,48,20000,,,10000,,,,,,金币10000,,,
1011,4,花费金币50000,icon_task_01.png,2086,48,50000,,,,[100005+2],,,,,面包2,,,
1011,5,商店刷新2次,icon_task_01.png,2085,203,2,1,10,,,,,,,,,,
1011,6,商店刷新5次,icon_task_01.png,2085,203,5,1,,,[251+1],,,,,符石袋1,,,
1011,7,打造装2次,icon_task_01.png,2087,204,2,0,,,[253+1],,,,,装备材料袋1,,,
1011,8,打造装备5次,icon_task_01.png,2087,204,5,0,,20000,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1012,1,购买金币5次,icon_task_01.png,2084,8,5,,50,,,,operate_condition.png,,,钻石50,,,
1012,2,购买金币10次,icon_task_01.png,2084,8,10,,,50000,,,,,,金币50000,,,
1012,3,花费金币20000,icon_task_01.png,2086,48,20000,,,10000,,,,,,金币10000,,,
1012,4,花费金币50000,icon_task_01.png,2086,48,50000,,,,[100005+2],,,,,面包2,,,
1012,5,商店刷新2次,icon_task_01.png,2085,203,2,1,10,,,,,,,,,,
1012,6,商店刷新5次,icon_task_01.png,2085,203,5,1,,,[251+1],,,,,符石袋1,,,
1012,7,打造装2次,icon_task_01.png,2087,204,2,0,,,[253+1],,,,,装备材料袋1,,,
1012,8,打造装备5次,icon_task_01.png,2087,204,5,0,,20000,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1013,1,购买金币5次,icon_task_01.png,2084,8,5,,50,,,,operate_condition.png,,,钻石50,,,
1013,2,购买金币10次,icon_task_01.png,2084,8,10,,,50000,,,,,,金币50000,,,
1013,3,花费金币20000,icon_task_01.png,2086,48,20000,,,10000,,,,,,金币10000,,,
1013,4,花费金币50000,icon_task_01.png,2086,48,50000,,,,[100005+2],,,,,面包2,,,
1013,5,商店刷新2次,icon_task_01.png,2085,203,2,1,10,,,,,,,,,,
1013,6,商店刷新5次,icon_task_01.png,2085,203,5,1,,,[251+1],,,,,符石袋1,,,
1013,7,打造装2次,icon_task_01.png,2087,204,2,0,,,[253+1],,,,,装备材料袋1,,,
1013,8,打造装备5次,icon_task_01.png,2087,204,5,0,,20000,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1014,1,购买金币5次,icon_task_01.png,2084,8,5,,50,,,,operate_condition.png,,,钻石50,,,
1014,2,购买金币10次,icon_task_01.png,2084,8,10,,,50000,,,,,,金币50000,,,
1014,3,花费金币20000,icon_task_01.png,2086,48,20000,,,10000,,,,,,金币10000,,,
1014,4,花费金币50000,icon_task_01.png,2086,48,50000,,,,[100005+2],,,,,面包2,,,
1014,5,商店刷新2次,icon_task_01.png,2085,203,2,1,10,,,,,,,,,,
1014,6,商店刷新5次,icon_task_01.png,2085,203,5,1,,,[251+1],,,,,符石袋1,,,
1014,7,打造装2次,icon_task_01.png,2087,204,2,0,,,[253+1],,,,,装备材料袋1,,,
1014,8,打造装备5次,icon_task_01.png,2087,204,5,0,,20000,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1015,1,购买金币5次,icon_task_01.png,2084,8,5,,50,,,,operate_condition.png,,,钻石50,,,
1015,2,购买金币10次,icon_task_01.png,2084,8,10,,,50000,,,,,,金币50000,,,
1015,3,花费金币20000,icon_task_01.png,2086,48,20000,,,10000,,,,,,金币10000,,,
1015,4,花费金币50000,icon_task_01.png,2086,48,50000,,,,[100005+2],,,,,面包2,,,
1015,5,商店刷新2次,icon_task_01.png,2085,203,2,1,10,,,,,,,,,,
1015,6,商店刷新5次,icon_task_01.png,2085,203,5,1,,,[251+1],,,,,符石袋1,,,
1015,7,打造装2次,icon_task_01.png,2087,204,2,0,,,[253+1],,,,,装备材料袋1,,,
1015,8,打造装备5次,icon_task_01.png,2087,204,5,0,,20000,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1016,1,购买金币5次,icon_task_01.png,2084,8,5,,50,,,,operate_condition.png,,,钻石50,,,
1016,2,购买金币10次,icon_task_01.png,2084,8,10,,,50000,,,,,,金币50000,,,
1016,3,花费金币20000,icon_task_01.png,2086,48,20000,,,10000,,,,,,金币10000,,,
1016,4,花费金币50000,icon_task_01.png,2086,48,50000,,,,[100005+2],,,,,面包2,,,
1016,5,商店刷新2次,icon_task_01.png,2085,203,2,1,10,,,,,,,,,,
1016,6,商店刷新5次,icon_task_01.png,2085,203,5,1,,,[251+1],,,,,符石袋1,,,
1016,7,打造装2次,icon_task_01.png,2087,204,2,0,,,[253+1],,,,,装备材料袋1,,,
1016,8,打造装备5次,icon_task_01.png,2087,204,5,0,,20000,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1017,1,购买金币5次,icon_task_01.png,2084,8,5,,50,,,,operate_condition.png,,,钻石50,,,
1017,2,购买金币10次,icon_task_01.png,2084,8,10,,,50000,,,,,,金币50000,,,
1017,3,花费金币20000,icon_task_01.png,2086,48,20000,,,10000,,,,,,金币10000,,,
1017,4,花费金币50000,icon_task_01.png,2086,48,50000,,,,[100005+2],,,,,面包2,,,
1017,5,商店刷新2次,icon_task_01.png,2085,203,2,1,10,,,,,,,,,,
1017,6,商店刷新5次,icon_task_01.png,2085,203,5,1,,,[251+1],,,,,符石袋1,,,
1017,7,打造装2次,icon_task_01.png,2087,204,2,0,,,[253+1],,,,,装备材料袋1,,,
1017,8,打造装备5次,icon_task_01.png,2087,204,5,0,,20000,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1018,1,购买金币5次,icon_task_01.png,2084,8,5,,50,,,,operate_condition.png,,,钻石50,,,
1018,2,购买金币10次,icon_task_01.png,2084,8,10,,,50000,,,,,,金币50000,,,
1018,3,花费金币20000,icon_task_01.png,2086,48,20000,,,10000,,,,,,金币10000,,,
1018,4,花费金币50000,icon_task_01.png,2086,48,50000,,,,[100005+2],,,,,面包2,,,
1018,5,商店刷新2次,icon_task_01.png,2085,203,2,1,10,,,,,,,,,,
1018,6,商店刷新5次,icon_task_01.png,2085,203,5,1,,,[251+1],,,,,符石袋1,,,
1018,7,打造装2次,icon_task_01.png,2087,204,2,0,,,[253+1],,,,,装备材料袋1,,,
1018,8,打造装备5次,icon_task_01.png,2087,204,5,0,,20000,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1019,1,购买金币5次,icon_task_01.png,2084,8,5,,50,,,,operate_condition.png,,,钻石50,,,
1019,2,购买金币10次,icon_task_01.png,2084,8,10,,,50000,,,,,,金币50000,,,
1019,3,花费金币20000,icon_task_01.png,2086,48,20000,,,10000,,,,,,金币10000,,,
1019,4,花费金币50000,icon_task_01.png,2086,48,50000,,,,[100005+2],,,,,面包2,,,
1019,5,商店刷新2次,icon_task_01.png,2085,203,2,1,10,,,,,,,,,,
1019,6,商店刷新5次,icon_task_01.png,2085,203,5,1,,,[251+1],,,,,符石袋1,,,
1019,7,打造装2次,icon_task_01.png,2087,204,2,0,,,[253+1],,,,,装备材料袋1,,,
1019,8,打造装备5次,icon_task_01.png,2087,204,5,0,,20000,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1020,1,购买金币5次,icon_task_01.png,2084,8,5,,50,,,,operate_condition.png,,,钻石50,,,
1020,2,购买金币10次,icon_task_01.png,2084,8,10,,,50000,,,,,,金币50000,,,
1020,3,花费金币20000,icon_task_01.png,2086,48,20000,,,10000,,,,,,金币10000,,,
1020,4,花费金币50000,icon_task_01.png,2086,48,50000,,,,[100005+2],,,,,面包2,,,
1020,5,商店刷新2次,icon_task_01.png,2085,203,2,1,10,,,,,,,,,,
1020,6,商店刷新5次,icon_task_01.png,2085,203,5,1,,,[251+1],,,,,符石袋1,,,
1020,7,打造装2次,icon_task_01.png,2087,204,2,0,,,[253+1],,,,,装备材料袋1,,,
1020,8,打造装备5次,icon_task_01.png,2087,204,5,0,,20000,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1021,1,购买金币5次,icon_task_01.png,2084,8,5,,50,,,,operate_condition.png,,,钻石50,,,
1021,2,购买金币10次,icon_task_01.png,2084,8,10,,,50000,,,,,,金币50000,,,
1021,3,花费金币20000,icon_task_01.png,2086,48,20000,,,10000,,,,,,金币10000,,,
1021,4,花费金币50000,icon_task_01.png,2086,48,50000,,,,[100005+2],,,,,面包2,,,
1021,5,商店刷新2次,icon_task_01.png,2085,203,2,1,10,,,,,,,,,,
1021,6,商店刷新5次,icon_task_01.png,2085,203,5,1,,,[251+1],,,,,符石袋1,,,
1021,7,打造装2次,icon_task_01.png,2087,204,2,0,,,[253+1],,,,,装备材料袋1,,,
1021,8,打造装备5次,icon_task_01.png,2087,204,5,0,,20000,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1022,1,购买金币5次,icon_task_01.png,2084,8,5,,50,,,,operate_condition.png,,,钻石50,,,
1022,2,购买金币10次,icon_task_01.png,2084,8,10,,,50000,,,,,,金币50000,,,
1022,3,花费金币20000,icon_task_01.png,2086,48,20000,,,10000,,,,,,金币10000,,,
1022,4,花费金币50000,icon_task_01.png,2086,48,50000,,,,[100005+2],,,,,面包2,,,
1022,5,商店刷新2次,icon_task_01.png,2085,203,2,1,10,,,,,,,,,,
1022,6,商店刷新5次,icon_task_01.png,2085,203,5,1,,,[251+1],,,,,符石袋1,,,
1022,7,打造装2次,icon_task_01.png,2087,204,2,0,,,[253+1],,,,,装备材料袋1,,,
1022,8,打造装备5次,icon_task_01.png,2087,204,5,0,,20000,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1023,1,购买金币5次,icon_task_01.png,2084,8,5,,50,,,,operate_condition.png,,,钻石50,,,
1023,2,购买金币10次,icon_task_01.png,2084,8,10,,,50000,,,,,,金币50000,,,
1023,3,花费金币20000,icon_task_01.png,2086,48,20000,,,10000,,,,,,金币10000,,,
1023,4,花费金币50000,icon_task_01.png,2086,48,50000,,,,[100005+2],,,,,面包2,,,
1023,5,商店刷新2次,icon_task_01.png,2085,203,2,1,10,,,,,,,,,,
1023,6,商店刷新5次,icon_task_01.png,2085,203,5,1,,,[251+1],,,,,符石袋1,,,
1023,7,打造装2次,icon_task_01.png,2087,204,2,0,,,[253+1],,,,,装备材料袋1,,,
1023,8,打造装备5次,icon_task_01.png,2087,204,5,0,,20000,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1024,1,购买金币5次,icon_task_01.png,2084,8,5,,50,,,,operate_condition.png,,,钻石50,,,
1024,2,购买金币10次,icon_task_01.png,2084,8,10,,,50000,,,,,,金币50000,,,
1024,3,花费金币20000,icon_task_01.png,2086,48,20000,,,10000,,,,,,金币10000,,,
1024,4,花费金币50000,icon_task_01.png,2086,48,50000,,,,[100005+2],,,,,面包2,,,
1024,5,商店刷新2次,icon_task_01.png,2085,203,2,1,10,,,,,,,,,,
1024,6,商店刷新5次,icon_task_01.png,2085,203,5,1,,,[251+1],,,,,符石袋1,,,
1024,7,打造装2次,icon_task_01.png,2087,204,2,0,,,[253+1],,,,,装备材料袋1,,,
1024,8,打造装备5次,icon_task_01.png,2087,204,5,0,,20000,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1025,1,购买金币5次,icon_task_01.png,2084,8,5,,50,,,,operate_condition.png,,,钻石50,,,
1025,2,购买金币10次,icon_task_01.png,2084,8,10,,,50000,,,,,,金币50000,,,
1025,3,花费金币20000,icon_task_01.png,2086,48,20000,,,10000,,,,,,金币10000,,,
1025,4,花费金币50000,icon_task_01.png,2086,48,50000,,,,[100005+2],,,,,面包2,,,
1025,5,商店刷新2次,icon_task_01.png,2085,203,2,1,10,,,,,,,,,,
1025,6,商店刷新5次,icon_task_01.png,2085,203,5,1,,,[251+1],,,,,符石袋1,,,
1025,7,打造装2次,icon_task_01.png,2087,204,2,0,,,[253+1],,,,,装备材料袋1,,,
1025,8,打造装备5次,icon_task_01.png,2087,204,5,0,,20000,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1026,1,购买金币5次,icon_task_01.png,2084,8,5,,50,,,,operate_condition.png,,,钻石50,,,
1026,2,购买金币10次,icon_task_01.png,2084,8,10,,,50000,,,,,,金币50000,,,
1026,3,花费金币20000,icon_task_01.png,2086,48,20000,,,10000,,,,,,金币10000,,,
1026,4,花费金币50000,icon_task_01.png,2086,48,50000,,,,[100005+2],,,,,面包2,,,
1026,5,商店刷新2次,icon_task_01.png,2085,203,2,1,10,,,,,,,,,,
1026,6,商店刷新5次,icon_task_01.png,2085,203,5,1,,,[251+1],,,,,符石袋1,,,
1026,7,打造装2次,icon_task_01.png,2087,204,2,0,,,[253+1],,,,,装备材料袋1,,,
1026,8,打造装备5次,icon_task_01.png,2087,204,5,0,,20000,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1027,1,购买金币5次,icon_task_01.png,2084,8,5,,50,,,,operate_condition.png,,,钻石50,,,
1027,2,购买金币10次,icon_task_01.png,2084,8,10,,,50000,,,,,,金币50000,,,
1027,3,花费金币20000,icon_task_01.png,2086,48,20000,,,10000,,,,,,金币10000,,,
1027,4,花费金币50000,icon_task_01.png,2086,48,50000,,,,[100005+2],,,,,面包2,,,
1027,5,商店刷新2次,icon_task_01.png,2085,203,2,1,10,,,,,,,,,,
1027,6,商店刷新5次,icon_task_01.png,2085,203,5,1,,,[251+1],,,,,符石袋1,,,
1027,7,打造装2次,icon_task_01.png,2087,204,2,0,,,[253+1],,,,,装备材料袋1,,,
1027,8,打造装备5次,icon_task_01.png,2087,204,5,0,,20000,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1028,1,购买金币5次,icon_task_01.png,2084,8,5,,50,,,,operate_condition.png,,,钻石50,,,
1028,2,购买金币10次,icon_task_01.png,2084,8,10,,,50000,,,,,,金币50000,,,
1028,3,花费金币20000,icon_task_01.png,2086,48,20000,,,10000,,,,,,金币10000,,,
1028,4,花费金币50000,icon_task_01.png,2086,48,50000,,,,[100005+2],,,,,面包2,,,
1028,5,商店刷新2次,icon_task_01.png,2085,203,2,1,10,,,,,,,,,,
1028,6,商店刷新5次,icon_task_01.png,2085,203,5,1,,,[251+1],,,,,符石袋1,,,
1028,7,打造装2次,icon_task_01.png,2087,204,2,0,,,[253+1],,,,,装备材料袋1,,,
1028,8,打造装备5次,icon_task_01.png,2087,204,5,0,,20000,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1029,1,购买金币5次,icon_task_01.png,2084,8,5,,50,,,,operate_condition.png,,,钻石50,,,
1029,2,购买金币10次,icon_task_01.png,2084,8,10,,,50000,,,,,,金币50000,,,
1029,3,花费金币20000,icon_task_01.png,2086,48,20000,,,10000,,,,,,金币10000,,,
1029,4,花费金币50000,icon_task_01.png,2086,48,50000,,,,[100005+2],,,,,面包2,,,
1029,5,商店刷新2次,icon_task_01.png,2085,203,2,1,10,,,,,,,,,,
1029,6,商店刷新5次,icon_task_01.png,2085,203,5,1,,,[251+1],,,,,符石袋1,,,
1029,7,打造装2次,icon_task_01.png,2087,204,2,0,,,[253+1],,,,,装备材料袋1,,,
1029,8,打造装备5次,icon_task_01.png,2087,204,5,0,,20000,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1030,1,购买金币5次,icon_task_01.png,2084,8,5,,50,,,,operate_condition.png,,,钻石50,,,
1030,2,购买金币10次,icon_task_01.png,2084,8,10,,,50000,,,,,,金币50000,,,
1030,3,花费金币20000,icon_task_01.png,2086,48,20000,,,10000,,,,,,金币10000,,,
1030,4,花费金币50000,icon_task_01.png,2086,48,50000,,,,[100005+2],,,,,面包2,,,
1030,5,商店刷新2次,icon_task_01.png,2085,203,2,1,10,,,,,,,,,,
1030,6,商店刷新5次,icon_task_01.png,2085,203,5,1,,,[251+1],,,,,符石袋1,,,
1030,7,打造装2次,icon_task_01.png,2087,204,2,0,,,[253+1],,,,,装备材料袋1,,,
1030,8,打造装备5次,icon_task_01.png,2087,204,5,0,,20000,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1031,1,购买金币5次,icon_task_01.png,2084,8,5,,50,,,,operate_condition.png,,,钻石50,,,
1031,2,购买金币10次,icon_task_01.png,2084,8,10,,,50000,,,,,,金币50000,,,
1031,3,花费金币20000,icon_task_01.png,2086,48,20000,,,10000,,,,,,金币10000,,,
1031,4,花费金币50000,icon_task_01.png,2086,48,50000,,,,[100005+2],,,,,面包2,,,
1031,5,商店刷新2次,icon_task_01.png,2085,203,2,1,10,,,,,,,,,,
1031,6,商店刷新5次,icon_task_01.png,2085,203,5,1,,,[251+1],,,,,符石袋1,,,
1031,7,打造装2次,icon_task_01.png,2087,204,2,0,,,[253+1],,,,,装备材料袋1,,,
1031,8,打造装备5次,icon_task_01.png,2087,204,5,0,,20000,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1032,1,购买金币5次,icon_task_01.png,2084,8,5,,50,,,,operate_condition.png,,,钻石50,,,
1032,2,购买金币10次,icon_task_01.png,2084,8,10,,,50000,,,,,,金币50000,,,
1032,3,花费金币20000,icon_task_01.png,2086,48,20000,,,10000,,,,,,金币10000,,,
1032,4,花费金币50000,icon_task_01.png,2086,48,50000,,,,[100005+2],,,,,面包2,,,
1032,5,商店刷新2次,icon_task_01.png,2085,203,2,1,10,,,,,,,,,,
1032,6,商店刷新5次,icon_task_01.png,2085,203,5,1,,,[251+1],,,,,符石袋1,,,
1032,7,打造装2次,icon_task_01.png,2087,204,2,0,,,[253+1],,,,,装备材料袋1,,,
1032,8,打造装备5次,icon_task_01.png,2087,204,5,0,,20000,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1033,1,购买金币5次,icon_task_01.png,2084,8,5,,50,,,,operate_condition.png,,,钻石50,,,
1033,2,购买金币10次,icon_task_01.png,2084,8,10,,,50000,,,,,,金币50000,,,
1033,3,花费金币20000,icon_task_01.png,2086,48,20000,,,10000,,,,,,金币10000,,,
1033,4,花费金币50000,icon_task_01.png,2086,48,50000,,,,[100005+2],,,,,面包2,,,
1033,5,商店刷新2次,icon_task_01.png,2085,203,2,1,10,,,,,,,,,,
1033,6,商店刷新5次,icon_task_01.png,2085,203,5,1,,,[251+1],,,,,符石袋1,,,
1033,7,打造装2次,icon_task_01.png,2087,204,2,0,,,[253+1],,,,,装备材料袋1,,,
1033,8,打造装备5次,icon_task_01.png,2087,204,5,0,,20000,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1034,1,基金——等级到7级,icon_task_01.png,2091,46,7,,1000,20000,,,operate_fund.png,,,钻石1000、金币20000,,,
