商品ID,说明,所属商店,道具ID,道具数量,所需货币 1金币 2竞技币 3塔币 4钻石 5公会币,价格,商品权值,折扣 1-100,商品稀有度,商品刷新等级下限,商品刷新等级上限
84,20级战靴图纸,1,120163,10,1,1200,100,100,0,0,29
85,20级胫甲图纸,1,120164,10,1,1200,100,100,0,0,29
86,20级法靴图纸,1,120165,10,1,1200,100,100,0,0,29
87,20级护靴图纸,1,120209,10,1,1200,100,100,0,0,29
88,20级利刃图纸,1,120101,10,1,1200,20,100,0,30,44
89,20级手杖图纸,1,120102,10,1,1200,20,100,0,30,44
90,20级铸剑图纸,1,120103,10,1,1200,20,100,0,30,44
91,20级枪弓图纸,1,120104,10,1,1200,20,100,0,30,44
92,20级法杖图纸,1,120105,10,1,1200,20,100,0,30,44
93,20级重锤图纸,1,120197,10,1,1200,20,100,0,30,44
94,20级兜帽图纸,1,120121,10,1,1200,20,100,0,30,44
95,20级头环图纸,1,120122,10,1,1200,20,100,0,30,44
96,20级战盔图纸,1,120123,10,1,1200,20,100,0,30,44
97,20级毡帽图纸,1,120124,10,1,1200,20,100,0,30,44
98,20级高帽图纸,1,120125,10,1,1200,20,100,0,30,44
99,20级头盔图纸,1,120201,10,1,1200,20,100,0,30,44
100,20级披风图纸,1,120141,10,1,1200,20,100,0,30,44
101,20级软袍图纸,1,120142,10,1,1200,20,100,0,30,44
102,20级铠甲图纸,1,120143,10,1,1200,20,100,0,30,44
103,20级外套图纸,1,120144,10,1,1200,20,100,0,30,44
104,20级法袍图纸,1,120145,10,1,1200,20,100,0,30,44
105,20级铠甲图纸,1,120205,10,1,1200,20,100,0,30,44
106,20级筒靴图纸,1,120161,10,1,1200,20,100,0,30,44
107,20级软靴图纸,1,120162,10,1,1200,20,100,0,30,44
108,20级战靴图纸,1,120163,10,1,1200,20,100,0,30,44
109,20级胫甲图纸,1,120164,10,1,1200,20,100,0,30,44
110,20级法靴图纸,1,120165,10,1,1200,20,100,0,30,44
111,20级护靴图纸,1,120209,10,1,1200,20,100,0,30,44
112,35级铸剑图纸,1,120106,20,1,1800,100,100,0,30,44
113,35级枪弓图纸,1,120107,20,1,1800,100,100,0,30,44
114,35级利刃图纸,1,120108,20,1,1800,100,100,0,30,44
115,35级法杖图纸,1,120109,20,1,1800,100,100,0,30,44
116,35级手杖图纸,1,120110,20,1,1800,100,100,0,30,44
117,35级重锤图纸,1,120198,20,1,1800,100,100,0,30,44
118,35级战盔图纸,1,120126,20,1,1800,100,100,0,30,44
119,35级毡帽图纸,1,120127,20,1,1800,100,100,0,30,44
120,35级兜帽图纸,1,120128,20,1,1800,100,100,0,30,44
121,35级高帽图纸,1,120129,20,1,1800,100,100,0,30,44
122,35级头环图纸,1,120130,20,1,1800,100,100,0,30,44
123,35级头盔图纸,1,120202,20,1,1800,100,100,0,30,44
124,35级铠甲图纸,1,120146,20,1,1800,100,100,0,30,44
125,35级外套图纸,1,120147,20,1,1800,100,100,0,30,44
126,35级披风图纸,1,120148,20,1,1800,100,100,0,30,44
127,35级法袍图纸,1,120149,20,1,1800,100,100,0,30,44
128,35级软袍图纸,1,120150,20,1,1800,100,100,0,30,44
129,35级铠甲图纸,1,120206,20,1,1800,100,100,0,30,44
130,35级战靴图纸,1,120166,20,1,1800,100,100,0,30,44
131,35级胫甲图纸,1,120167,20,1,1800,100,100,0,30,44
132,35级筒靴图纸,1,120168,20,1,1800,100,100,0,30,44
133,35级法靴图纸,1,120169,20,1,1800,100,100,0,30,44
134,35级软靴图纸,1,120170,20,1,1800,100,100,0,30,44
135,35级护靴图纸,1,120210,20,1,1800,100,100,0,30,44
136,35级铸剑图纸,1,120106,20,1,1800,20,100,0,45,59
137,35级枪弓图纸,1,120107,20,1,1800,20,100,0,45,59
138,35级利刃图纸,1,120108,20,1,1800,20,100,0,45,59
139,35级法杖图纸,1,120109,20,1,1800,20,100,0,45,59
140,35级手杖图纸,1,120110,20,1,1800,20,100,0,45,59
141,35级重锤图纸,1,120198,20,1,1800,20,100,0,45,59
142,35级战盔图纸,1,120126,20,1,1800,20,100,0,45,59
143,35级毡帽图纸,1,120127,20,1,1800,20,100,0,45,59
144,35级兜帽图纸,1,120128,20,1,1800,20,100,0,45,59
145,35级高帽图纸,1,120129,20,1,1800,20,100,0,45,59
146,35级头环图纸,1,120130,20,1,1800,20,100,0,45,59
147,35级头盔图纸,1,120202,20,1,1800,20,100,0,45,59
148,35级铠甲图纸,1,120146,20,1,1800,20,100,0,45,59
149,35级外套图纸,1,120147,20,1,1800,20,100,0,45,59
150,35级披风图纸,1,120148,20,1,1800,20,100,0,45,59
151,35级法袍图纸,1,120149,20,1,1800,20,100,0,45,59
152,35级软袍图纸,1,120150,20,1,1800,20,100,0,45,59
153,35级铠甲图纸,1,120206,20,1,1800,20,100,0,45,59
154,35级战靴图纸,1,120166,20,1,1800,20,100,0,45,59
155,35级胫甲图纸,1,120167,20,1,1800,20,100,0,45,59
156,35级筒靴图纸,1,120168,20,1,1800,20,100,0,45,59
157,35级法靴图纸,1,120169,20,1,1800,20,100,0,45,59
158,35级软靴图纸,1,120170,20,1,1800,20,100,0,45,59
159,35级护靴图纸,1,120210,20,1,1800,20,100,0,45,59
160,50级铸剑图纸,1,120111,30,1,2400,100,100,0,45,59
161,50级枪弓图纸,1,120112,30,1,2400,100,100,0,45,59
162,50级利刃图纸,1,120113,30,1,2400,100,100,0,45,59
163,50级法杖图纸,1,120114,30,1,2400,100,100,0,45,59
164,50级手杖图纸,1,120115,30,1,2400,100,100,0,45,59
165,50级重锤图纸,1,120199,30,1,2400,100,100,0,45,59
166,50级战盔图纸,1,120131,30,1,2400,100,100,0,45,59
167,50级毡帽图纸,1,120132,30,1,2400,100,100,0,45,59
168,50级兜帽图纸,1,120133,30,1,2400,100,100,0,45,59
169,50级高帽图纸,1,120134,30,1,2400,100,100,0,45,59
170,50级头环图纸,1,120135,30,1,2400,100,100,0,45,59
171,50级头盔图纸,1,120203,30,1,2400,100,100,0,45,59
172,50级铠甲图纸,1,120151,30,1,2400,100,100,0,45,59
173,50级外套图纸,1,120152,30,1,2400,100,100,0,45,59
174,50级披风图纸,1,120153,30,1,2400,100,100,0,45,59
175,50级法袍图纸,1,120154,30,1,2400,100,100,0,45,59
176,50级软袍图纸,1,120155,30,1,2400,100,100,0,45,59
177,50级铠甲图纸,1,120207,30,1,2400,100,100,0,45,59
178,50级战靴图纸,1,120171,30,1,2400,100,100,0,45,59
179,50级胫甲图纸,1,120172,30,1,2400,100,100,0,45,59
180,50级筒靴图纸,1,120173,30,1,2400,100,100,0,45,59
181,50级法靴图纸,1,120174,30,1,2400,100,100,0,45,59
182,50级软靴图纸,1,120175,30,1,2400,100,100,0,45,59
183,50级护靴图纸,1,120211,30,1,2400,100,100,0,45,59
1001,火焰符石,2,120015,10,4,50,1750,100,0,0,100
1002,水纹符石,2,120016,10,4,50,1750,100,0,0,100
1003,庇护符石,2,120017,10,4,50,1750,100,0,0,100
1004,疾走符石,2,120018,10,4,50,1750,100,0,0,100
1005,闪耀符石,2,120019,10,4,50,1750,100,0,0,100
1006,赤铜,2,120001,20,4,2,500,100,0,0,100
1007,钢铁,2,120002,20,4,4,250,100,0,45,100
1008,绢布,2,120005,20,4,2,500,100,0,0,100
1009,蚕丝,2,120006,20,4,4,250,100,0,45,100
1010,锻造石,2,120013,20,4,2,1000,100,0,0,100
1011,面包(150),2,100005,5,4,10,1500,100,0,0,100
1012,火腿(200),2,100004,5,4,18,600,100,0,0,100
1013,鸡肉(300),2,100006,5,4,30,250,100,0,0,100
1014,初级经验书(500),2,100007,2,4,68,125,100,0,0,100
1501,亚麻兜帽生成器(蓝),2,211011,1,4,390,80,100,0,15,100
1502,亚麻兜帽生成器(紫),2,211012,1,4,500,16,100,0,15,100
1503,鲜花头环生成器(蓝),2,211015,1,4,390,80,100,0,15,100
1504,鲜花头环生成器(紫),2,211016,1,4,500,16,100,0,15,100
1505,骑士战盔生成器(蓝),2,211019,1,4,390,80,100,0,15,100
1506,骑士战盔生成器(紫),2,211020,1,4,500,16,100,0,15,100
1507,飞羽毡帽生成器(蓝),2,211023,1,4,390,80,100,0,15,100
1508,飞羽毡帽生成器(紫),2,211024,1,4,500,16,100,0,15,100
1509,学徒高帽生成器(蓝),2,211027,1,4,390,80,100,0,15,100
1510,学徒高帽生成器(紫),2,211028,1,4,500,16,100,0,15,100
1511,皮革头盔生成器(蓝),2,211103,1,4,390,80,100,0,15,100
1512,皮革头盔生成器(紫),2,211104,1,4,500,16,100,0,15,100
1513,重型战盔生成器(蓝),2,211031,1,4,780,40,100,0,30,100
1514,重型战盔生成器(紫),2,211032,1,4,1000,8,100,0,30,100
1515,骷髅毡帽生成器(蓝),2,211039,1,4,780,40,100,0,30,100
1516,骷髅毡帽生成器(紫),2,211040,1,4,1000,8,100,0,30,100
1517,鹰喙兜帽生成器(蓝),2,211043,1,4,780,40,100,0,30,100
1518,鹰喙兜帽生成器(紫),2,211044,1,4,1000,8,100,0,30,100
1519,奥术高帽生成器(蓝),2,211047,1,4,780,40,100,0,30,100
1520,奥术高帽生成器(紫),2,211048,1,4,1000,8,100,0,30,100
1521,紫荆头环生成器(蓝),2,211051,1,4,780,40,100,0,30,100
1522,紫荆头环生成器(紫),2,211052,1,4,1000,8,100,0,30,100
1523,精钢护盔生成器(蓝),2,211107,1,4,780,40,100,0,30,100
1524,精钢护盔生成器(紫),2,211108,1,4,1000,8,100,0,30,100
1525,皇家战盔生成器(蓝),2,211055,1,4,2080,20,100,0,45,100
1526,皇家战盔生成器(紫),2,211056,1,4,2680,4,100,0,45,100
1527,必胜毡帽生成器(蓝),2,211063,1,4,2080,20,100,0,45,100
1528,必胜毡帽生成器(紫),2,211064,1,4,2680,4,100,0,45,100
1529,残阳兜帽生成器(蓝),2,211067,1,4,2080,20,100,0,45,100
1530,残阳兜帽生成器(紫),2,211068,1,4,2680,4,100,0,45,100
1531,飞翼高帽生成器(蓝),2,211071,1,4,2080,20,100,0,45,100
1532,飞翼高帽生成器(紫),2,211072,1,4,2680,4,100,0,45,100
1533,守护头环生成器(蓝),2,211075,1,4,2080,20,100,0,45,100
1534,守护头环生成器(紫),2,211076,1,4,2680,4,100,0,45,100
1535,正义之盔生成器(蓝),2,211111,1,4,2080,20,100,0,45,100
1536,正义之盔生成器(紫),2,211112,1,4,2680,4,100,0,45,100
1537,轻便筒靴生成器(蓝),2,231011,1,4,390,80,100,0,15,100
1538,轻便筒靴生成器(紫),2,231012,1,4,500,16,100,0,15,100
1539,丛林软靴生成器(蓝),2,231015,1,4,390,80,100,0,15,100
1540,丛林软靴生成器(紫),2,231016,1,4,500,16,100,0,15,100
1541,无畏战靴生成器(蓝),2,231019,1,4,390,80,100,0,15,100
1542,无畏战靴生成器(紫),2,231020,1,4,500,16,100,0,15,100
1543,疾走胫甲生成器(蓝),2,231023,1,4,390,80,100,0,15,100
1544,疾走胫甲生成器(紫),2,231024,1,4,500,16,100,0,15,100
1545,奥术法靴生成器(蓝),2,231027,1,4,390,80,100,0,15,100
1546,奥术法靴生成器(紫),2,231028,1,4,500,16,100,0,15,100
1547,皮革护靴生成器(蓝),2,231103,1,4,390,80,100,0,15,100
1548,皮革护靴生成器(紫),2,231104,1,4,500,16,100,0,15,100
1549,骑士战靴生成器(蓝),2,231031,1,4,780,40,100,0,30,100
1550,骑士战靴生成器(紫),2,231032,1,4,1000,8,100,0,30,100
1551,迅捷胫甲生成器(蓝),2,231039,1,4,780,40,100,0,30,100
1552,迅捷胫甲生成器(紫),2,231040,1,4,1000,8,100,0,30,100
1553,紫金筒靴生成器(蓝),2,231043,1,4,780,40,100,0,30,100
1554,紫金筒靴生成器(紫),2,231044,1,4,1000,8,100,0,30,100
1555,启示法靴生成器(蓝),2,231047,1,4,780,40,100,0,30,100
1556,启示法靴生成器(紫),2,231048,1,4,1000,8,100,0,30,100
1557,烈日软靴生成器(蓝),2,231051,1,4,780,40,100,0,30,100
1558,烈日软靴生成器(紫),2,231052,1,4,1000,8,100,0,30,100
1559,行军护靴生成器(蓝),2,231107,1,4,780,40,100,0,30,100
1560,行军护靴生成器(紫),2,231108,1,4,1000,8,100,0,30,100
1561,誓言战靴生成器(蓝),2,231055,1,4,2080,20,100,0,45,100
1562,誓言战靴生成器(紫),2,231056,1,4,2680,4,100,0,45,100
1563,专注胫甲生成器(蓝),2,231063,1,4,2080,20,100,0,45,100
1564,专注胫甲生成器(紫),2,231064,1,4,2680,4,100,0,45,100
1565,夜行筒靴生成器(蓝),2,231067,1,4,2080,20,100,0,45,100
1566,夜行筒靴生成器(紫),2,231068,1,4,2680,4,100,0,45,100
1567,缚魔法靴生成器(蓝),2,231071,1,4,2080,20,100,0,45,100
1568,缚魔法靴生成器(紫),2,231072,1,4,2680,4,100,0,45,100
1569,净化软靴生成器(蓝),2,231075,1,4,2080,20,100,0,45,100
1570,净化软靴生成器(紫),2,231076,1,4,2680,4,100,0,45,100
1571,圣堂护靴生成器(蓝),2,231111,1,4,2080,20,100,0,45,100
1572,圣堂护靴生成器(紫),2,231112,1,4,2680,4,100,0,45,100
1573,简易披风生成器(蓝),2,221011,1,4,390,50,100,0,15,100
1574,简易披风生成器(紫),2,221012,1,4,500,10,100,0,15,100
1575,针织灰袍生成器(蓝),2,221015,1,4,390,50,100,0,15,100
1576,针织灰袍生成器(紫),2,221016,1,4,500,10,100,0,15,100
1577,铁制铠甲生成器(蓝),2,221019,1,4,390,50,100,0,15,100
1578,铁制铠甲生成器(紫),2,221020,1,4,500,10,100,0,15,100
1579,皮革外套生成器(蓝),2,221023,1,4,390,50,100,0,15,100
1580,皮革外套生成器(紫),2,221024,1,4,500,10,100,0,15,100
1581,神秘法袍生成器(蓝),2,221027,1,4,390,50,100,0,15,100
1582,神秘法袍生成器(紫),2,221028,1,4,500,10,100,0,15,100
1583,皮革战衣生成器(蓝),2,221103,1,4,390,50,100,0,15,100
1584,皮革战衣生成器(紫),2,221104,1,4,500,10,100,0,15,100
1585,秘银铠甲生成器(蓝),2,221031,1,4,780,25,100,0,30,100
1586,秘银铠甲生成器(紫),2,221032,1,4,1000,5,100,0,30,100
1587,追猎外套生成器(蓝),2,221039,1,4,780,25,100,0,30,100
1588,追猎外套生成器(紫),2,221040,1,4,1000,5,100,0,30,100
1589,夜行披风生成器(蓝),2,221043,1,4,780,25,100,0,30,100
1590,夜行披风生成器(紫),2,221044,1,4,1000,5,100,0,30,100
1591,导言法袍生成器(蓝),2,221047,1,4,780,25,100,0,30,100
1592,导言法袍生成器(紫),2,221048,1,4,1000,5,100,0,30,100
1593,戒律软袍生成器(蓝),2,221051,1,4,780,25,100,0,30,100
1594,戒律软袍生成器(紫),2,221052,1,4,1000,5,100,0,30,100
1595,厚重铠甲生成器(蓝),2,221107,1,4,780,25,100,0,30,100
1596,厚重铠甲生成器(紫),2,221108,1,4,1000,5,100,0,30,100
1597,督军铠甲生成器(蓝),2,221055,1,4,2080,12,100,0,45,100
1598,督军铠甲生成器(紫),2,221056,1,4,2680,2,100,0,45,100
1599,巡弋外套生成器(蓝),2,221063,1,4,2080,12,100,0,45,100
1600,巡弋外套生成器(紫),2,221064,1,4,2680,2,100,0,45,100
1601,夺命披风生成器(蓝),2,221067,1,4,2080,12,100,0,45,100
1602,夺命披风生成器(紫),2,221068,1,4,2680,2,100,0,45,100
1603,神使法袍生成器(蓝),2,221071,1,4,2080,12,100,0,45,100
1604,神使法袍生成器(紫),2,221072,1,4,2680,2,100,0,45,100
1605,守护软袍生成器(蓝),2,221075,1,4,2080,12,100,0,45,100
1606,守护软袍生成器(紫),2,221076,1,4,2680,2,100,0,45,100
1607,圣堂铠甲生成器(蓝),2,221111,1,4,2080,12,100,0,45,100
1608,圣堂铠甲生成器(紫),2,221112,1,4,2680,2,100,0,45,100
2001,骷髅战士碎片,2,50029,2,4,50,1000,100,0,0,100
2002,骷髅弓手碎片,2,50031,2,4,50,500,100,0,0,100
2003,木乃伊碎片,2,50030,2,4,50,125,100,0,0,100
2004,勇士碎片,2,50001,2,4,50,1000,100,0,0,100
2005,矮人火枪手碎片,2,50002,2,4,50,750,100,0,0,100
2006,盗贼碎片,2,50003,2,4,50,125,100,0,0,100
2007,精灵射手碎片,2,50023,2,4,50,500,100,0,0,100
2008,生命精灵碎片,2,50022,2,4,50,750,100,0,0,100
2009,水元素碎片,2,50025,2,4,50,250,100,0,0,100
2010,幽灵碎片,2,50032,2,4,100,125,100,0,0,100
2011,死灵召唤师碎片,2,50033,2,4,100,500,100,0,0,100
2012,屠夫碎片,2,50035,2,4,100,375,100,0,0,100
2013,死亡骑士碎片,2,50036,2,4,100,63,100,0,0,100
2014,盾卫碎片,2,50015,2,4,100,375,100,0,0,100
2015,牧师碎片,2,50008,2,4,100,500,100,0,0,100
2016,圣骑士碎片,2,50009,2,4,100,250,100,0,0,100
2017,嗜血狼人碎片,2,50016,2,4,100,63,100,0,0,100
2018,小鹿碎片,2,50024,2,4,100,250,100,0,0,100
2019,火元素碎片,2,50043,2,4,100,500,100,0,0,100
2020,石巨人碎片,2,50040,2,4,100,33,100,0,0,100
2021,黑寡妇碎片,2,50044,2,4,100,25,100,0,0,100
2022,吸血鬼勋爵碎片,2,50038,2,4,150,13,100,0,0,100
2023,维京人之盾碎片,2,50006,2,4,150,75,100,0,0,100
2024,老铁匠碎片,2,50004,2,4,150,7,100,0,0,100
2025,影舞者碎片,2,50027,2,4,150,50,100,0,0,100
2026,投石车碎片,2,50018,2,4,150,7,100,0,0,100
2027,精灵女王碎片,2,50042,2,4,150,50,100,0,0,100
2028,森巨人碎片,2,50028,2,4,150,25,100,0,0,100
2029,牛头人碎片,2,50017,2,4,150,13,100,0,0,100
2030,巫妖碎片,2,50037,2,4,200,5,100,0,0,100
2031,雪女碎片,2,50034,2,4,200,3,100,0,0,100
2032,火焰女王碎片,2,50007,2,4,200,20,100,0,0,100
2033,魔剑士碎片,2,50005,2,4,200,2,100,0,0,100
2034,夜刃碎片,2,50026,2,4,200,15,100,0,0,100
2035,海巨人碎片,2,50041,2,4,200,2,100,0,0,100
2036,炽焰幼龙碎片,2,50039,2,4,200,10,100,0,0,100
4000,圣骑士碎片,3,50009,,5,100,,100,1,0,100
4001,火焰女王碎片,3,50007,,5,100,,100,1,0,100
4002,夜刃碎片,3,50026,,5,100,,100,1,0,100
4003,石巨人碎片,3,50040,,5,100,,100,1,0,100
4004,投石车碎片,3,50018,,5,100,,100,1,0,100
4005,死灵召唤师碎片,3,50033,,5,100,,100,1,0,100
4006,锻造石,3,120013,,5,10,,100,0,0,100
4007,琥珀,3,120009,,5,20,,100,0,0,100
4008,20级指环图纸,3,120181,,5,50,,100,1,0,100
4009,20级首饰图纸,3,120189,,5,50,,100,1,0,100
4010,20级利刃图纸,3,120101,,5,30,,100,0,0,100
4011,20级手杖图纸,3,120102,,5,30,,100,0,0,100
4012,20级铸剑图纸,3,120103,,5,30,,100,0,0,100
4013,20级枪弓图纸,3,120104,,5,30,,100,0,0,100
4014,20级法杖图纸,3,120105,,5,30,,100,0,0,100
4015,20级兜帽图纸,3,120121,,5,30,,100,0,0,100
4016,20级头环图纸,3,120122,,5,30,,100,0,0,100
4017,20级战盔图纸,3,120123,,5,30,,100,0,0,100
4018,20级毡帽图纸,3,120124,,5,30,,100,0,0,100
4019,20级高帽图纸,3,120125,,5,30,,100,0,0,100
4020,20级披风图纸,3,120141,,5,30,,100,0,0,100
4021,20级软袍图纸,3,120142,,5,30,,100,0,0,100
4022,20级铠甲图纸,3,120143,,5,30,,100,0,0,100
4023,20级外套图纸,3,120144,,5,30,,100,0,0,100
4024,20级法袍图纸,3,120145,,5,30,,100,0,0,100
4025,20级筒靴图纸,3,120161,,5,30,,100,0,0,100
4026,20级软靴图纸,3,120162,,5,30,,100,0,0,100
4027,20级战靴图纸,3,120163,,5,30,,100,0,0,100
4028,20级胫甲图纸,3,120164,,5,30,,100,0,0,100
4029,20级法靴图纸,3,120165,,5,30,,100,0,0,100
4030,20级重锤图纸,3,120197,,5,30,,100,0,0,100
4031,20级头盔图纸,3,120201,,5,30,,100,0,0,100
4032,20级盔甲图纸,3,120205,,5,30,,100,0,0,100
4033,20级护靴图纸,3,120209,,5,30,,100,0,0,100
4500,黄晶石之戒生成器(白),3,241017,,5,400,,100,0,0,100
4501,黄晶石之戒生成器(绿),3,241018,,5,600,,100,1,0,100
4502,黄晶石之戒生成器(蓝),3,241019,,5,1000,,100,1,0,100
4503,黄晶石之戒生成器(紫),3,241020,,5,1500,,100,1,0,100
4504,黄晶石指环生成器(白),3,241021,,5,400,,100,0,0,100
4505,黄晶石指环生成器(绿),3,241022,,5,600,,100,1,0,100
4506,黄晶石指环生成器(蓝),3,241023,,5,1000,,100,1,0,100
4507,黄晶石指环生成器(紫),3,241024,,5,1500,,100,1,0,100
4508,祖母绿吊坠生成器(白),3,251017,,5,400,,100,0,0,100
4509,祖母绿吊坠生成器(绿),3,251018,,5,600,,100,1,0,100
4510,祖母绿吊坠生成器(蓝),3,251019,,5,1000,,100,1,0,100
4511,祖母绿吊坠生成器(紫),3,251020,,5,1500,,100,1,0,100
4512,祖母绿项链生成器(白),3,251021,,5,400,,100,0,0,100
4513,祖母绿项链生成器(绿),3,251022,,5,600,,100,1,0,100
4514,祖母绿项链生成器(蓝),3,251023,,5,1000,,100,1,0,100
4515,祖母绿项链生成器(紫),3,251024,,5,1500,,100,1,0,100
4600,粗制短刃生成器(绿),3,201010,,5,600,,100,0,0,100
4601,粗制短刃生成器(蓝),3,201011,,5,1000,,100,1,0,100
4602,粗制短刃生成器(紫),3,201012,,5,1500,,100,1,0,100
4603,祈福手杖生成器(绿),3,201014,,5,600,,100,0,0,100
4604,祈福手杖生成器(蓝),3,201015,,5,1000,,100,1,0,100
4605,祈福手杖生成器(紫),3,201016,,5,1500,,100,1,0,100
4606,单手剑生成器(绿),3,201018,,5,600,,100,0,0,100
4607,单手剑生成器(蓝),3,201019,,5,1000,,100,1,0,100
4608,单手剑生成器(紫),3,201020,,5,1500,,100,1,0,100
4609,藤蔓长弓生成器(绿),3,201022,,5,600,,100,0,0,100
4610,藤蔓长弓生成器(蓝),3,201023,,5,1000,,100,1,0,100
4611,藤蔓长弓生成器(紫),3,201024,,5,1500,,100,1,0,100
4612,学徒法杖生成器(绿),3,201026,,5,600,,100,0,0,100
4613,学徒法杖生成器(蓝),3,201027,,5,1000,,100,1,0,100
4614,学徒法杖生成器(紫),3,201028,,5,1500,,100,1,0,100
4615,守卫钉锤生成器(绿）,3,201102,,5,600,,100,0,0,100
4616,守卫钉锤生成器(蓝),3,201103,,5,1000,,100,1,0,100
