装备生成ID,装备备注,生成道具ID,装备基础效果1,装备基础效果1参数,装备基础效果1描述,装备基础效果2,装备基础效果2参数,装备基础效果2描述,装备基础效果3,装备基础效果3参数,装备基础效果3描述,装备基础效果4,装备基础效果4参数,装备基础效果4描述,装备基础效果5,装备基础效果5参数,装备基础效果5描述,装备基础效果6,装备基础效果6参数,装备基础效果6描述,装备基础效果7,装备基础效果7参数,装备基础效果7描述,装备基础效果8,装备基础效果8参数,装备基础效果8描述,装备备选效果1,备选效果1权值,装备备选效果1参数,装备备选效果1描述,装备备选效果2,备选效果2权值,装备备选效果2参数,装备备选效果2描述,装备备选效果3,备选效果3权值,装备备选效果3参数,装备备选效果3描述,装备备选效果4,备选效果4权值,装备备选效果4参数,装备备选效果4描述,装备备选效果5,备选效果5权值,装备备选效果5参数,装备备选效果5描述,装备备选效果6,备选效果6权值,装备备选效果6参数,装备备选效果6描述,装备备选效果7,备选效果7权值,装备备选效果7参数,装备备选效果7描述,装备备选效果8,备选效果8权值,装备效果8参数,装备效果8描述
201019,大锤生成器(蓝),20019,6,[90+130],34006,,,,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,11,2000,[6+12],34011,14,2000,[6+12],34014,21,1000,[1+2],34021,24,2000,[1+2],34024,25,2000,[2+4],34025,,,,,,,,
201020,大锤生成器(紫),20020,6,[103+149],34006,,,,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,11,2000,[6+12],34011,14,2000,[6+12],34014,21,1000,[1+2],34021,24,2000,[1+2],34024,25,2000,[2+4],34025,,,,,,,,
201021,折叠弓生成器(白),20021,6,[47+68],34006,16,[6+9],34016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201022,折叠弓生成器(绿),20022,6,[55+79],34006,16,[7+10],34016,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,16,2000,[4+8],34016,20,2000,[1+3],34020,23,1000,[1+2],34023,24,2000,[1+2],34024,25,2000,[2+4],34025,,,,,,,,
201023,折叠弓生成器(蓝),20023,6,[63+91],34006,16,[8+12],34016,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,16,2000,[4+8],34016,20,2000,[1+3],34020,23,1000,[1+2],34023,24,2000,[1+2],34024,25,2000,[2+4],34025,,,,,,,,
201024,折叠弓生成器(紫),20024,6,[73+105],34006,16,[10+14],34016,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,16,2000,[4+8],34016,20,2000,[1+3],34020,23,1000,[1+2],34023,24,2000,[1+2],34024,25,2000,[2+4],34025,,,,,,,,
201025,魔法杖生成器(白),20025,8,[62+90],34008,31,[2+4],34031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201026,魔法杖生成器(绿),20026,8,[72+104],34008,31,[3+4],34031,,,,,,,,,,,,,,,,,,,8,1000,[7+13],34008,11,2500,[6+12],34011,14,2500,[6+12],34014,18,2000,[4+8],34018,31,2000,[1+3],34031,,,,,,,,,,,,
201027,魔法杖生成器(蓝),20027,8,[83+120],34008,31,[3+5],34031,,,,,,,,,,,,,,,,,,,8,1000,[7+13],34008,11,2500,[6+12],34011,14,2500,[6+12],34014,18,2000,[4+8],34018,31,2000,[1+3],34031,,,,,,,,,,,,
201028,魔法杖生成器(紫),20028,8,[95+138],34008,31,[4+6],34031,,,,,,,,,,,,,,,,,,,8,1000,[7+13],34008,11,2500,[6+12],34011,14,2500,[6+12],34014,18,2000,[4+8],34018,31,2000,[1+3],34031,,,,,,,,,,,,
201029,冲锋之斧生成器(白),20029,6,[93+135],34006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201030,冲锋之斧生成器(绿),20030,6,[108+157],34006,,,,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,11,2000,[9+19],34011,14,2000,[9+19],34014,21,1000,[1+3],34021,24,2000,[1+2],34024,25,2000,[2+6],34025,,,,,,,,
201031,冲锋之斧生成器(蓝),20031,6,[125+180],34006,,,,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,11,2000,[9+19],34011,14,2000,[9+19],34014,21,1000,[1+3],34021,24,2000,[1+2],34024,25,2000,[2+6],34025,,,,,,,,
201032,冲锋之斧生成器(紫),20032,6,[143+207],34006,,,,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,11,2000,[9+19],34011,14,2000,[9+19],34014,21,1000,[1+3],34021,24,2000,[1+2],34024,25,2000,[2+6],34025,,,,,,,,
201037,鹰之弓生成器(白),20037,6,[57+83],34006,16,[12+18],34016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201038,鹰之弓生成器(绿),20038,6,[66+96],34006,16,[14+21],34016,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,16,2000,[6+12],34016,20,2000,[2+4],34020,23,1000,[1+2],34023,24,2000,[1+2],34024,25,2000,[2+6],34025,,,,,,,,
201039,鹰之弓生成器(蓝),20039,6,[76+110],34006,16,[17+24],34016,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,16,2000,[6+12],34016,20,2000,[2+4],34020,23,1000,[1+2],34023,24,2000,[1+2],34024,25,2000,[2+6],34025,,,,,,,,
201040,鹰之弓生成器(紫),20040,6,[88+127],34006,16,[19+28],34016,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,16,2000,[6+12],34016,20,2000,[2+4],34020,23,1000,[1+2],34023,24,2000,[1+2],34024,25,2000,[2+6],34025,,,,,,,,
201041,破甲刃生成器(白),20041,6,[75+108],34006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201042,破甲刃生成器(绿),20042,6,[87+125],34006,,,,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,3,2500,[3+6],34003,20,2000,[2+4],34020,21,1000,[1+3],34021,23,1000,[1+2],34023,24,2500,[1+2],34024,,,,,,,,
201043,破甲刃生成器(蓝),20043,6,[100+144],34006,,,,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,3,2500,[3+6],34003,20,2000,[2+4],34020,21,1000,[1+3],34021,23,1000,[1+2],34023,24,2500,[1+2],34024,,,,,,,,
201044,破甲刃生成器(紫),20044,6,[115+166],34006,,,,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,3,2500,[3+6],34003,20,2000,[2+4],34020,21,1000,[1+3],34021,23,1000,[1+2],34023,24,2500,[1+2],34024,,,,,,,,
201045,术士之杖生成器(白),20045,8,[75+108],34008,31,[5+7],34031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201046,术士之杖生成器(绿),20046,8,[87+125],34008,31,[6+8],34031,,,,,,,,,,,,,,,,,,,8,1000,[10+20],34008,11,2500,[9+19],34011,14,2500,[9+19],34014,18,2000,[6+12],34018,31,2000,[2+4],34031,,,,,,,,,,,,
201047,术士之杖生成器(蓝),20047,8,[100+144],34008,31,[7+10],34031,,,,,,,,,,,,,,,,,,,8,1000,[10+20],34008,11,2500,[9+19],34011,14,2500,[9+19],34014,18,2000,[6+12],34018,31,2000,[2+4],34031,,,,,,,,,,,,
201048,术士之杖生成器(紫),20048,8,[115+166],34008,31,[8+11],34031,,,,,,,,,,,,,,,,,,,8,1000,[10+20],34008,11,2500,[9+19],34011,14,2500,[9+19],34014,18,2000,[6+12],34018,31,2000,[2+4],34031,,,,,,,,,,,,
201049,祭司之杖生成器(白),20049,8,[74+107],34008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201050,祭司之杖生成器(绿),20050,8,[86+124],34008,,,,,,,,,,,,,,,,,,,,,,8,1000,[10+20],34008,11,2500,[9+19],34011,14,2500,[9+19],34014,18,2000,[6+12],34018,20,2000,[2+4],34020,,,,,,,,,,,,
201051,祭司之杖生成器(蓝),20051,8,[99+143],34008,,,,,,,,,,,,,,,,,,,,,,8,1000,[10+20],34008,11,2500,[9+19],34011,14,2500,[9+19],34014,18,2000,[6+12],34018,20,2000,[2+4],34020,,,,,,,,,,,,
201052,祭司之杖生成器(紫),20052,8,[114+164],34008,,,,,,,,,,,,,,,,,,,,,,8,1000,[10+20],34008,11,2500,[9+19],34011,14,2500,[9+19],34014,18,2000,[6+12],34018,20,2000,[2+4],34020,,,,,,,,,,,,
201053,荣耀之剑生成器(白),20053,6,[125+181],34006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201054,荣耀之剑生成器(绿),20054,6,[145+210],34006,,,,,,,,,,,,,,,,,,,,,,6,1000,[13+27],34006,11,2000,[13+25],34011,14,2000,[13+25],34014,21,1000,[2+4],34021,24,2000,[1+4],34024,25,2000,[3+7],34025,,,,,,,,
201055,荣耀之剑生成器(蓝),20055,6,[167+241],34006,,,,,,,,,,,,,,,,,,,,,,6,1000,[13+27],34006,11,2000,[13+25],34011,14,2000,[13+25],34014,21,1000,[2+4],34021,24,2000,[1+4],34024,25,2000,[3+7],34025,,,,,,,,
201056,荣耀之剑生成器(紫),20056,6,[192+277],34006,,,,,,,,,,,,,,,,,,,,,,6,1000,[13+27],34006,11,2000,[13+25],34011,14,2000,[13+25],34014,21,1000,[2+4],34021,24,2000,[1+4],34024,25,2000,[3+7],34025,,,,,,,,
201061,王牌火枪生成器(白),20061,6,[70+102],34006,16,[19+27],34016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201062,王牌火枪生成器(绿),20062,6,[82+118],34006,16,[22+31],34016,,,,,,,,,,,,,,,,,,,6,1000,[13+27],34006,16,2000,[8+16],34016,20,2000,[3+6],34020,23,1000,[1+4],34023,24,2000,[1+4],34024,25,2000,[3+7],34025,,,,,,,,
201063,王牌火枪生成器(蓝),20063,6,[94+136],34006,16,[25+36],34016,,,,,,,,,,,,,,,,,,,6,1000,[13+27],34006,16,2000,[8+16],34016,20,2000,[3+6],34020,23,1000,[1+4],34023,24,2000,[1+4],34024,25,2000,[3+7],34025,,,,,,,,
201064,王牌火枪生成器(紫),20064,6,[108+156],34006,16,[29+41],34016,,,,,,,,,,,,,,,,,,,6,1000,[13+27],34006,16,2000,[8+16],34016,20,2000,[3+6],34020,23,1000,[1+4],34023,24,2000,[1+4],34024,25,2000,[3+7],34025,,,,,,,,
201065,暗影之刃生成器(白),20065,6,[92+133],34006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201066,暗影之刃生成器(绿),20066,6,[107+155],34006,,,,,,,,,,,,,,,,,,,,,,6,1000,[13+27],34006,3,2500,[5+9],34003,20,2000,[3+6],34020,21,1000,[2+4],34021,23,1000,[1+4],34023,24,2500,[1+4],34024,,,,,,,,
201067,暗影之刃生成器(蓝),20067,6,[123+178],34006,,,,,,,,,,,,,,,,,,,,,,6,1000,[13+27],34006,3,2500,[5+9],34003,20,2000,[3+6],34020,21,1000,[2+4],34021,23,1000,[1+4],34023,24,2500,[1+4],34024,,,,,,,,
201068,暗影之刃生成器(紫),20068,6,[141+204],34006,,,,,,,,,,,,,,,,,,,,,,6,1000,[13+27],34006,3,2500,[5+9],34003,20,2000,[3+6],34020,21,1000,[2+4],34021,23,1000,[1+4],34023,24,2500,[1+4],34024,,,,,,,,
201069,水晶之杖生成器(白),20069,8,[93+135],34008,31,[7+11],34031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201070,水晶之杖生成器(绿),20070,8,[108+157],34008,31,[9+13],34031,,,,,,,,,,,,,,,,,,,8,1000,[13+27],34008,11,2500,[13+25],34011,14,2500,[13+25],34014,18,2000,[8+16],34018,31,2000,[3+5],34031,,,,,,,,,,,,
201071,水晶之杖生成器(蓝),20071,8,[125+180],34008,31,[10+14],34031,,,,,,,,,,,,,,,,,,,8,1000,[13+27],34008,11,2500,[13+25],34011,14,2500,[13+25],34014,18,2000,[8+16],34018,31,2000,[3+5],34031,,,,,,,,,,,,
201072,水晶之杖生成器(紫),20072,8,[143+207],34008,31,[11+17],34031,,,,,,,,,,,,,,,,,,,8,1000,[13+27],34008,11,2500,[13+25],34011,14,2500,[13+25],34014,18,2000,[8+16],34018,31,2000,[3+5],34031,,,,,,,,,,,,
201073,祝福之杖生成器(白),20073,8,[96+139],34008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201074,祝福之杖生成器(绿),20074,8,[111+161],34008,,,,,,,,,,,,,,,,,,,,,,8,1000,[13+27],34008,11,2500,[13+25],34011,14,2500,[13+25],34014,18,2000,[8+16],34018,20,2000,[3+6],34020,,,,,,,,,,,,
201075,祝福之杖生成器(蓝),20075,8,[128+185],34008,,,,,,,,,,,,,,,,,,,,,,8,1000,[13+27],34008,11,2500,[13+25],34011,14,2500,[13+25],34014,18,2000,[8+16],34018,20,2000,[3+6],34020,,,,,,,,,,,,
201076,祝福之杖生成器(紫),20076,8,[147+213],34008,,,,,,,,,,,,,,,,,,,,,,8,1000,[13+27],34008,11,2500,[13+25],34011,14,2500,[13+25],34014,18,2000,[8+16],34018,20,2000,[3+6],34020,,,,,,,,,,,,
201077,狂傲之剑生成器(白),20077,6,[159+230],34006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201078,狂傲之剑生成器(绿),20078,6,[185+267],34006,,,,,,,,,,,,,,,,,,,,,,6,1000,[17+33],34006,11,2000,[17+33],34011,14,2000,[17+33],34014,21,1000,[3+5],34021,24,2000,[2+5],34024,25,2000,[5+9],34025,,,,,,,,
201079,狂傲之剑生成器(蓝),20079,6,[212+307],34006,,,,,,,,,,,,,,,,,,,,,,6,1000,[17+33],34006,11,2000,[17+33],34011,14,2000,[17+33],34014,21,1000,[3+5],34021,24,2000,[2+5],34024,25,2000,[5+9],34025,,,,,,,,
201080,狂傲之剑生成器(紫),20080,6,[244+353],34006,,,,,,,,,,,,,,,,,,,,,,6,1000,[17+33],34006,11,2000,[17+33],34011,14,2000,[17+33],34014,21,1000,[3+5],34021,24,2000,[2+5],34024,25,2000,[5+9],34025,,,,,,,,
201085,狩魂火枪生成器(白),20085,6,[85+123],34006,16,[25+36],34016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201086,狩魂火枪生成器(绿),20086,6,[99+143],34006,16,[29+42],34016,,,,,,,,,,,,,,,,,,,6,1000,[17+33],34006,16,2000,[10+20],34016,20,2000,[4+8],34020,23,1000,[2+5],34023,24,2000,[2+5],34024,25,2000,[5+9],34025,,,,,,,,
201087,狩魂火枪生成器(蓝),20087,6,[114+164],34006,16,[33+48],34016,,,,,,,,,,,,,,,,,,,6,1000,[17+33],34006,16,2000,[10+20],34016,20,2000,[4+8],34020,23,1000,[2+5],34023,24,2000,[2+5],34024,25,2000,[5+9],34025,,,,,,,,
201088,狩魂火枪生成器(紫),20088,6,[131+189],34006,16,[38+55],34016,,,,,,,,,,,,,,,,,,,6,1000,[17+33],34006,16,2000,[10+20],34016,20,2000,[4+8],34020,23,1000,[2+5],34023,24,2000,[2+5],34024,25,2000,[5+9],34025,,,,,,,,
201089,神行之刃生成器(白),20089,6,[106+153],34006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201090,神行之刃生成器(绿),20090,6,[123+177],34006,,,,,,,,,,,,,,,,,,,,,,6,1000,[17+33],34006,3,2500,[7+12],34003,20,2000,[4+8],34020,21,1000,[3+5],34021,23,1000,[2+5],34023,24,2500,[2+5],34024,,,,,,,,
201091,神行之刃生成器(蓝),20091,6,[141+204],34006,,,,,,,,,,,,,,,,,,,,,,6,1000,[17+33],34006,3,2500,[7+12],34003,20,2000,[4+8],34020,21,1000,[3+5],34021,23,1000,[2+5],34023,24,2500,[2+5],34024,,,,,,,,
201092,神行之刃生成器(紫),20092,6,[162+235],34006,,,,,,,,,,,,,,,,,,,,,,6,1000,[17+33],34006,3,2500,[7+12],34003,20,2000,[4+8],34020,21,1000,[3+5],34021,23,1000,[2+5],34023,24,2500,[2+5],34024,,,,,,,,
201093,魔导之杖生成器(白),20093,8,[112+162],34008,31,[11+15],34031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201094,魔导之杖生成器(绿),20094,8,[130+188],34008,31,[12+18],34031,,,,,,,,,,,,,,,,,,,8,1000,[17+33],34008,11,2500,[17+33],34011,14,2500,[17+33],34014,18,2000,[10+20],34018,31,2000,[3+7],34031,,,,,,,,,,,,
201095,魔导之杖生成器(蓝),20095,8,[149+216],34008,31,[14+20],34031,,,,,,,,,,,,,,,,,,,8,1000,[17+33],34008,11,2500,[17+33],34011,14,2500,[17+33],34014,18,2000,[10+20],34018,31,2000,[3+7],34031,,,,,,,,,,,,
201096,魔导之杖生成器(紫),20096,8,[172+248],34008,31,[16+23],34031,,,,,,,,,,,,,,,,,,,8,1000,[17+33],34008,11,2500,[17+33],34011,14,2500,[17+33],34014,18,2000,[10+20],34018,31,2000,[3+7],34031,,,,,,,,,,,,
201097,星语之杖生成器(白),20097,8,[117+169],34008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201098,星语之杖生成器(绿),20098,8,[136+196],34008,,,,,,,,,,,,,,,,,,,,,,8,1000,[17+33],34008,11,2500,[17+33],34011,14,2500,[17+33],34014,18,2000,[10+20],34018,20,2000,[4+8],34020,,,,,,,,,,,,
201099,星语之杖生成器(蓝),20099,8,[156+226],34008,,,,,,,,,,,,,,,,,,,,,,8,1000,[17+33],34008,11,2500,[17+33],34011,14,2500,[17+33],34014,18,2000,[10+20],34018,20,2000,[4+8],34020,,,,,,,,,,,,
201100,星语之杖生成器(紫),20100,8,[179+259],34008,,,,,,,,,,,,,,,,,,,,,,8,1000,[17+33],34008,11,2500,[17+33],34011,14,2500,[17+33],34014,18,2000,[10+20],34018,20,2000,[4+8],34020,,,,,,,,,,,,
201101,守卫钉锤生成器(白）,20101,6,[47+68],34006,11,[6+9],34011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201102,守卫钉锤生成器(绿）,20102,6,[55+79],34006,11,[7+10],34011,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,11,2000,[6+12],34011,14,2000,[6+12],34014,21,1000,[1+2],34021,24,2000,[1+2],34024,25,2000,[2+4],34025,,,,,,,,
201103,守卫钉锤生成器(蓝),20103,6,[63+91],34006,11,[8+12],34011,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,11,2000,[6+12],34011,14,2000,[6+12],34014,21,1000,[1+2],34021,24,2000,[1+2],34024,25,2000,[2+4],34025,,,,,,,,
201104,守卫钉锤生成器(紫),20104,6,[73+105],34006,11,[10+14],34011,,,,,,,,,,,,,,,,,,,6,1000,[7+13],34006,11,2000,[6+12],34011,14,2000,[6+12],34014,21,1000,[1+2],34021,24,2000,[1+2],34024,25,2000,[2+4],34025,,,,,,,,
201105,精钢锤生成器(白）,20105,6,[57+83],34006,11,[12+18],34011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201106,精钢锤生成器(绿）,20106,6,[66+96],34006,11,[14+21],34011,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,11,2000,[9+19],34011,14,2000,[9+19],34014,21,1000,[1+3],34021,24,2000,[1+2],34024,25,2000,[2+6],34025,,,,,,,,
201107,精钢锤生成器(蓝),20107,6,[76+110],34006,11,[17+24],34011,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,11,2000,[9+19],34011,14,2000,[9+19],34014,21,1000,[1+3],34021,24,2000,[1+2],34024,25,2000,[2+6],34025,,,,,,,,
201108,精钢锤生成器(紫),20108,6,[88+127],34006,11,[19+28],34011,,,,,,,,,,,,,,,,,,,6,1000,[10+20],34006,11,2000,[9+19],34011,14,2000,[9+19],34014,21,1000,[1+3],34021,24,2000,[1+2],34024,25,2000,[2+6],34025,,,,,,,,
201109,圣骑士锤生成器(白）,20109,6,[70+102],34006,11,[20+29],34011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201110,圣骑士锤生成器(绿）,20110,6,[82+118],34006,11,[23+33],34011,,,,,,,,,,,,,,,,,,,6,1000,[13+27],34006,11,2000,[13+25],34011,14,2000,[13+25],34014,21,1000,[2+4],34021,24,2000,[1+4],34024,25,2000,[3+7],34025,,,,,,,,
201111,圣骑士锤生成器(蓝),20111,6,[94+136],34006,11,[27+38],34011,,,,,,,,,,,,,,,,,,,6,1000,[13+27],34006,11,2000,[13+25],34011,14,2000,[13+25],34014,21,1000,[2+4],34021,24,2000,[1+4],34024,25,2000,[3+7],34025,,,,,,,,
201112,圣骑士锤生成器(紫),20112,6,[108+156],34006,11,[31+44],34011,,,,,,,,,,,,,,,,,,,6,1000,[13+27],34006,11,2000,[13+25],34011,14,2000,[13+25],34014,21,1000,[2+4],34021,24,2000,[1+4],34024,25,2000,[3+7],34025,,,,,,,,
201113,65守卫武器生成器(白）,20113,6,[85+123],34006,11,[28+41],34011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201114,65守卫武器生成器(绿）,20114,6,[99+143],34006,11,[32+47],34011,,,,,,,,,,,,,,,,,,,6,1000,[17+33],34006,11,2000,[17+33],34011,14,2000,[17+33],34014,21,1000,[3+5],34021,24,2000,[2+5],34024,25,2000,[5+9],34025,,,,,,,,
201115,65守卫武器生成器(蓝),20115,6,[114+164],34006,11,[37+54],34011,,,,,,,,,,,,,,,,,,,6,1000,[17+33],34006,11,2000,[17+33],34011,14,2000,[17+33],34014,21,1000,[3+5],34021,24,2000,[2+5],34024,25,2000,[5+9],34025,,,,,,,,
