任务ID,说明,任务标题,任务类型,任务图标,完成条件描述,解锁等级,是否显示,立即前往,完成条件,条件参数1,条件参数2,条件参数3,需完成次数,未完成提示,奖励经验,奖励金币,奖励钻石,奖励体力,奖励抽卡券,奖励道具,结束后启动,重置周期,重置周期参数
87,通过普通关卡第五章第15关,50060,1,icon_task_01.png,50061,1,1,[10+5+515],27,515,0,0,1,0,0,1000,30,0,0,[],[93],0,[]
93,通过普通关卡第六章第3关,50064,1,icon_task_01.png,50065,1,1,[10+6+603],27,603,0,0,1,0,0,1000,30,0,0,[],[96],0,[]
96,通过普通关卡第六章第6关,50066,1,icon_task_01.png,50067,1,1,[10+6+606],27,606,0,0,1,0,0,1000,30,0,0,[],[99],0,[]
99,通过普通关卡第六章第9关,50068,1,icon_task_01.png,50069,1,1,[10+6+609],27,609,0,0,1,0,0,1000,30,0,0,[],[102],0,[]
102,通过普通关卡第六章第12关,50070,1,icon_task_01.png,50071,1,1,[10+6+612],27,612,0,0,1,0,0,1000,30,0,0,[],[105],0,[]
105,通过普通关卡第六章第15关,50072,1,icon_task_01.png,50073,1,1,[10+6+615],27,615,0,0,1,0,0,1000,30,0,0,[],[111],0,[]
111,通过普通关卡第七章第3关,50076,1,icon_task_01.png,50077,1,1,[10+7+703],27,703,0,0,1,0,0,1000,30,0,0,[],[114],0,[]
114,通过普通关卡第七章第6关,50078,1,icon_task_01.png,50079,1,1,[10+7+706],27,706,0,0,1,0,0,1000,30,0,0,[],[117],0,[]
117,通过普通关卡第七章第9关,50080,1,icon_task_01.png,50081,1,1,[10+7+709],27,709,0,0,1,0,0,1000,30,0,0,[],[120],0,[]
120,通过普通关卡第七章第12关,50082,1,icon_task_01.png,50083,1,1,[10+7+712],27,712,0,0,1,0,0,1000,30,0,0,[],[123],0,[]
123,通过普通关卡第七章第15关,50084,1,icon_task_01.png,50085,1,1,[10+7+715],27,715,0,0,1,0,0,1000,30,0,0,[],[129],0,[]
129,通过普通关卡第八章第3关,50086,1,icon_task_01.png,50087,1,1,[],27,803,0,0,1,0,0,1000,30,0,0,[],[132],0,[]
132,通过普通关卡第八章第6关,50088,1,icon_task_01.png,50089,1,1,[],27,806,0,0,1,0,0,1000,30,0,0,[],[135],0,[]
135,通过普通关卡第八章第9关,50090,1,icon_task_01.png,50091,1,1,[],27,809,0,0,1,0,0,1000,30,0,0,[],[138],0,[]
138,通过普通关卡第八章第12关,50092,1,icon_task_01.png,50093,1,1,[],27,812,0,0,1,0,0,1000,30,0,0,[],[141],0,[]
141,通过普通关卡第八章第15关,50094,1,icon_task_01.png,50095,1,1,[],27,815,0,0,1,0,0,1000,30,0,0,[],[],0,[]
501,通过精英关卡第一章第1关,50500,1,icon_task_01.png,50501,1,1,[10+101+10101],27,10101,0,0,1,0,0,0,50,0,0,[],[502],0,[]
502,通过精英关卡第一章第2关,50502,1,icon_task_01.png,50503,1,1,[10+101+10102],27,10102,0,0,1,0,0,0,50,0,0,[],[503],0,[]
503,通过精英关卡第一章第3关,50504,1,icon_task_01.png,50505,1,1,[10+101+10103],27,10103,0,0,1,0,0,0,50,0,0,[],[504],0,[]
504,通过精英关卡第一章第4关,50506,1,icon_task_01.png,50507,1,1,[10+101+10104],27,10104,0,0,1,0,0,0,50,0,0,[],[505],0,[]
505,通过精英关卡第一章第5关,50508,1,icon_task_01.png,50509,1,1,[10+101+10105],27,10105,0,0,1,0,0,0,50,0,0,[],[507],0,[]
507,通过精英关卡第二章第1关,50512,1,icon_task_01.png,50513,1,1,[10+102+10201],27,10201,0,0,1,0,0,0,50,0,0,[],[508],0,[]
508,通过精英关卡第二章第2关,50514,1,icon_task_01.png,50515,1,1,[10+102+10202],27,10202,0,0,1,0,0,0,50,0,0,[],[509],0,[]
509,通过精英关卡第二章第3关,50516,1,icon_task_01.png,50517,1,1,[10+102+10203],27,10203,0,0,1,0,0,0,50,0,0,[],[510],0,[]
510,通过精英关卡第二章第4关,50518,1,icon_task_01.png,50519,1,1,[10+102+10204],27,10204,0,0,1,0,0,0,50,0,0,[],[511],0,[]
511,通过精英关卡第二章第5关,50520,1,icon_task_01.png,50521,1,1,[10+102+10205],27,10205,0,0,1,0,0,0,50,0,0,[],[513],0,[]
513,通过精英关卡第三章第1关,50524,1,icon_task_01.png,50525,1,1,[10+103+10301],27,10301,0,0,1,0,0,0,50,0,0,[],[514],0,[]
514,通过精英关卡第三章第2关,50526,1,icon_task_01.png,50527,1,1,[10+103+10302],27,10302,0,0,1,0,0,0,50,0,0,[],[515],0,[]
515,通过精英关卡第三章第3关,50528,1,icon_task_01.png,50529,1,1,[10+103+10303],27,10303,0,0,1,0,0,0,50,0,0,[],[516],0,[]
516,通过精英关卡第三章第4关,50530,1,icon_task_01.png,50531,1,1,[10+103+10304],27,10304,0,0,1,0,0,0,50,0,0,[],[517],0,[]
517,通过精英关卡第三章第5关,50532,1,icon_task_01.png,50533,1,1,[10+103+10305],27,10305,0,0,1,0,0,0,50,0,0,[],[519],0,[]
519,通过精英关卡第四章第1关,50536,1,icon_task_01.png,50537,1,1,[10+104+10401],27,10401,0,0,1,0,0,0,50,0,0,[],[520],0,[]
520,通过精英关卡第四章第2关,50538,1,icon_task_01.png,50539,1,1,[10+104+10402],27,10402,0,0,1,0,0,0,50,0,0,[],[521],0,[]
521,通过精英关卡第四章第3关,50540,1,icon_task_01.png,50541,1,1,[10+104+10403],27,10403,0,0,1,0,0,0,50,0,0,[],[522],0,[]
522,通过精英关卡第四章第4关,50542,1,icon_task_01.png,50543,1,1,[10+104+10404],27,10404,0,0,1,0,0,0,50,0,0,[],[523],0,[]
523,通过精英关卡第四章第5关,50544,1,icon_task_01.png,50545,1,1,[10+104+10405],27,10405,0,0,1,0,0,0,50,0,0,[],[525],0,[]
525,通过精英关卡第五章第1关,50548,1,icon_task_01.png,50549,1,1,[10+105+10501],27,10501,0,0,1,0,0,0,50,0,0,[],[526],0,[]
526,通过精英关卡第五章第2关,50550,1,icon_task_01.png,50551,1,1,[10+105+10502],27,10502,0,0,1,0,0,0,50,0,0,[],[527],0,[]
527,通过精英关卡第五章第3关,50552,1,icon_task_01.png,50553,1,1,[10+105+10503],27,10503,0,0,1,0,0,0,50,0,0,[],[528],0,[]
528,通过精英关卡第五章第4关,50554,1,icon_task_01.png,50555,1,1,[10+105+10504],27,10504,0,0,1,0,0,0,50,0,0,[],[529],0,[]
529,通过精英关卡第五章第5关,50556,1,icon_task_01.png,50557,1,1,[10+105+10505],27,10505,0,0,1,0,0,0,50,0,0,[],[531],0,[]
531,通过精英关卡第六章第1关,50560,1,icon_task_01.png,50561,1,1,[10+106+10601],27,10601,0,0,1,0,0,0,50,0,0,[],[532],0,[]
532,通过精英关卡第六章第2关,50562,1,icon_task_01.png,50563,1,1,[10+106+10602],27,10602,0,0,1,0,0,0,50,0,0,[],[533],0,[]
533,通过精英关卡第六章第3关,50564,1,icon_task_01.png,50565,1,1,[10+106+10603],27,10603,0,0,1,0,0,0,50,0,0,[],[534],0,[]
534,通过精英关卡第六章第4关,50566,1,icon_task_01.png,50567,1,1,[10+106+10604],27,10604,0,0,1,0,0,0,50,0,0,[],[535],0,[]
535,通过精英关卡第六章第5关,50568,1,icon_task_01.png,50569,1,1,[10+106+10605],27,10605,0,0,1,0,0,0,50,0,0,[],[537],0,[]
537,通过精英关卡第七章第1关,50572,1,icon_task_01.png,50573,1,1,[10+107+10701],27,10701,0,0,1,0,0,0,50,0,0,[],[538],0,[]
538,通过精英关卡第七章第2关,50574,1,icon_task_01.png,50575,1,1,[10+107+10702],27,10702,0,0,1,0,0,0,50,0,0,[],[539],0,[]
539,通过精英关卡第七章第3关,50576,1,icon_task_01.png,50577,1,1,[10+107+10703],27,10703,0,0,1,0,0,0,50,0,0,[],[540],0,[]
540,通过精英关卡第七章第4关,50578,1,icon_task_01.png,50579,1,1,[10+107+10704],27,10704,0,0,1,0,0,0,50,0,0,[],[541],0,[]
541,通过精英关卡第七章第5关,50580,1,icon_task_01.png,50581,1,1,[10+107+10705],27,10705,0,0,1,0,0,0,50,0,0,[],[542],0,[]
542,通过精英关卡第八章第1关,50582,1,icon_task_01.png,50583,1,1,[],27,10801,0,0,1,0,0,0,50,0,0,[],[543],0,[]
543,通过精英关卡第八章第2关,50584,1,icon_task_01.png,50585,1,1,[],27,10802,0,0,1,0,0,0,50,0,0,[],[544],0,[]
544,通过精英关卡第八章第3关,50586,1,icon_task_01.png,50587,1,1,[],27,10803,0,0,1,0,0,0,50,0,0,[],[545],0,[]
545,通过精英关卡第八章第4关,50588,1,icon_task_01.png,50589,1,1,[],27,10804,0,0,1,0,0,0,50,0,0,[],[546],0,[]
546,通过精英关卡第八章第5关,50590,1,icon_task_01.png,50591,1,1,[],27,10805,0,0,1,0,0,0,50,0,0,[],[],0,[]
1001,每日领取1次中午体力,55000,2,icon_task_06.png,55001,1,1,[],9,12,0,0,1,0,0,0,0,0,0,[],[],1,[0]
1002,每日领取1次下午体力,55002,2,icon_task_06.png,55003,1,1,[],9,18,0,0,1,0,0,0,0,0,0,[],[],1,[0]
1003,每日抽卡1次,55004,2,icon_task_03.png,55005,1,1,[7],6,0,0,0,1,0,10,200,0,0,0,[],[],1,[0]
1004,每日培养1次英雄(吃任意经验卡),55006,2,icon_task_04.png,55007,1,1,[3+7],7,0,0,0,1,0,10,200,0,0,0,[],[],1,[0]
1005,每日钻石购买金币3次,55008,2,icon_task_05.png,55009,1,1,[61],8,0,0,0,3,0,10,200,0,0,0,[],[],1,[0]
1006,每日通过5次普通关卡,55010,2,icon_task_01.png,55011,1,1,[],1,-1,0,0,5,0,10,0,0,0,0,[120013+5],[],1,[0]
1007,每日通过3次精英关卡,55012,2,icon_task_01.png,55013,1,1,[],1,-2,0,0,3,0,50,0,0,0,0,[120005+5],[],1,[0]
1009,每日通过1次英雄试炼,55016,2,icon_task_10.png,55017,18,1,[],20,0,0,0,1,0,10,200,0,0,0,[],[],1,[0]
1010,每日通过1次金币试炼,55018,2,icon_task_11.png,55019,1,1,[],21,0,0,0,1,0,10,200,0,0,0,[],[],1,[0]
1011,每日通过2层爬塔试炼,55020,2,icon_task_12.png,55021,26,1,[],22,0,0,0,2,0,20,100,0,0,0,[],[],1,[0]
1012,每日完成5次竞技挑战,55022,2,icon_task_13.png,55023,1,1,[48],23,0,0,0,5,0,20,0,0,0,0,[100001+2],[],1,[0]
1015,公会活跃,55030,2,icon_task_01.png,55031,1,1,[],42,0,0,0,100,0,10,500,0,0,0,[],[],1,[0]
1016,派遣佣兵,55032,2,icon_task_01.png,55033,1,1,[],43,0,0,0,1,0,10,500,0,0,0,[],[],1,[0]
1017,使用佣兵,55034,2,icon_task_01.png,55035,1,1,[],44,0,0,0,1,0,20,500,0,0,0,[],[],1,[0]
1018,每日打造一次装备,55036,2,icon_task_08.png,55037,1,1,[],204,0,0,0,1,0,10,0,0,0,0,[251+1],[],1,[0]
1501,为任意英雄穿戴任意装备,51001,1,icon_task_08.png,51002,1,1,[3+7],2,0,0,0,1,0,0,5000,0,0,0,[201006+1],[],0,[]
1502,完成2次竞技挑战,51003,1,icon_task_13.png,51004,1,1,[48],23,0,0,0,2,0,0,2000,0,0,0,[],[1523],0,[]
1503,任意英雄升至10级,51005,1,icon_task_02.png,51006,1,1,[],11,10,0,0,1,0,0,1000,0,0,0,[],[1509],0,[]
1509,3个英雄升至10级,51017,1,icon_task_09.png,51018,1,1,[],11,10,0,0,3,0,0,3000,0,0,0,[],[1510],0,[]
1510,5个英雄升至10级,51019,1,icon_task_09.png,51020,1,1,[],11,10,0,0,5,0,0,3000,0,0,0,[],[1511],0,[]
1511,3个英雄升至20级,51021,1,icon_task_09.png,51022,1,1,[],11,20,0,0,3,0,0,6000,0,0,0,[],[1512],0,[]
1512,5个英雄升至20级,51023,1,icon_task_09.png,51024,1,1,[],11,20,0,0,5,0,0,6000,0,0,0,[],[1513],0,[]
1513,3个英雄升至30级,51025,1,icon_task_09.png,51026,1,1,[],11,30,0,0,3,0,0,10000,0,0,0,[],[1514],0,[]
1514,5个英雄升至30级,51027,1,icon_task_09.png,51028,1,1,[],11,30,0,0,5,0,0,10000,0,0,0,[],[1515],0,[]
1515,3个英雄升至40级,51029,1,icon_task_09.png,51030,1,1,[],11,40,0,0,3,0,0,15000,0,0,0,[],[1516],0,[]
1516,5个英雄升至40级,51031,1,icon_task_09.png,51032,1,1,[],11,40,0,0,5,0,0,15000,0,0,0,[],[1517],0,[]
1517,3个英雄升至50级,51033,1,icon_task_09.png,51034,1,1,[],11,50,0,0,3,0,0,20000,0,0,0,[],[1518],0,[]
1518,5个英雄升至50级,51035,1,icon_task_09.png,51036,1,1,[],11,50,0,0,5,0,0,20000,0,0,0,[],[1519],0,[]
1519,3个英雄升至65级,51037,1,icon_task_09.png,51038,1,1,[],11,65,0,0,3,0,0,25000,0,0,0,[],[1520],0,[]
1520,5个英雄升至65级,51039,1,icon_task_09.png,51040,1,1,[],11,65,0,0,5,0,0,25000,0,0,0,[],[],0,[]
1521,为任意英雄升星,51041,1,icon_task_02.png,51042,1,1,[],4,0,0,0,1,0,0,5000,0,0,0,[],[],0,[]
1523,完成5次竞技挑战,51045,1,icon_task_13.png,51046,1,1,[48],23,0,0,0,5,0,0,5000,0,0,0,[],[1524],0,[]
1524,完成10次竞技挑战,51047,1,icon_task_13.png,51048,1,1,[48],23,0,0,0,10,0,0,10000,0,0,0,[],[],0,[]
2001,通过普通关卡第一章第8关(隐藏),,1,,,1,0,[],1,108,0,0,1,0,0,0,0,0,0,[],[1012+2002],0,[]
2002,通过普通关卡第一章第12关(隐藏),,1,,,1,0,[],1,112,0,0,1,0,0,0,0,0,0,[],[1010+2003],0,[]
2003,通过普通关卡第一章第15关(隐藏),,1,,,1,0,[],1,115,0,0,1,0,0,0,0,0,0,[],[1015+1016+2004],0,[]
2004,通过普通关卡第二章第1关(隐藏),,1,,,1,0,[],1,201,0,0,1,0,0,0,0,0,0,[],[1018+2005],0,[]
2005,通过普通关卡第二章第9关(隐藏),,1,,,1,0,[],1,209,0,0,1,0,0,0,0,0,0,[],[1009],0,[]
2006,通过普通关卡第三章第3关(隐藏),,1,,,1,0,[],1,303,0,0,1,0,0,0,0,0,0,[],[1011],0,[]
2101,预留任务：创角触发(隐藏),,1,,,999,0,[],11,999,0,0,999,0,0,0,0,0,0,[],[],0,[]
2102,预留日常：第6关后与其他日常一起触发（隐藏）,,2,,,999,0,[],11,999,0,0,999,0,0,0,0,0,0,[],[],0,[]
