ResID,角色备注,动作标签组合1,动作标签组合2,动作标签组合3,动作标签组合4,动作标签组合5,动作标签组合6,动作标签组合7,动作标签组合8,动作标签组合9
10500,魔剑士2,[Attack1_1+Stand3+Attack_End2],[Attack2_1+Stand3+Attack_End2],[Move1+Move1+Move1],[Vertigo1],,,,,
10501,魔剑士3,[Attack1_1+Stand3+Attack_End2],[Attack2_1+Stand3+Attack_End2],[Skill2_1],[Move1+Move1+Move1],[Vertigo1],,,,
10502,魔剑士4,[Attack1_1+Stand3+Attack_End2],[Attack2_1+Stand3+Attack_End2],[Skill2_1],[Move1+Move1+Move1],[Vertigo1],,,,
10600,维京人之盾2,[Attack1],[Skill1_Begin+Skill1_Loop+Skill1_Loop+Skill1_Loop+Skill1_End],[Move1+Move1+Move1],[Vertigo1],,,,,
10601,维京人之盾3,[Attack1],[Skill1_Begin+Skill1_Loop+Skill1_Loop+Skill1_Loop+Skill1_End],[Move1+Move1+Move1],[Vertigo1],,,,,
10602,维京人之盾4,[Attack1],[Skill1_Begin+Skill1_Loop+Skill1_Loop+Skill1_Loop+Skill1_End],[Move1+Move1+Move1],[Vertigo1],,,,,
10700,火焰女王2,[Skill1_Begin+Skill1_Charging+Skill1_Charging+Skill1_Release],[Move1+Move1+Move1],[Vertigo1],,,,,,
10701,火焰女王3,[Skill1_Begin+Skill1_Charging+Skill1_Charging+Skill1_Release],[Move1+Move1+Move1],[Vertigo1],,,,,,
10702,火焰女王4,[Skill1_Begin+Skill1_Charging+Skill1_Charging+Skill1_Release],[Move1+Move1+Move1],[Vertigo1],,,,,,
10900,牧师2,[Attack1],[Skill3+Skill1+Skill4],[Move1+Move1+Move1],[Vertigo1],,,,,
10901,牧师3,[Attack1],[Skill3+Skill1+Skill4],[Move1+Move1+Move1],[Vertigo1],,,,,
10902,牧师4,[Attack1],[Skill3+Skill1+Skill4],[Move1+Move1+Move1],[Vertigo1],,,,,
11000,圣骑士2,[Attack1],[Skill1_Loop+Skill1_Loop+Skill1_Loop+Skill1_Loop+Skill1_End],[Skill2],[Move1+Move1+Move1],[Vertigo1],,,,
11001,圣骑士3,[Attack1],[Skill1_Loop+Skill1_Loop+Skill1_Loop+Skill1_Loop+Skill1_End],[Skill2],[Move1+Move1+Move1],[Vertigo1],,,,
11002,圣骑士4,[Attack1],[Skill1_Loop+Skill1_Loop+Skill1_Loop+Skill1_Loop+Skill1_End],[Skill2],[Move1+Move1+Move1],[Vertigo1],,,,
30800,影舞者2,[Attack1],[Attack2],[Skill1],[Skill3],[Move1+Move1+Move1],[Vertigo1],,,
30801,影舞者3,[Attack1],[Attack2],[Skill1],[Skill3],[Move1+Move1+Move1],[Vertigo1],,,
30802,影舞者4,[Attack1],[Attack2],[Skill1],[Skill3],[Move1+Move1+Move1],[Vertigo1],,,
11200,盗贼小弟,[Attack1],[Attack2],[Move1+Move1+Move1],[Vertigo1],,,,,
11300,盗墓小弟,[Attack1],[Attack2],[Move1+Move1+Move1],[Vertigo1],,,,,
11400,爆破工,[Attack1],[Death2],[Move1+Move1+Move1],[Vertigo1],,,,,
11600,黑衣刀手,[Attack1],[Attack2],[Move1+Move1+Move1],[Vertigo1],,,,,
11700,黑衣镖手,[Attack1],[Move1+Move1+Move1],[Vertigo1],,,,,,
12000,盾妹1,[Attack1],[Attack2],[Skill1+Skill2+Skill2+Skill2+Skill3],[Skill4+Skill2+Skill2+Skill2+Skill3],[Move1+Move1+Move1],[Vertigo1],,,
12001,盾妹2,[Attack1],[Attack2],[Skill1+Skill2+Skill2+Skill2+Skill3],[Skill4+Skill2+Skill2+Skill2+Skill3],[Move1+Move1+Move1],[Vertigo1],,,
12002,盾妹3,[Attack1],[Attack2],[Skill1+Skill2+Skill2+Skill2+Skill3],[Skill4+Skill2+Skill2+Skill2+Skill3],[Move1+Move1+Move1],[Vertigo1],,,
20000,狼人2,[Attack1+Attack2],[Skill1],[Skill2],[Move2+Move2+Move2],[Move1+Move1+Move1],,,,
20001,狼人3,[Attack1+Attack2],[Skill1],[Skill2],[Move2+Move2+Move2],[Move1+Move1+Move1],,,,
20002,狼人4,[Attack1+Attack2],[Skill1],[Skill2],[Move2+Move2+Move2],[Move1+Move1+Move1],,,,
20500,牛头人2,[Attack1],[Attack2],[Skill1],[Skill2],[Move1+Move1+Move1],[Vertigo1],,,
20501,牛头人3,[Attack1],[Attack2],[Skill1],[Skill2],[Move1+Move1+Move1],[Vertigo1],,,
20502,牛头人4,[Attack1],[Attack2],[Skill1],[Skill2],[Skill3],[Move1+Move1+Move1],[Vertigo1],,
20900,投石车2,[Skill2],[Death1],[Move1+Move1+Move1],,,,,,
20901,投石车3,[Skill2],[Death1],[Move1+Move1+Move1],,,,,,
30000,小精灵2,[Death1],[Move1+Move1+Move1],,,,,,,
30001,小精灵3,[Attack1],[Skill1],[Skill2],[Move1+Move1+Move1],[Vertigo1],,,,
30002,小精灵4,[Attack1],[Skill1],[Skill2],[Skill1_Begin+Skill1_Charging+Skill1_Charging+Skill1_Charging+Skill1_Release],[Move1+Move1+Move1],[Vertigo1],,,
30100,精灵弓手2,[Attack1],[Skill2+Skill3+Skill4+Attack2],[Move1+Move1+Move1],[Vertigo1],,,,,
30101,精灵弓手3,[Attack1],[Skill2+Skill3+Skill4+Attack2],[Move1+Move1+Move1],[Vertigo1],,,,,
30102,精灵弓手4,[Attack1],[Skill2+Skill3+Skill4+Attack2],[Skill1],[Move1+Move1+Move1],[Vertigo1],,,,
30300,小鹿妹子2,[Skill1],[Skill4+Skill6],[Move1+Move1+Move1],[Vertigo1],,,,,
30301,小鹿妹子3,[Skill1],[Skill4+Skill6],[Move1+Move1+Move1],[Vertigo1],,,,,
30302,小鹿妹子4,[Skill1],[Skill4+Skill6],[Move1+Move1+Move1],[Vertigo1],,,,,
30400,水元素4,[Skill2_Begin+Skill2_Charging+Skill2_Charging+Skill2_Charging+Skill2_Release],[Skill1],[Death1],[Move1+Move1+Move1],[Vertigo1],,,,
30401,水元素5,[Skill2_Begin+Skill2_Charging+Skill2_Charging+Skill2_Charging+Skill2_Release],[Skill1],[Death1],[Move1+Move1+Move1],[Vertigo1],,,,
30500,夜刃2,[Attack5],[Skill2],[Move2+Move2+Move2],[Move1+Move1+Move1],[Vertigo1],,,,
30501,夜刃3,[Attack5],[Skill2],[Move2+Move2+Move2],[Move1+Move1+Move1],[Vertigo1],,,,
30502,夜刃4,[Attack5],[Skill2],[Move2+Move2+Move2],[Skill3],[Move1+Move1+Move1],[Vertigo1],,,
30900,森巨人（唯1）,[Attack1],[Attack2],[Skill6+Skill7+Skill8],[Move1+Move1+Move1],[Vertigo1],,,,
30901,森巨人（唯1）,[Attack1],[Attack2],[Skill6+Skill7+Skill8],[Move1+Move1+Move1],[Vertigo1],,,,
30902,森巨人（唯1）,[Attack1],[Attack2],[Skill6+Skill7+Skill8],[Move1+Move1+Move1],[Vertigo1],,,,
31000,精灵女王,[Attack1],[Skill1],[Death1],[Move1+Move1+Move1],[Vertigo1],,,,
31100,火元素,[Attack1],[Born1],[Death1],[Move1+Move1+Move1],[Vertigo1],,,,
60000,石巨人（唯1）,[Attack1],[Death1],[Move1+Move1+Move1],[Vertigo1],,,,,
60001,石巨人（唯1）,[Attack1],[Death1],[Skill1],[Move1+Move1+Move1],[Vertigo1],,,,
60100,海巨人（唯1）,[Attack1],[Attack2],[Skill1+Skill2+Skill2+Skill2+Skill3],[Move1+Move1+Move1],[Vertigo1],,,,
60101,海巨人（唯1）,[Attack1],[Attack2],[Skill1+Skill2+Skill2+Skill2+Skill3],[Move1+Move1+Move1],[Vertigo1],,,,
21100,野猪,[Attack1],[Move1+Move1+Move1],[Vertigo1],,,,,,
21200,黑熊,[Attack1],[Attack2],[Move1+Move1+Move1],[Vertigo1],,,,,
21300,灰狼,[Attack1],[Attack2],[Move1+Move1+Move1],[Vertigo1],,,,,
40000,骷髅战士2,[Attack1],[Death1+Reborn1],[Move1+Move1+Move1],[Vertigo1],,,,,
40001,骷髅战士3,[Attack1],[Death1+Reborn1],[Move1+Move1+Move1],[Vertigo1],,,,,
40002,骷髅战士4,[Attack1],[Death1+Reborn1],[Move1+Move1+Move1],[Vertigo1],,,,,
40100,僵尸2,[Attack1],[Born1],[Move1+Move1+Move1],[Vertigo1],,,,,
40101,僵尸3,[Attack1],[Born1],[Move1+Move1+Move1],[Vertigo1],,,,,
40102,僵尸4,[Attack1],[Born1],[Move1+Move1+Move1],[Vertigo1],,,,,
40200,骷髅弓手2,[Attack1],[Death1+Reborn1],[Move1+Move1+Move1],[Vertigo1],,,,,
40201,骷髅弓手3,[Attack1],[Death1+Reborn1],[Move1+Move1+Move1],[Vertigo1],,,,,
40202,骷髅弓手4,[Attack1],[Death1+Reborn1],[Move1+Move1+Move1],[Vertigo1],,,,,
40300,幽灵2,[Attack1],[Move1+Move1+Move1],[Vertigo1+Vertigo1+Vertigo1],,,,,,
40301,幽灵3,[Attack1],[Move1+Move1+Move1],[Vertigo1+Vertigo1+Vertigo1],,,,,,
40302,幽灵4,[Attack1],[Move1+Move1+Move1],[Vertigo1+Vertigo1+Vertigo1],,,,,,
40400,死灵召唤师,[Attack1],[Skill1_Begin+Skill1_Charging+Skill1_Charging+Skill1_Release],[Death1],[Move1+Move1+Move1],[Vertigo1],,,,
40401,死灵召唤师,[Attack1],[Skill1_Begin+Skill1_Charging+Skill1_Charging+Skill1_Release],[Death1],[Move1+Move1+Move1],[Vertigo1],,,,
40402,死灵召唤师,[Attack1],[Skill1_Begin+Skill1_Charging+Skill1_Charging+Skill1_Release],[Death1],[Move1+Move1+Move1],[Vertigo1],,,,
40500,雪女2,[Skill1_Begin+Skill1_Charging+Skill1_Release],[Death1],[Move1+Move1+Move1],[Vertigo1],,,,,
40501,雪女3,[Skill1_Begin+Skill1_Charging+Skill1_Release],[Death1],[Move1+Move1+Move1],[Vertigo1],,,,,
40502,雪女4,[Skill1_Begin+Skill1_Charging+Skill1_Release],[Death1],[Move1+Move1+Move1],[Vertigo1],,,,,
40600,屠夫2,[Attack1+Attack2],[Skill1],[Move1+Move1+Move1],[Vertigo1],,,,,
40601,屠夫3,[Attack1+Attack2],[Skill1],[Move1+Move1+Move1],[Vertigo1],,,,,
40602,屠夫4,[Attack1+Attack2],[Skill1],[Move1+Move1+Move1],[Vertigo1],,,,,
40700,死亡骑士,[Attack1],[Attack2],[Skill1],[Move1+Move1+Move1],[Vertigo1],,,,
40701,死亡骑士,[Attack1],[Attack2],[Skill1],[Move1+Move1+Move1],[Vertigo1],,,,
40702,死亡骑士,[Attack1],[Attack2],[Skill1],[Skill2+Skill2+Skill2+Skill3],[Move1+Move1+Move1],[Vertigo1],,,
40800,巫妖,[Skill1_Begin+Skill1_Release],[Death1],[Move1+Move1+Move1],[Vertigo1],,,,,
40801,巫妖,[Skill1_Begin+Skill1_Release],[Death1],[Move1+Move1+Move1],[Vertigo1],,,,,
40802,巫妖,[Skill1_Begin+Skill1_Release],[Death1],[Move1+Move1+Move1],[Vertigo1],,,,,
40900,吸血鬼勋爵2,[Attack1],[Attack2],[Death1],[Skill1],[Skill2],[Move1+Move1+Move1],[Vertigo1],,
40901,吸血鬼勋爵3,[Attack1],[Attack2],[Death1],[Skill1],[Skill2],[Move1+Move1+Move1],[Vertigo1],,
40902,吸血鬼勋爵4,[Attack1],[Attack2],[Death1],[Skill1],[Skill2],[Move1+Move1+Move1],[Vertigo1],,
41000,黑寡妇,[Attack1],[Skill1],[Death1],[Move1+Move1+Move1],[Vertigo1],,,,
50000,辟谷龙,[Attack1],[Attack2],[Skill1],[Skill2],[Move1+Move1+Move1],[Vertigo1],,,
50001,辟谷龙,[Attack1],[Attack2],[Skill1],[Skill2],[Move1+Move1+Move1],[Vertigo1],,,
50002,辟谷龙,[Attack1],[Attack2],[Skill1],[Skill2],[Move1+Move1+Move1],[Vertigo1],,,
100001,死神,[Skill1],[Skill2],[Skill3],[Skill4],[Death1],[Move1+Move1+Move1],[Vertigo1],,
100051,蜘蛛boss,[Skill1],[Skill2],[Skill3],[Skill4],[Death1],[Birth1],,,
100100,熊怪,[Attack1],[Attack2],[Attack3],[Move1+Move1+Move1],[Vertigo1],,,,
100200,盗墓老大,[Attack1],[Attack2],[Skill1],[Skill2],[Skill3],[Birth1],[Move1+Move1+Move1],,
100300,神像,[Skill1],[Skill2],[Skill3],[Break+Stand2],[Move1+Move1+Move1],[Vertigo1],,,
100400,刺客老大,[Attack1],[Attack2],[Skill1],[Skill2],[Skill3],[Skill4],[Skill5],,
100700,被封印的泉灵,[Birth1],[Skill1],[Skill3+Stand2+Stand2+Skill2+Stand2+Skill4],[Death1],[Death2+Stand2+Skill4],,,,
100900,黑化大长老,[Skill1],[Skill2],[Skill3],[Skill4],,,,,
101100,尤达米尔,[Skill1],[Skill2],[Death1],[Vertigo1],,,,,
101200,骷髅王,[Stand1],[Birth1+Stand0+Death1],[Birth2+Stand2+Death2],[Birth3+Stand3+Death3],[Skill4],[Skill5],,,
106800,树魔,[Birth1],[Attack1],[Skill1],[Death1],[Vertigo1],,,,
108600,骨龙,[Birth1],[Skill1_Start+Skill1_Loop+Skill1_Loop+Skill1_Loop+Skill1_Release],[Death1],[Skill2],[Vertigo1],,,,
