签到奖励ID,月份,说明,道具ID,道具数量,道具数量角标显示,VIP等级领取双倍
3,7,7月第3次,100003,6,6,-1
4,7,7月第4次,100004,2,2,-1
5,7,7月第5次,100005,4,4,-1
6,7,7月第6次,100005,6,6,-1
7,7,7月第7次,201001,2,2,-1
8,7,7月第8次,201002,4,4,-1
9,7,7月第9次,201005,6,6,-1
10,7,7月第10次,201006,2,2,-1
11,7,7月第11次,201009,4,4,-1
12,7,7月第12次,201010,6,6,-1
13,7,7月第13次,201013,2,2,-1
14,7,7月第14次,201014,4,4,-1
15,7,7月第15次,201017,6,6,-1
16,7,7月第16次,201018,2,2,-1
17,7,7月第17次,201019,4,4,-1
18,7,7月第18次,201020,6,6,-1
19,7,7月第19次,201021,2,2,-1
20,7,7月第20次,201022,4,4,-1
21,7,7月第21次,201023,6,6,-1
22,7,7月第22次,201024,2,2,-1
23,7,7月第23次,201025,4,4,-1
24,7,7月第24次,201026,6,6,-1
25,7,7月第25次,201027,2,2,-1
26,7,7月第26次,201028,4,4,-1
1,8,8月第1次,100001,2,2,-1
2,8,8月第2次,100002,4,4,-1
3,8,8月第3次,100003,6,6,-1
4,8,8月第4次,100004,2,2,-1
5,8,8月第5次,100005,4,4,-1
6,8,8月第6次,100005,6,6,-1
7,8,8月第7次,201001,2,2,-1
8,8,8月第8次,201002,4,4,-1
9,8,8月第9次,201005,6,6,-1
10,8,8月第10次,201006,2,2,-1
11,8,8月第11次,201009,4,4,-1
12,8,8月第12次,201010,6,6,-1
13,8,8月第13次,201013,2,2,-1
14,8,8月第14次,201014,4,4,-1
15,8,8月第15次,201017,6,6,-1
16,8,8月第16次,201018,2,2,-1
17,8,8月第17次,201019,4,4,-1
18,8,8月第18次,201020,6,6,-1
19,8,8月第19次,201021,2,2,-1
20,8,8月第20次,201022,4,4,-1
21,8,8月第21次,201023,6,6,-1
22,8,8月第22次,201024,2,2,-1
23,8,8月第23次,201025,4,4,-1
24,8,8月第24次,201026,6,6,-1
25,8,8月第25次,201027,2,2,-1
26,8,8月第26次,201028,4,4,-1
1,9,9月第1次,121,1,1,-1
2,9,9月第2次,231501,1,1,-1
3,9,9月第3次,50028,10,10,1
4,9,9月第4次,10,1,1,-1
5,9,9月第5次,100005,1,1,2
6,9,9月第6次,2,50,50,-1
7,9,9月第7次,103,3,3,2
8,9,9月第8次,121,1,1,3
9,9,9月第9次,201027,1,1,-1
10,9,9月第10次,50028,15,15,3
11,9,9月第11次,10,1,1,-1
12,9,9月第12次,100005,2,2,4
13,9,9月第13次,2,75,75,-1
14,9,9月第14次,103,6,6,4
15,9,9月第15次,121,2,2,5
16,9,9月第16次,201051,1,1,-1
17,9,9月第17次,50028,20,20,5
18,9,9月第18次,10,1,1,-1
19,9,9月第19次,100005,3,3,6
20,9,9月第20次,2,100,100,-1
21,9,9月第21次,103,9,9,6
22,9,9月第22次,121,2,2,7
23,9,9月第23次,201039,1,1,-1
24,9,9月第24次,50028,25,25,7
25,9,9月第25次,10,1,1,-1
26,9,9月第26次,100005,4,4,8
1,10,10月第1次,121,1,1,-1
2,10,10月第2次,231501,1,1,-1
3,10,10月第3次,50028,6,6,1
4,10,10月第4次,10,1,1,-1
5,10,10月第5次,100005,1,1,2
6,10,10月第6次,2,50,50,-1
7,10,10月第7次,103,3,3,2
8,10,10月第8次,121,1,1,3
9,10,10月第9次,201044,1,1,-1
10,10,10月第10次,50028,8,8,3
11,10,10月第11次,10,1,1,-1
12,10,10月第12次,100005,2,2,4
13,10,10月第13次,2,75,75,-1
14,10,10月第14次,103,6,6,4
15,10,10月第15次,121,2,2,5
16,10,10月第16次,201032,1,1,-1
17,10,10月第17次,50028,10,10,5
18,10,10月第18次,10,1,1,-1
19,10,10月第19次,100005,3,3,6
20,10,10月第20次,2,100,100,-1
21,10,10月第21次,103,9,9,6
22,10,10月第22次,121,2,2,7
23,10,10月第23次,201048,1,1,-1
24,10,10月第24次,50028,12,12,7
25,10,10月第25次,10,1,1,-1
26,10,10月第26次,100005,4,4,8
1,11,11月第1次,121,1,1,-1
2,11,11月第2次,201027,1,1,-1
3,11,11月第3次,50024,6,6,1
4,11,11月第4次,10,1,1,-1
5,11,11月第5次,100005,1,1,2
6,11,11月第6次,2,50,50,-1
7,11,11月第7次,103,3,3,2
8,11,11月第8次,121,1,1,3
9,11,11月第9次,201048,1,1,-1
10,11,11月第10次,50024,8,8,3
11,11,11月第11次,10,1,1,-1
12,11,11月第12次,100005,2,2,4
13,11,11月第13次,2,75,75,-1
14,11,11月第14次,103,6,6,4
15,11,11月第15次,121,2,2,5
16,11,11月第16次,201051,1,1,-1
17,11,11月第17次,50024,10,10,5
18,11,11月第18次,10,1,1,-1
19,11,11月第19次,100005,3,3,6
20,11,11月第20次,2,100,100,-1
21,11,11月第21次,103,9,9,6
22,11,11月第22次,121,2,2,7
23,11,11月第23次,201039,1,1,-1
24,11,11月第24次,50024,12,12,7
25,11,11月第25次,10,1,1,-1
26,11,11月第26次,100005,4,4,8
1,12,12月第1次,121,1,1,-1
2,12,12月第2次,50023,2,2,-1
3,12,12月第3次,10,1,1,1
4,12,12月第4次,150023,1,1,-1
5,12,12月第5次,100005,1,1,2
6,12,12月第6次,2,50,50,-1
7,12,12月第7次,103,3,3,2
8,12,12月第8次,121,1,1,-1
9,12,12月第9次,50023,4,4,-1
10,12,12月第10次,10,1,1,1
11,12,12月第11次,150023,2,2,-1
12,12,12月第12次,100005,1,1,2
13,12,12月第13次,2,75,75,-1
14,12,12月第14次,103,6,6,2
15,12,12月第15次,121,2,2,-1
16,12,12月第16次,50023,6,6,-1
17,12,12月第17次,10,1,1,1
18,12,12月第18次,150023,2,2,-1
19,12,12月第19次,100005,2,2,2
20,12,12月第20次,2,100,100,-1
21,12,12月第21次,103,9,9,2
22,12,12月第22次,121,2,2,-1
23,12,12月第23次,50023,8,8,-1
24,12,12月第24次,10,1,1,1
25,12,12月第25次,150023,3,3,-1
26,12,12月第26次,100005,2,2,2
