增益ID,描述,BUFF标识,层数,buff生命周期,回收添加新BUFF的条件,回收时添加的新buff_ID,Buff特效动画ID,buffUI表现ID,buff特效播放点,特效是否跟随移动,buff目标,首次生效时间,生效总次数,Buff触发类型,Buff触发类型参数,生效条件1,生效条件2,生效条件3,生效条件4,Buff生效时目标结算ID,Buff生效时对召唤师结算ID,Buff失效时目标结算ID,Buff失效时召唤师结算ID,是否加载技能
104,人族通用BUFF5（永久标记）,3,1,-1,0,[],[],0,3,1,-1,0,0,1,[5],,,,,[],[],[],[],0
105,人族通用BUFF6（永久标记）,3,1,-1,0,[],[],0,3,1,-1,0,0,1,[5],,,,,[],[],[],[],0
106,人族通用BUFF7（永久标记）,3,1,-1,0,[],[],0,3,1,-1,0,0,1,[5],,,,,[],[],[],[],0
110,套装技能判定BUFF,3,1,-1,0,[],[],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],0
300,自然族通用Buff1(永久标记),3,1,-1,0,[],[],0,3,1,-1,0,0,1,[5],,,,,[],[],[],[],0
301,出场满能量,3,1,2000,0,[],[],0,2,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[51],[51],[],[],0
302,自身能量自回复,3,1,-1,0,[],[],0,2,1,-1,1,-1,1,[1000],Is_HasBuffTarget(),,,,[52],[52],[],[],0
303,给友军恢复一次能量,3,1,1000,0,[],[],0,2,1,98,900,1,1,[1000],Is_HasBuffTarget(),,,,[53],[53],[],[],0
304,受击回能量,3,1,-1,0,[],[],0,2,1,-1,1,-1,12,[1],Is_HasBuffTarget(),,,,[54],[54],[],[],0
305,自身能量自回复（巨人）,3,1,-1,0,[],[],0,2,1,-1,1,-1,1,[1000],Is_HasBuffTarget(),,,,[55],[55],[],[],0
306,攻击回能量,3,1,-1,0,[],[],0,2,1,-1,1,-1,13,[2],Is_HasBuffTarget(),,,,[57],[57],[],[],0
401,骷髅标志Buff永久,3,1,-1,0,[],[],0,3,1,-1,0,0,1,[5],,,,,[],[],[],[],0
402,骷髅召唤师标志Buff永久,3,1,-1,0,[],[],0,3,1,-1,0,0,1,[5],,,,,[],[],[],[],0
403,通用-诅咒BUFF取消,3,1,1000,0,[],[40004],0,1,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],0
404,死亡召唤骷髅战士,3,1,-1,0,[403],[40001],0,1,1,-1,5,1,2,[5],Is_HasBuffTarget(),Is_HasSkillPoint(1*0*0),Is_Random(33),,[],[],[],[],40005
900,士气失效,3,1,-1,0,[],[],0,3,1,2,0,2,2,[],Is_HasBuffTarget(),,,,[],[],[],[],900
901,动员失效,3,1,-1,0,[],[],0,3,1,2,0,2,2,[],Is_HasBuffTarget(),,,,[],[],[],[],901
902,破甲 攻击减甲 ,3,1,-1,0,[],[],0,3,1,18,0,-1,13,[1],Is_HasBuffTarget(),,,,[900],[],[],[],0
903,己方人族卡牌的CD减少3%,3,1,-1,0,[],[],0,3,1,2,0,1,1,[1],Is_HasBuffTarget(),,,,[],[901],[],[911],0
903,己方人族卡牌的CD减少3%,3,2,-1,0,[],[],0,3,1,2,0,1,1,[1],Is_HasBuffTarget(),,,,[],[902],[],[912],0
903,己方人族卡牌的CD减少3%,3,3,-1,0,[],[],0,3,1,2,0,1,1,[1],Is_HasBuffTarget(),,,,[],[903],[],[913],0
903,己方人族卡牌的CD减少3%,3,4,-1,0,[],[],0,3,1,2,0,1,1,[1],Is_HasBuffTarget(),,,,[],[904],[],[914],0
903,己方人族卡牌的CD减少3%,3,5,-1,0,[],[],0,3,1,2,0,1,1,[1],Is_HasBuffTarget(),,,,[],[905],[],[915],0
904,保疆 己方建筑增加护甲与魔抗,3,1,-1,0,[],[],0,3,1,-1,0,0,1,[5],,,,,[],[],[],[],0
905,士气 在场时 己方人族卡牌的CD减少3%,3,1,1000,0,[],[],0,3,1,2,0,1,1,[1],Is_HasBuffTarget(),,,,[],[],[],[],905
906,动员 在场时 己方人族卡牌的水晶消耗减少5点,3,1,1000,0,[],[],0,3,1,2,0,1,1,[1],Is_HasBuffTarget(),,,,[],[],[],[],906
907,海盗 出场偷取5点水晶,3,1,1000,0,[],[],0,3,1,3,0,1,1,[1],Is_HasBuffTarget(),,,,[907],[],[],[],0
908,精英 攻击附带百分比攻击力真实伤害 ,3,1,-1,0,[],[],0,3,1,11,0,-1,13,[2],Is_HasBuffTarget(),,,,[908],[],[],[],0
909,己方召唤师增加5点水晶,3,1,1000,0,[],[],0,3,1,2,0,1,1,[1],Is_HasBuffTarget(),,,,[],[909],[],[],0
910,己方人族卡牌的水晶消耗减少5点,3,1,-1,0,[],[],0,3,1,2,0,1,1,[1],Is_HasBuffTarget(),,,,[],[920],[],[930],0
910,己方人族卡牌的水晶消耗减少5点,3,2,-1,0,[],[],0,3,1,2,0,1,1,[1],Is_HasBuffTarget(),,,,[],[921],[],[931],0
910,己方人族卡牌的水晶消耗减少5点,3,3,-1,0,[],[],0,3,1,2,0,1,1,[1],Is_HasBuffTarget(),,,,[],[922],[],[932],0
910,己方人族卡牌的水晶消耗减少5点,3,4,-1,0,[],[],0,3,1,2,0,1,1,[1],Is_HasBuffTarget(),,,,[],[923],[],[933],0
910,己方人族卡牌的水晶消耗减少5点,3,5,-1,0,[],[],0,3,1,2,0,1,1,[1],Is_HasBuffTarget(),,,,[],[924],[],[934],0
911,治愈 增加生命恢复,3,1,-1,0,[],[],0,3,1,28,0,-1,1,[5000],Is_HasBuffTarget(),,,,[910],[],[],[],0
916,遗产 死亡后 自然族卡片费用永久减少1点,3,1,-1,0,[],[],0,3,1,2,0,1,2,[],Is_HasBuffTarget(),,,,[],[916],[],[],0
918,神迹 出场后免疫1次受到的伤害,3,1,-1,0,[919],[],0,2,1,-1,0,1,1,[100],Is_HasBuffTarget(),,,,[918],[],[],[],0
919,出场后免疫1次受到的伤害失效,3,1,-1,0,[],[5],0,2,1,-1,0,1,12,[1],Is_HasBuffTarget(),,,,[919],[],[],[],0
921,怨念 每次受到攻击 增加5%的攻击力 持续5S（上限5层）,3,1,-1,0,[],[],0,3,1,-1,0,-1,12,[1],Is_HasBuffTarget(),,,,[],[],[],[],921
922,每次受到攻击 增加5%的攻击力 持续5S（上限5层）,3,1,5000,0,[],[],0,3,1,-1,0,1,1,[1],Is_HasBuffTarget(),,,,[990],[],[995],[],0
922,每次受到攻击 增加5%的攻击力 持续5S（上限5层）,3,2,5000,0,[],[],0,3,1,-1,0,1,1,[1],Is_HasBuffTarget(),,,,[991],[],[996],[],0
922,每次受到攻击 增加5%的攻击力 持续5S（上限5层）,3,3,5000,0,[],[],0,3,1,-1,0,1,1,[1],Is_HasBuffTarget(),,,,[992],[],[997],[],0
922,每次受到攻击 增加5%的攻击力 持续5S（上限5层）,3,4,5000,0,[],[],0,3,1,-1,0,1,1,[1],Is_HasBuffTarget(),,,,[993],[],[998],[],0
922,每次受到攻击 增加5%的攻击力 持续5S（上限5层）,3,5,5000,0,[],[],0,3,1,-1,0,1,1,[1],Is_HasBuffTarget(),,,,[994],[],[999],[],0
925,狂热 缓慢掉血持续增加攻速,3,1,-1,0,[],[],0,3,1,-1,5000,-1,1,[5000],Is_HasBuffTarget(),,,,[925],[],[],[],0
926,不洁 缓慢掉血持续增加最大生命值,3,1,-1,0,[],[],0,3,1,-1,5000,-1,1,[5000],Is_HasBuffTarget(),,,,[926],[],[],[],0
927,憎恨 缓慢掉血增加移速,3,1,-1,0,[],[],0,3,1,-1,5000,-1,1,[5000],Is_HasBuffTarget(),,,,[927],[],[],[],0
928,转生 死亡后有概率半血复活 标示buff,3,1,-1,0,[],[],0,3,1,-1,1,1,1,[1],Is_HasBuffTarget(),,,,[],[],[40008+42],[40008+42],0
929,半血复活 标示buff,3,1,-1,0,[],[],0,3,1,-1,0,0,1,[0],,,,,[],[],[],[],0
937,忍耐 每5秒回复100%物理攻击的生命,3,1,-1,0,[],[],0,3,1,28,0,-1,1,[5000],Is_HasBuffTarget(),,,,[940],[],[],[],0
938,降临 出场带护盾,3,1,-1,0,[940],[],0,3,1,-1,0,1,1,[1],Is_HasBuffTarget(),,,,[941],[],[],[],0
939,护盾监听,3,1,-1,0,[],[5],0,2,1,-1,0,1,9,[1],Is_HasBuffTarget(),,,,[942],[],[],[],0
940,护盾爆开,3,1,1000,0,[],[6],0,2,1,-1,0,1,1,[1],,,,,[],[],[],[],0
941,格挡安全锁1,1,1,-1,0,[944],[],0,3,1,-1,0,1,1,[100],Is_HasBuffTarget(),,,,[943],[],[],[],0
942,格挡安全锁2,3,1,-1,0,[],[],0,3,1,-1,0,1,2,[1],Is_HasBuffTarget(),,,,[899],[],[],[],0
943,格挡 有概率抵消1次伤害,1,1,-1,0,[],[],0,3,1,-1,0,1,12,[1],Is_HasBuffTarget(),Is_Random(20),,,[],[],[],[],899
944,有概率抵消1次伤害,1,1,-1,0,[943],[],0,3,1,-1,0,1,12,[1],Is_HasBuffTarget(),,,,[944],[],[],[],0
945,复仇 75%血量越少攻速越快,3,1,-1,0,[946],[60],0,3,1,945,0,-1,1,[3000],Is_HasBuffTarget(),,,,[945],[],[],[],0
946,50%血量越少攻速越快,3,1,-1,0,[947],[60],0,3,1,946,0,-1,1,[3000],Is_HasBuffTarget(),,,,[946],[],[],[],0
947,25%血量越少攻速越快,3,1,-1,0,[],[60],0,3,1,947,0,-1,1,[3000],Is_HasBuffTarget(),,,,[947],[],[],[],0
948,血刃 攻击附带敌方当前生命值百分比真实伤害 ,3,1,-1,0,[],[],0,3,1,11,0,-1,13,[2],Is_HasBuffTarget(),,,,[948],[],[],[],0
950,+2S攻速,3,1,2000,0,[],[9],0,3,1,-1,0,0,1,[1],Is_HasBuffTarget(),,,,[],[],[951],[],0
953,100%闪避2S,3,1,10000,0,[957],[],0,3,1,-1,0,1,1,[2000],Is_HasBuffTarget(),,,,[953],[],[],[],0
954,弱点 攻击大幅度削减霸体值 ,3,1,-1,0,[],[],0,3,1,11,0,-1,13,[2],Is_HasBuffTarget(),,,,[954],[954],[],[],0
955,速攻 首次攻击后+2S攻速,3,1,-1,0,[950],[],0,3,1,-1,0,1,13,[2],Is_HasBuffTarget(),,,,[955],[],[],[],0
956,本能 首次攻击后2S内受的伤害减半,3,1,-1,0,[959],[],0,3,1,-1,0,1,13,[2],Is_HasBuffTarget(),,,,[956],[],[],[],0
957,灵感 受击100%闪避2S CD10S,3,1,-1,0,[953],[],0,3,1,-1,0,1,12,[1],Is_HasBuffTarget(),,,,[957],[],[],[],0
958,斩首 普攻对召唤师造成50%伤害,3,1,-1,0,[],[],0,3,1,11,0,-1,13,[2],Is_HasBuffTarget(),,,,[],[958],[],[],0
959,2S内受的伤害减半,3,1,2000,0,[],[34],0,3,1,-1,0,0,1,[1],Is_HasBuffTarget(),,,,[],[],[959],[],0
966,提升5S暴击率30%(10SCD),3,1,10000,0,[967],[61],0,3,1,-1,0,1,1,[5000],Is_HasBuffTarget(),,,,[966],[],[],[],0
967,重箭 普通攻击时20%概率提升5S暴击率30%(10SCD),3,1,-1,0,[966],[],0,3,1,-1,0,1,13,[1],Is_HasBuffTarget(),Is_Random(20),,,[967],[],[],[],0
968,连击 普通攻击有20%提升5S攻击速度40%（10SCD）,3,1,-1,0,[969],[],0,3,1,-1,0,1,13,[1],Is_HasBuffTarget(),Is_Random(20),,,[968],[],[],[],0
969,提升5S攻击速度40%（10SCD）,3,1,10000,0,[968],[61],0,3,1,-1,0,1,1,[5000],Is_HasBuffTarget(),,,,[969],[],[],[],0
973,充分 第一次施法无需吟唱,3,1,1000,0,[],[],0,3,1,-1,0,1,1,[1],Is_HasBuffTarget(),,,,[980],[],[],[],0
977,意志 吟唱回血,3,1,-1,0,[],[],0,3,1,977,0,-1,1,[1000],Is_HasBuffTarget(),,,,[981],[],[],[],0
978,呢喃 移动时可以缓慢进行魔法吟唱,3,1,-1,0,[],[],0,3,1,978,0,-1,1,[2000],Is_HasBuffTarget(),,,,[982],[],[],[],0
981,知识失效,3,1,-1,0,[],[],0,3,1,2,0,2,2,[],Is_HasBuffTarget(),,,,[],[],[],[],983
982,抑制失效,3,1,-1,0,[],[],0,3,1,3,0,2,2,[],Is_HasBuffTarget(),,,,[],[],[],[],984
983,研究 持续缓慢增加护甲,3,1,-1,0,[],[],0,3,1,-1,0,-1,1,[5000],Is_HasBuffTarget(),,,,[983],[],[],[],0
984,学习 持续缓慢增加魔抗,3,1,-1,0,[],[],0,3,1,-1,0,-1,1,[5000],Is_HasBuffTarget(),,,,[984],[],[],[],0
985,知识 在场时 己方所有卡牌的水晶消耗减少3%,3,1,1000,0,[],[],0,3,1,2,0,1,1,[1],Is_HasBuffTarget(),,,,[],[],[],[],985
986,抑制 在场时 敌方所有卡牌的水晶消耗增加2%,3,1,1000,0,[],[],0,3,1,3,0,1,1,[1],Is_HasBuffTarget(),,,,[],[],[],[],986
987,奉献 出场给召唤师回一次血 ,3,1,-1,0,[],[],0,3,1,2,0,1,1,[1],Is_HasBuffTarget(),,,,[],[],[],[],987
988,召唤师回一次血 ,3,1,3000,0,[],[10903],0,2,1,-1,0,1,1,[1],Is_HasBuffTarget(),,,,[],[988],[],[],0
989,己方所有卡牌的水晶消耗减少3%,3,1,-1,0,[],[],0,3,1,2,0,1,1,[1],Is_HasBuffTarget(),,,,[],[935],[],[960],0
989,己方所有卡牌的水晶消耗减少3%,3,2,-1,0,[],[],0,3,1,2,0,1,1,[1],Is_HasBuffTarget(),,,,[],[936],[],[961],0
989,己方所有卡牌的水晶消耗减少3%,3,3,-1,0,[],[],0,3,1,2,0,1,1,[1],Is_HasBuffTarget(),,,,[],[937],[],[962],0
989,己方所有卡牌的水晶消耗减少3%,3,4,-1,0,[],[],0,3,1,2,0,1,1,[1],Is_HasBuffTarget(),,,,[],[938],[],[963],0
989,己方所有卡牌的水晶消耗减少3%,3,5,-1,0,[],[],0,3,1,2,0,1,1,[1],Is_HasBuffTarget(),,,,[],[939],[],[964],0
990,敌方所有卡牌的水晶消耗增加2%,3,1,-1,0,[],[],0,3,1,2,0,1,1,[1],Is_HasBuffTarget(),,,,[],[970],[],[975],0
990,敌方所有卡牌的水晶消耗增加2%,3,2,-1,0,[],[],0,3,1,2,0,1,1,[1],Is_HasBuffTarget(),,,,[],[971],[],[976],0
990,敌方所有卡牌的水晶消耗增加2%,3,3,-1,0,[],[],0,3,1,2,0,1,1,[1],Is_HasBuffTarget(),,,,[],[972],[],[977],0
990,敌方所有卡牌的水晶消耗增加2%,3,4,-1,0,[],[],0,3,1,2,0,1,1,[1],Is_HasBuffTarget(),,,,[],[973],[],[978],0
990,敌方所有卡牌的水晶消耗增加2%,3,5,-1,0,[],[],0,3,1,2,0,1,1,[1],Is_HasBuffTarget(),,,,[],[974],[],[979],0
1000,火球燃烧,2,1,8000,0,[],[10],0,3,1,-1,1,-1,1,[1000],Is_HasBuffTarget(),,,,[1004],[1074],[],[],0
1001,火雨燃烧,2,1,8000,0,[],[10],0,3,1,-1,1,-1,1,[1000],Is_HasBuffTarget(),,,,[1005],[1075],[],[],0
1002,火龙燃烧,2,1,8000,0,[],[10],0,3,1,-1,1,-1,1,[1000],Is_HasBuffTarget(),,,,[1006],[1076],[],[],0
1050,魔攻结算,1,1,-1,0,[],[],0,3,1,-1,5,1,1,[100],Is_HasBuffTarget(),,,,[1000],[],[],[],0
1060,魔攻光环,3,1,-1,0,[],[30],0,3,1,1050,5,-1,1,[1500],Is_HasBuffTarget(),,,,[],[],[],[],1000
1100,回蓝光环,3,1,-1,0,[],[],0,3,1,1150,5,-1,1,[1500],Is_HasBuffTarget(),,,,[],[],[],[],1100
1101,冰弹范围减速搜索,3,1,2000,0,[],[],0,3,1,1102,1,1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],1111
1102,冰弹减速效果与结算,2,1,9000,0,[],[11],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[1102],[1102],[1104],[1104],0
1103,暴风雪命中,3,1,3000,0,[],[1102],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],0
1111,冰弹范围减速,2,1,5000,0,[],[11],0,3,1,-1,1,1,1,[5],Is_HasBuffTarget(),,,,[1102],[1102],[1104],[1104],0
1150,回蓝结算,1,1,-1,0,[],[],0,3,1,-1,5,1,1,[100],Is_HasBuffTarget(),,,,[1100],[],[],[],0
1160,冰盾对自身,3,1,-1,0,[],[1161],0,3,1,-1,5,1,1,[5],Is_HasBuffTarget(),,,,[1160],[1160],[],[],0
1161,冰盾范围减速,3,1,-1,0,[],[],0,3,1,1160,5,-1,1,[1000],Is_HasBuffTarget(),,,,[],[],[],[],1161
1162,冰盾破盾,3,1,-1,0,[],[],0,3,1,-1,5,1,9,[5],Is_HasBuffTarget(),,,,[],[],[],[],1162
1163,冰盾爆炸,3,1,3000,0,[],[1162],0,3,1,1163,400,1,1,[400],Is_HasBuffTarget(),,,,[1163],[],[],[],0
1200,刺客光环,3,1,-1,0,[],[32],0,3,1,1250,5,-1,1,[1500],Is_HasBuffTarget(),,,,[],[],[],[],1200
1201,刺客技能1召唤分身,3,1,2210,0,[],[],0,3,1,-1,100,1,1,[5],Is_HasBuffTarget(),Is_HasSkillPoint(1*450*0),,,[],[],[],[],1201
1202,刺客技能2受击特效与结算,3,1,3000,0,[],[],0,3,1,-1,2200,1,1,[5],Is_HasBuffTarget(),,,,[1202],[],[],[],0
1212,刺客技能2定身特效,3,1,2000,0,[],[2],0,3,1,-1,200,1,1,[5],Is_HasBuffTarget(),,,,[1212],[],[],[],0
1216,刺客技能3受击特效与结算6,3,1,3800,0,[],[1236],0,3,1,-1,1,7,1,[200],Is_HasBuffTarget(),,,,[],[1203],[],[],0
1217,技能3最后一击,3,1,3800,0,[],[],0,3,1,-1,3000,1,1,[5],Is_HasBuffTarget(),,,,[],[1204],[],[1205],0
1222,刺客技能2受击特效与结算,3,1,3000,0,[],[],0,3,1,-1,100,1,1,[5],Is_HasBuffTarget(),,,,[],[],[],[],1209
1250,光环结算对影刺客,3,1,-1,0,[],[],0,3,1,-1,5,1,1,[100],Is_HasBuffTarget(),,,,[1200],[],[],[],0
1260,标记刺客,3,1,-1,0,[],[],0,3,1,1260,5,-1,1,[100],Is_HasBuffTarget(),,,,[],[],[],[],1260
1261,刺客给召唤师加计数,3,1,-1,0,[],[],0,3,1,-2,5,1,1,[100],Is_HasBuffTarget(),,,,[],[],[],[],1261
1262,召唤影子计数1,3,1,-1,0,[],[],0,3,1,-1,5,1,1,[100],Is_HasBuffTarget(),,,,[],[],[],[],0
1262,召唤影子计数2,3,2,-1,0,[],[],0,3,1,-1,5,1,1,[100],Is_HasBuffTarget(),,,,[],[],[],[],0
1262,召唤影子计数3,3,3,-1,0,[],[],0,3,1,-1,5,1,1,[100],Is_HasBuffTarget(),,,,[],[],[],[],0
1263,召唤影刺客,3,1,800,0,[],[1290],0,3,1,-1,600,1,1,[100],Is_HasBuffTarget(),Is_HasSkillPoint(1*300*0),,,[],[],[],[],1263
1264,影刺客标记buff,3,1,-1,0,[],[],0,3,1,-1,0,0,1,[5],,,,,[],[],[],[],0
1300,坚韧光环,3,1,-1,0,[],[],0,3,1,1300,5,-1,1,[1500],Is_HasBuffTarget(),,,,[],[],[],[],1300
1301,坚韧光环结算,3,1,-1,0,[],[],0,3,1,-1,1,1,1,[1],Is_HasBuffTarget(),,,,[1300],[],[],[],0
1302,传送门召唤标示,3,1,15000,0,[],[],0,3,1,-1,5,1,1,[1000],,,,,[],[],[],[],0
