技能ID,技能描述,技能释放类型,选位置施放技能范围,技能解锁类型,技能解锁参数,技能可否被打断,技能CD,默认技能CD百分比,技能消耗类型,技能消耗参数,技能循环次数,单次循环时间,对技能目标发射子弹序列,首次发射子弹时间,子弹序列内间隔时间,对技能目标添加Buff序列,对技能目标点发射子弹序列,首次发射子弹时间,子弹序列内间隔时间,在技能目标点召唤序列,子弹发射速率,技能名字语言包,技能消耗描述1,技能描述语言包,技能图标,状态跳转,技能消耗描述2,战斗技能图标
1105,冰法暴风雪技能3+2,0,0,0,0,0,7900,1,0,0,5,1000,[],0,5,[],[1122+1123+1124+1125+1126+1127],100,100,[],1,,,,,,,
1106,冰法暴风雪技能3+2,0,0,0,0,0,7900,1,0,0,5,1000,[],0,5,[],[1132+1133+1134+1135+1136+1137],300,100,[],1,,,,,,,
1107,冰法暴风雪技能3+2,0,0,0,0,0,7900,1,0,0,5,1000,[],0,5,[],[1142+1143+1144+1145+1146+1147],0,100,[],1,,,,,,,
1108,冰法暴风雪技能3,0,0,0,0,0,7900,1,1,0,5,1000,[],0,5,[],[1102+1103+1104+1105+1106+1107],0,100,[],1,,,,,,,
1111,冰弹范围减速,0,0,0,0,0,0,1,0,0,1,100,[],0,5,[1111+1],[],5,50,[],0,,,,,,,
1149,巨冰碎裂结算,0,0,0,0,0,8000,1,0,0,1,8000,[1149],200,5,[],[],0,0,[],0,,,,,,,
1161,冰盾减速,0,0,0,0,0,500,1,0,0,1,600,[],0,5,[2+1]*[4+1],[],5,50,[],0,,,,,,,
1162,冰盾破盾,0,0,0,0,0,500,1,0,0,1,600,[],0,5,[1163+1]*[1161+-1]*[1160+-1],[],5,50,[],0,,,,,,,
1166,光环显示用,0,0,0,0,0,0,1,0,0,1,600,[],0,5,[],[],0,0,[],0,2001110,,2001120,1100_Skill1_Icon.png,,,1100_Skill1_Icon_c.png
1200,刺客信条光环,0,0,0,0,0,100,0,0,0,1,100,[],0,5,[1250+1],[],5,50,[],0,,,,,,,
1201,刺客少年技能1,0,0,1,0,0,1900,1,0,0,1,1000,[],0,5,[],[],0,0,[300002],1,,,,,,,
1204,刺客少年技能2斩杀,1,0,1,3,0,28000,1,1,0,1,2000,[],0,5,[],[],5,1,[],1,2001212,2000022,2001222,1200_PlayerSkill2_Icon.png,SkillStatus_32,,1200_PlayerSkill2_Icon_c.png
1205,刺客少年技能3刺杀,1,0,1,4,0,67000,1,1,0,1,7400,[],0,5,[],[1203],1900,1,[],1,2001213,2000023,2001223,1200_PlayerSkill3_Icon.png,SkillStatus_33,,1200_PlayerSkill3_Icon_c.png
1206,刺客少年技能1分身,1,0,1,2,0,22000,1,1,0,1,1200,[],0,5,[],[],5,1,[],1,2001211,2000021,2001221,1200_PlayerSkill1_Icon.png,SkillStatus_31,,1200_PlayerSkill1_Icon_c.png
1208,刺客少年技能2驱动,0,0,0,0,0,1900,1,0,0,1,2000,[],0,5,[1202+1]*[1212+1]*[1222+1],[],5,1,[],1,,,,,,,
1209,刺客2技能,0,0,0,0,0,2100,1,0,0,1,2000,[1209],100,5,[],[],0,0,[],0,,,,,,,
1211,分身攻击1,0,0,0,0,1,1,0,0,0,1,2500,[1211],500,5,[],[],0,0,[],1,,,,,FightStatus_5,,
1212,分身攻击2,0,0,0,0,1,1,0,0,0,1,2500,[1212],200,5,[],[],0,0,[],1,,,,,SkillStatus_31,,
1213,分身攻击3,0,0,0,0,1,1,0,0,0,1,2500,[1213],200,5,[],[],0,0,[],1,,,,,SkillStatus_32,,
1214,分身攻击4,0,0,0,0,1,1,0,0,0,1,2500,[1214],400,5,[],[],0,0,[],1,,,,,SkillStatus_33,,
1260,标记刺客,0,0,0,0,0,200,1,0,0,1,200,[],0,5,[1261+1],[],5,50,[],0,,,,,,,
1261,刺客给召唤师加计数,0,0,0,0,0,200,1,0,0,1,200,[],0,5,[1262+1],[],5,50,[],0,,,,,,,
1263,召唤影刺客,0,0,1,0,0,1200,1,0,0,1,1000,[],0,5,[],[],0,0,[300011],1,,,,,,,
1266,光环显示用,0,0,0,0,0,0,1,0,0,1,600,[],0,5,[],[],0,0,[],0,2001210,,2001220,1200_Skill1_Icon.png,,,1200_Skill1_Icon_c.png
1300,坚韧光环,0,0,0,0,0,0,0,0,0,1,0,[],0,0,[1301+1],[],0,0,[],0,,,,,,,
1301,精灵之光,2,600,1,2,0,17000,1,1,0,1,3000,[],0,5,[],[1301],400,0,[],1,2001311,2000031,2001321,1300_PlayerSkill1_Icon.png,SkillStatus_31,,1300_PlayerSkill1_Icon_c.png
1302,召唤传送门,2,200,1,3,0,26000,1,1,0,1,4200,[],0,5,[],[],0,0,[300003],0,2001312,2000032,2001322,1300_PlayerSkill2_Icon.png,SkillStatus_32,,1300_PlayerSkill2_Icon_c.png
1303,传送怪物1,0,0,0,0,0,10000,1,0,0,1,10000,[],0,5,[],[],0,0,[300004],0,,,,,,,
1304,传送怪物2,0,0,0,0,0,10000,1,0,0,1,10000,[],0,5,[],[],0,0,[300005],0,,,,,,,
1305,传送怪物3,0,0,0,0,0,10000,1,0,0,1,10000,[],0,5,[],[],0,0,[300006],0,,,,,,,
1306,召唤巨熊前身,2,2,1,4,0,48000,1,1,0,1,2400,[],0,5,[],[],0,0,[300008],0,2001313,2000033,2001323,1300_PlayerSkill3_Icon.png,SkillStatus_33,,1300_PlayerSkill3_Icon_c.png
1307,召唤巨熊,0,0,0,0,0,2000,1,0,0,1,2000,[],0,5,[],[],0,0,[300007],0,,,,,,,
1308,回春术,0,0,0,0,0,7500,1,0,0,1,1000,[1308],50,5,[],[],0,0,[],1,,,,,SkillStatus_31,,
1321,艾丽卡熊攻击1,0,0,0,0,1,3500,1,0,0,1,3500,[],0,0,[],[1321],750,0,[],1,,,,,SkillStatus_31,,
1322,艾丽卡熊攻击2,0,0,0,0,1,3500,1,0,0,1,3500,[],0,0,[],[1322],750,0,[],1,,,,,SkillStatus_32,,
1323,艾丽卡熊攻击3,0,0,0,0,1,3500,1,0,0,1,3500,[],0,0,[],[1323],750,0,[],1,,,,,SkillStatus_33,,
1366,光环显示用,0,0,0,0,0,0,1,0,0,1,600,[],0,5,[],[],0,0,[],0,2001310,,2001320,1300_Skill1_Icon.png,,,1300_Skill1_Icon_c.png
1400,闪电光环,0,0,0,0,0,100,0,0,0,1,100,[],0,5,[1400+1],[],0,0,[],0,,,,,,,
1401,约修亚技能1,1,0,1,2,0,32000,1,1,0,1,3000,[],0,5,[],[1401+1403],1400,5,[],1,2001411,2000041,2001421,1400_PlayerSkill1_Icon.png,SkillStatus_31,,1400_PlayerSkill1_Icon_c.png
1402,闪电风暴技能3空状态,1,0,1,3,0,37000,1,1,0,1,4600,[],0,5,[],[],0,0,[],1,2001412,2000042,2001422,1400_PlayerSkill3_Icon.png,SkillStatus_33,,1400_PlayerSkill3_Icon_c.png
1403,闪电风暴,0,0,0,0,0,200,1,0,0,1,100,[],0,5,[1403+1]*[1400+1],[],0,0,[],0,,,,,,,
1410,大招1,1,0,1,4,0,84000,1,1,0,1,6000,[],0,5,[],[1405+1408],3800,5,[],0,2001413,2000043,2001423,1400_Skill1_Icon.png,SkillStatus_32,,1400_Skill1_Icon_c.png
1411,大招2,0,0,0,0,0,50000,1,0,0,1,6000,[],0,5,[],[1406+1407+1408],4600,5,[],0,,,,,,,
1412,三层持续伤害,0,0,0,0,0,1000,1,0,0,1,100,[],0,5,[1412+1],[],0,0,[],0,,,,,,,
1466,光环显示用,0,0,0,0,0,0,1,0,0,1,600,[],0,5,[],[],0,0,[],0,2001410,,2001420,1400_PlayerSkill2_Icon.png,,,1400_PlayerSkill2_Icon_c.png
1500,战魂光环,0,0,0,0,0,100,0,0,0,1,100,[],0,5,[1501+1],[],0,0,[],0,,,,,,,
1501,莱奥技能2,1,0,1,3,0,33000,1,1,0,1,4000,[],0,5,[],[],0,0,[],0,2001511,2000051,2001521,1500_PlayerSkill1_Icon.png,SkillStatus_32,,1500_PlayerSkill1_Icon_c.png
1502,技能1结算,0,0,0,0,0,8000,1,0,0,1,100,[],0,5,[1505+1]*[1506+1],[],0,0,[],0,,,,,,,
1503,技能1觉醒结算,0,0,0,0,0,8000,1,0,0,1,100,[],0,5,[1508+1]*[1509+1],[],0,0,[],0,,,,,,,
1504,莱奥进入技能1空状态,1,0,1,2,0,30500,1,1,0,1,4000,[],0,5,[],[],0,0,[],0,2001512,2000052,2001522,1500_PlayerSkill2_Icon.png,SkillStatus_35,,1500_PlayerSkill2_Icon_c.png
1505,小气流斩,0,0,0,0,0,3000,1,0,0,1,3500,[],0,0,[],[1504+1506+1506+1506+1503+1506+1506+1506+1506+1502+1506+1506+1506+1506+1506+1506+1506+1506+1506+1506+1506+1506+1506+1505],305,50,[],0,,,,,SkillStatus_36,,
1506,大气流斩,0,0,0,0,0,5000,1,0,0,1,5500,[],0,0,[],[1504+1506+1506+1506+1503+1506+1506+1506+1506+1507+1506+1506+1506+1506+1508+1506+1506+1506+1502+1506+1506+1506+1506+1506+1506+1506+1506+1506+1506+1506+1506+1506+1505],305,50,[],0,,,,,SkillStatus_37,,
1507,觉醒,1,0,1,4,0,67000,1,1,0,1,2000,[],0,5,[],[],0,0,[],0,2001513,2000053,2001523,1500_PlayerSkill3_Icon.png,SkillStatus_38,,1500_PlayerSkill3_Icon_c.png
1508,连击1,0,0,0,0,0,0,1,0,0,1,1000,[1509+1511],400,300,[],[],0,0,[],1,,,,,SkillStatus_41,,
1509,连击2,0,0,0,0,0,0,1,0,0,1,1400,[1501+1512],200,550,[],[],0,0,[],1,,,,,,,
1510,连击3,0,0,0,0,0,0,1,0,0,1,4400,[1513+1510],300,1300,[],[],0,0,[],0,,,,,,,
1511,普攻,0,0,0,0,1,1200,1,0,0,1,1000,[1521+1522],400,300,[],[],0,0,[],1,,,,,FightStatus_5,,
1566,光环显示用,0,0,0,0,0,0,1,0,0,1,600,[],0,5,[],[],0,0,[],0,2001510,,2001520,1500_Skill1_Icon.png,,,1500_Skill1_Icon_c.png
1600,战意光环,0,0,0,0,0,100,0,0,0,1,100,[],0,5,[1650+1],[],0,0,[],0,,,,,,,
1601,圣光大宝剑,2,800,1,2,0,13000,1,1,0,1,2400,[],0,5,[],[1603],1500,0,[],0,2001611,2000061,2001621,1600_PlayerSkill2_Icon.png,SkillStatus_32,,1600_PlayerSkill2_Icon_c.png
1602,圣光领域,2,800,1,3,0,28000,1,1,0,1,2000,[],0,5,[],[1601+1602],200,5,[],0,2001612,2000062,2001622,1600_PlayerSkill1_Icon.png,SkillStatus_31,,1600_PlayerSkill1_Icon_c.png
1603,圣光审判真,1,0,1,4,0,78000,1,1,0,1,7000,[],0,5,[],[],0,0,[],0,2001613,2000063,2001623,1600_PlayerSkill3_Icon.png,SkillStatus_33,,1600_PlayerSkill3_Icon_c.png
1604,圣光审判,0,0,0,0,0,75000,1,0,0,3,1000,[],0,5,[],[1604+1605+1606+1604+1605+1606],100,200,[],0,,,,,,,
1666,光环显示用,0,0,0,0,0,0,1,0,0,1,600,[],0,5,[],[],0,0,[],0,2001610,,2001620,1600_Skill1_Icon.png,,,1600_Skill1_Icon_c.png
10001,勇士普通攻击1,0,0,0,0,1,0,0,0,0,1,470,[10000],400,5,[],[],0,0,[],1,,,,,FightStatus_5,,
10002,勇士普通攻击2,0,0,0,0,1,0,0,0,0,1,740,[10000],400,5,[],[],0,0,[],1,,,,,,,
10003,勇士跳劈（技能1）,0,0,0,0,1,12500,0,0,0,1,1360,[10000+10001],600,200,[],[],0,0,[],0,2010011,2010080,2010021,10000_Skill1_Icon.png,SkillStatus_33,,
10004,激励（技能2展示用）,0,0,0,0,1,0,0,0,0,1,5,[],5,5,[],[],0,0,[],0,2010012,,2010022,10000_Talent4_Icon.png,,,
10005,出场释放激励（通用技能）,0,0,0,0,0,30000,1,0,0,1,5,[],0,0,[10001+1],[],0,0,[],0,2010013,,2010023,10000_Talent4_Icon.png,,,
10006,死亡减一层激励（通用技能）,0,0,0,0,0,30000,1,0,0,1,5,[],0,0,[10001+-1]*[10004+-1],[],0,0,[],0,,,,,,,
10007,勇士战斗欲望（装备技能展示用）,0,0,0,0,1,0,0,0,0,1,5,[],0,0,[],[],0,0,[],0,2010014,,2010024,10000_Talent3_Icon.png,,,
10008,给召唤师添加15层标识,0,0,0,0,0,0,1,0,0,1,5,[],0,0,[10004+1],[],0,0,[],0,,,,,,,
10200,火枪手普通攻击,0,0,0,0,1,0,0,0,0,1,2000,[],0,0,[],[10200],667,5,[],1,,,,,FightStatus_5,,
10201,加农炮（技能1）,0,0,0,0,1,1000,1,0,0,1,3100,[],0,0,[10206+1],[10201],2300,0,[],0,2010211,,2010221,10200_Skill1_Icon.png,SkillStatus_31,,
10301,盗贼3连,0,0,0,0,1,0,0,0,0,1,1200,[10301+10302+10303],100,400,[],[],0,0,[],1,,,,,FightStatus_5,,
10302,盗贼3连我方加水晶,0,0,0,0,1,0,0,0,0,1,1200,[10305+10305+10305],100,400,[],[],0,0,[],1,,,,,,,
10303,盗贼3连敌方减水晶,0,0,0,0,1,0,0,0,0,1,1200,[10306+10306+10306],100,400,[],[],0,0,[],1,,,,,,,
10304,掠夺（技能1展示用）,0,0,0,0,1,0,0,0,0,1,5,[],0,0,[],[],0,0,[],0,2010311,,2010321,10300_Skill1_Icon.png,,,
10305,盗贼移速战吼（技能2）,0,0,0,0,0,4000,1,0,0,1,5,[],1,5,[10301+1],[],0,0,[],0,2010312,,2010322,10000_Talent2_Icon.png,,,
10306,盗贼飞腿,0,0,0,0,1,0,0,0,0,1,600,[10304],200,5,[],[],0,0,[],1,,,,,,,
10307,盗贼飞腿我方加水晶,0,0,0,0,1,0,0,0,0,1,600,[10305],200,5,[],[],0,0,[],1,,,,,,,
10308,盗贼飞腿敌方减水晶,0,0,0,0,1,0,0,0,0,1,600,[10306],200,5,[],[],0,0,[],1,,,,,,,
10401,铁匠普通攻击,0,0,0,0,1,0,0,0,0,1,1600,[10401],1500,5,[],[],0,0,[],1,,,,,FightStatus_5,,
10402,铁匠加护盾（技能1）,0,0,0,0,1,15000,1,0,0,1,1100,[],50,5,[10401+1]*[10402+1],[],0,0,[],0,2010411,2010480,2010421,10400_Skill1_Icon.png,SkillStatus_31,,
10403,铁匠护盾失效,0,0,0,0,1,100,0,0,0,1,50,[],5,5,[10403+-1]*[10401+-1],[],0,0,[],0,,,,,,,
10501,攻击1（物理）,0,0,0,0,1,0,1,0,0,1,1433,[10500],500,5,[],[],0,0,[],1,,,,,SkillStatus_41,,
10502,攻击2（物理）,0,0,0,0,1,0,1,0,0,1,2500,[10500+10500+10500+10500],500,350,[],[],0,0,[],1,,,,,SkillStatus_42,,
10503,攻击1（魔法）,0,0,0,0,1,0,1,0,0,1,1433,[10501],400,5,[],[],0,0,[],1,,,,,,,
10504,攻击2（魔法）,0,0,0,0,1,0,1,0,0,1,2500,[10501+10501+10501+10501],400,350,[],[],0,0,[],1,,,,,,,
10505,魔剑（技能1展示用）,0,0,0,0,1,0,0,0,0,1,5,[],0,0,[],[],0,0,[],0,2010511,,2010521,10500_Skill1_Icon.png,,,
10506,封天锁地（技能3展示用）,0,0,0,0,1,0,0,0,0,1,5,[],0,0,[],[],0,0,[],0,2010513,,2010523,10500_Skill3_Icon.png,,,
10510,魔抗光环（技能2）,0,0,0,0,0,100,0,0,0,1,100,[],50,5,[10503+1],[],0,0,[],0,2010512,,2010522,10500_Skill2_Icon.png,,,
10601,维京人普攻,0,0,0,0,1,0,1,0,0,1,1000,[10601],100,5,[],[],0,0,[],1,,,,,SkillStatus_32,,
10602,维京人肉弹冲锋（技能1）,0,0,0,0,1,1,1,0,0,1,500,[10602],100,5,[],[],0,0,[],0,2010611,,2010621,10600_Skill1_Icon.png,SkillStatus_35,,
10604,有借有还（技能2）,0,0,0,0,1,0,1,0,0,1,1000,[10601],100,5,[10605+1],[],0,0,[],1,2010612,,2010622,10600_Skill2_Icon.png,SkillStatus_32,,
10701,火球术（技能1）,0,0,0,0,0,0,0,4,10000,1,1700,[],0,0,[],[10701+10702],800,200,[],2,2010711,2010780,2010721,10700_Skill1_Icon.png,SkillStatus_31,,
10702,火环（技能2）,0,0,0,0,0,4000,1,0,0,1,5,[],50,5,[10702+1],[],0,0,[],0,2010712,,2010722,10700_Skill2_Icon.png,,,
10900,牧师普通攻击,0,0,0,0,1,0,0,0,0,1,1000,[10900],550,5,[],[],0,0,[],1,,,,,FightStatus_5,,
10901,治疗（技能1）,0,0,0,0,0,0,0,0,0,1,1000,[10901],50,5,[],[],0,0,[],1,2010911,,2010921,10900_Skill1_Icon.png,,,
10903,回血光环（技能3）,0,0,0,0,0,100,0,0,0,1,100,[],50,5,[10902+1],[],0,0,[],0,2010913,,2010923,10900_Talent2_Icon.png,,,
10905,牧师战吼-最大生命值（技能2）,0,0,0,0,0,30000,1,0,0,1,5,[],1,5,[10905+1],[],0,0,[],0,2010912,,2010922,10000_Talent2_Icon.png,,,
11000,骑士普攻,0,0,0,0,1,0,0,0,0,1,1400,[11000],800,5,[],[],0,0,[],1,,,,,FightStatus_5,,
11001,冲锋撞击（技能1）,0,0,0,0,1,100,0,0,0,1,1300,[11001],300,5,[11005+1],[],0,0,[],1,2011011,,2011021,11000_Skill1_Icon.png,,,
11003,领袖释放（技能3）,0,0,0,0,1,30000,1,0,0,1,100,[11002],1,0,[],[],0,0,[],0,2011013,,2011023,11000_Talent4_Icon.png,,,
11004,圣骑士攻击战吼（技能2）,0,0,0,0,0,30000,1,0,0,1,5,[],1,5,[11003+1],[],0,0,[],0,2011012,,2011022,10000_Talent2_Icon.png,,,
11101,影舞者普通攻击1攻击2,0,0,0,0,1,0,0,0,0,1,1600,[11101+11102],500,300,[],[],0,0,[],1,,,,,SkillStatus_42,,
11102,影舞者普通攻击3,0,0,0,0,1,0,0,0,0,1,1600,[11103],300,0,[],[],0,0,[],1,,,,,SkillStatus_31,,
11103,刀扇（被动触发）（技能1）,0,0,0,0,1,1,0,0,0,1,700,[11104],350,0,[],[],0,0,[],0,2011111,,2011121,30800_Skill1_Icon.png,SkillStatus_32,,
11104,雾引之术（技能3）,0,0,0,0,1,30000,1,0,0,1,0,[],0,0,[11102+1],[],0,0,[],0,2011113,,2011123,30800_Skill3_Icon.png,,,
11105,影舞者偷水晶1（技能2）,0,0,0,0,1,0,0,0,0,1,500,[11105+11106],200,5,[],[],0,0,[],1,2011112,,2011122,30800_Skill2_Icon.png,,,
11106,影舞者偷水晶2,0,0,0,0,1,0,0,0,0,1,500,[11105+11106],200,5,[],[],0,0,[],1,,,,,,,
11201,盗贼小弟普通攻击1,0,0,0,0,1,1400,0,0,0,1,1200,[11200],300,5,[],[],0,0,[],1,,,,,SkillStatus_31,,
11202,盗贼小弟普通攻击2,0,0,0,0,1,0,0,0,0,1,1200,[11200],400,5,[],[],0,0,[],1,,,,,SkillStatus_32,,
11301,盗墓小弟普攻1,0,0,0,0,1,0,0,0,0,1,1500,[11301+11300],500,750,[],[],0,0,[],1,,,,,SkillStatus_31,,
11400,爆破工普通攻击,0,0,0,0,1,0,1,0,0,1,1400,[11400],750,5,[],[],0,0,[],1,,,,,SkillStatus_31,,
11401,爆破工死亡爆炸,0,0,0,0,1,0,1,0,0,1,1000,[],0,0,[11401+1],[],0,0,[],1,,,,,,,
11501,爆破工延时死亡爆炸击飞与伤害两个子弹,0,0,0,0,1,10000,1,0,0,1,5000,[],0,0,[],[11501+11502],5,5,[],0,,,,,,,
11601,黑衣刀手普通攻击1,0,0,0,0,1,1400,0,0,0,1,1200,[11600],500,5,[],[],0,0,[],1,,,,,SkillStatus_31,,
11602,黑衣刀手普通攻击2,0,0,0,0,1,0,0,0,0,1,1200,[11600],300,5,[],[],0,0,[],1,,,,,SkillStatus_32,,
11700,黑衣镖手普通攻击,0,0,0,0,1,0,0,0,0,1,1000,[11700],500,5,[],[],0,0,[],1,,,,,FightStatus_5,,
12000,防御姿态（技能1）,0,0,0,0,0,20000,1,0,0,1,400,[],5,5,[12000+1],[],0,0,[],1,2012011,2012080,2012021,12000_Skill1_Icon.png,SkillStatus_33,,
12001,盾妹普攻1,0,0,0,0,1,0,0,0,0,1,500,[12000],400,5,[],[],0,0,[],1,,,,,FightStatus_5,,
12002,盾妹普攻2,0,0,0,0,1,0,0,0,0,1,1100,[12000],500,5,[],[],0,0,[],1,,,,,,,
12003,盾妹战吼（技能2）,0,0,0,0,1,4000,1,0,0,1,5,[],5,5,[12002+1],[],0,0,[],0,2012012,,2012022,12000_Talent2_Icon.png,,,
20001,狼人普攻(连击1)(技能1),0,0,0,0,1,0,0,0,0,1,800,[20001+20002],200,500,[],[],0,0,[],1,2020011,,2020021,20000_Skill1_Icon.png,FightStatus_5,,
20002,狼人(技能2展示用),0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],[],0,0,[],1,2020012,,2020022,20000_Skill2_Icon.png,,,
20003,狼人怒意状态回能(技能3，回能通用),0,0,0,0,0,0,0,0,0,1,900,[20003],800,5,[],[],0,0,[],1,2020013,,2020023,20000_Skill3_Icon.png,SkillStatus_33,2020090,
20501,酋长踩踏(技能1),0,0,0,0,0,0,0,0,0,1,1300,[],0,0,[],[20501],400,0,[],0,2020511,2020580,2020521,20500_Skill1_Icon.png,,,
20502,酋长挥击(技能2),0,0,0,0,0,0,0,0,0,1,2300,[20502],1800,0,[],[],0,0,[],1,2020512,,2020522,20500_Skill2_Icon.png,,,
20503,回能技能(技能3展示用),0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],[],0,0,[],1,2020013,,2020023,20500_Skill3_Icon.png,,2020090,
20504,牛头普攻,0,0,0,0,1,0,0,0,0,1,1300,[20504],800,0,[],[],0,0,[],1,,,,,FightStatus_5,,
20505,战争践踏,0,0,0,0,0,10000,0,0,0,1,1300,[],0,0,[],[20505],400,0,[],0,,,,,SkillStatus_33,,
20901,投石车回能(技能3展示用),0,0,0,0,0,0,0,0,0,0,0,[],0,0,[],[],0,0,[],1,2020013,,2020023,20900_Skill3_Icon.png,SkillStatus_41,2020090,
20902,投石机燃烧弹(技能2),0,0,0,0,1,0,1,0,0,1,2300,[],0,0,[],[20910+20911],1200,0,[],1,2020912,,2020922,20900_Skill2_Icon.png,SkillStatus_41,,
20905,投石机普攻(技能1),0,0,0,0,1,0,0,0,0,1,2300,[],0,0,[],[20916],1200,0,[],1,2020911,,2020921,20900_Talent2_Icon.png,FightStatus_5,,
