 搜索ID,描述,列表选取,距离类型,距离参数,是否搜索死亡,身份条件,去掉自己,角色血量,角色职业,角色性别,角色是否是近战,角色种族,角色星级,角色Buff,角色ID,角色状态,搜索类型,指定条件排序,搜索的角色个数
30704,石巨人搜索巨人,0,2,0,0,[],1,[],[],[],0,[],[],[0+30706],,[],2,0,9999
30802,飞锚搜索,1,2,700,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
30804,龙卷风子弹搜索,1,2,420,0,[],1,[],[],[],0,[],[],[],[],[],1,2,9999
30902,滋养BUFF搜索,2,2,500,0,[1+1+4],1,[],[],[],0,[],[],[],,[],3,0,9999
40100,毒雾范围搜索僵尸,2,2,275,0,[],0,[],[],[],0,[],[],[0+40100],,[],2,0,9999
40101,毒雾范围搜索非亡灵,0,2,275,0,[],0,[],[],[],0,[1+2],[],[],,[],1,0,9999
40102,僵尸死亡搜索毒雾,0,2,100,0,[],0,[],[],[],0,[],[],[0+40103],[0+300301],[],3,2,1
40103,毒雾范围搜索亡灵,0,2,275,0,[1+1+4],0,[],[],[],0,[0+2],[],[],,[],2,0,9999
40105,毒雾范围搜索我方亡灵,2,2,275,0,[],0,[],[],[],0,[0+2],[],[],,[],2,0,9999
40201,诅咒子弹,1,2,20,0,[1+1+4],0,[],[],[],0,[1+4],[],[],,[],1,2,1
40301,魂爆搜索非召唤师敌人,1,2,300,0,[1+1+4],0,[],[],[],0,[1+4],[],[],,[],1,0,9999
40401,找场上己方骷髅,2,2,0,0,[],1,[],[],[],0,[],[],[0+401],,[],2,0,9999
40402,寻找范围内骷髅召唤师,2,2,0,0,[],1,[],[],[],0,[],[],[0+402],,[],2,0,9999
40403,灵魂火子弹搜索,2,2,150,0,[],0,[],[],[],0,[],[],[],,[],1,0,9999
40503,风吹雪子弹搜索,1,2,350,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
40506,冰天雪地搜索,1,2,300,0,[1+1+4],1,[],[],[],0,[1+4],[],[],,[],1,0,9999
40507,风吹雪子弹带诅咒搜索,1,2,350,0,[],1,[],[],[],0,[],[],[0+404],,[1+16],1,0,9999
40600,毒雾范围搜索屠夫,2,2,275,0,[],1,[],[],[],0,[],[],[0+40600],,[],2,0,9999
40601,疯砍AOE搜索,1,2,250,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
40700,毒雾范围搜索死亡骑士,2,2,275,0,[],1,[],[],[],0,[],[],[0+40700],,[],2,0,9999
40701,恐惧光环搜索,1,2,0,0,[],1,[],[],[],0,[],[],[],,[],2,0,9999
40803,巫妖黑暗法球,1,2,300,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
40806,摄魂搜索被诅咒的单位,1,2,300,0,[],0,[],[],[],0,[],[],[0+404],,[],1,0,9999
40901,血腥之鞭搜索,1,2,190,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
40903,秒杀诅咒子弹,1,1,300,0,[1+1+4],1,[],[],[],0,[],[],[0+404],,[],1,4,1
41001,毒雾喷吐子弹搜索,1,2,280,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
41002,黑寡妇搜索毒雾,2,2,570,0,[],0,[],[],[],0,[],[],[0+40103],[0+300304],[],3,2,1
91500,新手关卡莱奥搜索近身敌人,1,2,200,0,[1+1+4],0,[],[],[],0,[],[],[],,[],1,0,9999
100101,子弹双向100群体搜索,1,2,100,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
100102,元气弹2000群体搜索,0,1,2000,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
100103,新手关BOSS自杀搜索,1,1,0,0,[0+1+4],1,[0+20.0],[],[],0,[],[],[],,[],3,0,1
100104,艾丽卡治疗搜索,2,2,0,0,[1+1+4],1,[],[],[],0,[],[],[],,[],2,1,1
101804,盗墓老大普攻搜索,1,1,50,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
102200,庇护光环搜索,2,2,0,0,[1+1+4],1,[],[],[],0,[],[],[1+102202],[],[],3,0,9999
102203,圣光救赎,1,2,500,0,[1+1+4],1,[],[],[],0,[],[],[],[],[],1,0,9999
102204,攻击搜索,1,1,1000,0,[1+1+4],1,[],[],[],0,[],[],[],[],[],1,2,1
102501,蛛网束缚,1,2,1150,0,[1+1+4],1,[],[],[],0,[],[],[],[],[],1,0,9999
102502,坠落地刺,1,2,600,0,[1+1+4],1,[],[],[],0,[],[],[],[],[],1,0,9999
102802,1技能搜索,1,2,150,0,[1+1+4],1,[],[],[],0,[],[],[],[],[],2,0,9999
102804,闪电光环搜索,1,2,0,0,[1+1+4],1,[],[],[],0,[],[],[],[],[],1,4,1
102805,电弧爆炸搜索,0,2,400,0,[1+1+4],0,[],[],[],0,[],[],[],[],[],1,0,9999
102806,雷暴爆炸搜索,1,2,400,0,[1+1+4],1,[],[],[],0,[],[],[],[],[],1,0,9999
103101,闪避光环搜索,2,2,500,0,[],0,[],[],[],0,[],[],[1+103105],[],[],2,0,9999
103301,刺客信条光环搜索,2,2,500,0,[],0,[],[],[],0,[],[],[1+103302],[],[],2,0,9999
103403,吊灯搜索,0,2,360,0,[],1,[],[],[],0,[],[],[],[],[],1,0,9999
103701,全场回血光环搜索,2,2,0,0,[1+1+4],0,[0+99.9],[],[],0,[],[],[],[],[],2,0,9999
103901,狼人光环搜索,2,2,500,0,[],0,[],[],[],0,[],[],[1+103902],[],[],2,0,9999
104101,海巨人搜索敌方召唤师,1,1,-1,0,[0+1+4],1,[],[],[],0,[],[],[],[],[],1,2,1
104103,龙卷风子弹搜索,1,2,420,0,[],1,[],[],[],0,[],[],[],[],[],2,0,9999
104202,普攻击飞,1,2,150,0,[],1,[],[],[],0,[],[],[],[],[],2,0,999
104203,狂野践踏,1,2,0,0,[],1,[],[],[],0,[],[],[],[],[],1,0,9999
104301,石柱加标示,1,1,-2,0,[1+1+4],1,[],[],[],0,[],[],[0+104301],[],[],1,2,1
104302,石柱干标示,1,1,-2,0,[1+1+4],1,[],[],[],0,[],[],[0+104302],[],[],1,2,1
105401,加农炮群体搜索,2,2,300,0,[],0,[],[],[],0,[],[],,,[],2,0,9999
105402,停止流血监控,3,2,-1,1,[],0,[],[],[],0,[],[],,,[1+18],1,2,1
105601,近战找多个敌人,6,1,-1,0,[],0,[],[],[],0,[],[],,,[],1,0,9999
105602,冲锋撞击次级目标范围击飞,2,2,250,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
105603,普攻AOE子弹搜索,1,2,200,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
105702,307关找到己方牛头人,2,2,100,1,[1+1+4],0,[],[],[],0,[0+3],[],[],[0+220503],[],2,0,9999
105703,307关找到己小鹿,2,2,100,1,[1+1+4],0,[],[],[],0,[0+3],[],[],[0+230302],[],2,0,9999
105704,307关找到己方夜刃Boss,2,2,100,1,[0+1+4],0,[],[],[],0,[0+3],[],[],[],[],2,0,9999
105705,308关找到己方夜刃,2,2,100,1,[1+1+4],0,[],[],[],0,[0+3],[],[],[0+230502],[],2,0,9999
105706,308关找到己方精灵弓手Boss,2,2,100,1,[0+1+4],0,[],[],[],0,[0+3],[],[],[],[],2,0,9999
105707,308关找到己方石头人,2,2,100,1,[1+1+4],0,[],[],[],0,[0+3],[],[],[0+230703],[],2,0,9999
105708,308关找到己方牛头人Boss,2,2,100,1,[0+1+4],0,[],[0+1],[],0,[0+3],[],[1+105708],,[],2,0,9999
105801,敌方召唤师在1500范围内,1,2,1500,0,[0+1+4],0,[],[],[],0,[],[],[1+1503],,[],1,2,1
105901,搜索敌方英雄,1,1,2000,0,[0+1+4],0,[],[],[],0,[],[],[],,[],3,0,1
106001,310关找到经过黑暗深渊的所有己方士兵,2,2,300,1,[1+1+4],0,[],[],[],0,[],[],[],[1+301210]*[1+301211],[],1,0,9999
106002,310关找到刚要经过的敌人,1,1,500,1,[],0,[],[],[],0,[],[],[],,[],1,0,9999
106003,310关找到经过黑暗深渊的所有敌方士兵,1,2,300,1,[1+1+4],0,[],[],[],0,[],[],[],,[],1,0,9999
106004,313关找到经过嗜血之池的所有敌方士兵,1,2,200,1,[1+1+4],0,[],[],[],0,[],[],[],,[],1,0,9999
106005,毒雾范围搜索非亡灵敌人,1,2,275,0,[],1,[],[],[],0,[1+2],[],[],,[],1,0,9999
106101,风吹雪子弹搜索无诅咒非冰冻状态单位,1,2,350,0,[],1,[],[],[],0,[],[],[],,[1+16],1,0,9999
106102,风吹雪子弹搜索无诅咒冰冻状态单位,1,2,350,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
106103,搜索全场亡灵士兵,0,2,0,0,[1+1+4],1,[],[],[],0,[0+2],[],[],,[],1,0,9999
106104,搜索雪女Boss,5,2,0,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
106201,黑暗之力搜索被诅咒敌方单位,1,2,150,0,[],0,[],[],[],0,[],[],[0+404],,[],1,0,9999
106202,黑暗之力搜索敌方单位,1,2,150,0,[],0,[],[],[],0,[],[],[],,[],1,0,9999
106203,搜索泥潭,2,2,0,0,[],0,[],[],[],0,[],[],[],[0+301209],[],3,0,1
106204,搜索敌方英雄,1,1,450,0,[0+1+4],0,[0+55],[],[],0,[],[],[],,[],3,0,1
106501,生命之藤全场搜索,1,2,2000,0,[1+1+4],0,[],[],[],0,[],[],[1+106502],,[],1,0,9999
106502,生命之藤半场搜索,1,2,1000,0,[1+1+4],0,[],[],[],0,[],[],[1+106502],,[],1,0,9999
106503,角色找自己的生命之藤,1,2,5,0,[],0,[],[],[],0,[],[],[0+106512],,[],2,2,1
106504,角色找自己的魔化之藤,1,2,5,0,[],0,[],[],[],0,[],[],[0+106513],,[],2,2,1
106505,魔化之藤全场搜索,1,2,2000,0,[1+1+4],0,[],[],[],0,[],[],[1+106508],,[],1,0,9999
106506,魔化之藤半场搜索,1,2,1000,0,[1+1+4],0,[],[],[],0,[],[],[1+106508],,[],1,0,9999
106507,生命藤蔓搜索目标缩放大小,1,2,5,1,[],1,[],[],[],0,[],[],[0+106502],,[],2,2,1
106508,魔化藤蔓搜索目标缩放大小,1,2,5,1,[],1,[],[],[],0,[],[],[0+106506],,[],2,2,1
106509,树魔攻击搜索多个敌人,1,1,-1,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
106901,狼人搜索嗜血标记的敌人,1,1,-1,0,[],1,[],[],[],0,[],[],[0+106903],,[],1,4,1
106902,流血BUFF子弹搜索,1,2,50,0,[],1,[],[],[],0,[],[],[1+106902],,[],1,2,1
106903,搜索全场没有标记的友军,2,2,0,0,[1+1+4],1,[],[],[],0,[],[],[1+106905],,[],2,0,9999
106904,搜索全场没有狂暴BUFF的友军,2,2,0,0,[1+1+4],1,[],[],[],0,[],[],[1+106901],,[],2,0,9999
107201,传送门搜索BOSS,2,2,0,0,[0+1+4],0,[],[],[],0,[],[],[0+107216],,[],2,2,1
107202,传送门搜索BOSS,2,2,0,0,[0+1+4],0,[],[],[],0,[],[],[0+107212],,[],2,2,1
107203,牢笼石柱搜索牢笼,2,2,0,0,[],1,[],[],[],0,[],[],[0+107217],,[],3,2,1
107204,弓箭手子弹双向20搜索,1,2,20,0,[],1,[],[],[],0,[],[],[0+107217],,[],3,2,1
107401,搜索牢笼柱子,2,2,0,0,[],1,[],[],[],0,[],[],[],[0+301317],[],3,2,1
107402,搜索牢笼召唤物,2,2,0,0,[],1,[],[],[],0,[],[],[0+107226],[],[],3,0,9999
107403,全场找所有敌方士兵,1,2,0,0,[1+1+4],0,[],[],[],0,[],[],[],,[],1,0,9999
107801,飞铲搜索,1,1,800,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
107802,飞铲命中搜索,1,2,50,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
107803,尸气弹伤害结算搜索,1,2,150,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
107804,盗墓老大普攻搜索,1,1,50,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
108001,瘟疫全场搜索,1,1,0,0,[1+1+4],1,[],[],[],0,[],[],[],,[],1,0,9999
108002,僵尸搜索没有瘟疫的敌人,1,2,300,0,[1+1+4],1,[],[],[],0,[],[],[1+108008],,[],1,0,9999
108101,死亡骑士搜索全场亡灵士兵,0,2,0,0,[1+1+4],1,[],[],[],0,[0+2],[],[1+108102],,[],2,0,9999
108102,亡灵死亡聚魂死亡骑士,0,2,0,0,[],1,[],[],[],0,[],[],[0+108101],,[],1,0,9999
108301,子弹双向100群体搜索,1,2,100,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
108302,元气弹2000群体搜索,1,1,2000,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
108701,精灵弓箭手射手风暴搜索,2,2,0,0,[1+1+4],0,[],[0+3],[],0,[],[],[1+108702],,[],2,0,9999
108801,狂暴BUFF搜索全场,2,2,0,0,[1+1+4],0,[],[],[],0,[],[],[1+108803],,[],2,0,9999
109001,石头人捶地搜索,1,2,350,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
109301,全场敌方非亡灵士兵搜索,1,2,0,0,[1+1+4],0,[],[],[],0,[1+2],[],[1+109302],,[],1,0,9999
109302,疯砍AOE搜索,1,2,150,0,[],1,[],[],[],0,[],[],[],,[],1,0,9999
