,描述,动画文件,动画标签,动画生命周期,播放速率,是否循环,缩放,Zorder作用域,Zorder值,偏移量,色相饱和度明度,动画第1帧开始是否淡入,动画最后1帧是否淡出,音乐ID,播放速度影响因素
1160,冰盾出生,1160,1100_IceShield-Born1,0,1,0,[1.0+1.0],0,3,[0+0],[],0,0,0,0
1161,冰盾持续,1160,1100_IceShield-Stand1,0,0.9,1,[1.0+1.0],0,3,[0+0],[],0,0,0,0
1162,冰盾爆炸,1160,1100_IceShield-Death1,0,0.8,0,[1.0+1.0],0,3,[0+0],[],0,0,0,0
1190,冰法1技能特效,1106,1100_Skill1_Hit8,2580,1,1,[1.0+1.0],0,1,[0+0],[],0,100,0,0
1191,冰法2技能特效,1106,1100_Skill2_Hit8,2800,1,1,[1.0+1.0],0,1,[0+0],[],0,100,0,0
1192,冰法3技能特效,1106,1100_Skill3_Hit8,6200,1,1,[1.0+1.0],0,1,[0+0],[],0,100,0,0
1202,刺客3技能子弹,1202,1200_Skill3_Bullet,0,1.5,1,[1.0+1.0],0,3,[0+0],[],0,100,0,0
1203,刺客3技能子弹消失,1203,1200_Skill3_End,0,1.5,0,[1.0+1.0],0,3,[0+0],[],0,100,0,0
1204,刺客技能1分身特效,1201,Skill1,0,0.6,0,[0.9+0.9],1,2,[0+0],[],0,0,0,0
1220,刺客技能2攻击特效,1205,Skill2_Hit,0,1.2,0,[1.2+1.2],0,3,[-180+-60],[],0,0,0,0
1236,刺客技能3攻击特效,1201,Skill3_Hit6,0,0.7,0,[1.0+1.0],1,2,[0+0],[],0,0,0,0
1290,刺客1技能特效,1204,1200_Skill1_Hit8,1130,1,1,[1.0+1.0],0,1,[0+0],[],0,100,0,0
1291,刺客2技能特效,1204,1200_Skill2_Hit8,1330,1,1,[1.0+1.0],0,1,[0+0],[],0,100,0,0
1292,刺客3技能特效,1204,1200_Skill3_Hit8,800,1,1,[1.0+1.0],0,1,[0+0],[],0,100,0,0
1301,精灵之光,448,1300-Cure,0,1,1,[1.0+1.65],0,3,[0+850],[],0,0,0,0
1302,精灵之光命中,432,Tree_Cure,0,0.8,0,[1.0+1.0],0,0,[0+0],[],0,200,0,0
1303,2技能法阵,1302,1300_Skill2_Buff1,0,1,1,[1.2+0.6],0,-1,[0+0],[],0,200,0,0
1321,艾丽卡传送门出现,449,1300-Delivery1,0,1,0,[1.0+1.0],0,-1,[0+150],[],0,0,0,0
1322,艾丽卡传送门循环,449,1300-Delivery3,0,1,1,[1.0+1.0],0,-1,[0+150],[],0,0,0,0
1323,艾丽卡传送门消失,449,1300-Delivery2,0,1,0,[1.0+1.0],0,-1,[0+150],[],0,0,0,0
1324,艾丽卡熊普攻命中特效,426,Bear_hit,0,0.5,0,[1.0+1.0],1,1,[0+0],[],0,0,0,0
1325,艾丽卡熊出生特效,428,Exploded,0,0.8,0,[2.0+1.5],0,-1,[0+0],[],0,100,0,0
1326,艾丽卡熊攻击刀光1,402,Attack_Effect8,0,1,0,[1.0+1.0],0,1,[-80+0],[],0,0,0,0
1327,艾丽卡熊攻击刀光2,402,Attack_Effect9,0,1,0,[1.0+1.0],0,1,[0+0],[],0,0,0,0
1328,艾丽卡熊攻击刀光3,402,Attack_Effect10,0,1,0,[1.0+1.0],0,1,[-80+0],[],0,0,0,0
1390,艾丽卡1技能特效,1303,1300_Skill1_Hit8,3000,1,1,[1.0+1.0],0,1,[0+0],[],0,100,0,0
1391,艾丽卡2技能特效,1303,1300_Skill2_Hit8,4200,1,1,[1.0+1.0],0,1,[0+0],[],0,100,0,0
1401,电弧命中,1406,1400_Skill1_Hit,0,2,0,[1.0+0.3],0,1,[0+-50],[],0,100,[1403+0],0
1402,雷爆命中,1409,1400_Skill2_Hit,0,0.5,0,[3.0+0.6],0,1,[0+0],[],0,0,[1403+0],0
1403,雷暴子弹,1407,1400_Skill2_Bullet,0,1,1,[1.0+1.0],1,2,[20+30],[],0,100,0,0
1404,雷暴爆炸,1408,1400_Skill2_Bullet_Explosion,0,1,0,[2.0+1.0],0,0,[-80+60],[],0,100,0,0
1405,闪电风暴命中,1406,1400_Skill3_Hit,0,1,0,[1.0+1.5],0,1,[0+0],[],0,100,[1402+0],0
1406,闪电标记1层,1401,1400_LightingMark1,0,1,1,[0.9+0.9],0,1,[0+-60],[],0,100,0,0
1407,闪电标记2层,1401,1400_LightingMark2,0,1,1,[0.9+0.9],0,1,[0+-60],[],0,100,0,0
1408,闪电标记3层,1401,1400_LightingMark3,0,1,1,[0.9+0.9],0,1,[0+-60],[],0,100,0,0
1409,闪电标记命中,1409,1400_Skill2_Hit,0,0.5,0,[1.0+1.0],1,1,[60+20],[],0,0,0,0
1410,电弧子弹,1403,1400_Skill1_Bullet,0,1,1,[0.9+0.9],0,3,[0+-60],[],0,100,0,0
1421,大招子弹1,1410,1400_Skill5_Bullet1,0,1,1,[1.0+1.0],0,3,[0+50],[],0,100,0,0
1422,大招子弹2,1411,1400_Skill5_Bullet2,0,1,1,[1.0+1.0],0,3,[0+50],[],0,100,0,0
1490,约修亚1技能特效,1402,1400_Skill1_Hit8,2200,1,0,[1.0+1.0],0,1,[0+0],[],0,100,0,0
1492,约修亚3技能特效,1402,1400_Skill3_Hit8,800,1,0,[1.0+1.0],0,1,[0+0],[],0,100,0,0
1493,约修亚4技能特效,1402,1400_Skill4_Hit8,3060,1,0,[1.0+1.0],0,1,[0+0],[],0,100,0,0
1494,约修亚4技能特效地面,1402,1400_Skill5_Hit9,3060,1,0,[1.0+1.0],0,-1,[0+0],[],0,100,0,0
1495,约修亚大招,1402,1400_Skill6_Hit8,6000,1,0,[1.0+1.0],0,1,[0+40],[],0,100,0,0
1501,莱奥气流斩子弹1斜向,1502,1500_Skill2_Bullet1,0,1,1,[1.0+0.8],1,1,[23+15],[],0,100,0,0
1502,莱奥气流斩子弹2横向,1502,1500_Skill2_Bullet2,0,1,1,[1.0+1.0],1,1,[18+5],[],0,100,0,0
1503,莱奥气流斩子弹3正向,1502,1500_Skill2_Bullet3,0,1,1,[1.0+0.7],1,1,[23+15],[],0,100,0,0
1504,莱奥气流斩子弹4终结子弹,1503,1500_Skill2_Bullet2,0,1,1,[1.3+1.3],1,1,[55+20],[],0,100,0,0
1506,觉醒莱奥气流斩子弹1斜向,1502,1500_Skill2_Bullet1,0,1,1,[1.0+0.8],1,1,[63+15],[],0,100,0,0
1507,觉醒莱奥气流斩子弹3正向,1502,1500_Skill2_Bullet3,0,1,1,[1.0+0.7],1,1,[28+15],[],0,100,0,0
1508,双手重剑命中(被击点为基点),203,GeneralHitBuff,0,1,0,[1.8+1.8],0,1,[0+0],[],0,100,[1511+0],1
1509,气流斩子弹命中,424,Shooter_hit,0,1.6,0,[0.8+0.8],0,3,[0+5],[],0,0,[1508+0],0
1510,莱奥觉醒特效,404,Buff_Awaken,0,1,1,[0.8+1.0],0,1,[10+0],[],0,200,0,0
1511,普攻受击特效小,1505,Hit1,0,1,0,[1.0+1.0],0,1,[0+0],[],0,100,[1511+0],1
1512,普攻受击特效大,1505,Hit2,0,1,0,[1.0+1.0],0,1,[0+0],[],0,100,[1511+0],1
1513,莱奥变身最后一击刀光特效,1509,Attack1,0,1,0,[1.2+1.3],0,1000,[0+-20],[],0,100,0,1
1514,莱奥变身最后一击爆炸特效,1509,Attack2,0,1,0,[1.2+1.2],0,-1,[0+0],[],0,100,0,1
1515,莱奥普攻,1511,1500_Attack5,0,1,0,[1.0+1.0],0,-1,[0+0],[],0,100,0,1
1590,莱奥1技能特效,1506,1500_Skill1_Hit8,4800,1,1,[1.0+1.0],0,1,[0+0],[],0,100,0,1
1592,莱奥3技能特效,1506,1500_Skill3_Hit8,2550,1,1,[1.0+1.0],0,1,[0+0],[],0,100,0,0
1593,莱奥4技能特效,1506,1500_Skill4_Hit8,4800,1,1,[1.0+1.0],0,1,[0+0],[],0,100,0,1
1594,莱奥刀光1,1507,Attack1,0,1,0,[1.0+1.0],0,1,[0+0],[],0,0,0,1
1595,莱奥刀光2,1507,Attack2,0,1,0,[1.0+1.0],0,1,[0+0],[],0,0,0,1
1596,莱奥刀光3,1507,Attack3,0,1,0,[1.0+1.0],0,1,[0+0],[],0,0,0,0
1597,莱奥觉醒特效,1504,1500_Skill3,0,1,1,[1.0+1.0],0,1,[0+0],[],0,100,0,0
1598,莱奥end,1510,1500_end,3800,1,1,[1.0+1.0],0,1,[0+0],[],0,100,0,1
1601,罗迪亚克技能1,1601,1600_Skill1,0,1,0,[1.0+1.0],1,-1,[0+0],[],0,100,0,0
1602,罗迪亚克技能2,1602,Skill2,0,1,0,[1.0+1.0],1,1,[23+15],[],0,1000,0,0
1603,大招子弹,1603,1600_Skill3_Bullet1,0,1,1,[1.0+1.0],0,3,[0+0],[],0,0,0,0
1604,大招命中,1605,1600_Skill3_Hit1,0,1,0,[1.0+1.0],0,1,[0+0],[],0,100,[1607+0],0
1605,2技能地面,1606,1600_Skill2_d,0,1,0,[0.9+0.9],0,-100,[0+-10],[],0,1000,0,0
1690,罗迪亚克1技能特效,1604,1600_Skill1_Effect,2300,1,1,[1.0+1.0],0,1,[0+0],[],0,100,0,0
1691,罗迪亚克2技能特效,1607,1600_Skill2_Effect1,2500,1,1,[1.0+1.0],0,1,[0+0],[],0,100,0,0
1692,罗迪亚克3技能特效,1607,1600_Skill3_Effect1,7000,1,1,[1.0+1.0],0,-1,[0+0],[],0,100,0,0
10001,勇士普攻1刀光,10003,10000_Attack1,0,1,0,[2.0+2.0],0,1,[-100+0],[],0,0,0,1
10002,勇士普攻2刀光,10004,10000_Attack2,0,1,0,[2.0+2.0],0,1,[-70+0],[],0,0,0,1
10003,勇士技能1刀光,10005,10000_Skill1,0,1,0,[2.0+2.0],0,1,[-40+-10],[],0,0,0,1
10201,火枪普攻子弹,10204,10202_Attack1_Bullet1,0,1,1,[1.0+1.0],0,1,[60+20],[],0,0,0,0
10202,火枪加农炮子弹,10205,10202_Attack2_Bullet2,0,1,1,[1.0+1.0],0,1,[60+20],[],0,0,0,0
10203,普攻子弹命中,424,Shooter_hit,0,1.6,0,[0.8+0.8],0,3,[0+5],[],0,0,0,0
10204,加农炮子弹命中,424,Shooter_hit,0,1.6,0,[1.5+1.5],0,3,[0+5],[],0,0,[10205+100],0
10205,瞄准特效,425,Shooter_Aim,0,0.6,0,[0.8+0.8],0,3,[0+5],[],0,0,0,0
10206,加农炮刀光,10203,10200_Skill1_Effect1,0,1,0,[1.43+1.43],0,1,[0+0],[],0,0,0,0
10303,盗贼普攻3命中,10303,Attack_HitBuff,0,1,0,[1.0+1.0],0,3,[0+-30],[],0,0,0,1
10305,盗贼普攻1刀光,10304,10300_Attack1_Effect1,0,1,0,[1.67+1.67],0,1,[0+0],[],0,0,0,1
10306,盗贼普攻2刀光,10304,10300_Attack2_Effect1,0,1,0,[1.67+1.67],0,1,[0+0],[],0,0,0,1
10307,盗贼普攻3刀光,10304,10300_Attack3_Effect1,0,1,0,[1.67+1.67],0,1,[0+0],[],0,0,0,1
10308,盗贼普攻4刀光,10304,10300_Attack4_Effect1,0,1,0,[1.67+1.67],0,1,[0+0],[],0,0,0,1
10309,盗贼偷水晶特效,10305,10302_Skill_Hit1,0,1,0,[1.0+1.0],0,1,[0+20],[],0,0,[10305+0],0
10401,铁匠普攻,10403,10400_Attack1_Bullet1,0,1,1,[0.8+0.8],0,3,[0+0],[],0,0,[10404+0],0
10402,铁匠普攻命中,426,Bear_hit,0,0.5,0,[1.0+1.0],0,3,[0+-10],[],0,100,[10405+0],1
10403,铁匠技能命中,10405,10400_Skill1_Hit,0,0.8,0,[1.5+1.8],0,3,[0+-60],[],0,100,0,0
10503,削蓝特效1,10507,10504_Hit1,0,1,0,[1.0+1.0],0,3,[0+0],[],0,0,0,0
10509,觉醒普攻1刀光,10503,10500_Attack1_Effect1_Hit1,0,1,0,[1.43+1.43],0,1,[0+0],[],0,0,0,1
10511,觉醒普攻2刀光,10503,10500_Attack2_Effect1_Hit1,0,1,0,[1.43+1.43],0,1,[0+0],[],0,0,0,1
10512,觉醒刀光,10503,10500_Skill1_Effect1,0,1,0,[1.43+1.43],0,1,[0+0],[],0,0,0,0
10514,献祭刀光,10503,10500_Skill2_Effect2,0,1,0,[1.43+1.43],0,1,[0+0],[],0,0,0,0
10602,维京人队友护盾,10605,10604_Skill4_Hit,0,0.8,1,[1.3+1.75],0,1,[0+20],[],0,100,0,0
10603,维京人普攻1刀光,10603,10600_Attack1_Effect1,0,1,0,[1.11+1.11],0,1,[0+0],[],0,0,0,1
10604,维京人加速开始特效,10604,10600_Skill1_Begin,0,1,0,[1.11+1.11],0,1,[0+0],[],0,0,0,0
10605,维京人加速循环特效,10604,10600_Skill1_Loop,0,1,1,[1.11+1.11],0,1,[0+0],[],0,0,0,0
10606,维京人加速结束特效,10604,10600_Skill1_End,0,1,0,[1.11+1.11],0,100,[0+0],[],0,0,0,0
10607,维京人偷水晶特效,10305,10302_Skill_Hit1,0,1,0,[1.3+1.3],0,1,[0+20],[],0,0,[10305+0],0
10702,火女火环,427,Spellsword_Talent,0,1.5,1,[2.0+1.8],0,1,[0+-20],[],0,0,0,0
10703,火女火球,10707,10703_Skill1_Bullet1,0,1.6,1,[1.0+1.0],0,1,[60+30],[],0,0,0,0
10704,火女火球命中,10708,10703_Skill1_Hit,0,1.6,0,[1.4+1.4],0,3,[0+0],[],0,0,[10705+0],0
10709,火球起手,10703,10700_Skill1_Effect1,0,1,0,[2.0+2.0],0,1,[-20+-10],[],0,0,0,3
10710,火球吟唱,10703,10700_Skill1_Effect2,0,1,1,[2.0+2.0],0,1,[-20+-10],[],0,0,0,0
10711,火球释放,10703,10700_Skill1_Effect3,0,1,0,[2.0+2.0],0,1,[-20+-10],[],0,0,0,3
10712,火球起手（怪物）,10703,10700_Skill1_Effect1,0,1,0,[2.0+2.0],0,1,[-10+-30],[],0,0,0,3
10713,火球吟唱（怪物）,10703,10700_Skill1_Effect2,0,1,1,[2.0+2.0],0,1,[-10+-30],[],0,0,0,0
10714,火球释放（怪物）,10703,10700_Skill1_Effect3,0,1,0,[2.0+2.0],0,1,[-10+-30],[],0,0,0,3
10901,牧师普攻子弹,10905,10903_Attack1_Bullet1,0,1,1,[1.0+1.0],0,1,[60+45],[],0,0,0,0
10902,牧师普攻命中,10906,10903_Attack1_Hit,0,1,0,[1.0+1.0],1,1,[0+40],[],0,0,[10904+0],0
10903,牧师治疗命中,429,Cure,0,1,0,[1.5+1.5],0,1,[0+0],[],0,0,[10906+0],0
10904,天使降临特效,10909,10904_Talent4_Hit,0,2,0,[1.0+1.0],0,1,[60+80],[],0,0,[10902+0],0
10905,治疗循环特效,10903,10900_Skill1_Effect1,0,1,1,[1.43+1.43],0,1,[0+0],[],0,0,0,0
10906,治疗起手特效,10903,10900_Skill3_Effect1,0,1,0,[1.43+1.43],0,1,[0+0],[],0,0,0,0
10907,治疗结束特效,10903,10900_Skill4_Effect1,0,1,0,[1.43+1.43],0,1,[0+0],[],0,0,0,0
11002,圣盾,11003,11002_Skill2_Hit,0,1,0,[1.0+1.0],0,1,[0+0],[],0,100,0,0
11003,庇护,11008,11003_Talent4_Buff1,0,1,0,[0.5+0.5],0,1,[0+15],[],0,100,[11009+0],0
11004,领袖低,417,11004_Talent5_Buff1,0,1,1,[1.2+1.2],0,1,[0+0],[],0,0,0,0
11005,领袖中,417,11004_Talent5_Buff2,0,1,1,[1.2+1.2],0,1,[0+0],[],0,0,0,0
11006,领袖高,417,11004_Talent5_Buff3,0,1,1,[1.2+1.2],0,1,[0+0],[],0,0,0,0
11007,圣骑士普攻1刀光,11004,11002_Attack1_Effect1,0,1,0,[1.11+1.11],0,1,[0+0],[],0,0,0,1
11008,圣骑士加速循环特效,11004,11002_Skill1_Loop1,0,1,1,[1.11+1.11],0,1,[0+0],[],0,0,0,0
11009,圣骑士加速结束特效,11004,11002_Skill1_End1,0,1,0,[1.11+1.11],0,1,[0+0],[],0,0,0,0
