卡片结算ID,描述,星级条件,,水晶条件,,种族条件,对应性别条件,职业条件,攻击方式条件,唯一性变动,变更水晶消耗,,变更CD,,变更卡牌锁
957,抑制 在场时 敌方所有卡牌的水晶消耗增加4%失效,0,0,0,0,[],[],[],[],0,2,-4,0,0,0
958,抑制 在场时 敌方所有卡牌的水晶消耗增加6%失效,0,0,0,0,[],[],[],[],0,2,-6,0,0,0
959,抑制 在场时 敌方所有卡牌的水晶消耗增加8%失效,0,0,0,0,[],[],[],[],0,2,-8,0,0,0
960,抑制 在场时 敌方所有卡牌的水晶消耗增加10%失效,0,0,0,0,[],[],[],[],0,2,-10,0,0,0
10001,激励生效,0,0,0,0,[1],[],[],[],0,3,-5,2,-3,0
10002,激励失效,0,0,0,0,[1],[],[],[],0,3,5,2,3,0
10501,魔剑士封天锁地生效,0,0,0,0,[],[],[],[],0,0,0,2,0,1
10502,魔剑士封天锁地失效,0,0,0,0,[],[],[],[],0,0,0,2,0,1
30001,小精灵自爆结算,0,0,0,0,[3],[],[],[],0,2,-1,0,0,0
100101,新手关增加敌方卡牌CD,0,0,0,0,[],[],[],[],0,0,0,2,150,0
100102,取消新手关增加敌方卡牌CD,0,0,0,0,[],[],[],[],0,0,0,2,-60,0
113500,时间透支,0,0,0,0,[],[],[],[],0,4,100,2,-50,0
113501,时间透支失效,0,0,0,0,[],[],[],[],0,1,0,2,50,0
113502,时间禁锢,0,0,0,0,[],[],[],[],0,0,0,2,0,1
113503,时间禁锢失效,0,0,0,0,[],[],[],[],0,0,0,2,0,1
113504,驱逐,0,0,3,300,[],[],[],[],0,0,0,2,0,1
113505,驱逐失效,0,0,3,300,[],[],[],[],0,0,0,2,0,1
