当日购买次数,购买金币消耗钻石数,1倍概率,2倍概率,5倍暴击概率,10倍暴击概率,购买体力消耗钻石数,购买挑战次数消耗钻石数,爬塔试练宝箱付费开启次数对应消耗的钻石,刷新商店次数与价格,解锁背包第N行花费         
105,320,6500,2750,500,250,[1600+50],1600,1280,320,0
106,320,6500,2750,500,250,[1600+50],1600,1280,320,0
107,320,6500,2750,500,250,[1600+50],1600,1280,320,0
108,320,6500,2750,500,250,[1600+50],1600,1280,320,0
109,320,6500,2750,500,250,[1600+50],1600,1280,320,0
110,320,6500,2750,500,250,[1600+50],1600,1280,320,0
111,320,6500,2750,500,250,[1600+50],1600,1280,320,0
112,320,6500,2750,500,250,[1600+50],1600,1280,320,0
113,320,6500,2750,500,250,[1600+50],1600,1280,320,0
114,320,6500,2750,500,250,[1600+50],1600,1280,320,0
115,320,6500,2750,500,250,[1600+50],1600,1280,320,0
116,320,6500,2750,500,250,[1600+50],1600,1280,320,0
117,320,6500,2750,500,250,[1600+50],1600,1280,320,0
118,320,6500,2750,500,250,[1600+50],1600,1280,320,0
119,320,6500,2750,500,250,[1600+50],1600,1280,320,0
120,320,6500,2750,500,250,[1600+50],1600,1280,320,0
121,320,6500,2750,500,250,[1600+50],1600,1280,320,0
122,320,6500,2750,500,250,[1600+50],1600,1280,320,0
123,320,6500,2750,500,250,[1600+50],1600,1280,320,0
124,320,6500,2750,500,250,[1600+50],1600,1280,320,0
125,320,6500,2750,500,250,[1600+50],1600,1280,320,0
126,320,6500,2750,500,250,[1600+50],1600,1280,320,0
127,320,6500,2750,500,250,[1600+50],1600,1280,320,0
128,320,6500,2750,500,250,[1600+50],1600,1280,320,0
129,320,6500,2750,500,250,[1600+50],1600,1280,320,0
130,320,6500,2750,500,250,[1600+50],1600,1280,320,0
131,320,6500,2750,500,250,[1600+50],1600,1280,320,0
132,320,6500,2750,500,250,[1600+50],1600,1280,320,0
133,320,6500,2750,500,250,[1600+50],1600,1280,320,0
134,320,6500,2750,500,250,[1600+50],1600,1280,320,0
135,320,6500,2750,500,250,[1600+50],1600,1280,320,0
136,320,6500,2750,500,250,[1600+50],1600,1280,320,0
137,320,6500,2750,500,250,[1600+50],1600,1280,320,0
138,320,6500,2750,500,250,[1600+50],1600,1280,320,0
139,320,6500,2750,500,250,[1600+50],1600,1280,320,0
140,320,6500,2750,500,250,[1600+50],1600,1280,320,0
141,320,6500,2750,500,250,[1600+50],1600,1280,320,0
142,320,6500,2750,500,250,[1600+50],1600,1280,320,0
143,320,6500,2750,500,250,[1600+50],1600,1280,320,0
144,320,6500,2750,500,250,[1600+50],1600,1280,320,0
145,320,6500,2750,500,250,[1600+50],1600,1280,320,0
146,320,6500,2750,500,250,[1600+50],1600,1280,320,0
147,320,6500,2750,500,250,[1600+50],1600,1280,320,0
148,320,6500,2750,500,250,[1600+50],1600,1280,320,0
149,320,6500,2750,500,250,[1600+50],1600,1280,320,0
150,320,6500,2750,500,250,[1600+50],1600,1280,320,0
151,320,6500,2750,500,250,[1600+50],1600,1280,320,0
152,320,6500,2750,500,250,[1600+50],1600,1280,320,0
153,320,6500,2750,500,250,[1600+50],1600,1280,320,0
154,320,6500,2750,500,250,[1600+50],1600,1280,320,0
155,320,6500,2750,500,250,[1600+50],1600,1280,320,0
156,320,6500,2750,500,250,[1600+50],1600,1280,320,0
157,320,6500,2750,500,250,[1600+50],1600,1280,320,0
158,320,6500,2750,500,250,[1600+50],1600,1280,320,0
159,320,6500,2750,500,250,[1600+50],1600,1280,320,0
160,320,6500,2750,500,250,[1600+50],1600,1280,320,0
161,320,6500,2750,500,250,[1600+50],1600,1280,320,0
162,320,6500,2750,500,250,[1600+50],1600,1280,320,0
163,320,6500,2750,500,250,[1600+50],1600,1280,320,0
164,320,6500,2750,500,250,[1600+50],1600,1280,320,0
165,320,6500,2750,500,250,[1600+50],1600,1280,320,0
166,320,6500,2750,500,250,[1600+50],1600,1280,320,0
167,320,6500,2750,500,250,[1600+50],1600,1280,320,0
168,320,6500,2750,500,250,[1600+50],1600,1280,320,0
169,320,6500,2750,500,250,[1600+50],1600,1280,320,0
170,320,6500,2750,500,250,[1600+50],1600,1280,320,0
171,320,6500,2750,500,250,[1600+50],1600,1280,320,0
172,320,6500,2750,500,250,[1600+50],1600,1280,320,0
173,320,6500,2750,500,250,[1600+50],1600,1280,320,0
174,320,6500,2750,500,250,[1600+50],1600,1280,320,0
175,320,6500,2750,500,250,[1600+50],1600,1280,320,0
176,320,6500,2750,500,250,[1600+50],1600,1280,320,0
177,320,6500,2750,500,250,[1600+50],1600,1280,320,0
178,320,6500,2750,500,250,[1600+50],1600,1280,320,0
179,320,6500,2750,500,250,[1600+50],1600,1280,320,0
180,320,6500,2750,500,250,[1600+50],1600,1280,320,0
181,320,6500,2750,500,250,[1600+50],1600,1280,320,0
182,320,6500,2750,500,250,[1600+50],1600,1280,320,0
183,320,6500,2750,500,250,[1600+50],1600,1280,320,0
184,320,6500,2750,500,250,[1600+50],1600,1280,320,0
185,320,6500,2750,500,250,[1600+50],1600,1280,320,0
186,320,6500,2750,500,250,[1600+50],1600,1280,320,0
187,320,6500,2750,500,250,[1600+50],1600,1280,320,0
188,320,6500,2750,500,250,[1600+50],1600,1280,320,0
189,320,6500,2750,500,250,[1600+50],1600,1280,320,0
190,320,6500,2750,500,250,[1600+50],1600,1280,320,0
191,320,6500,2750,500,250,[1600+50],1600,1280,320,0
192,320,6500,2750,500,250,[1600+50],1600,1280,320,0
193,320,6500,2750,500,250,[1600+50],1600,1280,320,0
194,320,6500,2750,500,250,[1600+50],1600,1280,320,0
195,320,6500,2750,500,250,[1600+50],1600,1280,320,0
196,320,6500,2750,500,250,[1600+50],1600,1280,320,0
197,320,6500,2750,500,250,[1600+50],1600,1280,320,0
198,320,6500,2750,500,250,[1600+50],1600,1280,320,0
199,320,6500,2750,500,250,[1600+50],1600,1280,320,0
200,320,6500,2750,500,250,[1600+50],1600,1280,320,0
201,320,6500,2750,500,250,[1600+50],1600,1280,320,0
202,320,6500,2750,500,250,[1600+50],1600,1280,320,0
203,320,6500,2750,500,250,[1600+50],1600,1280,320,0
204,320,6500,2750,500,250,[1600+50],1600,1280,320,0
205,320,6500,2750,500,250,[1600+50],1600,1280,320,0
206,320,6500,2750,500,250,[1600+50],1600,1280,320,0
207,320,6500,2750,500,250,[1600+50],1600,1280,320,0
208,320,6500,2750,500,250,[1600+50],1600,1280,320,0
209,320,6500,2750,500,250,[1600+50],1600,1280,320,0
210,320,6500,2750,500,250,[1600+50],1600,1280,320,0
211,320,6500,2750,500,250,[1600+50],1600,1280,320,0
212,320,6500,2750,500,250,[1600+50],1600,1280,320,0
213,320,6500,2750,500,250,[1600+50],1600,1280,320,0
214,320,6500,2750,500,250,[1600+50],1600,1280,320,0
215,320,6500,2750,500,250,[1600+50],1600,1280,320,0
216,320,6500,2750,500,250,[1600+50],1600,1280,320,0
217,320,6500,2750,500,250,[1600+50],1600,1280,320,0
218,320,6500,2750,500,250,[1600+50],1600,1280,320,0
219,320,6500,2750,500,250,[1600+50],1600,1280,320,0
220,320,6500,2750,500,250,[1600+50],1600,1280,320,0
221,320,6500,2750,500,250,[1600+50],1600,1280,320,0
222,320,6500,2750,500,250,[1600+50],1600,1280,320,0
223,320,6500,2750,500,250,[1600+50],1600,1280,320,0
224,320,6500,2750,500,250,[1600+50],1600,1280,320,0
225,320,6500,2750,500,250,[1600+50],1600,1280,320,0
226,320,6500,2750,500,250,[1600+50],1600,1280,320,0
227,320,6500,2750,500,250,[1600+50],1600,1280,320,0
228,320,6500,2750,500,250,[1600+50],1600,1280,320,0
229,320,6500,2750,500,250,[1600+50],1600,1280,320,0
230,320,6500,2750,500,250,[1600+50],1600,1280,320,0
231,320,6500,2750,500,250,[1600+50],1600,1280,320,0
232,320,6500,2750,500,250,[1600+50],1600,1280,320,0
233,320,6500,2750,500,250,[1600+50],1600,1280,320,0
234,320,6500,2750,500,250,[1600+50],1600,1280,320,0
235,320,6500,2750,500,250,[1600+50],1600,1280,320,0
236,320,6500,2750,500,250,[1600+50],1600,1280,320,0
237,320,6500,2750,500,250,[1600+50],1600,1280,320,0
238,320,6500,2750,500,250,[1600+50],1600,1280,320,0
239,320,6500,2750,500,250,[1600+50],1600,1280,320,0
240,320,6500,2750,500,250,[1600+50],1600,1280,320,0
241,320,6500,2750,500,250,[1600+50],1600,1280,320,0
242,320,6500,2750,500,250,[1600+50],1600,1280,320,0
243,320,6500,2750,500,250,[1600+50],1600,1280,320,0
244,320,6500,2750,500,250,[1600+50],1600,1280,320,0
245,320,6500,2750,500,250,[1600+50],1600,1280,320,0
246,320,6500,2750,500,250,[1600+50],1600,1280,320,0
247,320,6500,2750,500,250,[1600+50],1600,1280,320,0
248,320,6500,2750,500,250,[1600+50],1600,1280,320,0
249,320,6500,2750,500,250,[1600+50],1600,1280,320,0
250,320,6500,2750,500,250,[1600+50],1600,1280,320,0
251,320,6500,2750,500,250,[1600+50],1600,1280,320,0
252,320,6500,2750,500,250,[1600+50],1600,1280,320,0
253,320,6500,2750,500,250,[1600+50],1600,1280,320,0
254,320,6500,2750,500,250,[1600+50],1600,1280,320,0
255,320,6500,2750,500,250,[1600+50],1600,1280,320,0
256,320,6500,2750,500,250,[1600+50],1600,1280,320,0
257,320,6500,2750,500,250,[1600+50],1600,1280,320,0
258,320,6500,2750,500,250,[1600+50],1600,1280,320,0
259,320,6500,2750,500,250,[1600+50],1600,1280,320,0
260,320,6500,2750,500,250,[1600+50],1600,1280,320,0
261,320,6500,2750,500,250,[1600+50],1600,1280,320,0
262,320,6500,2750,500,250,[1600+50],1600,1280,320,0
263,320,6500,2750,500,250,[1600+50],1600,1280,320,0
264,320,6500,2750,500,250,[1600+50],1600,1280,320,0
265,320,6500,2750,500,250,[1600+50],1600,1280,320,0
266,320,6500,2750,500,250,[1600+50],1600,1280,320,0
267,320,6500,2750,500,250,[1600+50],1600,1280,320,0
268,320,6500,2750,500,250,[1600+50],1600,1280,320,0
269,320,6500,2750,500,250,[1600+50],1600,1280,320,0
270,320,6500,2750,500,250,[1600+50],1600,1280,320,0
271,320,6500,2750,500,250,[1600+50],1600,1280,320,0
272,320,6500,2750,500,250,[1600+50],1600,1280,320,0
273,320,6500,2750,500,250,[1600+50],1600,1280,320,0
274,320,6500,2750,500,250,[1600+50],1600,1280,320,0
275,320,6500,2750,500,250,[1600+50],1600,1280,320,0
276,320,6500,2750,500,250,[1600+50],1600,1280,320,0
277,320,6500,2750,500,250,[1600+50],1600,1280,320,0
278,320,6500,2750,500,250,[1600+50],1600,1280,320,0
279,320,6500,2750,500,250,[1600+50],1600,1280,320,0
280,320,6500,2750,500,250,[1600+50],1600,1280,320,0
281,320,6500,2750,500,250,[1600+50],1600,1280,320,0
282,320,6500,2750,500,250,[1600+50],1600,1280,320,0
283,320,6500,2750,500,250,[1600+50],1600,1280,320,0
284,320,6500,2750,500,250,[1600+50],1600,1280,320,0
285,320,6500,2750,500,250,[1600+50],1600,1280,320,0
286,320,6500,2750,500,250,[1600+50],1600,1280,320,0
287,320,6500,2750,500,250,[1600+50],1600,1280,320,0
288,320,6500,2750,500,250,[1600+50],1600,1280,320,0
289,320,6500,2750,500,250,[1600+50],1600,1280,320,0
290,320,6500,2750,500,250,[1600+50],1600,1280,320,0
291,320,6500,2750,500,250,[1600+50],1600,1280,320,0
292,320,6500,2750,500,250,[1600+50],1600,1280,320,0
293,320,6500,2750,500,250,[1600+50],1600,1280,320,0
294,320,6500,2750,500,250,[1600+50],1600,1280,320,0
295,320,6500,2750,500,250,[1600+50],1600,1280,320,0
296,320,6500,2750,500,250,[1600+50],1600,1280,320,0
297,320,6500,2750,500,250,[1600+50],1600,1280,320,0
298,320,6500,2750,500,250,[1600+50],1600,1280,320,0
299,320,6500,2750,500,250,[1600+50],1600,1280,320,0
300,320,6500,2750,500,250,[1600+50],1600,1280,320,0
