表情ID,表情名称,表情资源标签名称,表情输入符
42,,ui_new/g_gamehall/c_chat/expression/ziya.csb,[#42]
43,,ui_new/g_gamehall/c_chat/expression/zuoheng.csb,[#43]
44,,ui_new/g_gamehall/c_chat/expression/youheng.csb,[#44]
45,,ui_new/g_gamehall/c_chat/expression/haqian.csb,[#45]
46,,ui_new/g_gamehall/c_chat/expression/bishi.csb,[#46]
47,,ui_new/g_gamehall/c_chat/expression/weiqu.csb,[#47]
48,,ui_new/g_gamehall/c_chat/expression/shangxin.csb,[#48]
49,,ui_new/g_gamehall/c_chat/expression/huaixiao.csb,[#49]
50,,ui_new/g_gamehall/c_chat/expression/qiuwen.csb,[#50]
51,,ui_new/g_gamehall/c_chat/expression/kongxia.csb,[#51]
52,,ui_new/g_gamehall/c_chat/expression/meng.csb,[#52]
53,,ui_new/g_gamehall/c_chat/expression/xuedao.csb,[#53]
54,,ui_new/g_gamehall/c_chat/expression/beer.csb,[#54]
55,,ui_new/g_gamehall/c_chat/expression/coffe.csb,[#55]
56,,ui_new/g_gamehall/c_chat/expression/mifan.csb,[#56]
57,,ui_new/g_gamehall/c_chat/expression/pig.csb,[#57]
58,,ui_new/g_gamehall/c_chat/expression/flower.csb,[#58]
59,,ui_new/g_gamehall/c_chat/expression/huaxiele.csb,[#59]
60,,ui_new/g_gamehall/c_chat/expression/kiss.csb,[#60]
61,,ui_new/g_gamehall/c_chat/expression/aixin.csb,[#61]
62,,ui_new/g_gamehall/c_chat/expression/xinsui.csb,[#62]
63,,ui_new/g_gamehall/c_chat/expression/dangao.csb,[#63]
64,,ui_new/g_gamehall/c_chat/expression/shandian.csb,[#64]
65,,ui_new/g_gamehall/c_chat/expression/boom.csb,[#65]
66,,ui_new/g_gamehall/c_chat/expression/dao.csb,[#66]
67,,ui_new/g_gamehall/c_chat/expression/zuqiu.csb,[#67]
68,,ui_new/g_gamehall/c_chat/expression/piaochong.csb,[#68]
69,,ui_new/g_gamehall/c_chat/expression/baobao.csb,[#69]
70,,ui_new/g_gamehall/c_chat/expression/qiang.csb,[#70]
71,,ui_new/g_gamehall/c_chat/expression/ruo.csb,[#71]
72,,ui_new/g_gamehall/c_chat/expression/woshou.csb,[#72]
73,,ui_new/g_gamehall/c_chat/expression/win.csb,[#73]
74,,ui_new/g_gamehall/c_chat/expression/baoquan.csb,[#74]
75,,ui_new/g_gamehall/c_chat/expression/gouyin.csb,[#75]
76,,ui_new/g_gamehall/c_chat/expression/quantou.csb,[#76]
77,,ui_new/g_gamehall/c_chat/expression/chajin.csb,[#77]
78,,ui_new/g_gamehall/c_chat/expression/loveyou.csb,[#78]
79,,ui_new/g_gamehall/c_chat/expression/no.csb,[#79]
80,,ui_new/g_gamehall/c_chat/expression/ok.csb,[#80]
