角色ID,角色星级（除了士兵以外，其他角色为0）,ResID,BankID
10900,2,[411+10900+10903+10904+10905+10906+429+10909],[music/10900.bank]
10900,3,[411+10900+10903+10904+10905+10906+429+10909],[music/10900.bank]
10900,4,[411+10900+10903+10904+10905+10906+429+10909],[music/10900.bank]
10900,5,[411+10900+10903+10904+10905+10906+429+10909],[music/10900.bank]
10900,6,[411+10900+10903+10904+10905+10906+429+10909],[music/10900.bank]
10900,7,[411+10900+10903+10904+10905+10906+429+10909],[music/10900.bank]
11000,1,[417+11000+11003+11004+11008],[music/11000.bank]
11000,2,[417+11000+11003+11004+11008],[music/11000.bank]
11000,3,[417+11000+11003+11004+11008],[music/11000.bank]
11000,4,[417+11000+11003+11004+11008],[music/11000.bank]
11000,5,[417+11000+11003+11004+11008],[music/11000.bank]
11000,6,[417+11000+11003+11004+11008],[music/11000.bank]
11000,7,[417+11000+11003+11004+11008],[music/11000.bank]
11100,1,[14+10305+30800+30803+30804+30806],[music/30800.bank]
11100,2,[14+10305+30800+30803+30804+30806],[music/30800.bank]
11100,3,[14+10305+30800+30803+30804+30806],[music/30800.bank]
11100,4,[14+10305+30800+30803+30804+30806],[music/30800.bank]
11100,5,[14+10305+30800+30803+30804+30806],[music/30800.bank]
11100,6,[14+10305+30800+30803+30804+30806],[music/30800.bank]
11100,7,[14+10305+30800+30803+30804+30806],[music/30800.bank]
11200,1,[11200+11201],[music/11200.bank]
11200,2,[11200+11201],[music/11200.bank]
11300,1,[11300+11301],[music/11300.bank]
11300,2,[11300+11301],[music/11300.bank]
11400,1,[11400+11401+11402],[music/11400.bank]
11400,2,[11400+11401+11402],[music/11400.bank]
11600,1,[11600+11601],[music/11600.bank]
11600,2,[11600+11601],[music/11600.bank]
11700,1,[11700+11701],[music/11700.bank]
11700,2,[11700+11701],[music/11700.bank]
12000,1,[411+12000+12003],[music/12000.bank]
12000,2,[411+12000+12003],[music/12000.bank]
12000,3,[411+12000+12003],[music/12000.bank]
12000,4,[411+12000+12003],[music/12000.bank]
12000,5,[411+12000+12003],[music/12000.bank]
12000,6,[411+12000+12003],[music/12000.bank]
12000,7,[411+12000+12003],[music/12000.bank]
19000,1,[19000],
20000,1,[405+409+450+20002+20004+20005+20007+20008+20009+20011],[music/20000.bank]
20000,2,[405+409+450+20002+20004+20005+20007+20008+20009+20011],[music/20000.bank]
20000,3,[405+409+450+20002+20004+20005+20007+20008+20009+20011],[music/20000.bank]
20000,4,[405+409+450+20002+20004+20005+20007+20008+20009+20011],[music/20000.bank]
20000,5,[405+409+450+20002+20004+20005+20007+20008+20009+20011],[music/20000.bank]
20000,6,[405+409+450+20002+20004+20005+20007+20008+20009+20011],[music/20000.bank]
20000,7,[405+409+450+20002+20004+20005+20007+20008+20009+20011],[music/20000.bank]
20100,1,[414+415+20100],[music/20100.bank]
20100,2,[414+415+20100],[music/20100.bank]
20100,3,[414+415+20101],[music/20100.bank]
20100,4,[414+415+20102],[music/20100.bank]
20500,1,[409+450+20502+20503+20504+20505+20507],[music/20500.bank]
20500,2,[409+450+20502+20503+20504+20505+20507],[music/20500.bank]
20500,3,[409+450+20502+20503+20504+20505+20507],[music/20500.bank]
20500,4,[409+450+20502+20503+20504+20505+20507],[music/20500.bank]
20500,5,[409+450+20502+20503+20504+20505+20507],[music/20500.bank]
20500,6,[409+450+20502+20503+20504+20505+20507],[music/20500.bank]
20500,7,[409+450+20502+20503+20504+20505+20507],[music/20500.bank]
20900,1,[450+1003+20901+20902+430+20904+20905+20906],[music/20900.bank]
20900,2,[450+1003+20901+20902+430+20904+20905+20906],[music/20900.bank]
20900,3,[450+1003+20901+20902+430+20904+20905+20906],[music/20900.bank]
20900,4,[450+1003+20901+20902+430+20904+20905+20906],[music/20900.bank]
20900,5,[450+1003+20901+20902+430+20904+20905+20906],[music/20900.bank]
20900,6,[450+1003+20901+20902+430+20904+20905+20906],[music/20900.bank]
20900,7,[450+1003+20901+20902+430+20904+20905+20906],[music/20900.bank]
21100,1,[21100],[music/21100.bank]
21100,2,[21100],[music/21100.bank]
21200,1,[402+21200],[music/21200.bank]
21200,2,[402+21200],[music/21200.bank]
21300,1,[402+21300],[music/21300.bank]
21300,2,[402+21300],[music/21300.bank]
30000,1,[30000+30004],[music/30000.bank]
30000,2,[30000+30004],[music/30000.bank]
30000,3,[30000+30004],[music/30000.bank]
30000,4,[30000+30004],[music/30000.bank]
30000,5,[30000+30004],[music/30000.bank]
30000,6,[30000+30004],[music/30000.bank]
30000,7,[30000+30004],[music/30000.bank]
30100,1,[450+30102+30103+30104+30105+30106+431],[music/30100.bank]
30100,2,[450+30102+30103+30104+30105+30106+431],[music/30100.bank]
30100,3,[450+30102+30103+30104+30105+30106+431],[music/30100.bank]
30100,4,[450+30102+30103+30104+30105+30106+431],[music/30100.bank]
30100,5,[450+30102+30103+30104+30105+30106+431],[music/30100.bank]
30100,6,[450+30102+30103+30104+30105+30106+431],[music/30100.bank]
30100,7,[450+30102+30103+30104+30105+30106+431],[music/30100.bank]
30300,1,[450+30302+30303+30304+30306+30307+30308+30311],[music/30300.bank]
30300,2,[450+30302+30303+30304+30306+30307+30308+30311],[music/30300.bank]
30300,3,[450+30302+30303+30304+30306+30307+30308+30311],[music/30300.bank]
30300,4,[450+30302+30303+30304+30306+30307+30308+30311],[music/30300.bank]
30300,5,[450+30302+30303+30304+30306+30307+30308+30311],[music/30300.bank]
30300,6,[450+30302+30303+30304+30306+30307+30308+30311],[music/30300.bank]
30300,7,[450+30302+30303+30304+30306+30307+30308+30311],[music/30300.bank]
30400,1,[30400+30401+30402+30403],[music/30400.bank]
30400,2,[30400+30401+30402+30403],[music/30400.bank]
30400,3,[30400+30401+30402+30403],[music/30400.bank]
30400,4,[30400+30401+30402+30403],[music/30400.bank]
30400,5,[30400+30401+30402+30403],[music/30400.bank]
30400,6,[30400+30401+30402+30403],[music/30400.bank]
30400,7,[30400+30401+30402+30403],[music/30400.bank]
30500,1,[450+30502+30503+30504+30505+30507+30508],[music/30500.bank]
30500,2,[450+30502+30503+30504+30505+30507+30508],[music/30500.bank]
30500,3,[450+30502+30503+30504+30505+30507+30508],[music/30500.bank]
30500,4,[450+30502+30503+30504+30505+30507+30508],[music/30500.bank]
30500,5,[450+30502+30503+30504+30505+30507+30508],[music/30500.bank]
30500,6,[450+30502+30503+30504+30505+30507+30508],[music/30500.bank]
30500,7,[450+30502+30503+30504+30505+30507+30508],[music/30500.bank]
30600,1,[450+50005+50006+50002+50003+50004+50007],[music/50000.bank]
30600,2,[450+50005+50006+50002+50003+50004+50007],[music/50000.bank]
30600,3,[450+50005+50006+50002+50003+50004+50007],[music/50000.bank]
30600,4,[450+50005+50006+50002+50003+50004+50007],[music/50000.bank]
30600,5,[450+50005+50006+50002+50003+50004+50007],[music/50000.bank]
30600,6,[450+50005+50006+50002+50003+50004+50007],[music/50000.bank]
30600,7,[450+50005+50006+50002+50003+50004+50007],[music/50000.bank]
30700,1,[414+415+60001+60002+60003+60004+60005+60006+60010],[music/60000.bank]
30700,2,[414+415+60001+60002+60003+60004+60005+60006+60010],[music/60000.bank]
30700,3,[414+415+60001+60002+60003+60004+60005+60006+60010],[music/60000.bank]
30700,4,[414+415+60001+60002+60003+60004+60005+60006+60010],[music/60000.bank]
30700,5,[414+415+60001+60002+60003+60004+60005+60006+60010],[music/60000.bank]
30700,6,[414+415+60001+60002+60003+60004+60005+60006+60010],[music/60000.bank]
30700,7,[414+415+60001+60002+60003+60004+60005+60006+60010],[music/60000.bank]
30800,1,[60101+60102+60103+60104+60105],[music/60100.bank]
30800,2,[60101+60102+60103+60104+60105],[music/60100.bank]
30800,3,[60101+60102+60103+60104+60105],[music/60100.bank]
30800,4,[60101+60102+60103+60104+60105],[music/60100.bank]
30800,5,[60101+60102+60103+60104+60105],[music/60100.bank]
30800,6,[60101+60102+60103+60104+60105],[music/60100.bank]
30800,7,[60101+60102+60103+60104+60105],[music/60100.bank]
30900,1,[432+448+30900+30902+30903+30907+30908+30910+30911+30912],[music/30900.bank]
30900,2,[432+448+30900+30902+30903+30907+30908+30910+30911+30912],[music/30900.bank]
30900,3,[432+448+30900+30902+30903+30907+30908+30910+30911+30912],[music/30900.bank]
30900,4,[432+448+30900+30902+30903+30907+30908+30910+30911+30912],[music/30900.bank]
30900,5,[432+448+30900+30902+30903+30907+30908+30910+30911+30912],[music/30900.bank]
30900,6,[432+448+30900+30902+30903+30907+30908+30910+30911+30912],[music/30900.bank]
30900,7,[432+448+30900+30902+30903+30907+30908+30910+30911+30912],[music/30900.bank]
31000,1,[31000+30000+31001],[music/30000.bank]
31000,2,[31000+30000+31001],[music/30000.bank]
31000,3,[31000+30000+31001],[music/30000.bank]
31000,4,[31000+30000+31001],[music/30000.bank]
31000,5,[31000+30000+31001],[music/30000.bank]
31000,6,[31000+30000+31001],[music/30000.bank]
31000,7,[31000+30000+31001],[music/30000.bank]
31100,1,[31100+31101+31102],[music/30000.bank]
31100,2,[31100+31101+31102],[music/30000.bank]
31100,3,[31100+31101+31102],[music/30000.bank]
31100,4,[31100+31101+31102],[music/30000.bank]
31100,5,[31100+31101+31102],[music/30000.bank]
31100,6,[31100+31101+31102],[music/30000.bank]
31100,7,[31100+31101+31102],[music/30000.bank]
40000,1,[40002+40003+40004+451],[music/40000.bank]
40000,2,[40002+40003+40004+451],[music/40000.bank]
40000,3,[40002+40003+40004+451],[music/40000.bank]
40000,4,[40002+40003+40004+451],[music/40000.bank]
40000,5,[40002+40003+40004+451],[music/40000.bank]
40000,6,[40002+40003+40004+451],[music/40000.bank]
40000,7,[40002+40003+40004+451],[music/40000.bank]
40100,1,[411+40102+40103+434+451],[music/40100.bank]
40100,2,[411+40102+40103+434+451],[music/40100.bank]
40100,3,[411+40102+40103+434+451],[music/40100.bank]
40100,4,[411+40102+40103+434+451],[music/40100.bank]
40100,5,[411+40102+40103+434+451],[music/40100.bank]
40100,6,[411+40102+40103+434+451],[music/40100.bank]
40100,7,[411+40102+40103+434+451],[music/40100.bank]
40200,1,[40002+40003+40004+40202+40205+451],[music/40000.bank+music/40200.bank]
40200,2,[40002+40003+40004+40202+40205+451],[music/40000.bank+music/40200.bank]
40200,3,[40002+40003+40004+40202+40205+451],[music/40000.bank+music/40200.bank]
40200,4,[40002+40003+40004+40202+40205+451],[music/40000.bank+music/40200.bank]
40200,5,[40002+40003+40004+40202+40205+451],[music/40000.bank+music/40200.bank]
40200,6,[40002+40003+40004+40202+40205+451],[music/40000.bank+music/40200.bank]
40200,7,[40002+40003+40004+40202+40205+451],[music/40000.bank+music/40200.bank]
40300,1,[40002+40003+40004+40302+40305+451],[music/40000.bank+music/40300.bank]
40300,2,[40002+40003+40004+40302+40305+451],[music/40000.bank+music/40300.bank]
40300,3,[40002+40003+40004+40302+40305+451],[music/40000.bank+music/40300.bank]
40300,4,[40002+40003+40004+40302+40305+451],[music/40000.bank+music/40300.bank]
40300,5,[40002+40003+40004+40302+40305+451],[music/40000.bank+music/40300.bank]
40300,6,[40002+40003+40004+40302+40305+451],[music/40000.bank+music/40300.bank]
40300,7,[40002+40003+40004+40302+40305+451],[music/40000.bank+music/40300.bank]
40400,1,[40002+40001+40003+40004+40402+435+436+40407+40408+451],[music/40000.bank+music/40200.bank+music/40400.bank]
40400,2,[40002+40001+40003+40004+40402+435+436+40407+40408+451],[music/40000.bank+music/40200.bank+music/40400.bank]
40400,3,[40002+40001+40003+40004+40402+435+436+40407+40408+451],[music/40000.bank+music/40200.bank+music/40400.bank]
40400,4,[40002+40001+40003+40004+40402+435+436+40407+40408+451],[music/40000.bank+music/40200.bank+music/40400.bank]
40400,5,[40002+40001+40003+40004+40402+435+436+40407+40408+451],[music/40000.bank+music/40200.bank+music/40400.bank]
40400,6,[40002+40001+40003+40004+40402+435+436+40407+40408+451],[music/40000.bank+music/40200.bank+music/40400.bank]
40400,7,[40002+40001+40003+40004+40402+435+436+40407+40408+451],[music/40000.bank+music/40200.bank+music/40400.bank]
40500,1,[40002+40001+40003+40004+413+40003+40502+40503+40504+40506+40507+439+40510+40516+451],[music/40000.bank+music/40500.bank]
40500,2,[40002+40001+40003+40004+413+40003+40502+40503+40504+40506+40507+439+40510+40516+451],[music/40000.bank+music/40500.bank]
40500,3,[40002+40001+40003+40004+413+40003+40502+40503+40504+40506+40507+439+40510+40516+451],[music/40000.bank+music/40500.bank]
40500,4,[40002+40001+40003+40004+413+40003+40502+40503+40504+40506+40507+439+40510+40516+451],[music/40000.bank+music/40500.bank]
40500,5,[40002+40001+40003+40004+413+40003+40502+40503+40504+40506+40507+439+40510+40516+451],[music/40000.bank+music/40500.bank]
40500,6,[40002+40001+40003+40004+413+40003+40502+40503+40504+40506+40507+439+40510+40516+451],[music/40000.bank+music/40500.bank]
40500,7,[40002+40001+40003+40004+413+40003+40502+40503+40504+40506+40507+439+40510+40516+451],[music/40000.bank+music/40500.bank]
40600,1,[423+413+40602+40603+419+451],[music/40600.bank]
40600,2,[423+413+40602+40603+419+451],[music/40600.bank]
40600,3,[423+413+40602+40603+419+451],[music/40600.bank]
40600,4,[423+413+40602+40603+419+451],[music/40600.bank]
40600,5,[423+413+40602+40603+419+451],[music/40600.bank]
40600,6,[423+413+40602+40603+419+451],[music/40600.bank]
40600,7,[423+413+40602+40603+419+451],[music/40600.bank]
40700,1,[413+439+40702+40703+40704+40705+451],[music/40700.bank]
40700,2,[413+439+40702+40703+40704+40705+451],[music/40700.bank]
40700,3,[413+439+40702+40703+40704+40705+451],[music/40700.bank]
40700,4,[413+439+40702+40703+40704+40705+451],[music/40700.bank]
40700,5,[413+439+40702+40703+40704+40705+451],[music/40700.bank]
40700,6,[413+439+40702+40703+40704+40705+451],[music/40700.bank]
40700,7,[413+439+40702+40703+40704+40705+451],[music/40700.bank]
40800,1,[413+439+40802+40803+440+451],[music/40800.bank]
40800,2,[413+439+40802+40803+440+451],[music/40800.bank]
40800,3,[413+439+40802+40803+440+451],[music/40800.bank]
40800,4,[413+439+40802+40803+440+451],[music/40800.bank]
40800,5,[413+439+40802+40803+440+451],[music/40800.bank]
40800,6,[413+439+40802+40803+440+451],[music/40800.bank]
40800,7,[413+439+40802+40803+440+451],[music/40800.bank]
40900,1,[419+40902+40903+40904+40905+40906+451],[music/40900.bank]
40900,2,[419+40902+40903+40904+40905+40906+451],[music/40900.bank]
40900,3,[419+40902+40903+40904+40905+40906+451],[music/40900.bank]
40900,4,[419+40902+40903+40904+40905+40906+451],[music/40900.bank]
40900,5,[419+40902+40903+40904+40905+40906+451],[music/40900.bank]
40900,6,[419+40902+40903+40904+40905+40906+451],[music/40900.bank]
40900,7,[419+40902+40903+40904+40905+40906+451],[music/40900.bank]
41000,1,[41000+41001+434+445+451],[music/40100.bank]
41000,2,[41000+41001+434+445+451],[music/40100.bank]
41000,3,[41000+41001+434+445+451],[music/40100.bank]
41000,4,[41000+41001+434+445+451],[music/40100.bank]
41000,5,[41000+41001+434+445+451],[music/40100.bank]
41000,6,[41000+41001+434+445+451],[music/40100.bank]
41000,7,[41000+41001+434+445+451],[music/40100.bank]
91500,0,[1500+1502+1503+1504+1505+1506+1507+1508+1509+1510+404+424],[music/1500.bank]
100001,0,,
100100,0,[432+448+449+1300+1301+1302+1303+1304+1305+1306+30911+426+428+19000+30400+30401+30402+30403+30900+30902+30903+30907+30908+30909+30910+30911+30912+10605+450+30302+30303+30304+30306+30307+30308+30311],[music/1300.bank+music/30300.bank+music/30400.bank+music/30900.bank+music/301304.bank]
100101,0,[1600+1601+1602+1603+1604+1605+1606+1607+1608+411+412],[music/1600.bank]
100102,0,[1201+1202+1203+1204+1205+1206+1207+406],[music/1200.bank+music/301200.bank]
100103,0,[1400+1401+1402+1403+1405+1406+1407+1408+1409+1410+1411+1412],[music/1400.bank]
100104,0,[1000+1001+1002+1003+1004+1005+1006+1007],[music/1000.bank]
100200,0,,
100300,0,,
100400,0,,
100500,0,,
100600,0,,
100700,0,,
100800,0,,
100900,0,,
101000,0,,
101100,0,[402+21200],[music/21200.bank]
101200,0,[402+21300+411+12000+12003+450+30302+30303+30304+30306+30307+30308+30311],[music/21300.bank+music/12000.bank]
101300,0,[100400+100401+100402+402+21200],[music/100400.bank+music/21200.bank]
101400,0,[40001+40002+40003+40004+40400+435+436+40407+40408+432+448+30902+30903+30907+30908+30909+30910+30911+30912+413+60000+60002+60003+60004+60005+60006+60010+30999+10900+10903+10905+10906+429],[music/40000.bank+music/40200.bank+music/40400.bank+music/30900.bank+music/60000.bank+music/10900.bank]
101500,0,[100400+100401+100402],[music/100400.bank]
101600,0,[40000+40001+40002+40003+40004+40201+40204+40402+435+436+40407+40408+431],[music/40000.bank+music/40200.bank+music/40400.bank]
101700,0,[413+40600+40603+419],[music/40600.bank]
101800,0,[100200+100201+100202+100203+100204+445+419+40003+40302+40305+301399+340099+40000+40002+40004],[music/100200.bank]
101900,0,[413+40801+40803+440+441+442+40102+40103+40104+434+40000+40002+40003+40004+340099+411],[music/40800.bank+music/40100.bank]
102000,0,[11001+11003+11004],[music/11000.bank]
102100,0,[11000+11003+11004+11005+11008],[music/11000.bank]
102200,0,[1600+1601+1602+1603+1604+1605+1606+1607+1608+411+412],[music/1600.bank]
102300,0,[414+449+100100+30302+30303+30304+30306+30307+30308+30311],[music/100100.bank+music/30300.bank]
102400,0,[11400+11401+11402+21400+21401+21402+21700+21800+21900+445],[music/11400.bank]
102500,0,[100051+100052+100053+100054+100055+100056+100057+21400+21401+21402+21700+21800+21900+445],[music/102500.bank]
103100,0,[405+417+20004+30801+30803+30804+30805+30806+30807+1299],[music/30800.bank]
103200,0,[1205+1299],[music/1200.bank+music/301200.bank]
103300,0,[406+1201+1202+1203+1204+1205+1206+1207],[music/1200.bank+music/301200.bank]
103400,0,[405+410+10200+10202+10203+10204+10205+424+425+310499+428],[music/10200.bank]
103500,0,[417+10701+10703+10704+10705+10706+10707+10708+428+10710+427+310499],[music/10700.bank]
103600,0,[417+11000+11003+11004+11005+11006+11008+411+12000+12003+310499+428],[music/11000.bank+music/12000.bank]
103700,0,[30302+30303+30304+30306+30307+30308+30311],[music/30300.bank]
103800,0,[100400+100401+100402+445],[music/100400.bank]
103900,0,[10900+10903+10904+10905+10906+429+10909+417+11000+11003+11004+11008],[music/10900.bank]
104000,0,[411+414+415+10400+10403+426+10405+10406+10407],[music/10400.bank]
104100,0,[60100+60102+60103+60104+60105],[music/60100.bank]
104200,0,[409+423+20502+20503+20504+20505+20507+431],[music/20500.bank]
104300,0,[413+40602+40603+419+410100+410101+431],[music/40600.bank]
104400,0,[413+439+40702+40703+40704+40705+410100+410101+431],[music/40700.bank]
104500,0,[1400+1401+1402+1403+1405+1406+1407+1408+1409+1410+1411+1412+410100+410101+431],[music/1400.bank]
105100,0,[402+405+409+449+450+10605+20002+20004+20005+20007+20008+20009+20011+21300+30400+30401+30402+30403+31100+31101+31102+432+448+30900+30902+30903+30907+30908+30910+30911+30912+60101+60102+60103+60104+60105],[music/20000.bank+music/30300.bank+music/30400.bank+music/60100.bank]
105300,0,[402+405+409+449+450+10605+20002+20004+20005+20007+20008+20009+20011+21300+30400+30401+30402+30403+31100+31101+31102+432+448+30900+30902+30903+30907+30908+30910+30911+30912+60101+60102+60103+60104+60105],[music/20000.bank+music/30300.bank+music/30400.bank+music/60100.bank]
105400,0,[405+417+10605+11002+11003+11004+11005+11006+11008],[music/10200.bank]
105500,0,[405+10601+10603+10604+10605],[music/10600.bank]
105600,0,[405+417+10605+11002+11003+11004+11005+11006+11008],[music/11000.bank]
105700,0,[420+423+10605+431+30501+30503+30504+30505+30507+30508+100701],[music/30500.bank]
105800,0,[420+423+431+10605+30101+30103+30104+100701],[music/30100.bank]
105900,0,[420+423+409+10605+20502+20503+20504+20505+20507+431+100701],[music/20500.bank]
106000,0,[421+40003+40100+40102+40103+40104+434+444+411],[music/40100.bank]
106100,0,[411+40003+40102+40103+434+413+421+10605+40500+40503+40504+40506+439+40510+444],[music/40100.bank+music/40500.bank]
106200,0,[413+421+10605+40003+40102+40103+40104+434+439+40801+40803+440+444+411+451],[music/40100.bank+music/40800.bank]
106300,0,[422+431+30400+30402+30403+100701],[music/30400.bank]
106400,0,[422+401+410+431+30400+30402+30403+100700+100701],[music/30400.bank]
106500,0,[422+431+106800+106801+106802+106803+106804],[music/106800.bank]
106600,0,,
106700,0,,
106800,0,,
106900,0,[423+405+409+20000+20004+20005+20007+20008+20009+431],[music/20000.bank]
107000,0,[423+405+409+20001+20004+20005+20007+20008+20009+431],[music/20000.bank]
107100,0,[423+405+409+20002+20004+20005+20007+20008+20009+20011+431],[music/20000.bank]
107200,0,[12+423+405+409+449+20500+20503+20504+20505+1107+20010+20508+30312+409+20000+20004+20005+20007+20008+20009+20011+409+20500+20503+20504+20505+30300+30303+30304+30306+30307+30308+30311],[music/1003.bank+music/20500.bank+music/20000.bank+music/30300.bank]
107300,0,[12+423+405+409+449+20501+20503+20504+20505+1107+20010+20508+30312+409+20000+20004+20005+20007+20008+20009+20011+409+20500+20503+20504+20505+30300+30303+30304+30306+30307+30308+30311],[music/1003.bank+music/20500.bank+music/20000.bank+music/30300.bank]
107400,0,[12+423+450+405+409+449+20502+20503+20504+20505+1107+20010+20508+30312+409+20000+20004+20005+20007+20008+20009+20011+409+20500+20503+20504+20505+30300+30302+30303+30304+30306+30307+30308+30311+410100+410102+1407+1409],[music/1003.bank+music/20500.bank+music/20000.bank+music/30300.bank]
107500,0,[11001+11003+11004+11005+11008+402+1305+428],[music/11000.bank+music/301304.bank]
107600,0,[11002+11003+11004+11005+11008+402+1305+428],[music/11000.bank+music/301304.bank]
107700,0,[11000+11003+11004+11005+11008+402+1305+428],[music/11000.bank+music/301304.bank]
107800,0,[423+100200+100201+100202+100203+100204+445+40003+40302+40305],[music/100200.bank+music/40300.bank]
107900,0,[423+100200+100201+100202+100203+100204+445+40003+40302+40305],[music/100200.bank+music/40300.bank]
108000,0,[423+100800+100801+40100+40102+40103+40104+434+411],
108100,0,[413+439+40701+40703+40704+40705],[music/40700.bank]
108200,0,[413+439+40702+40703+40704+40705+40003+40002+40001+40004+413+40502+40503+40504+40506+40507+40510+40516+451+40802+40803+440+419+40902+40903+40904+40905+40906],[music/40700.bank]
108300,0,[108600+108601],[music/108600.bank+music/40100.bank]
108700,0,[431+30100+30103+30104+1003+20901+20902+430+20904+20905+20906+409800],[music/30100.bank+music/20900.bank]
108800,0,[431+30101+30103+30104+1003+20901+20902+430+20904+20905+20906+409800],[music/30100.bank+music/20900.bank]
108900,0,[431+30102+30103+30104+1003+20901+20902+430+20904+20905+20906+409800],[music/30100.bank+music/20900.bank]
109000,0,[423+405+413+430+60001+60002+60003+60004+60005+60006+60010+428],[music/60000.bank]
109100,0,[423+405+413+430+60001+60002+60003+60004+60005+60006+60010+428],[music/60000.bank]
109200,0,[423+405+413+430+60001+60002+60003+60004+60005+60006+60010+428],[music/60000.bank]
109300,0,[423+413+434+40601+40603+419+431],[music/40600.bank]
109400,0,[423+413+434+40602+40603+419+431],[music/40600.bank]
109500,0,[423+405+434+109500+109501+431],[music/109500.bank]
109600,0,[423+405+413+439+40800+40803+440+441+442+431+447+421+40002+40003+40004+40302+40305+451],[music/40800.bank]
109700,0,[423+405+413+439+40801+40803+440+441+442+431+447+421+40002+40003+40004+40302+40305+451],[music/40800.bank]
109800,0,[423+405+413+439+40802+40803+440+441+442+431+447+421+40002+40003+40004+40302+40305+451],[music/40800.bank]
