资源ID,资源类型（0都不是---1是csb1.6骨骼---2是spine---3是csb2文件）,资源加载路径(json/csb),资源加载路径atlas,皮肤ID
406,2,role/public/Block_Buff/Block_Buff.json,role/public/Block_Buff/Block_Buff.atlas,
408,2,role/public/Born_Buff/Born_Buff.json,role/public/Born_Buff/Born_Buff.atlas,
409,2,role/public/Burst/Burst.json,role/public/Burst/Burst.atlas,
410,2,role/public/CriticalRate_Enhanced/CriticalRate_Enhanced.json,role/public/CriticalRate_Enhanced/CriticalRate_Enhanced.atlas,
411,2,role/public/Defense_Enhanced/Defense_Enhanced.json,role/public/Defense_Enhanced/Defense_Enhanced.atlas,
412,2,role/public/Defense_reduction/Defense_reduction.json,role/public/Defense_reduction/Defense_reduction.atlas,
413,2,role/public/Draw/Draw.json,role/public/Draw/Draw.atlas,
414,2,role/public/GeneralShield/GeneralShield.json,role/public/GeneralShield/GeneralShield.atlas,
415,2,role/public/GeneralShield/GeneralShield_Break.json,role/public/GeneralShield/GeneralShield.atlas,
416,2,role/public/Gold_Hit/Gold_Hit.json,role/public/Gold_Hit/Gold_Hit.atlas,
417,2,role/public/Leader_Buff/Leader_Buff.json,role/public/Leader_Buff/Leader_Buff.atlas,
418,2,role/public/MoveSpeed_Enhanced/MoveSpeed_Enhanced.json,role/public/MoveSpeed_Enhanced/MoveSpeed_Enhanced.atlas,
419,2,role/public/Blood_Hit/Blood_Hit.json,role/public/Blood_Hit/Blood_Hit.atlas,
420,2,role/public/Reagent/Reagent.json,role/public/Reagent/Reagent.atlas,
421,2,role/public/Ptomaine/Ptomaine.json,role/public/Ptomaine/Ptomaine.atlas,
422,2,role/public/Betrayal/Betrayal.json,role/public/Betrayal/Betrayal.atlas,
423,2,role/public/vampire_buff/vampire_buff.json,role/public/vampire_buff/vampire_buff.atlas,
424,1,role/public/Shooter_hit/Shooter_hit.csb,,
425,1,role/public/Shooter_Aim/Shooter_Aim.csb,,
426,2,role/public/Bear_hit/Bear_hit.json,role/public/Bear_hit/Bear_hit.atlas,
427,2,role/public/Spellsword_Talent/Spellsword_Talent.json,role/public/Spellsword_Talent/Spellsword_Talent.atlas,
428,2,role/public/Exploded/Exploded.json,role/public/Exploded/Exploded.atlas,
429,2,role/public/Cure/Cure.json,role/public/Cure/Cure.atlas,
430,2,role/public/Catapult_hit/Catapult_hit.json,role/public/Catapult_hit/Catapult_hit.atlas,
431,2,role/public/Red_Light/Red_Light.json,role/public/Red_Light/Red_Light.atlas,
432,2,role/public/Tree_Cure/Tree_Cure.json,role/public/Tree_Cure/Tree_Cure.atlas,
433,2,role/public/Curse/Curse.json,role/public/Curse/Curse.atlas,
434,1,role/public/Poisonous_Fog/Poisonous_Fog.csb,,
435,2,role/public/Blue_Circle/Blue_Circle.json,role/public/Blue_Circle/Blue_Circle.atlas,
436,2,role/public/Circle_Light/Circle_Light.json,role/public/Circle_Light/Circle_Light.atlas,
437,2,role/public/Violet_Circle/Violet_Circle.json,role/public/Violet_Circle/Violet_Circle.atlas,
438,2,role/public/Soul_hit/Soul_hit.json,role/public/Soul_hit/Soul_hit.atlas,
439,2,role/public/Soul_Halo/Soul_Halo.json,role/public/Soul_Halo/Soul_Halo.atlas,
440,2,role/public/Dark_Bullet/Dark_Bullet.json,role/public/Dark_Bullet/Dark_Bullet.atlas,
441,2,role/public/Dark_Start/Dark_Start.json,role/public/Dark_Start/Dark_Start.atlas,
442,2,role/public/Dark_Loop/Dark_Loop.json,role/public/Dark_Loop/Dark_Loop.atlas,
443,2,role/public/Shadow_Bullet/Shadow_Bullet.json,role/public/Shadow_Bullet/Shadow_Bullet.atlas,
444,2,role/public/Dead_Marshes/Dead_Marshes.json,role/public/Dead_Marshes/Dead_Marshes.atlas,
445,2,role/public/Poisoning/Poisoning.json,role/public/Poisoning/Poisoning.atlas,
446,2,role/public/Lightning/Lightning.json,role/public/Lightning/Lightning.atlas,
447,2,role/public/Plague_Soul/Plague_Soul.json,role/public/Plague_Soul/Plague_Soul.atlas,
448,2,role/public/1300-Cure/1300-Cure.json,role/public/1300-Cure/1300-Cure.atlas,
449,2,role/public/1300-Delivery/1300-Delivery.json,role/public/1300-Delivery/1300-Delivery.atlas,
450,2,role/public/Spunk/Spunk.json,role/public/Spunk/Spunk.atlas,
451,2,role/public/Reborn/Reborn.json,role/public/Reborn/Reborn.atlas,
1000,2,role/1000/1000.json,role/1000/1000.atlas,
1001,2,role/1000/1000_Attack_Effect.json,role/1000/1000.atlas,
1002,2,role/1000/504100.json,role/1000/504100.atlas,
1003,2,role/1000/504100_HitBuff.json,role/1000/504100.atlas,
1004,2,role/1000/1000_Skill2.json,role/1000/504100.atlas,
1005,2,role/1000/1000_Skill1_Hit.json,role/1000/504100.atlas,
1006,2,role/1000/1000_Skill1_FireBullet.json,role/1000/504100.atlas,
1007,3,ui_new/p_public/effect/hero_1000_Ult/hero_1000_Ult.csb,,
1101,2,role/1100/1100.json,role/1100/1100.atlas,
1102,2,role/1100/1100_Skill1_Hit.json,role/1100/1100.atlas,
1103,2,role/1100/1100_Skill1_IceBullet.json,role/1100/1100.atlas,
1104,2,role/1100/1100_Skill3_IceRain.json,role/1100/1100.atlas,
1105,2,role/1100/1100_Skill3_IceRainzidan.json,role/1100/1100.atlas,
1106,2,role/1100/1100_Attack_Effect.json,role/1100/1100.atlas,
1107,1,role/1100/304200.csb,,
1108,3,ui_new/p_public/effect/hero_1100_Ult/hero_1100_Ult.csb,,
1160,2,role/1100/1100_IceShield.json,role/1100/1100.atlas,
1201,2,role/1200/1200.json,role/1200/1200.atlas,
1202,2,role/1200/1200_Skill3_Bullet.json,role/1200/1200.atlas,
1203,2,role/1200/1200_Skill3_End.json,role/1200/1200.atlas,
1204,2,role/1200/1200_Attack_Effect.json,role/1200/1200.atlas,
1205,2,role/1200/504000.json,role/1200/1200.atlas,
1206,1,role/1200/1200_Skill3_Hit.csb,,
1207,3,ui_new/p_public/effect/hero_1200_Ult/hero_1200_Ult.csb,,
1299,2,role/1299/1299.json,role/1299/1299.atlas,
1300,2,role/1300/1300.json,role/1300/1300.atlas,
1301,2,role/1300/1300_Skill1_Bullet.json,role/1300/1300.atlas,
1302,2,role/1300/1300_Skill2_Buff1.json,role/1300/1300.atlas,
1303,2,role/1300/1300_Attack_Effect.json,role/1300/1300.atlas,
1304,2,role/1300/1300_Skill2_Portal.json,role/1300/1300_Skill2_Portal.atlas,
1305,2,role/1300/301300/301300.json,role/1300/301300/301300.atlas,
1306,3,ui_new/p_public/effect/hero_1300_Ult/hero_1300_Ult.csb,,
1400,2,role/1400/1400.json,role/1400/1400.atlas,
1401,2,role/1400/1400_LightingMark.json,role/1400/1400.atlas,
1402,2,role/1400/1400_Attack_Effect.json,role/1400/1400.atlas,
1403,2,role/1400/1400_Skill1_Bullet.json,role/1400/1400.atlas,
1405,2,role/1400/1400_Skill1_Bullet_Explosion.json,role/1400/1400.atlas,
1406,2,role/1400/1400_Skill1_Hit.json,role/1400/1400.atlas,
1407,2,role/1400/1400_Skill2_Bullet.json,role/1400/1400.atlas,
1408,2,role/1400/1400_Skill2_Bullet_Explosion.json,role/1400/1400.atlas,
1409,2,role/1400/1400_skill2_Hit.json,role/1400/1400.atlas,
1410,2,role/1400/1400_Skill5_Bullet1.json,role/1400/1400.atlas,
1411,2,role/1400/1400_Skill5_Bullet2.json,role/1400/1400.atlas,
1412,3,ui_new/p_public/effect/hero_1400_Ult/hero_1400_Ult.csb,,
1500,2,role/1500/1500.json,role/1500/1500.atlas,
1502,2,role/1500/1500_Skill2_Bullet1.json,role/1500/1500.atlas,
1503,2,role/1500/1500_Skill2_Bullet2.json,role/1500/1500.atlas,
1504,2,role/1500/1500_Skill3.json,role/1500/1500.atlas,
1505,2,role/1500/1500_Attack_Hit.json,role/1500/1500.atlas,
1506,2,role/1500/1500_Attack_Effect.json,role/1500/1500.atlas,
1507,2,role/1500/1500_Attack_Effect2.json,role/1500/1500.atlas,
1508,3,ui_new/p_public/effect/hero_1500_Ult/hero_1500_Ult.csb,,
1509,2,role/1500/1500_new.json,role/1500/1500_new.atlas,
1510,2,role/1500/1500_end.json,role/1500/1500_end.atlas,
1511,2,role/1500/1500_Attack5.json,role/1500/1500_Attack5.atlas,
1600,2,role/1600/1600.json,role/1600/1600.atlas,
1601,2,role/1600/1600_Skill1.json,role/1600/1600.atlas,
1602,2,role/1600/1600_Skill2.json,role/1600/1600.atlas,
1603,2,role/1600/1600_Skill3_Bullet1.json,role/1600/1600.atlas,
1604,2,role/1600/1600_Skill1_Effect.json,role/1600/1600.atlas,
1605,2,role/1600/1600_Skill3_Hit1.json,role/1600/1600.atlas,
1606,2,role/1600/1600_Skill2_d.json,role/1600/1600.atlas,
1607,2,role/1600/1600_Attack_Effect.json,role/1600/1600.atlas,
1608,3,ui_new/p_public/effect/hero_1600_Ult/hero_1600_Ult.csb,,
9999,2,role/10600/10602.json,role/10600/10600.atlas,
10000,2,role/10000/10000.json,role/10000/10000.atlas,10004
10001,2,role/10000/10000.json,role/10000/10000.atlas,10002
10002,2,role/10000/10000.json,role/10000/10000.atlas,10003
10003,2,role/10000/10000_Attack1.json,role/10000/10000.atlas,
10004,2,role/10000/10000_Attack2.json,role/10000/10000.atlas,
10005,2,role/10000/10000_Skill1.json,role/10000/10000.atlas,
10200,2,role/10200/10204.json,role/10200/10200.atlas,
10201,2,role/10200/10202.json,role/10200/10200.atlas,
10202,2,role/10200/10203.json,role/10200/10200.atlas,
10203,2,role/10200/10200_Skill_Effect.json,role/10200/10200.atlas,
10204,1,role/10200/10202_Attack1_Bullet1.csb,,
10205,1,role/10200/10202_Attack2_Bullet2.csb,,
10300,2,role/10300/10304.json,role/10300/10300.atlas,
10301,2,role/10300/10302.json,role/10300/10300.atlas,
10302,2,role/10300/10303.json,role/10300/10300.atlas,
10303,2,role/10300/10300_Attack_HitBuff.json,role/10300/10300.atlas,
10304,2,role/10300/10300_Attack_Effect.json,role/10300/10300.atlas,
10305,2,role/10300/10302_Skill_Hit1.json,role/10300/10300.atlas,
10400,2,role/10400/10404.json,role/10400/10400.atlas,
10401,2,role/10400/10402.json,role/10400/10400.atlas,
10402,2,role/10400/10403.json,role/10400/10400.atlas,
10403,2,role/10400/10400_Attack1_Bullet1.json,role/10400/10400.atlas,
10405,2,role/10400/10400_Skill1_Hit.json,role/10400/10400.atlas,
10406,2,role/10400/10450/10450.json,role/10400/10450/10450.atlas,
10407,2,role/10400/10460/10460.json,role/10400/10460/10460.atlas,
10500,2,role/10500/10500.json,role/10500/10500.atlas,10505
10501,2,role/10500/10500.json,role/10500/10500.atlas,10503
10502,2,role/10500/10500.json,role/10500/10500.atlas,10504
10503,2,role/10500/10500_Attack_Effect.json,role/10500/10500.atlas,
10504,2,role/10500/10500_Skill1_Buff1.json,role/10500/10500.atlas,
10505,2,role/10500/10500_Skill2_Buff1.json,role/10500/10500.atlas,
10507,2,role/10500/10504_Hit1.json,role/10500/10500.atlas,
10508,2,role/10500/10504_Hit2.json,role/10500/10500.atlas,
10600,2,role/10600/10604.json,role/10600/10600.atlas,
10601,2,role/10600/10602.json,role/10600/10600.atlas,
10602,2,role/10600/10603.json,role/10600/10600.atlas,
10603,2,role/10600/10600_Attack_Effect.json,role/10600/10600.atlas,
10604,2,role/10600/10600_Skill1_LoopAndEnd.json,role/10600/10600.atlas,
10605,1,role/10600/10604_Skill4_Hit.csb,,
10700,2,role/10700/10705.json,role/10700/10700.atlas,
10701,2,role/10700/10703.json,role/10700/10700.atlas,
10702,2,role/10700/10704.json,role/10700/10700.atlas,
10703,2,role/10700/10700_Skill1_Effect.json,role/10700/10700.atlas,
10704,2,role/10700/10700_Talent_Buff.json,role/10700/10700.atlas,
10705,2,role/10700/10703_Attack1_Bullet1.json,role/10700/10700.atlas,
10706,2,role/10700/10703_Attack1_Hit.json,role/10700/10700.atlas,
10707,2,role/10700/10703_Skill1_Bullet1.json,role/10700/10700.atlas,
10708,2,role/10700/10703_Skill1_Hit.json,role/10700/10700.atlas,
10710,2,role/10700/10705_Skill1_Effect.json,role/10700/10700.atlas,
10900,2,role/10900/10905.json,role/10900/10900.atlas,
10901,2,role/10900/10903.json,role/10900/10900.atlas,
10902,2,role/10900/10904.json,role/10900/10900.atlas,
10903,2,role/10900/10900_Skill_Effect.json,role/10900/10900.atlas,
10904,2,role/10900/10900_Talent3_Buff1.json,role/10900/10900.atlas,
10905,2,role/10900/10903_Attack1_Bullet1.json,role/10900/10900.atlas,
10906,2,role/10900/10903_Attack1_Hit.json,role/10900/10900.atlas,
10908,2,role/10900/10903_Talent3_Buff1.json,role/10900/10900.atlas,
10909,2,role/10900/10904_Talent4_Hit.json,role/10900/10900.atlas,
11000,2,role/11000/11004.json,role/11000/11000.atlas,
11001,2,role/11000/11002.json,role/11000/11000.atlas,
11002,2,role/11000/11003.json,role/11000/11000.atlas,
11003,2,role/11000/11002_Skill2_Hit.json,role/11000/11000.atlas,
11004,2,role/11000/11002_Attack_Effect.json,role/11000/11000.atlas,
11005,2,role/11000/11003_Attack_Effect.json,role/11000/11000.atlas,
11006,2,role/11000/11004_Attack_Effect.json,role/11000/11000.atlas,
11007,2,role/11000/11004_Talent4_Buff.json,role/11000/11000.atlas,
11008,1,role/11000/11003_Talent4_Buff1.csb,,
11200,2,role/11200/11200.json,role/11200/11200.atlas,
11201,2,role/11200/11200_Attack_Effect.json,role/11200/11200.atlas,
11300,2,role/11300/11300.json,role/11300/11300.atlas,
11301,2,role/11300/11300_Attack_Effect.json,role/11300/11300.atlas,
11400,2,role/11400/11400.json,role/11400/11400.atlas,
11401,2,role/11400/11400_Attack1_Bullet.json,role/11400/11400.atlas,
11402,2,role/11400/11400_Attack1_Hit1.json,role/11400/11400.atlas,
11600,2,role/11600/11600.json,role/11600/11600.atlas,
11601,2,role/11600/11600_Attack_Effect.json,role/11600/11600.atlas,
11700,2,role/11700/11700.json,role/11700/11700.atlas,
11701,2,role/11700/11700_Attack1_Bullet.json,role/11700/11700.atlas,
12000,2,role/12000/12000.json,role/12000/12000.atlas,12004
12001,2,role/12000/12000.json,role/12000/12000.atlas,12002
12002,2,role/12000/12000.json,role/12000/12000.atlas,12003
12003,2,role/12000/12000_Attack_Effect.json,role/12000/12000.atlas,
19000,2,role/19000/19000.json,role/19000/19000.atlas,
20000,2,role/20000/20003.json,role/20000/20000.atlas,
20001,2,role/20000/20004.json,role/20000/20000.atlas,
20002,2,role/20000/20005.json,role/20000/20000.atlas,
20003,2,role/20000/20000_Attack1_HitBuff.json,role/20000/20000.atlas,
20004,2,role/20000/20000_Skill1_BloodBuff.json,role/20000/20000.atlas,
20005,2,role/20000/20000_Attack_Effect.json,role/20000/20000.atlas,
20006,2,role/20000/20003_Skill2_Buff1.json,role/20000/20000.atlas,
20007,2,role/20000/20003_Skill3_Buff1.json,role/20000/20000.atlas,
20008,2,role/20000/20004_Skill3_Buff.json,role/20000/20000.atlas,
20009,1,role/20000/40605_Skill1_Hit.csb,,
20010,2,role/20000/20003_cage.json,role/20000/20000.atlas,
20011,2,role/20000/20000_Attack1_Hit.json,role/20000/20000_Attack1_Hit.atlas,
20100,2,role/20100/20102.json,role/20100/20100.atlas,
20101,2,role/20100/20103.json,role/20100/20100.atlas,
20102,2,role/20100/20104.json,role/20100/20100.atlas,
20103,2,role/20100/20112.json,role/20100/20100.atlas,
20104,2,role/20100/20113.json,role/20100/20100.atlas,
20105,2,role/20100/20114.json,role/20100/20100.atlas,
20500,2,role/20500/20500.json,role/20500/20500.atlas,20503
20501,2,role/20500/20500.json,role/20500/20500.atlas,20504
20502,2,role/20500/20500.json,role/20500/20500.atlas,20505
20503,2,role/20500/20500_Attack2_Hit.json,role/20500/20500.atlas,
20504,2,role/20500/20500_Attack_Effect.json,role/20500/20500.atlas,
20505,2,role/20500/20500_Skill1_Hit.json,role/20500/20500.atlas,
20506,2,role/20500/20500_Skill2_Buff.json,role/20500/20500.atlas,
20507,2,role/20500/20500_Reborn_Effect1.json,role/20500/20500.atlas,
20508,2,role/20500/20500_cage.json,role/20500/20500.atlas,20503
20900,2,role/20900/20900.json,role/20900/20900.atlas,20902
20901,2,role/20900/20900.json,role/20900/20900.atlas,20903
20902,2,role/20900/20902_Skill1_Bullet.json,role/20900/20900.atlas,
20904,2,role/20900/20903_Skill1_Bullet.json,role/20900/20900.atlas,
20905,2,role/20900/20903_Skill1_Hit.json,role/20900/20900.atlas,
20906,2,role/20900/20903_Skill2_Bullet.json,role/20900/20900.atlas,
21100,2,role/21100/21100.json,role/21100/21100.atlas,
21200,2,role/21200/21200.json,role/21200/21200.atlas,
21300,2,role/21300/21300.json,role/21300/21300.atlas,
21400,2,role/21400/200001.json,role/21400/200000.atlas,
21401,2,role/21400/200002.json,role/21400/200000.atlas,
21402,2,role/21400/200003.json,role/21400/200000.atlas,
21700,2,role/21700/200004.json,role/21700/200004.atlas,
21800,2,role/21800/200005.json,role/21800/200005.atlas,
21900,2,role/21900/200006.json,role/21900/200006.atlas,
30000,2,role/30000/30000.json,role/30000/30000.atlas,
30001,2,role/30000/30000.json,role/30000/30000.atlas,
30002,2,role/30000/30000.json,role/30000/30000.atlas,
30004,2,role/30000/30000_Effect.json,role/30000/30000.atlas,
30100,2,role/30100/30100.json,role/30100/30100.atlas,30102
30101,2,role/30100/30100.json,role/30100/30100.atlas,30103
30102,2,role/30100/30100.json,role/30100/30100.atlas,30104
30103,2,role/30100/30100_Attack_Effect.json,role/30100/30100.atlas,
30104,2,role/30100/30104_Attack_Effect.json,role/30100/30100.atlas,
30105,2,role/30100/30100_Attack_Effect2.json,role/30100/30100.atlas,
30106,2,role/30100/30100_Rain.json,role/30100/30100_Rain.atlas,
30300,2,role/30300/30302.json,role/30300/30300.atlas,
30301,2,role/30300/30303.json,role/30300/30300.atlas,
30302,2,role/30300/30304.json,role/30300/30300.atlas,
30303,2,role/30300/30302_Skill1_Bullet.json,role/30300/30300.atlas,
30304,2,role/30300/30302_Skill1_Hit.json,role/30300/30300.atlas,
30306,2,role/30300/30302_Attack_Bullet.json,role/30300/30300.atlas,
30307,2,role/30300/30300_Skill1_Effect1.json,role/30300/30300.atlas,
30308,2,role/30300/30303_Attack_Bullet.json,role/30300/30300.atlas,
30311,2,role/30300/30304_Attack_Bullet.json,role/30300/30300.atlas,
30312,2,role/30300/30302_cage.json,role/30300/30300.atlas,
30400,2,role/30400/30404.json,role/30400/30400.atlas,
30401,2,role/30400/30405.json,role/30400/30400.atlas,
30402,2,role/30400/30404_Attack1_Hit.json,role/30400/30404_Attack1_Hit.atlas,
30403,2,role/30400/30400_Attack1_Bullet1.json,role/30400/30400.atlas,
30500,2,role/30500/30503.json,role/30500/30500.atlas,
30501,2,role/30500/30504.json,role/30500/30500.atlas,
30502,2,role/30500/30505.json,role/30500/30500.atlas,
30503,2,role/30500/30500_Sneak.json,role/30500/30500_Sneak.atlas,
30504,2,role/30500/30500_Skill5_Effect.json,role/30500/30500.atlas,
30505,2,role/30500/30500_Attack5_Effect_dg.json,role/30500/30500.atlas,
30507,2,role/30500/30503_Skill1_Hit1.json,role/30500/30500.atlas,
30508,2,role/30500/30503_Skill2_Hit1.json,role/30500/30500.atlas,
30800,2,role/30800/30805.json,role/30800/30800.atlas,
30801,2,role/30800/30803.json,role/30800/30800.atlas,
30802,2,role/30800/30804.json,role/30800/30800.atlas,
30803,2,role/30800/30800_Attack_Effect.json,role/30800/30800.atlas,
30804,2,role/30800/30800_Attack1_HitBuff.json,role/30800/30800.atlas,
30805,2,role/30800/30803_Skill1_Hit.json,role/30800/30800.atlas,
30806,2,role/30800/30803_Skill2_Hit.json,role/30800/30800.atlas,
30807,2,role/30800/30804_Skill3_Buff.json,role/30800/30800.atlas,
30808,2,role/30800/30804_Talent4_Buff.json,role/30800/30800.atlas,
30900,2,role/30900/30903.json,role/30900/30900.atlas,
30901,2,role/30900/30904.json,role/30900/30900.atlas,
30902,2,role/30900/30905.json,role/30900/30900.atlas,
30903,2,role/30900/30900_Attack_Effect.json,role/30900/30900.atlas,
30907,2,role/30900/30900_Skill4_Hit_d.json,role/30900/30900.atlas,
30908,2,role/30900/30900_Skill4_Hit_u.json,role/30900/30900.atlas,
30909,2,role/30900/30900_Skill5_d.json,role/30900/30900.atlas,
30910,2,role/30900/30900_Skill5_u.json,role/30900/30900.atlas,
30911,1,role/30900/30900_Hit_guang.csb,,
30912,2,role/30900/30900_Hit_yezi.json,role/30900/30900.atlas,
30999,2,role/30999/30999_Help.json,role/30999/30999_Help.atlas,
31000,2,role/31000/31000.json,role/31000/31000.atlas,
31001,2,role/31000/Attack1_Buff1.json,role/31000/31000.atlas,
31100,2,role/31100/31100.json,role/31100/31100.atlas,31102
31101,2,role/31100/31100.json,role/31100/31100.atlas,31101
31102,2,role/31100/31100_Attack1.json,role/31100/31100.atlas,
40000,2,role/40000/40001.json,role/40000/40000.atlas,
40001,2,role/40000/40002.json,role/40000/40000.atlas,
40002,2,role/40000/40003.json,role/40000/40000.atlas,
40003,2,role/40000/40000_Hit_Debuff.json,role/40000/40000_Hit_Debuff.atlas,
40004,2,role/40000/40000_Attack_Effect.json,role/40000/40000.atlas,
40100,2,role/40100/40103.json,role/40100/40100.atlas,
40101,2,role/40100/40104.json,role/40100/40100.atlas,
40102,2,role/40100/40105.json,role/40100/40100.atlas,
40103,2,role/40100/40100_Attack_Effect.json,role/40100/40100.atlas,
40104,2,role/40100/40105_Buff2.json,role/40100/40100.atlas,
40200,2,role/40200/40201.json,role/40200/40200.atlas,
40201,2,role/40200/40202.json,role/40200/40200.atlas,
40202,2,role/40200/40203.json,role/40200/40200.atlas,
40203,2,role/40200/40201_Attack1_Bullet1.json,role/40200/40200.atlas,
40204,2,role/40200/40202_Attack1_Bullet1.json,role/40200/40200.atlas,
40205,2,role/40200/40203_Attack1_Bullet1.json,role/40200/40200.atlas,
40300,2,role/40300/40302.json,role/40300/40300.atlas,
40301,2,role/40300/40303.json,role/40300/40300.atlas,
40302,2,role/40300/40304.json,role/40300/40300.atlas,
40305,2,role/40300/40300_Attack_Effect.json,role/40300/40300.atlas,
40306,2,role/40300/40304_Death_Hit.json,role/40300/40300.atlas,
40400,2,role/40400/40400.json,role/40400/40400.atlas,40402
40401,2,role/40400/40400.json,role/40400/40400.atlas,40403
40402,2,role/40400/40400.json,role/40400/40400.atlas,40404
40407,2,role/40400/Attack1_Effect.json,role/40400/Attack1_Effect.atlas,
40408,1,role/40400/40400_Attack1_Bullet1.csb,,
40500,2,role/40500/40502.json,role/40500/40500.atlas,
40501,2,role/40500/40503.json,role/40500/40500.atlas,
40502,2,role/40500/40504.json,role/40500/40500.atlas,
40503,2,role/40500/40500_Attack_Effect.json,role/40500/40500.atlas,
40504,2,role/40500/40500_Charging_Effect.json,role/40500/40500.atlas,
40506,2,role/40500/40500_Charging_Effect2.json,role/40500/40500.atlas,
40507,2,role/40500/40500_Death2_Buff1.json,role/40500/40500.atlas,
40510,2,role/40500/40502_Attack1_Hit.json,role/40500/40500.atlas,
40516,1,role/40500/40500_Death2_Buff2.csb,,
40600,2,role/40600/40603.json,role/40600/40600.atlas,
40601,2,role/40600/40604.json,role/40600/40600.atlas,
40602,2,role/40600/40605.json,role/40600/40600.atlas,
40603,2,role/40600/40600_Attack_Effect.json,role/40600/40600.atlas,
40700,2,role/40700/40700.json,role/40700/40700.atlas,40703
40701,2,role/40700/40700.json,role/40700/40700.atlas,40704
40702,2,role/40700/40700.json,role/40700/40700.atlas,40705
40703,2,role/40700/40700_Attack_Effect.json,role/40700/40700.atlas,
40704,2,role/40700/40703_Attack3_Hit.json,role/40700/40700.atlas,
40705,2,role/40700/40703_Skill1_Buff.json,role/40700/40700.atlas,
40709,2,role/40700/40700_Skill2_Bullet.json,role/40700/40700.atlas,
40800,2,role/40800/40800.json,role/40800/40800.atlas,40803
40801,2,role/40800/40800.json,role/40800/40800.atlas,40804
40802,2,role/40800/40800.json,role/40800/40800.atlas,40805
40803,2,role/40800/40800_Skill1_Effect.json,role/40800/40800.atlas,
40900,2,role/40900/40902.json,role/40900/40900.atlas,
40901,2,role/40900/40903.json,role/40900/40900.atlas,
40902,2,role/40900/40904.json,role/40900/40900.atlas,
40903,2,role/40900/40909.json,role/40900/40900.atlas,
40904,2,role/40900/40900_Attack_Effect.json,role/40900/40900.atlas,
40905,2,role/40900/40900_Attack_Effect1.json,role/40900/40900.atlas,
40906,2,role/40900/Tallent2_Buff.json,role/40900/40900.atlas,
41000,2,role/41000/41000.json,role/41000/41000.atlas,
41001,2,role/41000/41000_Effect.json,role/41000/41000.atlas,
50000,2,role/50000/50002.json,role/50000/50000.atlas,
50001,2,role/50000/50003.json,role/50000/50000.atlas,
50002,2,role/50000/50004.json,role/50000/50000.atlas,
50003,2,role/50000/50004_Skill1_Hit1.json,role/50000/50000.atlas,
50004,2,role/50000/50004_Skill2_Hit1.json,role/50000/50000.atlas,
50005,2,role/50000/50000_Attack1_Bullet1.json,role/50000/50000.atlas,
50006,2,role/50000/50000_Attack1_Hit.json,role/50000/50000.atlas,
50007,2,role/50000/50004_Skill2_Hit.json,role/50000/50000.atlas,
60000,2,role/60000/60004.json,role/60000/60004.atlas,
60001,2,role/60000/60005.json,role/60000/60004.atlas,
60002,1,role/60000/60004_Buff.csb,,
60003,2,role/60000/60000_Attack_Effect.json,role/60000/60004.atlas,
60004,2,role/60000/60000_Skill1_Effect1.json,role/60000/60004.atlas,
