按钮名称,描述,音效ID
SkillButton_2,英雄界面（技能2）,3
GiftButton,英雄界面（天赋）,
LockButton,英雄界面（锁定）,
ChangeButton,英雄界面（更换）,15
WearButton,英雄界面（卸下）,16
TipButton,升级界面（问号说明）,4
MeterialBarButton1,升级界面（材料框1）,3
MeterialBarButton2,升级界面（材料框2）,3
MeterialBarButton3,升级界面（材料框3）,3
MeterialBarButton4,升级界面（材料框4）,3
MeterialBarButton5,升级界面（材料框5）,3
MeterialBarButton6,升级界面（材料框6）,3
SingleBagBoxButton,材料或角色每一格按钮音效,3
AllButton,升级界面（全部）,3
ExpButton,升级界面（经验卡）,3
SkillButton,升级界面（经验书）,3
BarButton1,升星界面（材料框1）,3
BarButton2,升星界面（材料框2）,3
BarButton3,升星界面（材料框3）,3
BarButton4,升星界面（材料框4）,3
BarButton5,升星界面（材料框5）,3
BarButton6,升星界面（材料框6）,3
GiftButton_1,天赋界面（天赋1）,3
GiftButton_2,天赋界面（天赋2）,3
GiftButton_3,天赋界面（天赋3）,3
GiftButton_4,天赋界面（天赋4）,3
Button_1,天赋界面（关闭）,5
GetPathButton,背包（获取路径）,2
AllButton,背包（全部）,3
EqButton,背包（装备）,3
ExpButton,背包（经验卡）,3
CostButton,背包（消耗品）,3
DelButton,背包（出售减号）,24
AddButton,背包（出售加号）,24
MaxButton,背包（出售最大）,24
SaleItemButton,背包（出售）,4
SaleConfirmButton,背包（出售确认）,17
BagItem,背包（背包格子）,11
Item,背包（背包格子）,3
ChestBoxButton,世界地图（宝箱）,4
GliteButton,世界地图（精英）,31
GeneralButton,世界地图（普通）,31
StrategyButton,关卡（攻略暂无）,4
AttackButton,关卡（挑战）,
OneSweepButton,关卡（扫荡）,4
SunmmonerButton,队伍（召唤师分页）,3
SunmmonerImage,队伍（召唤师）,3
MercenaryButton,队伍（佣兵分页）,3
FormationButton,队伍（一键编队）,2
SaveTeamButton,队伍（开始战斗）,19
FightButton,队伍（开始战斗）,19
LastButton,队伍（左箭头）,11
NextButton,队伍（右箭头）,11
OrderButton_1,队伍（排序1）,3
OrderButton_2,队伍（排序2）,3
OrderButton_3,队伍（排序3）,3
OrderButton_4,队伍（排序4）,3
HeroImage,队伍（英雄头像）,3
SummonerImage,队伍（召唤师头像）,3
FigthButton,美术手误,19
RankingButton,竞技场（排名）,4
AwardButton,竞技场（奖励）,3
ShopButton,竞技场（商店）,
GoButton,竞技场（对抗电脑or人）,2
ConfirmButton,战败战胜结算（确认）,2
ConfrimButtom,美术手误1,2
ConfirmButtom,美术手误2,2
ConfrimButton1,美术手误3,2
ConfrimButton,消耗钻石确认,2
Button_Cancel,竞技匹配（取消）,5
ReceiveButton,竞技场（任务接受）,2
GoldTrialButton,副本（金币试炼）,4
InstanceButton,副本（活动副本）,4
ClimbTownButton,副本（爬塔试炼）,4
HeroTrialButton,副本（英雄试炼）,4
StartBattleButton,英雄试炼（开始战斗）,4
ChallengeButton,英雄试炼（开始战斗）,4
ReceiveButton,金币试炼（领取额外奖励）,4
AwardBox_1,金币试炼（奖励宝箱1）,10
AwardBox_2,金币试炼（奖励宝箱2）,10
AwardBox_3,金币试炼（奖励宝箱3）,10
AwardBox_4,金币试炼（奖励宝箱4）,10
AwardBox_5,金币试炼（奖励宝箱5）,10
AwardBox_6,金币试炼（奖励宝箱6）,10
AwardBox_7,金币试炼（奖励宝箱7）,10
AwardBox_8,金币试炼（奖励宝箱8）,10
AwardBox_9,金币试炼（奖励宝箱9）,10
AwardBox_10,金币试炼（奖励宝箱10）,10
AwardBox_11,金币试炼（奖励宝箱11）,10
AwardBox_12,金币试炼（奖励宝箱12）,10
AwardBox_13,金币试炼（奖励宝箱13）,10
AwardBox_14,金币试炼（奖励宝箱14）,10
AwardBox_15,金币试炼（奖励宝箱15）,10
AwardBox_16,金币试炼（奖励宝箱16）,10
AwardBox_17,金币试炼（奖励宝箱17）,10
AwardBox_18,金币试炼（奖励宝箱18）,10
AwardBox_19,金币试炼（奖励宝箱19）,10
AwardBox_20,金币试炼（奖励宝箱20）,10
FightButton,金币试炼（开始战斗）,19
ClimbTownButton,爬塔试炼（）,
StartTowerButton,爬塔试炼（开始迎战）,2
RankingButton,爬塔试炼（排行榜）,4
VSPanel,爬塔试炼（VS）,4
ChooseButton_1,爬塔难度（挑战）,4
ChooseButton_2,爬塔难度（挑战）,4
ChooseButton_3,爬塔难度（挑战）,4
SendDelayButton,聊天,3
TabButton_Guild,聊天（会公）,3
TabButton_World,聊天（世界）,3
Button_Chat,聊天,2
Button_Expression,聊天（表情）,3
Button_Enter,聊天（发送）,3
SettingButton,聊天（设置）,3
HideButton,聊天（缩小）,3
LvButton,聊天设置,3
DisButton,聊天设置,3
CheckBox_1,聊天设置（世界模式）,3
CheckBox_2,聊天设置（公会模式）,3
HeroButton_1,战斗（英雄卡牌1）,2
HeroButton_2,战斗（英雄卡牌2）,2
HeroButton_3,战斗（英雄卡牌3）,2
HeroButton_4,战斗（英雄卡牌4）,2
HeroButton_5,战斗（英雄卡牌5）,2
HeroButton_6,战斗（英雄卡牌6）,2
HeroButton_7,战斗（英雄卡牌7）,2
GemButton,水晶升级,23
Image_Bar,英雄天赋界面(天赋1天赋2）,3
GotoButton01,立即前往,4
GuildHouse,公会主界面（公会大厅按钮）,4
Church,公会主界面（教堂按钮暂不开启fail音）,
Dock,公会主界面（远征船按钮）,
ExpedHouse,公会主界面（佣兵大厅）,4
GuildChoiceButton,选择工会（公会选择1234）,3
Button_SetGuild,创建工会,2
InfoButton,公会大厅（公会信息）,3
MembersButton,公会大厅（公会成员）,3
AwardButton,公会大厅（公会福利）,3
BoxButton,公会大厅（问号）,4
ExitButton,公会大厅（退出公会）,2
TabButton_1,佣兵大厅（全部佣兵）,3
TabButton_2,佣兵大厅（我的佣兵）,3
TabButton_1,七天主界面（每日福利）,3
TabButton_2,七天主界面（每日成长）,3
TabButton_3,七天主界面（每日折扣）,3
MakeButton,铸造主界面（铸造）,3
BreakButton,铸造主界面（分解）,3
Button_Green,铸造主界面（普通铸造）,
CastEquipmentButton,铸造主界面（装备条）,2
CastMaterialButton,铸造主界面（材料框）,2
SaveButton,天赋界面（保存）,3
ResetButton,天赋界面（重置）,55
1000,,1000
1100,,1100
1200,,1200
1300,,1300
1400,,1400
1500,,1500
1600,,1600
10000,,10000
10200,,10200
10300,,10300
10400,,10400
10500,,10500
10600,,10600
10700,,10700
10900,,10900
11000,,11000
11200,,11200
11300,,11300
11400,,11400
11600,,11600
11700,,11700
12000,,12000
20000,,20000
20500,,20500
20900,,20900
30000,,30000
30100,,30100
30300,,30300
30400,,30400
30500,,30500
11100,,30800
30900,,30900
31000,,31000
31100,,31100
40100,,40100
40300,,40300
40400,,40400
40500,,40500
40600,,40600
40700,,40700
40800,,40800
40900,,40900
41000,,41000
30600,,50000
30700,,60000
30800,,60100
